date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",134.53,135.61,133.76,134.49,134.49,0.49%,"3,355,400"
"Nov 22, 2024",132.10,134.32,131.50,133.84,133.84,1.35%,"2,067,844"
"Nov 21, 2024",129.71,132.19,129.06,132.06,132.06,2.71%,"2,882,187"
"Nov 20, 2024",125.32,128.71,124.89,128.57,128.57,2.29%,"1,696,093"
"Nov 19, 2024",125.78,127.12,125.12,125.69,125.69,-0.97%,"1,838,200"
"Nov 18, 2024",126.92,128.09,126.01,126.92,126.92,-0.12%,"1,444,996"
"Nov 15, 2024",129.47,129.71,125.82,127.07,127.07,-2.42%,"2,631,136"
"Nov 14, 2024",133.69,134.35,130.16,130.22,130.22,-3.02%,"1,971,103"
"Nov 13, 2024",133.26,134.87,132.19,134.28,134.28,0.46%,"1,103,090"
"Nov 12, 2024",133.86,136.04,133.64,133.67,133.67,-0.14%,"1,490,800"
"Nov 11, 2024",137.07,137.46,133.20,133.86,133.86,-2.06%,"5,405,489"
"Nov 8, 2024",137.67,138.67,134.94,136.68,136.68,-2.11%,"1,918,633"
"Nov 7, 2024",138.79,140.07,137.57,139.63,139.63,1.34%,"2,182,801"
"Nov 6, 2024",143.00,143.07,137.04,137.78,137.78,-1.87%,"2,528,903"
"Nov 5, 2024",138.18,140.79,137.24,140.41,140.41,0.54%,"1,240,710"
"Nov 4, 2024",137.32,140.64,136.91,139.65,139.65,2.03%,"1,795,434"
"Nov 1, 2024",139.14,140.97,135.27,136.87,136.87,5.03%,"2,077,724"
"Oct 31, 2024",130.67,131.44,129.86,130.31,130.31,-0.90%,"1,596,089"
"Oct 30, 2024",131.66,134.11,131.14,131.49,131.49,0.20%,"1,550,574"
"Oct 29, 2024",131.14,132.29,130.56,131.23,131.23,-0.24%,"941,585"
"Oct 28, 2024",131.75,132.23,130.34,131.54,131.54,1.04%,"1,739,863"
"Oct 25, 2024",131.18,131.71,129.35,130.19,130.19,-0.38%,"1,248,591"
"Oct 24, 2024",133.14,133.31,130.69,130.69,130.69,-1.76%,"1,830,078"
"Oct 23, 2024",133.27,134.30,131.36,133.03,133.03,-0.32%,"1,657,530"
"Oct 22, 2024",134.69,134.75,131.98,133.46,133.46,-2.41%,"1,822,734"
"Oct 21, 2024",138.35,138.81,136.22,136.76,136.76,-1.49%,"975,947"
"Oct 18, 2024",138.53,139.52,137.24,138.83,138.83,1.03%,"1,185,274"
"Oct 17, 2024",141.81,142.53,136.48,137.42,137.42,-1.21%,"1,592,884"
"Oct 16, 2024",141.51,142.57,138.44,139.11,139.11,-3.78%,"1,702,132"
"Oct 15, 2024",144.35,146.66,144.07,144.58,144.58,0.23%,"1,251,198"
"Oct 14, 2024",144.00,145.07,142.82,144.25,144.25,0.30%,"1,765,112"
"Oct 11, 2024",143.06,145.06,143.06,143.82,143.82,0.76%,"1,427,375"
"Oct 10, 2024",143.21,144.41,142.60,142.74,142.74,-1.42%,"1,288,934"
"Oct 9, 2024",145.03,145.59,144.18,144.80,144.80,0.13%,"634,673"
"Oct 8, 2024",144.00,145.24,143.84,144.61,144.61,0.50%,"914,968"
"Oct 7, 2024",144.13,144.45,142.83,143.89,143.89,-0.74%,"836,738"
"Oct 4, 2024",146.20,146.56,144.20,144.97,144.97,0.29%,"1,001,140"
"Oct 3, 2024",145.43,145.98,144.09,144.55,144.55,-1.36%,"1,100,049"
"Oct 2, 2024",146.27,147.65,145.11,146.54,146.54,-0.01%,"1,200,066"
"Oct 1, 2024",148.19,148.19,144.02,146.56,146.56,-1.29%,"1,408,643"
"Sep 30, 2024",147.70,148.83,146.71,148.48,148.24,0.28%,"1,408,312"
"Sep 27, 2024",147.18,150.08,147.18,148.06,147.82,0.90%,"2,213,029"
"Sep 26, 2024",141.26,146.96,140.54,146.74,146.50,5.24%,"2,149,759"
"Sep 25, 2024",141.97,142.84,139.21,139.44,139.22,-1.71%,"1,437,304"
"Sep 24, 2024",140.10,143.27,139.31,141.87,141.64,1.49%,"1,930,083"
"Sep 23, 2024",141.15,141.15,138.60,139.79,139.57,-0.21%,"2,179,480"
"Sep 20, 2024",141.21,141.40,137.88,140.09,139.87,-1.31%,"2,613,595"
"Sep 19, 2024",141.85,143.44,141.46,141.95,141.72,2.11%,"1,225,954"
"Sep 18, 2024",138.50,141.00,137.43,139.01,138.79,0.48%,"1,390,546"
"Sep 17, 2024",138.66,139.78,137.39,138.35,138.13,0.03%,"1,210,176"
"Sep 16, 2024",138.28,139.78,137.50,138.31,138.09,0.73%,"887,044"
"Sep 13, 2024",136.81,137.61,136.37,137.31,137.09,0.67%,"917,759"
"Sep 12, 2024",138.20,138.62,134.25,136.39,136.17,-1.67%,"1,616,489"
"Sep 11, 2024",137.34,138.86,134.76,138.70,138.48,0.49%,"1,405,535"
"Sep 10, 2024",137.53,138.21,135.94,138.03,137.81,-0.04%,"1,357,677"
"Sep 9, 2024",138.80,139.54,137.15,138.09,137.87,0.65%,"1,770,253"
"Sep 6, 2024",138.45,140.00,136.51,137.20,136.98,-0.84%,"1,298,388"
"Sep 5, 2024",138.36,139.06,136.93,138.36,138.14,0.14%,"1,194,620"
"Sep 4, 2024",138.39,139.66,136.49,138.16,137.94,-0.58%,"1,361,624"
"Sep 3, 2024",141.63,143.27,138.06,138.96,138.74,-2.77%,"1,629,187"
"Aug 30, 2024",142.16,143.27,141.02,142.92,142.69,0.27%,"1,570,696"
"Aug 29, 2024",142.07,143.44,141.11,142.53,142.30,1.04%,"1,577,379"
"Aug 28, 2024",141.53,142.31,140.29,141.06,140.83,-0.03%,"1,089,854"
"Aug 27, 2024",140.48,141.21,139.71,141.10,140.87,0.43%,"949,743"
"Aug 26, 2024",141.11,141.18,139.96,140.49,140.26,-0.27%,"1,013,194"
"Aug 23, 2024",141.21,142.27,140.16,140.87,140.64,0.46%,"1,735,656"
"Aug 22, 2024",145.38,145.45,138.15,140.22,140.00,0.16%,"2,634,529"
"Aug 21, 2024",139.98,140.79,139.15,139.99,139.77,0.17%,"2,262,977"
"Aug 20, 2024",140.60,141.54,139.43,139.75,139.53,-0.54%,"1,227,757"
"Aug 19, 2024",140.55,141.29,139.28,140.51,140.28,0.34%,"1,714,079"
"Aug 16, 2024",139.79,140.90,138.52,140.04,139.82,0.11%,"1,284,834"
"Aug 15, 2024",137.66,139.99,137.66,139.89,139.67,2.84%,"1,120,379"
"Aug 14, 2024",137.93,138.69,135.88,136.03,135.81,-1.01%,"1,090,040"
"Aug 13, 2024",135.83,137.70,135.33,137.42,137.20,1.34%,"1,157,979"
"Aug 12, 2024",136.81,136.81,134.48,135.60,135.38,-0.95%,"1,347,172"
"Aug 9, 2024",136.84,137.86,136.11,136.90,136.68,0.10%,"737,614"
"Aug 8, 2024",134.15,137.22,133.78,136.76,136.54,2.09%,"976,850"
"Aug 7, 2024",137.25,138.09,133.69,133.96,133.75,-1.69%,"1,553,910"
"Aug 6, 2024",135.42,138.92,134.27,136.26,136.04,1.16%,"1,461,969"
"Aug 5, 2024",136.55,136.82,133.06,134.70,134.48,-3.12%,"1,885,243"
"Aug 2, 2024",141.98,143.17,135.76,139.04,138.82,-2.67%,"2,298,354"
"Aug 1, 2024",142.24,144.22,141.75,142.86,142.63,1.03%,"2,896,452"
"Jul 31, 2024",140.39,144.00,139.71,141.40,141.17,1.37%,"2,582,725"
"Jul 30, 2024",138.04,139.73,137.11,139.49,139.27,1.54%,"1,428,034"
"Jul 29, 2024",137.59,137.78,135.62,137.38,137.16,0.04%,"1,222,648"
"Jul 26, 2024",136.69,140.29,136.08,137.32,137.10,1.73%,"1,717,670"
"Jul 25, 2024",133.95,138.37,133.45,134.98,134.76,0.61%,"1,338,851"
"Jul 24, 2024",130.87,134.43,130.18,134.16,133.94,2.69%,"2,066,682"
"Jul 23, 2024",137.61,137.66,130.49,130.65,130.44,-2.08%,"1,640,805"
"Jul 22, 2024",133.06,133.93,131.40,133.42,133.21,1.24%,"2,009,368"
"Jul 19, 2024",131.96,132.78,130.29,131.78,131.57,-0.14%,"1,731,443"
"Jul 18, 2024",132.32,135.21,131.66,131.97,131.76,-1.15%,"2,783,526"
"Jul 17, 2024",135.16,136.00,133.42,133.50,133.29,-1.88%,"1,031,195"
"Jul 16, 2024",131.99,136.19,131.60,136.06,135.84,3.85%,"1,064,333"
"Jul 15, 2024",132.01,133.14,130.78,131.01,130.80,-0.92%,"1,015,719"
"Jul 12, 2024",131.17,133.40,130.64,132.23,132.02,1.08%,"1,477,340"
