date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",231.46,233.25,229.74,232.87,232.87,1.31%,"90,152,832"
"Nov 22, 2024",228.06,230.72,228.06,229.87,229.87,0.59%,"38,168,252"
"Nov 21, 2024",228.88,230.16,225.71,228.52,228.52,-0.21%,"42,108,327"
"Nov 20, 2024",228.06,229.93,225.89,229.00,229.00,0.32%,"35,169,566"
"Nov 19, 2024",226.98,230.16,226.66,228.28,228.28,0.11%,"36,211,774"
"Nov 18, 2024",225.25,229.74,225.17,228.02,228.02,1.34%,"44,686,020"
"Nov 15, 2024",226.40,226.92,224.27,225.00,225.00,-1.41%,"47,923,696"
"Nov 14, 2024",225.02,228.87,225.00,228.22,228.22,1.38%,"44,923,941"
"Nov 13, 2024",224.01,226.65,222.76,225.12,225.12,0.40%,"48,566,217"
"Nov 12, 2024",224.55,225.59,223.36,224.23,224.23,-,"40,398,299"
"Nov 11, 2024",225.00,225.70,221.50,224.23,224.23,-1.20%,"42,005,602"
"Nov 8, 2024",227.17,228.66,226.41,226.96,226.96,-0.23%,"38,328,824"
"Nov 7, 2024",224.63,227.88,224.57,227.48,227.23,2.14%,"42,137,691"
"Nov 6, 2024",222.61,226.07,221.19,222.72,222.48,-0.33%,"54,561,121"
"Nov 5, 2024",221.80,223.95,221.14,223.45,223.20,0.65%,"28,111,338"
"Nov 4, 2024",220.99,222.79,219.71,222.01,221.77,-0.40%,"44,944,468"
"Nov 1, 2024",220.97,225.35,220.27,222.91,222.67,-1.33%,"65,276,741"
"Oct 31, 2024",229.34,229.83,225.37,225.91,225.66,-1.82%,"64,370,086"
"Oct 30, 2024",232.61,233.47,229.55,230.10,229.85,-1.53%,"47,070,907"
"Oct 29, 2024",233.10,234.33,232.32,233.67,233.41,0.12%,"35,417,247"
"Oct 28, 2024",233.32,234.73,232.55,233.40,233.14,0.86%,"36,087,134"
"Oct 25, 2024",229.74,233.22,229.57,231.41,231.16,0.36%,"38,802,304"
"Oct 24, 2024",229.98,230.82,228.41,230.57,230.32,-0.08%,"31,109,503"
"Oct 23, 2024",234.08,235.14,227.76,230.76,230.51,-2.16%,"52,286,979"
"Oct 22, 2024",233.89,236.22,232.60,235.86,235.60,-0.26%,"38,846,578"
"Oct 21, 2024",234.45,236.85,234.45,236.48,236.22,0.63%,"36,254,470"
"Oct 18, 2024",236.18,236.18,234.01,235.00,234.74,1.23%,"46,431,472"
"Oct 17, 2024",233.43,233.85,230.52,232.15,231.90,0.16%,"32,993,810"
"Oct 16, 2024",231.60,232.12,229.84,231.78,231.53,-0.89%,"34,082,240"
"Oct 15, 2024",233.61,237.49,232.37,233.85,233.59,1.10%,"64,751,367"
"Oct 14, 2024",228.70,231.73,228.60,231.30,231.05,1.65%,"39,882,085"
"Oct 11, 2024",229.30,229.41,227.34,227.55,227.30,-0.65%,"31,759,188"
"Oct 10, 2024",227.78,229.50,227.17,229.04,228.79,-0.22%,"28,183,544"
"Oct 9, 2024",225.23,229.75,224.83,229.54,229.29,1.67%,"33,591,091"
"Oct 8, 2024",224.30,225.98,223.25,225.77,225.52,1.84%,"31,855,693"
"Oct 7, 2024",224.50,225.69,221.33,221.69,221.45,-2.25%,"39,505,354"
"Oct 4, 2024",227.90,228.00,224.13,226.80,226.55,0.50%,"37,345,098"
"Oct 3, 2024",225.14,226.81,223.32,225.67,225.42,-0.49%,"34,044,158"
"Oct 2, 2024",225.89,227.37,223.02,226.78,226.53,0.25%,"32,880,605"
"Oct 1, 2024",229.52,229.65,223.74,226.21,225.96,-2.91%,"63,285,048"
"Sep 30, 2024",230.04,233.00,229.65,233.00,232.74,2.29%,"54,793,391"
"Sep 27, 2024",228.46,229.52,227.30,227.79,227.54,0.12%,"34,025,967"
"Sep 26, 2024",227.30,228.50,225.41,227.52,227.27,0.51%,"36,636,707"
"Sep 25, 2024",224.93,227.29,224.02,226.37,226.12,-0.44%,"42,308,715"
"Sep 24, 2024",228.65,229.35,225.73,227.37,227.12,0.40%,"43,556,068"
"Sep 23, 2024",227.34,229.45,225.81,226.47,226.22,-0.76%,"54,146,023"
"Sep 20, 2024",229.97,233.09,227.62,228.20,227.95,-0.29%,"318,679,888"
"Sep 19, 2024",224.99,229.82,224.63,228.87,228.62,3.71%,"66,781,315"
"Sep 18, 2024",217.55,222.71,217.54,220.69,220.45,1.80%,"59,894,928"
"Sep 17, 2024",215.75,216.90,214.50,216.79,216.55,0.22%,"45,519,339"
"Sep 16, 2024",216.54,217.22,213.92,216.32,216.08,-2.78%,"59,357,427"
"Sep 13, 2024",223.58,224.04,221.91,222.50,222.26,-0.12%,"36,766,619"
"Sep 12, 2024",222.50,223.55,219.82,222.77,222.53,0.05%,"37,498,225"
"Sep 11, 2024",221.46,223.09,217.89,222.66,222.42,1.16%,"44,587,072"
"Sep 10, 2024",218.92,221.48,216.73,220.11,219.87,-0.36%,"51,591,033"
"Sep 9, 2024",220.82,221.27,216.71,220.91,220.67,0.04%,"67,179,965"
"Sep 6, 2024",223.95,225.24,219.77,220.82,220.58,-0.70%,"48,423,011"
"Sep 5, 2024",221.63,225.48,221.52,222.38,222.14,0.69%,"36,615,398"
"Sep 4, 2024",221.66,221.78,217.48,220.85,220.61,-0.86%,"43,262,758"
"Sep 3, 2024",228.55,229.00,221.17,222.77,222.53,-2.72%,"50,190,574"
"Aug 30, 2024",230.19,230.40,227.48,229.00,228.75,-0.34%,"52,990,770"
"Aug 29, 2024",230.10,232.92,228.88,229.79,229.54,1.46%,"51,906,297"
"Aug 28, 2024",227.92,229.86,225.68,226.49,226.24,-0.68%,"38,052,167"
"Aug 27, 2024",226.00,228.85,224.89,228.03,227.78,0.37%,"35,934,559"
"Aug 26, 2024",226.76,227.28,223.89,227.18,226.93,0.15%,"30,602,208"
"Aug 23, 2024",225.66,228.22,224.33,226.84,226.59,1.03%,"38,677,250"
"Aug 22, 2024",227.79,228.34,223.90,224.53,224.28,-0.83%,"43,695,321"
"Aug 21, 2024",226.52,227.98,225.05,226.40,226.15,-0.05%,"34,765,480"
"Aug 20, 2024",225.77,227.17,225.45,226.51,226.26,0.27%,"30,299,033"
