date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",138.01,141.00,137.75,140.93,140.93,2.61%,"7,930,535"
"Nov 22, 2024",133.30,140.76,133.30,137.34,137.34,3.06%,"6,301,099"
"Nov 21, 2024",134.18,134.95,132.58,133.26,133.26,-1.47%,"4,061,137"
"Nov 20, 2024",130.22,135.38,130.22,135.25,135.25,2.90%,"5,537,419"
"Nov 19, 2024",131.15,131.96,129.87,131.44,131.44,-0.57%,"5,172,381"
"Nov 18, 2024",132.56,133.45,131.58,132.19,132.19,-0.23%,"4,511,595"
"Nov 15, 2024",134.20,134.53,131.31,132.50,132.50,-1.53%,"4,798,719"
"Nov 14, 2024",133.97,136.66,133.15,134.56,134.56,1.36%,"4,777,628"
"Nov 13, 2024",133.83,135.13,131.33,132.76,132.76,-0.33%,"4,922,621"
"Nov 12, 2024",135.65,136.12,133.13,133.20,133.20,-3.06%,"6,903,453"
"Nov 11, 2024",136.00,139.16,135.12,137.40,137.40,2.07%,"6,535,059"
"Nov 8, 2024",134.67,137.71,132.76,134.61,134.61,-8.66%,"19,189,003"
"Nov 7, 2024",141.76,148.64,141.70,147.37,147.37,4.58%,"11,988,903"
"Nov 6, 2024",141.98,142.95,139.41,140.91,140.91,2.24%,"5,110,922"
"Nov 5, 2024",137.55,140.87,137.07,137.82,137.82,0.69%,"4,989,187"
"Nov 4, 2024",136.23,137.55,135.45,136.87,136.87,0.30%,"2,459,746"
"Nov 1, 2024",133.96,136.88,133.81,136.46,136.46,1.24%,"3,707,590"
"Oct 31, 2024",137.70,138.06,134.26,134.79,134.79,-1.25%,"5,049,074"
"Oct 30, 2024",136.47,138.66,136.31,136.50,136.50,-0.93%,"3,010,462"
"Oct 29, 2024",135.33,138.35,135.24,137.78,137.78,1.47%,"2,871,886"
"Oct 28, 2024",136.30,137.30,135.40,135.78,135.78,0.89%,"3,260,682"
"Oct 25, 2024",133.38,135.28,133.17,134.58,134.58,1.38%,"2,552,060"
"Oct 24, 2024",133.55,133.75,131.66,132.75,132.75,0.63%,"2,678,040"
"Oct 23, 2024",135.00,136.20,131.27,131.92,131.92,-2.71%,"3,444,561"
"Oct 22, 2024",136.11,136.35,135.33,135.59,135.59,-1.17%,"2,408,385"
"Oct 21, 2024",135.66,137.99,135.13,137.19,137.19,0.54%,"2,900,530"
"Oct 18, 2024",136.81,136.89,135.16,136.45,136.45,0.32%,"2,391,131"
"Oct 17, 2024",135.70,136.65,135.11,136.02,136.02,0.64%,"3,813,990"
"Oct 16, 2024",134.73,137.40,134.32,135.15,135.15,1.41%,"3,691,540"
"Oct 15, 2024",133.51,134.00,132.30,133.27,133.27,-1.13%,"3,502,678"
"Oct 14, 2024",133.97,134.98,133.42,134.79,134.79,0.29%,"2,313,963"
"Oct 11, 2024",132.30,135.36,132.30,134.40,134.40,1.20%,"2,714,747"
"Oct 10, 2024",135.55,136.37,132.52,132.81,132.81,-1.98%,"3,060,026"
"Oct 9, 2024",133.40,135.76,132.84,135.49,135.49,2.26%,"3,731,800"
"Oct 8, 2024",130.15,134.43,130.15,132.50,132.50,1.74%,"3,304,421"
"Oct 7, 2024",129.09,131.31,128.77,130.23,130.23,0.29%,"2,847,769"
"Oct 4, 2024",128.42,129.93,127.27,129.85,129.85,3.64%,"2,988,440"
"Oct 3, 2024",124.60,125.56,123.58,125.29,125.29,-0.71%,"2,246,999"
"Oct 2, 2024",125.33,126.44,124.55,126.18,126.18,0.57%,"2,707,663"
"Oct 1, 2024",127.35,128.20,123.71,125.47,125.47,-1.06%,"3,895,531"
"Sep 30, 2024",127.32,128.23,125.92,126.81,126.81,-1.12%,"3,810,992"
"Sep 27, 2024",130.16,130.31,128.17,128.25,128.25,-0.77%,"2,525,697"
"Sep 26, 2024",132.71,133.34,129.15,129.25,129.25,-1.12%,"3,825,948"
"Sep 25, 2024",131.31,131.90,130.30,130.71,130.71,-0.59%,"2,310,696"
"Sep 24, 2024",130.58,131.67,129.59,131.48,131.48,1.90%,"4,189,105"
"Sep 23, 2024",131.50,131.64,128.90,129.03,129.03,-1.64%,"3,682,591"
"Sep 20, 2024",129.83,131.95,129.03,131.18,131.18,1.89%,"12,476,321"
"Sep 19, 2024",127.93,131.35,127.44,128.75,128.75,5.17%,"7,691,622"
"Sep 18, 2024",122.32,125.66,122.00,122.42,122.42,0.25%,"3,861,293"
"Sep 17, 2024",119.87,124.74,119.49,122.12,122.12,3.89%,"6,323,569"
"Sep 16, 2024",117.99,118.30,116.16,117.55,117.55,-0.17%,"3,229,853"
"Sep 13, 2024",117.75,119.21,117.15,117.75,117.75,0.33%,"3,514,203"
"Sep 12, 2024",116.33,117.38,115.05,117.36,117.36,1.21%,"3,076,184"
"Sep 11, 2024",115.09,116.17,112.55,115.96,115.96,0.73%,"3,644,976"
"Sep 10, 2024",117.01,117.41,112.86,115.12,115.12,-1.07%,"4,080,373"
"Sep 9, 2024",115.11,117.92,114.99,116.36,116.36,1.82%,"4,178,558"
