date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",99.91,100.62,98.83,100.06,100.06,0.37%,"4,050,708"
"Nov 22, 2024",98.62,99.80,98.03,99.69,99.69,1.12%,"1,569,642"
"Nov 21, 2024",95.66,98.78,95.52,98.59,98.59,3.01%,"1,923,688"
"Nov 20, 2024",95.83,96.03,94.00,95.71,95.71,0.02%,"2,890,219"
"Nov 19, 2024",96.09,96.59,95.28,95.69,95.69,-1.33%,"1,554,619"
"Nov 18, 2024",96.55,97.15,95.75,96.98,96.98,-4.76%,"2,255,789"
"Nov 15, 2024",100.54,102.37,100.54,101.83,96.84,1.78%,"2,727,138"
"Nov 14, 2024",101.36,102.11,99.64,100.05,95.15,-1.12%,"2,165,656"
"Nov 13, 2024",101.21,102.13,100.75,101.18,96.22,0.06%,"1,736,058"
"Nov 12, 2024",100.51,101.36,100.20,101.12,96.16,0.62%,"2,401,959"
"Nov 11, 2024",102.27,102.51,100.07,100.50,95.57,-1.33%,"2,131,682"
"Nov 8, 2024",102.45,103.17,101.00,101.85,96.86,2.05%,"1,887,176"
"Nov 7, 2024",101.86,102.16,99.72,99.80,94.91,-1.87%,"2,048,921"
"Nov 6, 2024",101.88,101.97,100.15,101.70,96.71,5.39%,"3,283,099"
"Nov 5, 2024",95.24,96.52,95.06,96.50,91.77,1.58%,"1,906,988"
"Nov 4, 2024",96.16,96.28,94.95,95.00,90.34,-1.06%,"2,293,361"
"Nov 1, 2024",98.57,99.34,95.86,96.02,91.31,-2.58%,"4,006,539"
"Oct 31, 2024",102.12,103.21,98.27,98.56,93.73,-6.26%,"3,438,397"
"Oct 30, 2024",104.65,105.76,104.00,105.14,99.99,0.32%,"1,727,380"
"Oct 29, 2024",105.93,106.63,104.68,104.80,99.66,-0.81%,"1,316,856"
"Oct 28, 2024",105.54,106.34,105.40,105.66,100.48,0.34%,"1,224,753"
"Oct 25, 2024",106.68,107.19,104.90,105.30,100.14,-1.63%,"1,490,458"
"Oct 24, 2024",107.33,107.89,106.84,107.04,101.79,0.04%,"1,467,516"
"Oct 23, 2024",107.58,107.91,106.37,107.00,101.75,-0.73%,"1,635,356"
"Oct 22, 2024",108.35,108.73,106.45,107.79,102.51,-0.65%,"1,078,369"
"Oct 21, 2024",108.53,109.61,107.96,108.50,103.18,-0.03%,"1,302,308"
"Oct 18, 2024",108.47,108.68,107.64,108.53,103.21,0.26%,"4,339,404"
"Oct 17, 2024",108.09,109.13,107.47,108.25,102.94,0.73%,"1,953,991"
"Oct 16, 2024",108.07,109.68,107.32,107.47,102.20,-0.55%,"1,696,177"
"Oct 15, 2024",111.17,111.34,107.98,108.06,102.76,-2.73%,"2,561,838"
"Oct 14, 2024",113.10,113.10,108.96,111.09,105.64,-2.89%,"2,676,982"
"Oct 11, 2024",114.62,115.06,114.00,114.40,108.79,0.44%,"1,452,446"
"Oct 10, 2024",115.72,116.41,113.12,113.90,108.32,0.72%,"1,352,158"
"Oct 9, 2024",109.53,113.25,109.37,113.09,107.55,2.89%,"2,072,506"
"Oct 8, 2024",108.70,110.69,108.70,109.91,104.52,1.97%,"2,177,845"
"Oct 7, 2024",115.25,116.47,106.71,107.79,102.51,-6.16%,"3,264,614"
"Oct 4, 2024",112.19,115.03,112.00,114.86,109.23,1.78%,"1,293,413"
"Oct 3, 2024",113.38,113.87,112.75,112.85,107.32,-0.78%,"891,059"
"Oct 2, 2024",113.51,114.45,113.10,113.74,108.16,0.20%,"961,455"
"Oct 1, 2024",111.79,114.05,111.38,113.51,107.95,1.46%,"1,238,191"
"Sep 30, 2024",113.37,113.53,110.05,111.88,106.40,-1.35%,"2,391,389"
"Sep 27, 2024",112.73,113.67,112.47,113.41,107.85,0.75%,"1,356,217"
"Sep 26, 2024",112.23,113.65,112.09,112.57,107.05,-0.44%,"1,440,969"
"Sep 25, 2024",113.69,113.91,112.62,113.07,107.53,-0.25%,"1,052,811"
"Sep 24, 2024",113.66,114.19,112.79,113.35,107.79,-0.27%,"1,091,094"
"Sep 23, 2024",113.61,114.00,113.20,113.66,108.09,0.37%,"1,201,041"
"Sep 20, 2024",111.55,113.42,110.66,113.24,107.69,1.63%,"3,369,187"
"Sep 19, 2024",113.08,113.32,111.02,111.42,105.96,-1.43%,"1,770,122"
"Sep 18, 2024",114.19,114.27,112.40,113.04,107.50,-0.81%,"891,510"
"Sep 17, 2024",114.11,114.69,113.58,113.96,108.37,-0.23%,"991,041"
"Sep 16, 2024",112.95,114.39,112.95,114.22,108.62,1.96%,"996,950"
"Sep 13, 2024",110.75,112.19,110.38,112.02,106.53,1.60%,"1,487,097"
"Sep 12, 2024",109.53,110.33,109.31,110.26,104.85,0.46%,"1,198,899"
"Sep 11, 2024",111.26,111.87,108.77,109.75,104.37,-1.37%,"1,308,412"
"Sep 10, 2024",111.75,112.99,111.06,111.28,105.82,-0.40%,"1,118,154"
"Sep 9, 2024",111.20,112.49,110.58,111.73,106.25,1.16%,"1,457,277"
"Sep 6, 2024",112.00,112.86,110.27,110.45,105.04,-1.55%,"1,211,501"
"Sep 5, 2024",113.21,113.62,111.38,112.19,106.69,-1.00%,"1,551,559"
"Sep 4, 2024",114.00,114.65,112.81,113.32,107.76,0.06%,"1,124,829"
"Sep 3, 2024",113.09,114.28,112.62,113.25,107.70,0.14%,"1,846,630"
"Aug 30, 2024",112.97,113.66,112.16,113.09,107.55,0.25%,"2,739,377"
"Aug 29, 2024",111.28,112.97,110.28,112.81,107.28,1.62%,"1,341,262"
"Aug 28, 2024",111.10,111.56,110.13,111.01,105.57,0.30%,"990,552"
"Aug 27, 2024",109.77,110.81,109.66,110.68,105.25,1.09%,"1,446,729"
"Aug 26, 2024",108.99,110.12,108.84,109.49,104.12,0.43%,"1,228,005"
"Aug 23, 2024",106.96,109.15,106.34,109.02,103.68,2.36%,"1,514,536"
"Aug 22, 2024",104.75,106.54,104.75,106.51,101.29,1.83%,"1,144,956"
"Aug 21, 2024",103.20,104.72,102.97,104.60,99.47,1.75%,"1,013,401"
"Aug 20, 2024",102.97,103.29,102.28,102.80,97.76,-0.19%,"700,724"
"Aug 19, 2024",102.54,103.47,102.36,103.00,97.95,0.44%,"865,195"
"Aug 16, 2024",102.31,102.90,101.53,102.55,97.52,0.89%,"801,677"
"Aug 15, 2024",101.43,102.35,100.95,101.65,96.67,0.74%,"1,076,510"
"Aug 14, 2024",97.99,101.04,97.99,100.90,95.95,3.24%,"1,239,143"
"Aug 13, 2024",98.56,98.56,96.81,97.73,92.94,-0.24%,"848,594"
"Aug 12, 2024",98.43,99.28,97.78,97.97,93.17,-0.83%,"740,707"
"Aug 9, 2024",98.40,98.95,97.87,98.79,93.95,0.40%,"737,449"
"Aug 8, 2024",96.43,98.71,96.15,98.40,93.58,1.65%,"1,091,827"
"Aug 7, 2024",96.37,97.97,96.35,96.80,92.05,0.17%,"1,537,303"
"Aug 6, 2024",96.22,97.67,96.22,96.64,91.90,0.60%,"1,402,003"
"Aug 5, 2024",100.33,100.57,94.41,96.06,91.35,-2.65%,"2,599,979"
"Aug 2, 2024",96.95,99.39,96.52,98.67,93.83,1.62%,"3,584,653"
"Aug 1, 2024",96.18,97.22,94.08,97.10,92.34,1.38%,"2,039,986"
"Jul 31, 2024",100.17,100.57,94.77,95.78,91.08,-2.46%,"2,449,662"
"Jul 30, 2024",97.57,99.08,97.50,98.20,93.39,1.23%,"1,506,017"
"Jul 29, 2024",96.91,97.81,96.65,97.01,92.25,0.10%,"1,131,101"
"Jul 26, 2024",94.89,97.87,94.56,96.91,92.16,2.59%,"1,108,464"
"Jul 25, 2024",96.72,96.86,94.17,94.47,89.83,-2.01%,"1,366,761"
"Jul 24, 2024",97.00,97.53,96.24,96.40,91.67,0.18%,"1,002,374"
"Jul 23, 2024",97.12,97.42,96.07,96.23,91.51,-0.35%,"605,328"
"Jul 22, 2024",96.13,97.23,95.79,96.57,91.84,0.49%,"972,987"
"Jul 19, 2024",98.62,98.82,95.78,96.10,91.39,-2.18%,"1,029,054"
"Jul 18, 2024",97.84,99.20,97.69,98.24,93.42,0.38%,"912,290"
"Jul 17, 2024",97.94,98.63,97.48,97.87,93.07,0.78%,"1,049,224"
"Jul 16, 2024",97.16,98.27,96.86,97.11,92.35,-0.05%,"1,100,037"
"Jul 15, 2024",96.55,98.28,96.51,97.16,92.40,0.68%,"1,271,360"
"Jul 12, 2024",97.31,97.64,96.44,96.50,91.77,-0.52%,"1,557,504"
"Jul 11, 2024",97.40,97.57,95.71,97.00,92.24,-0.51%,"1,702,311"
"Jul 10, 2024",98.20,98.39,97.32,97.50,92.72,-0.51%,"1,047,915"
"Jul 9, 2024",98.17,99.05,97.93,98.00,93.20,-0.26%,"1,460,668"
"Jul 8, 2024",98.57,99.57,98.24,98.26,93.44,0.11%,"1,335,144"
