date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",52.95,53.64,52.58,53.01,53.01,-0.23%,"4,482,110"
"Nov 22, 2024",53.08,53.46,52.77,53.13,53.13,-0.11%,"2,329,945"
"Nov 21, 2024",53.05,53.63,52.87,53.19,53.19,-0.62%,"2,943,452"
"Nov 20, 2024",53.23,53.55,52.78,53.52,53.02,1.00%,"2,317,534"
"Nov 19, 2024",52.58,53.82,52.24,52.99,52.50,0.53%,"2,187,245"
"Nov 18, 2024",53.49,53.76,52.67,52.71,52.22,-1.20%,"2,613,439"
"Nov 15, 2024",52.71,53.88,52.67,53.35,52.85,1.60%,"3,556,664"
"Nov 14, 2024",52.22,52.79,51.83,52.51,52.02,1.23%,"2,191,604"
"Nov 13, 2024",51.37,52.23,50.97,51.87,51.39,0.86%,"4,003,214"
"Nov 12, 2024",51.80,52.09,51.36,51.43,50.95,-1.78%,"2,661,556"
"Nov 11, 2024",52.38,52.94,52.09,52.36,51.87,0.44%,"2,480,741"
"Nov 8, 2024",52.11,52.37,51.60,52.13,51.65,-0.69%,"3,482,864"
"Nov 7, 2024",53.18,53.22,51.92,52.49,52.00,-1.45%,"4,173,790"
"Nov 6, 2024",52.35,53.66,51.48,53.26,52.76,2.42%,"5,034,342"
"Nov 5, 2024",50.50,52.01,48.92,52.00,51.52,-5.97%,"9,049,814"
"Nov 4, 2024",54.81,55.56,54.78,55.30,54.79,1.21%,"2,459,354"
"Nov 1, 2024",55.46,55.75,54.57,54.64,54.13,-1.03%,"2,234,915"
"Oct 31, 2024",55.75,56.04,55.10,55.21,54.70,-0.58%,"5,370,167"
"Oct 30, 2024",56.40,57.00,55.47,55.53,55.01,-1.40%,"2,705,223"
"Oct 29, 2024",56.92,57.76,56.30,56.32,55.80,-1.61%,"2,986,807"
"Oct 28, 2024",56.50,57.45,56.45,57.24,56.71,1.20%,"1,878,736"
"Oct 25, 2024",56.76,57.18,56.40,56.56,56.03,0.11%,"1,815,326"
