date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",227.43,230.55,226.25,227.44,227.44,0.57%,"1,260,819"
"Nov 22, 2024",225.12,227.16,224.47,226.15,226.15,0.41%,"352,368"
"Nov 21, 2024",221.37,225.47,220.72,225.22,225.22,1.98%,"295,847"
"Nov 20, 2024",221.18,222.67,219.00,220.85,220.85,0.77%,"529,911"
"Nov 19, 2024",219.46,220.46,217.20,219.17,219.17,-1.10%,"360,114"
"Nov 18, 2024",218.19,221.94,217.79,221.60,221.60,1.27%,"502,330"
"Nov 15, 2024",216.05,219.06,215.53,218.82,218.82,1.55%,"488,411"
"Nov 14, 2024",212.97,215.87,212.07,215.48,215.48,1.05%,"876,735"
"Nov 13, 2024",211.73,214.50,210.99,213.24,213.24,0.45%,"552,291"
"Nov 12, 2024",210.67,212.81,209.30,212.29,212.29,0.74%,"290,423"
"Nov 11, 2024",212.26,214.82,210.28,210.73,210.73,0.64%,"339,141"
"Nov 8, 2024",207.70,209.73,205.30,209.39,209.39,1.72%,"303,638"
"Nov 7, 2024",207.30,208.67,204.81,205.84,205.84,-0.26%,"310,553"
"Nov 6, 2024",196.84,207.24,194.88,206.37,206.37,6.88%,"692,513"
"Nov 5, 2024",190.73,193.34,189.40,193.09,193.09,0.99%,"390,069"
"Nov 4, 2024",191.53,192.58,190.06,191.19,191.19,-0.30%,"243,792"
"Nov 1, 2024",191.86,194.65,191.55,191.76,191.76,0.03%,"244,377"
"Oct 31, 2024",194.55,196.75,191.64,191.70,191.70,-1.73%,"314,855"
"Oct 30, 2024",194.15,196.74,193.50,195.07,195.07,0.79%,"304,085"
"Oct 29, 2024",193.89,194.77,192.86,193.55,193.55,-0.35%,"327,081"
"Oct 28, 2024",193.21,194.99,192.72,194.23,194.23,1.28%,"223,035"
"Oct 25, 2024",195.01,195.57,191.07,191.77,191.77,-1.52%,"209,294"
"Oct 24, 2024",194.99,195.27,193.00,194.73,194.73,0.53%,"243,354"
"Oct 23, 2024",193.69,194.65,192.17,193.71,193.71,-0.02%,"188,263"
"Oct 22, 2024",193.55,194.12,190.34,193.74,193.74,-0.32%,"224,550"
"Oct 21, 2024",196.89,197.07,194.26,194.37,194.37,-1.58%,"208,445"
"Oct 18, 2024",198.71,198.80,196.99,197.50,197.50,-0.33%,"294,801"
"Oct 17, 2024",196.92,198.77,196.26,198.16,198.16,0.66%,"359,780"
"Oct 16, 2024",194.67,197.69,194.59,196.86,196.86,1.06%,"283,221"
"Oct 15, 2024",193.58,197.39,192.90,194.79,194.79,1.00%,"286,234"
"Oct 14, 2024",191.85,193.19,190.20,192.87,192.87,0.51%,"207,887"
"Oct 11, 2024",193.52,195.00,191.13,191.89,191.89,0.82%,"379,111"
"Oct 10, 2024",192.55,193.67,189.85,190.33,190.33,-0.13%,"271,297"
"Oct 9, 2024",189.53,191.61,188.79,190.57,190.57,0.52%,"303,505"
"Oct 8, 2024",187.24,190.36,186.95,189.58,189.58,1.60%,"333,478"
"Oct 7, 2024",196.19,197.16,186.24,186.60,186.60,-5.53%,"544,889"
"Oct 4, 2024",197.02,198.31,196.47,197.53,197.53,0.54%,"262,331"
"Oct 3, 2024",199.66,199.66,196.13,196.47,196.47,-1.60%,"388,665"
"Oct 2, 2024",198.73,200.63,197.73,199.66,199.66,0.22%,"298,916"
"Oct 1, 2024",198.52,200.03,197.40,199.22,199.22,0.18%,"322,038"
"Sep 30, 2024",200.26,201.07,196.08,198.86,198.86,-0.55%,"409,124"
"Sep 27, 2024",199.50,201.55,198.50,199.95,199.95,0.48%,"367,047"
"Sep 26, 2024",196.47,200.00,196.40,199.00,199.00,1.25%,"287,042"
"Sep 25, 2024",197.90,197.97,196.19,196.54,196.54,-0.39%,"236,536"
"Sep 24, 2024",197.55,198.48,195.85,197.31,197.31,-0.40%,"317,539"
"Sep 23, 2024",195.00,198.62,194.62,198.10,198.10,1.97%,"382,121"
"Sep 20, 2024",194.10,195.45,193.18,194.27,194.27,0.13%,"771,230"
"Sep 19, 2024",195.10,195.56,192.37,194.02,194.02,0.10%,"322,358"
"Sep 18, 2024",196.17,196.99,193.77,193.82,193.82,-0.98%,"197,184"
"Sep 17, 2024",193.23,195.79,192.67,195.74,195.74,1.46%,"249,664"
"Sep 16, 2024",193.49,194.87,192.61,192.92,192.92,0.35%,"256,448"
"Sep 13, 2024",191.91,192.95,191.10,192.24,192.24,0.49%,"350,345"
"Sep 12, 2024",189.03,191.91,188.65,191.31,191.31,1.05%,"243,502"
"Sep 11, 2024",190.39,191.65,186.64,189.32,189.32,-1.28%,"362,279"
"Sep 10, 2024",193.72,194.17,191.25,191.77,191.77,-0.77%,"256,539"
"Sep 9, 2024",193.76,195.94,192.63,193.26,193.26,0.35%,"551,165"
"Sep 6, 2024",194.58,196.38,192.07,192.58,192.58,-1.17%,"365,547"
"Sep 5, 2024",197.89,197.89,193.68,194.86,194.86,-1.18%,"501,746"
"Sep 4, 2024",197.53,199.50,196.75,197.18,197.18,0.20%,"295,499"
"Sep 3, 2024",196.38,197.68,195.92,196.79,196.79,0.22%,"339,692"
"Aug 30, 2024",195.57,196.76,194.60,196.35,195.63,0.51%,"508,233"
"Aug 29, 2024",194.51,197.27,193.15,195.36,194.65,0.70%,"249,416"
"Aug 28, 2024",194.27,195.50,192.04,194.00,193.29,-0.05%,"407,663"
"Aug 27, 2024",192.88,194.51,191.97,194.10,193.39,0.70%,"236,780"
"Aug 26, 2024",193.57,194.75,192.40,192.76,192.06,-0.13%,"227,362"
"Aug 23, 2024",190.81,193.69,189.78,193.01,192.31,1.72%,"291,015"
"Aug 22, 2024",188.00,190.24,187.15,189.75,189.06,-0.04%,"236,893"
"Aug 21, 2024",190.76,190.82,187.65,189.83,189.14,0.02%,"369,914"
"Aug 20, 2024",188.78,190.82,188.31,189.79,189.10,0.55%,"443,454"
"Aug 19, 2024",186.80,189.77,186.80,188.75,188.06,0.79%,"345,364"
"Aug 16, 2024",184.60,187.45,183.36,187.27,186.59,1.74%,"282,375"
"Aug 15, 2024",187.00,187.59,183.08,184.06,183.39,-1.03%,"547,943"
"Aug 14, 2024",184.38,186.31,183.97,185.98,185.30,0.90%,"391,026"
"Aug 13, 2024",179.28,184.66,178.83,184.32,183.65,3.28%,"502,493"
"Aug 12, 2024",177.90,178.87,177.43,178.46,177.81,0.60%,"380,075"
"Aug 9, 2024",170.70,177.59,170.39,177.39,176.74,4.18%,"389,168"
"Aug 8, 2024",170.32,171.45,169.38,170.27,169.65,0.05%,"316,957"
"Aug 7, 2024",173.14,175.17,164.63,170.19,169.57,0.01%,"547,241"
"Aug 6, 2024",169.58,171.60,168.30,170.17,169.55,0.52%,"370,949"
"Aug 5, 2024",173.98,173.98,166.79,169.29,168.67,-2.29%,"279,377"
"Aug 2, 2024",173.91,176.23,171.46,173.25,172.62,-0.74%,"387,483"
"Aug 1, 2024",175.90,176.50,172.48,174.54,173.90,-0.19%,"248,220"
"Jul 31, 2024",175.55,176.48,174.44,174.87,174.23,-0.55%,"262,285"
"Jul 30, 2024",173.45,176.56,173.13,175.84,175.20,1.85%,"240,240"
"Jul 29, 2024",174.17,175.00,172.47,172.65,172.02,-0.23%,"214,211"
"Jul 26, 2024",170.83,173.91,169.26,173.05,172.42,2.04%,"232,976"
"Jul 25, 2024",170.53,172.83,169.38,169.59,168.97,-0.17%,"278,370"
"Jul 24, 2024",173.21,173.64,169.65,169.88,169.26,-1.49%,"218,803"
"Jul 23, 2024",169.68,172.69,169.12,172.45,171.82,1.79%,"319,782"
"Jul 22, 2024",169.24,170.89,168.65,169.41,168.79,-0.22%,"299,822"
"Jul 19, 2024",172.81,172.81,168.65,169.79,169.17,-1.47%,"386,728"
"Jul 18, 2024",171.78,176.68,171.78,172.32,171.69,0.24%,"292,593"
"Jul 17, 2024",170.46,174.13,170.21,171.90,171.27,0.98%,"395,237"
"Jul 16, 2024",170.46,171.82,169.59,170.24,169.62,-0.51%,"322,531"
"Jul 15, 2024",168.73,171.92,167.75,171.11,170.49,1.76%,"315,003"
"Jul 12, 2024",167.31,169.17,165.67,168.15,167.54,0.97%,"300,540"
"Jul 11, 2024",165.02,166.66,164.94,166.54,165.93,1.06%,"245,977"
"Jul 10, 2024",162.12,164.87,162.12,164.80,164.20,1.97%,"282,682"
"Jul 9, 2024",161.19,163.44,160.33,161.61,161.02,0.13%,"335,670"
"Jul 8, 2024",160.12,163.21,160.12,161.40,160.81,0.07%,"521,068"
