date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",110.18,111.70,108.70,109.98,109.98,1.48%,"2,087,033"
"Nov 22, 2024",106.89,109.48,104.55,108.38,108.38,-0.55%,"1,820,169"
"Nov 21, 2024",107.01,110.07,106.47,108.98,108.98,-0.52%,"1,598,004"
"Nov 20, 2024",105.95,110.18,105.95,109.55,109.55,2.91%,"2,033,799"
"Nov 19, 2024",107.00,107.75,103.79,106.45,106.45,2.33%,"2,168,932"
"Nov 18, 2024",103.13,104.92,102.23,104.03,104.03,0.48%,"1,698,893"
"Nov 15, 2024",102.00,103.63,99.58,103.53,103.53,1.40%,"2,498,086"
"Nov 14, 2024",108.39,109.16,101.22,102.10,102.10,-5.63%,"2,458,255"
"Nov 13, 2024",108.26,111.39,107.40,108.19,108.19,5.24%,"3,822,242"
"Nov 12, 2024",106.59,108.13,102.71,102.80,102.80,-6.96%,"2,359,369"
"Nov 11, 2024",104.68,111.59,103.91,110.49,110.49,9.57%,"4,581,900"
"Nov 8, 2024",98.78,100.92,97.07,100.84,100.84,0.91%,"2,287,059"
"Nov 7, 2024",97.40,103.86,94.39,99.93,99.93,3.47%,"3,377,669"
"Nov 6, 2024",96.00,97.37,93.30,96.58,96.58,-3.21%,"3,228,346"
"Nov 5, 2024",100.04,100.44,98.30,99.78,99.78,-0.79%,"1,548,494"
"Nov 4, 2024",99.50,102.60,98.82,100.57,100.57,2.37%,"2,339,601"
"Nov 1, 2024",95.00,99.40,94.38,98.24,98.24,3.71%,"2,431,111"
"Oct 31, 2024",95.52,96.69,94.16,94.73,94.73,-0.83%,"2,197,640"
"Oct 30, 2024",96.41,99.00,95.40,95.52,95.52,-1.17%,"1,318,213"
"Oct 29, 2024",97.35,99.38,96.62,96.65,96.65,-1.52%,"1,409,478"
"Oct 28, 2024",93.90,99.50,93.67,98.14,98.14,4.95%,"2,383,604"
"Oct 25, 2024",95.24,96.20,93.07,93.51,93.51,-1.72%,"2,046,350"
"Oct 24, 2024",95.45,96.10,93.14,95.15,95.15,1.27%,"1,422,060"
"Oct 23, 2024",95.04,96.31,93.44,93.96,93.96,-2.59%,"1,958,742"
"Oct 22, 2024",93.67,96.88,92.94,96.46,96.46,2.79%,"2,363,602"
"Oct 21, 2024",94.50,94.95,92.99,93.84,93.84,-1.37%,"2,276,748"
"Oct 18, 2024",96.71,97.64,94.45,95.14,95.14,0.50%,"2,082,010"
"Oct 17, 2024",97.49,97.81,93.20,94.67,94.67,-3.64%,"2,992,341"
"Oct 16, 2024",97.84,99.67,96.63,98.25,98.25,2.62%,"1,875,877"
"Oct 15, 2024",97.60,100.08,95.57,95.74,95.74,-3.88%,"2,645,413"
"Oct 14, 2024",101.17,102.00,98.00,99.60,99.60,-2.37%,"2,352,781"
"Oct 11, 2024",100.65,103.42,100.33,102.02,102.02,-0.91%,"2,426,032"
"Oct 10, 2024",101.31,104.68,101.11,102.96,102.96,1.02%,"1,840,659"
"Oct 9, 2024",102.19,103.38,99.76,101.92,101.92,1.66%,"3,759,134"
"Oct 8, 2024",99.85,101.50,98.95,100.26,100.26,-4.03%,"4,294,959"
"Oct 7, 2024",99.88,105.24,99.59,104.47,104.47,2.33%,"4,527,155"
"Oct 4, 2024",99.20,102.10,98.40,102.09,102.09,8.25%,"4,790,855"
"Oct 3, 2024",92.05,95.00,91.90,94.31,94.31,0.26%,"1,785,640"
"Oct 2, 2024",94.39,95.63,92.56,94.07,94.07,-0.27%,"1,271,390"
"Oct 1, 2024",94.16,94.95,92.71,94.32,94.32,-0.41%,"1,269,896"
"Sep 30, 2024",96.19,98.10,94.20,94.71,94.71,-1.40%,"1,743,351"
"Sep 27, 2024",97.20,98.25,94.82,96.05,96.05,0.92%,"2,592,845"
"Sep 26, 2024",92.00,95.53,90.51,95.17,95.17,9.92%,"4,339,616"
"Sep 25, 2024",90.62,90.84,86.45,86.58,86.58,-4.29%,"2,170,517"
"Sep 24, 2024",92.70,94.85,90.46,90.46,90.46,1.97%,"3,650,486"
"Sep 23, 2024",87.33,90.27,85.93,88.71,88.71,3.12%,"2,005,311"
"Sep 20, 2024",88.47,88.97,85.45,86.03,86.03,-3.69%,"4,531,530"
"Sep 19, 2024",90.20,90.37,87.84,89.33,89.33,3.16%,"1,976,211"
"Sep 18, 2024",90.56,90.74,86.10,86.59,86.59,-3.60%,"3,200,630"
"Sep 17, 2024",90.51,91.90,89.76,89.82,89.82,0.53%,"1,925,607"
"Sep 16, 2024",87.99,90.12,86.97,89.35,89.35,2.18%,"1,566,367"
"Sep 13, 2024",88.90,89.81,85.87,87.44,87.44,-1.20%,"2,181,681"
"Sep 12, 2024",89.30,89.87,86.74,88.50,88.09,-0.90%,"2,865,108"
"Sep 11, 2024",90.21,91.81,84.75,89.30,88.89,13.58%,"6,391,826"
"Sep 10, 2024",78.01,78.69,75.44,78.62,78.26,0.27%,"2,058,255"
"Sep 9, 2024",78.00,79.76,76.77,78.41,78.05,1.96%,"2,238,826"
"Sep 6, 2024",81.24,81.46,75.36,76.90,76.55,-6.90%,"3,495,879"
"Sep 5, 2024",84.82,85.21,82.51,82.60,82.22,-2.54%,"1,421,643"
"Sep 4, 2024",83.13,87.19,83.13,84.75,84.36,0.75%,"2,147,389"
"Sep 3, 2024",87.30,88.00,82.73,84.12,83.73,-6.79%,"2,748,059"
"Aug 30, 2024",93.00,94.69,89.53,90.25,89.83,-1.53%,"2,063,275"
"Aug 29, 2024",88.96,93.00,86.79,91.65,91.23,4.15%,"1,875,089"
"Aug 28, 2024",88.05,88.67,87.55,88.00,87.59,-1.10%,"1,802,066"
"Aug 27, 2024",88.98,89.74,88.54,88.98,88.57,0.04%,"1,165,672"
"Aug 26, 2024",91.26,91.68,88.38,88.94,88.53,-1.72%,"2,020,231"
"Aug 23, 2024",87.83,90.83,87.00,90.50,90.08,4.17%,"2,203,776"
"Aug 22, 2024",87.89,87.89,85.59,86.88,86.48,-1.94%,"2,588,302"
"Aug 21, 2024",85.60,88.85,84.91,88.60,88.19,5.20%,"3,287,691"
"Aug 20, 2024",82.80,85.85,82.60,84.22,83.83,1.74%,"3,463,446"
"Aug 19, 2024",79.75,83.37,79.24,82.78,82.40,4.30%,"2,947,299"
"Aug 16, 2024",78.95,79.88,77.49,79.37,79.00,0.29%,"2,921,334"
"Aug 15, 2024",74.15,79.31,73.59,79.14,78.78,8.63%,"6,098,796"
"Aug 14, 2024",77.00,77.00,71.97,72.85,72.51,-5.66%,"4,528,414"
"Aug 13, 2024",76.90,77.93,75.46,77.22,76.86,1.61%,"3,969,296"
"Aug 12, 2024",81.58,81.66,74.82,76.00,75.65,-6.92%,"4,590,155"
"Aug 9, 2024",82.27,82.61,80.00,81.65,81.27,-0.22%,"2,165,826"
"Aug 8, 2024",80.00,83.31,79.09,81.83,81.45,3.50%,"3,296,771"
"Aug 7, 2024",82.24,84.47,79.00,79.06,78.70,-0.59%,"3,367,683"
"Aug 6, 2024",84.05,84.11,79.46,79.53,79.16,-4.78%,"3,707,779"
"Aug 5, 2024",80.30,85.44,79.90,83.52,83.14,-3.99%,"5,285,403"
"Aug 2, 2024",88.79,88.79,82.25,86.99,86.59,-6.63%,"5,807,206"
"Aug 1, 2024",94.00,99.47,91.88,93.17,92.74,-0.53%,"4,807,484"
"Jul 31, 2024",91.92,95.95,91.77,93.67,93.24,1.25%,"5,756,957"
"Jul 30, 2024",91.03,93.16,90.48,92.51,92.08,0.92%,"2,449,371"
"Jul 29, 2024",91.41,92.45,90.28,91.67,91.25,-1.22%,"1,915,077"
"Jul 26, 2024",92.54,93.16,90.60,92.80,92.37,1.98%,"1,868,593"
"Jul 25, 2024",90.55,94.72,90.20,91.00,90.58,0.13%,"2,776,553"
"Jul 24, 2024",91.00,93.17,90.75,90.88,90.46,-0.66%,"2,100,614"
"Jul 23, 2024",92.38,93.04,91.06,91.48,91.06,-2.23%,"1,896,476"
"Jul 22, 2024",93.13,93.99,91.40,93.57,93.14,1.61%,"2,075,715"
"Jul 19, 2024",92.74,92.93,90.02,92.09,91.67,-1.83%,"2,235,708"
"Jul 18, 2024",94.61,98.22,93.45,93.81,93.38,-1.34%,"2,324,922"
"Jul 17, 2024",97.31,99.26,92.65,95.08,94.64,-2.69%,"2,469,028"
"Jul 16, 2024",95.36,98.09,94.27,97.71,97.26,2.32%,"2,586,747"
"Jul 15, 2024",93.60,96.95,93.12,95.49,95.05,-2.43%,"2,640,030"
"Jul 12, 2024",98.98,99.70,96.83,97.87,97.42,-0.08%,"1,968,423"
"Jul 11, 2024",98.36,100.20,96.91,97.95,97.50,1.08%,"2,708,662"
"Jul 10, 2024",91.04,97.30,90.75,96.90,96.45,7.11%,"4,153,877"
"Jul 9, 2024",96.85,98.02,90.32,90.47,90.05,-8.75%,"6,427,701"
"Jul 8, 2024",99.15,101.65,99.11,99.15,98.69,0.81%,"2,194,027"
