date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",230.00,241.15,228.52,240.52,240.52,6.48%,"1,393,585"
"Nov 22, 2024",226.30,230.00,216.61,225.89,225.89,-1.02%,"832,907"
"Nov 21, 2024",225.00,229.29,224.43,228.21,228.21,1.94%,"475,059"
"Nov 20, 2024",221.00,224.24,219.00,223.87,223.87,0.58%,"529,015"
"Nov 19, 2024",226.69,227.62,221.56,222.58,222.58,-3.18%,"623,971"
"Nov 18, 2024",223.83,231.86,223.19,229.90,229.90,2.78%,"940,290"
"Nov 15, 2024",223.30,229.30,221.20,223.69,223.69,0.92%,"1,074,011"
"Nov 14, 2024",215.59,225.01,213.37,221.64,221.64,3.07%,"926,200"
"Nov 13, 2024",217.67,219.38,213.18,215.03,215.03,-1.85%,"594,114"
"Nov 12, 2024",223.35,225.41,218.79,219.09,219.09,-2.73%,"570,108"
"Nov 11, 2024",223.96,229.00,223.27,225.24,225.24,2.15%,"666,063"
"Nov 8, 2024",220.94,224.16,216.58,220.51,220.51,-0.75%,"843,952"
"Nov 7, 2024",224.91,224.91,219.77,222.18,222.18,-1.19%,"959,183"
"Nov 6, 2024",222.17,225.09,215.19,224.85,224.85,5.99%,"1,179,421"
"Nov 5, 2024",208.55,213.26,206.28,212.15,212.15,0.65%,"651,470"
"Nov 4, 2024",208.97,216.60,207.38,210.78,210.78,1.05%,"730,706"
"Nov 1, 2024",204.81,209.31,204.77,208.58,208.58,1.73%,"868,939"
"Oct 31, 2024",210.65,211.76,204.93,205.03,205.03,-2.76%,"1,032,366"
"Oct 30, 2024",210.44,214.85,210.28,210.86,210.86,-0.90%,"825,496"
"Oct 29, 2024",207.06,217.50,205.83,212.78,212.78,-1.40%,"1,070,230"
"Oct 28, 2024",219.69,222.83,215.73,215.80,215.80,-1.60%,"791,552"
"Oct 25, 2024",222.50,226.72,218.48,219.30,219.30,1.33%,"1,145,141"
"Oct 24, 2024",214.48,226.85,213.00,216.42,216.42,4.22%,"2,032,166"
"Oct 23, 2024",208.29,210.35,206.12,207.66,207.66,-1.49%,"1,457,058"
"Oct 22, 2024",212.55,213.41,209.39,210.81,210.81,-2.66%,"1,017,394"
"Oct 21, 2024",219.47,220.00,215.24,216.56,216.56,-1.43%,"768,087"
"Oct 18, 2024",217.42,219.71,215.18,219.70,219.70,1.70%,"828,386"
"Oct 17, 2024",217.97,218.67,214.92,216.02,216.02,-0.01%,"845,832"
"Oct 16, 2024",219.54,219.54,214.26,216.05,216.05,-1.41%,"1,499,086"
"Oct 15, 2024",220.66,223.38,217.78,219.15,219.15,-0.96%,"934,876"
"Oct 14, 2024",222.68,224.43,219.91,221.27,221.27,-0.35%,"846,662"
"Oct 11, 2024",226.78,227.18,218.11,222.04,222.04,-3.31%,"1,311,849"
"Oct 10, 2024",230.79,233.11,228.63,229.65,229.65,-1.77%,"671,264"
"Oct 9, 2024",233.98,234.17,229.37,233.79,233.79,-0.12%,"500,875"
"Oct 8, 2024",235.04,236.50,231.77,234.06,234.06,-0.34%,"447,521"
"Oct 7, 2024",239.98,240.00,232.30,234.85,234.85,-2.69%,"421,285"
"Oct 4, 2024",242.39,242.88,235.74,241.35,241.35,1.85%,"466,500"
"Oct 3, 2024",237.70,239.73,235.19,236.97,236.97,-0.46%,"598,058"
"Oct 2, 2024",241.08,242.56,234.70,238.06,238.06,-2.97%,"550,427"
"Oct 1, 2024",254.85,256.22,244.12,245.35,245.35,-3.53%,"415,450"
"Sep 30, 2024",253.21,255.42,250.44,254.32,254.32,-0.19%,"485,940"
"Sep 27, 2024",251.97,259.01,249.74,254.81,254.81,2.14%,"708,255"
"Sep 26, 2024",245.25,253.82,243.80,249.46,249.46,2.89%,"881,575"
"Sep 25, 2024",250.04,250.04,242.17,242.45,242.45,-2.63%,"464,591"
"Sep 24, 2024",255.61,260.35,246.90,249.01,249.01,-1.64%,"673,097"
"Sep 23, 2024",254.35,257.18,252.00,253.16,253.16,0.12%,"498,686"
"Sep 20, 2024",254.74,255.03,248.94,252.85,252.85,-1.68%,"862,355"
"Sep 19, 2024",259.99,260.88,256.48,257.17,257.17,1.64%,"514,010"
"Sep 18, 2024",253.41,262.87,249.31,253.01,253.01,-0.06%,"912,530"
"Sep 17, 2024",252.62,259.52,251.10,253.16,253.16,1.44%,"855,659"
"Sep 16, 2024",244.85,250.46,243.69,249.56,249.56,2.39%,"897,024"
"Sep 13, 2024",230.22,243.96,230.22,243.73,243.73,6.50%,"887,463"
"Sep 12, 2024",226.09,230.33,221.86,228.86,228.86,1.65%,"360,999"
"Sep 11, 2024",225.77,226.07,219.41,225.15,225.15,-0.88%,"663,773"
"Sep 10, 2024",221.45,227.85,218.56,227.15,227.15,2.61%,"427,871"
"Sep 9, 2024",222.70,229.56,219.68,221.38,221.38,0.10%,"620,627"
"Sep 6, 2024",226.99,228.51,218.25,221.15,221.15,-2.37%,"635,768"
"Sep 5, 2024",222.41,228.27,218.91,226.52,226.52,1.88%,"570,253"
"Sep 4, 2024",224.25,227.06,221.57,222.34,222.34,-1.84%,"740,769"
"Sep 3, 2024",234.23,238.76,226.19,226.50,226.50,-4.52%,"508,165"
"Aug 30, 2024",236.45,240.75,234.44,237.22,237.22,0.88%,"493,501"
"Aug 29, 2024",234.27,238.00,232.40,235.15,235.15,1.83%,"356,798"
"Aug 28, 2024",234.17,235.04,228.88,230.93,230.93,-2.26%,"563,570"
"Aug 27, 2024",231.22,238.96,229.77,236.28,236.28,2.00%,"602,731"
"Aug 26, 2024",233.97,233.97,228.65,231.65,231.65,-0.99%,"631,371"
"Aug 23, 2024",230.99,236.04,226.52,233.97,233.97,2.31%,"549,901"
"Aug 22, 2024",234.19,234.67,228.16,228.69,228.69,-2.74%,"691,763"
"Aug 21, 2024",234.22,235.44,231.19,235.13,235.13,0.81%,"460,672"
"Aug 20, 2024",237.50,242.14,232.73,233.23,233.23,-2.82%,"692,861"
"Aug 19, 2024",238.91,243.21,234.29,240.01,240.01,-0.14%,"650,395"
"Aug 16, 2024",233.12,245.19,233.12,240.35,240.35,2.13%,"1,028,745"
"Aug 15, 2024",227.00,238.46,226.45,235.33,235.33,6.95%,"1,463,436"
"Aug 14, 2024",221.44,226.85,218.00,220.03,220.03,0.09%,"631,926"
"Aug 13, 2024",214.99,222.80,214.20,219.83,219.83,2.93%,"754,290"
"Aug 12, 2024",213.74,215.34,211.35,213.57,213.57,-0.63%,"641,347"
"Aug 9, 2024",213.67,216.71,211.65,214.92,214.92,0.36%,"758,931"
"Aug 8, 2024",205.57,214.32,202.93,214.15,214.15,4.96%,"982,417"
"Aug 7, 2024",210.00,214.34,203.06,204.03,204.03,-1.13%,"742,857"
"Aug 6, 2024",208.10,209.26,203.43,206.36,206.36,-0.76%,"918,737"
"Aug 5, 2024",202.82,212.69,196.09,207.94,207.94,-2.60%,"1,410,698"
"Aug 2, 2024",224.02,224.03,209.18,213.49,213.49,-6.50%,"1,381,501"
"Aug 1, 2024",230.35,233.50,226.27,228.33,228.33,-1.53%,"720,804"
"Jul 31, 2024",231.78,238.98,226.59,231.88,231.88,0.31%,"856,812"
"Jul 30, 2024",220.91,232.84,220.39,231.16,231.16,3.21%,"1,253,358"
"Jul 29, 2024",221.38,225.71,217.55,223.96,223.96,1.59%,"1,136,265"
"Jul 26, 2024",226.39,226.41,218.85,220.45,220.45,-2.48%,"1,185,768"
"Jul 25, 2024",228.11,244.36,225.90,226.05,226.05,-7.66%,"2,100,676"
"Jul 24, 2024",250.07,251.63,244.47,244.80,244.80,-2.33%,"1,266,642"
"Jul 23, 2024",249.96,252.48,247.87,250.65,250.65,0.54%,"569,021"
"Jul 22, 2024",252.00,254.16,244.53,249.31,249.31,-0.91%,"721,058"
"Jul 19, 2024",253.46,257.42,249.98,251.60,251.60,0.38%,"682,064"
"Jul 18, 2024",251.89,263.24,249.27,250.66,250.66,0.03%,"998,285"
"Jul 17, 2024",245.61,253.44,244.91,250.58,250.58,1.23%,"759,181"
"Jul 16, 2024",242.91,247.76,239.32,247.54,247.54,3.03%,"693,785"
"Jul 15, 2024",243.00,245.70,239.25,240.27,240.27,-0.98%,"628,294"
"Jul 12, 2024",251.87,254.94,242.17,242.65,242.65,-5.33%,"1,030,947"
"Jul 11, 2024",254.24,259.24,250.50,256.30,256.30,2.88%,"960,108"
"Jul 10, 2024",248.44,249.30,243.24,249.13,249.13,0.67%,"755,422"
"Jul 9, 2024",247.05,249.32,245.74,247.48,247.48,-0.59%,"654,089"
"Jul 8, 2024",244.39,249.46,244.00,248.94,248.94,2.19%,"622,551"
