date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",198.00,198.33,196.26,197.12,197.12,-0.13%,"1,526,537"
"Nov 22, 2024",195.95,197.83,194.58,197.38,197.38,0.83%,"1,052,805"
"Nov 21, 2024",194.44,195.97,193.01,195.76,195.76,1.26%,"1,136,313"
"Nov 20, 2024",194.06,194.06,191.30,193.33,193.33,-0.07%,"1,003,348"
"Nov 19, 2024",191.10,193.50,191.00,193.46,193.46,0.11%,"1,321,008"
"Nov 18, 2024",193.29,193.32,192.12,193.24,193.24,0.07%,"818,774"
"Nov 15, 2024",193.30,194.64,192.46,193.10,193.10,-0.34%,"2,148,706"
"Nov 14, 2024",193.91,195.43,192.01,193.75,193.75,-0.85%,"1,122,335"
"Nov 13, 2024",193.56,196.70,192.41,195.42,195.42,0.73%,"1,429,718"
"Nov 12, 2024",192.04,194.27,190.68,194.00,194.00,1.27%,"1,867,655"
"Nov 11, 2024",192.01,193.04,190.36,191.57,191.57,0.34%,"1,228,486"
"Nov 8, 2024",189.13,191.45,188.76,190.92,190.92,1.04%,"832,913"
"Nov 7, 2024",190.49,191.18,188.75,188.95,188.95,-0.72%,"832,256"
"Nov 6, 2024",188.69,192.20,187.47,190.32,190.32,4.56%,"2,384,059"
"Nov 5, 2024",179.77,182.28,179.58,182.02,182.02,1.17%,"1,227,838"
"Nov 4, 2024",179.68,181.01,178.61,179.92,179.92,0.84%,"959,752"
"Nov 1, 2024",182.61,183.48,177.96,178.43,178.43,-2.68%,"1,962,659"
"Oct 31, 2024",179.62,184.17,178.70,183.34,183.34,8.54%,"2,562,036"
"Oct 30, 2024",167.11,168.96,166.65,168.91,168.91,0.85%,"1,557,615"
"Oct 29, 2024",167.38,168.32,165.74,167.49,167.49,-0.33%,"915,639"
"Oct 28, 2024",168.46,169.03,167.77,168.05,168.05,0.65%,"1,044,809"
"Oct 25, 2024",167.83,168.19,166.51,166.96,166.96,0.23%,"603,943"
"Oct 24, 2024",166.81,167.59,165.42,166.58,166.58,-0.05%,"1,096,702"
"Oct 23, 2024",167.57,168.64,165.89,166.67,166.67,-1.02%,"772,197"
"Oct 22, 2024",168.42,168.87,167.09,168.38,168.38,-0.58%,"678,156"
"Oct 21, 2024",169.94,170.64,168.76,169.36,169.36,-0.02%,"858,564"
"Oct 18, 2024",170.21,170.73,168.80,169.40,169.40,-0.17%,"719,148"
"Oct 17, 2024",170.64,170.92,168.63,169.68,169.68,-0.02%,"1,223,211"
"Oct 16, 2024",169.38,170.38,168.80,169.71,169.71,0.19%,"1,505,406"
"Oct 15, 2024",171.96,173.12,169.04,169.38,169.38,-1.28%,"1,160,584"
"Oct 14, 2024",170.75,171.71,170.22,171.57,171.57,0.69%,"2,034,202"
"Oct 11, 2024",169.04,171.58,169.04,170.39,170.39,0.88%,"1,171,269"
"Oct 10, 2024",167.63,169.15,166.95,168.90,168.90,0.05%,"793,737"
"Oct 9, 2024",167.69,169.08,167.30,168.82,168.82,1.14%,"887,592"
"Oct 8, 2024",167.14,167.77,166.26,166.92,166.92,0.23%,"1,127,420"
"Oct 7, 2024",166.24,167.71,165.39,166.54,166.54,-2.10%,"1,891,229"
"Oct 4, 2024",170.81,170.93,168.77,170.11,170.11,0.60%,"718,388"
"Oct 3, 2024",167.59,169.24,166.17,169.10,169.10,0.54%,"2,125,955"
"Oct 2, 2024",168.46,169.38,167.29,168.20,168.20,-0.53%,"2,644,523"
"Oct 1, 2024",171.93,172.27,168.98,169.10,169.10,-1.52%,"1,869,917"
"Sep 30, 2024",171.70,172.30,169.50,171.71,171.71,-0.21%,"1,017,931"
"Sep 27, 2024",172.56,173.87,171.31,172.07,172.07,0.06%,"1,183,353"
"Sep 26, 2024",173.00,173.50,170.78,171.97,171.97,0.42%,"1,789,097"
"Sep 25, 2024",171.73,172.76,170.92,171.25,171.25,0.42%,"1,672,425"
"Sep 24, 2024",171.69,171.69,169.82,170.54,170.54,-0.32%,"1,408,886"
"Sep 23, 2024",171.51,172.75,170.47,171.09,171.09,-0.01%,"641,788"
"Sep 20, 2024",171.27,171.39,170.02,171.10,171.10,-0.67%,"1,237,497"
"Sep 19, 2024",172.70,172.70,169.93,172.25,172.25,1.66%,"866,425"
"Sep 18, 2024",169.50,171.55,168.09,169.43,169.43,0.51%,"1,211,442"
"Sep 17, 2024",168.91,170.88,168.27,168.57,168.57,0.13%,"853,107"
"Sep 16, 2024",168.64,169.54,167.41,168.35,168.35,0.50%,"839,640"
"Sep 13, 2024",167.64,169.08,167.10,167.51,167.23,0.37%,"920,579"
"Sep 12, 2024",165.19,167.84,163.89,166.89,166.61,0.99%,"1,106,541"
"Sep 11, 2024",164.83,165.52,162.25,165.26,164.99,0.19%,"1,553,355"
"Sep 10, 2024",165.25,165.25,163.33,164.94,164.67,0.39%,"797,897"
"Sep 9, 2024",165.19,165.50,163.50,164.30,164.03,0.40%,"1,321,587"
"Sep 6, 2024",165.43,166.99,163.22,163.64,163.37,-0.91%,"835,941"
"Sep 5, 2024",166.88,167.72,164.47,165.15,164.88,-1.40%,"1,002,139"
"Sep 4, 2024",166.21,168.20,165.26,167.49,167.21,0.49%,"1,103,690"
"Sep 3, 2024",170.26,171.11,165.97,166.68,166.40,-2.55%,"1,152,597"
"Aug 30, 2024",169.97,171.37,168.90,171.05,170.77,0.99%,"1,235,645"
"Aug 29, 2024",169.77,170.87,168.73,169.38,169.10,0.47%,"856,335"
"Aug 28, 2024",169.00,170.86,167.50,168.59,168.31,0.36%,"831,508"
"Aug 27, 2024",168.07,168.47,167.19,167.98,167.70,-0.20%,"686,295"
"Aug 26, 2024",168.18,169.58,166.85,168.32,168.04,0.56%,"635,050"
"Aug 23, 2024",165.92,167.91,165.51,167.39,167.11,1.31%,"999,349"
"Aug 22, 2024",165.95,167.37,164.96,165.22,164.95,-0.40%,"1,060,784"
"Aug 21, 2024",164.89,166.82,164.65,165.89,165.62,0.62%,"791,365"
"Aug 20, 2024",164.84,165.86,164.39,164.86,164.59,0.12%,"1,031,468"
"Aug 19, 2024",162.95,164.81,162.72,164.67,164.40,1.22%,"938,911"
"Aug 16, 2024",162.50,163.54,161.74,162.69,162.42,-0.28%,"1,039,517"
"Aug 15, 2024",163.83,166.32,162.46,163.15,162.88,1.03%,"879,871"
"Aug 14, 2024",161.16,162.96,160.77,161.48,161.21,0.11%,"1,008,089"
"Aug 13, 2024",160.63,162.18,158.87,161.31,161.04,0.34%,"1,282,242"
"Aug 12, 2024",160.78,162.57,159.94,160.76,160.49,0.78%,"2,157,291"
"Aug 9, 2024",158.82,160.89,156.98,159.52,159.26,0.42%,"1,812,809"
"Aug 8, 2024",157.70,159.32,156.09,158.85,158.59,1.29%,"1,666,832"
"Aug 7, 2024",158.30,160.25,156.24,156.83,156.57,-0.10%,"2,319,267"
"Aug 6, 2024",155.21,159.61,155.12,156.98,156.72,1.48%,"1,820,452"
"Aug 5, 2024",150.50,156.65,149.03,154.69,154.43,1.28%,"3,114,081"
"Aug 2, 2024",157.65,157.65,150.46,152.74,152.49,-4.02%,"4,082,230"
"Aug 1, 2024",165.00,167.00,156.54,159.13,158.87,-8.27%,"4,505,942"
"Jul 31, 2024",174.55,175.97,173.12,173.48,173.19,0.66%,"1,143,920"
"Jul 30, 2024",172.73,174.57,170.96,172.35,172.06,0.26%,"878,335"
"Jul 29, 2024",172.17,173.22,171.56,171.90,171.62,-0.21%,"882,768"
"Jul 26, 2024",170.62,174.03,169.93,172.27,171.98,2.23%,"864,601"
"Jul 25, 2024",167.29,171.61,166.56,168.52,168.24,0.94%,"725,679"
"Jul 24, 2024",171.14,171.23,166.88,166.95,166.67,-2.86%,"924,979"
"Jul 23, 2024",172.16,173.43,171.71,171.87,171.59,-0.64%,"814,102"
"Jul 22, 2024",170.83,173.11,169.51,172.97,172.68,2.25%,"782,659"
"Jul 19, 2024",173.02,173.02,169.12,169.16,168.88,-1.50%,"886,993"
"Jul 18, 2024",174.15,175.52,171.57,171.73,171.45,-1.89%,"1,031,432"
"Jul 17, 2024",175.80,177.37,174.89,175.03,174.74,-0.56%,"1,060,169"
"Jul 16, 2024",173.03,177.04,172.51,176.01,175.72,2.27%,"1,505,481"
"Jul 15, 2024",169.60,172.97,169.12,172.11,171.82,1.53%,"1,259,190"
"Jul 12, 2024",170.63,172.13,169.06,169.52,169.24,0.12%,"874,055"
"Jul 11, 2024",166.47,170.77,166.07,169.32,169.04,2.08%,"1,099,898"
"Jul 10, 2024",164.14,166.18,163.93,165.87,165.60,1.06%,"847,617"
"Jul 9, 2024",165.01,165.61,163.89,164.13,163.86,-0.22%,"1,492,691"
"Jul 8, 2024",166.55,167.49,164.39,164.50,164.23,-0.69%,"1,903,703"
