date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",574.00,577.00,568.14,570.21,570.21,-0.33%,"1,144,956"
"Nov 22, 2024",572.33,575.37,571.05,572.07,572.07,0.33%,"514,020"
"Nov 21, 2024",566.49,573.44,563.12,570.21,570.21,1.57%,"411,964"
"Nov 20, 2024",563.31,566.17,557.30,561.40,561.40,-0.21%,"311,786"
"Nov 19, 2024",559.00,564.31,556.85,562.56,562.56,-0.44%,"338,465"
"Nov 18, 2024",561.72,568.14,560.87,565.04,565.04,0.46%,"533,806"
"Nov 15, 2024",562.21,567.48,559.27,562.44,562.44,0.16%,"730,105"
"Nov 14, 2024",561.50,564.92,560.03,561.54,561.54,0.29%,"526,733"
"Nov 13, 2024",562.67,565.27,559.70,559.89,559.89,-0.25%,"501,673"
"Nov 12, 2024",561.99,562.44,556.58,561.31,561.31,-0.48%,"518,950"
"Nov 11, 2024",560.97,566.72,558.31,564.00,564.00,2.18%,"332,621"
"Nov 8, 2024",548.63,554.31,547.61,551.99,551.99,0.80%,"384,119"
"Nov 7, 2024",562.87,566.39,547.10,547.61,547.61,-3.49%,"469,081"
"Nov 6, 2024",553.79,569.47,545.20,567.43,567.43,10.41%,"798,317"
"Nov 5, 2024",504.23,514.38,504.23,513.95,513.95,1.45%,"312,063"
"Nov 4, 2024",505.25,508.93,501.20,506.59,506.59,-0.12%,"369,307"
"Nov 1, 2024",511.00,515.45,505.81,507.18,505.70,-0.61%,"550,257"
"Oct 31, 2024",516.16,518.83,510.19,510.30,508.81,-0.73%,"396,924"
"Oct 30, 2024",516.09,521.05,513.77,514.04,512.54,-0.44%,"380,933"
"Oct 29, 2024",513.82,518.16,512.89,516.31,514.81,0.57%,"365,583"
"Oct 28, 2024",509.72,515.15,508.35,513.40,511.90,1.77%,"347,794"
"Oct 25, 2024",506.95,507.09,500.59,504.48,503.01,0.05%,"430,001"
"Oct 24, 2024",500.54,506.73,487.13,504.21,502.74,-3.12%,"726,526"
"Oct 23, 2024",518.40,523.42,517.60,520.47,518.95,0.18%,"387,860"
"Oct 22, 2024",520.00,521.73,516.95,519.56,518.05,-0.59%,"338,590"
"Oct 21, 2024",522.76,523.88,519.61,522.64,521.12,-0.10%,"360,416"
"Oct 18, 2024",523.12,524.89,519.37,523.16,521.64,0.34%,"480,121"
"Oct 17, 2024",520.35,523.60,518.01,521.41,519.89,0.74%,"384,499"
"Oct 16, 2024",510.70,518.05,510.70,517.57,516.06,1.24%,"468,538"
"Oct 15, 2024",509.41,517.82,509.41,511.23,509.74,1.36%,"489,042"
"Oct 14, 2024",503.54,504.82,498.86,504.35,502.88,0.37%,"252,307"
"Oct 11, 2024",493.18,502.97,493.18,502.50,501.04,2.27%,"369,636"
"Oct 10, 2024",493.80,495.25,489.85,491.37,489.94,-0.38%,"255,821"
"Oct 9, 2024",483.73,494.24,483.73,493.24,491.80,1.96%,"331,711"
"Oct 8, 2024",481.23,484.85,480.38,483.74,482.33,0.66%,"302,402"
"Oct 7, 2024",486.07,489.35,479.83,480.55,479.15,-1.31%,"354,046"
"Oct 4, 2024",485.15,490.24,483.30,486.94,485.52,1.54%,"451,871"
"Oct 3, 2024",480.26,481.59,474.66,479.54,478.14,-0.17%,"441,453"
"Oct 2, 2024",474.97,482.23,474.50,480.34,478.94,1.52%,"485,334"
"Oct 1, 2024",469.21,476.18,466.00,473.14,471.76,0.71%,"565,704"
"Sep 30, 2024",468.20,470.30,463.09,469.81,468.44,0.25%,"446,101"
"Sep 27, 2024",467.58,471.57,466.78,468.62,467.26,0.24%,"603,754"
"Sep 26, 2024",462.92,469.39,461.55,467.51,466.15,0.95%,"608,472"
"Sep 25, 2024",464.78,467.00,461.50,463.09,461.74,-0.06%,"350,188"
"Sep 24, 2024",462.96,464.56,460.52,463.38,462.03,0.28%,"262,839"
"Sep 23, 2024",463.01,465.12,459.96,462.07,460.72,0.32%,"514,956"
"Sep 20, 2024",464.07,465.82,458.61,460.61,459.27,-0.67%,"1,061,114"
"Sep 19, 2024",456.25,464.47,452.00,463.74,462.39,2.75%,"423,969"
"Sep 18, 2024",452.37,458.23,449.20,451.33,450.02,-0.20%,"371,470"
"Sep 17, 2024",446.13,454.00,446.13,452.23,450.91,1.59%,"286,693"
"Sep 16, 2024",443.13,446.21,441.01,445.14,443.84,1.08%,"260,153"
"Sep 13, 2024",437.87,441.98,437.79,440.39,439.11,1.15%,"321,357"
"Sep 12, 2024",436.10,436.41,431.59,435.38,434.11,-0.09%,"255,878"
"Sep 11, 2024",432.82,436.26,422.56,435.77,434.50,0.39%,"317,537"
"Sep 10, 2024",437.80,438.35,428.84,434.06,432.80,-0.52%,"347,758"
"Sep 9, 2024",434.36,438.77,430.46,436.35,435.08,1.44%,"477,142"
"Sep 6, 2024",438.86,442.16,426.90,430.17,428.92,-2.13%,"561,851"
"Sep 5, 2024",444.46,446.58,435.79,439.55,438.27,-0.76%,"537,549"
"Sep 4, 2024",442.97,446.40,439.78,442.91,441.62,0.21%,"310,215"
"Sep 3, 2024",447.68,448.67,439.92,441.96,440.67,-1.66%,"387,718"
"Aug 30, 2024",443.75,450.35,442.07,449.44,448.13,1.46%,"463,756"
"Aug 29, 2024",441.10,444.06,438.19,442.97,441.68,0.79%,"489,564"
"Aug 28, 2024",439.86,442.93,437.40,439.48,438.20,0.03%,"349,146"
"Aug 27, 2024",441.44,443.09,437.98,439.33,438.05,-0.47%,"263,919"
"Aug 26, 2024",441.39,444.84,439.61,441.39,440.10,0.39%,"276,435"
"Aug 23, 2024",436.92,442.72,434.27,439.68,438.40,1.38%,"240,690"
"Aug 22, 2024",433.24,435.87,431.16,433.70,432.44,0.02%,"252,281"
"Aug 21, 2024",435.00,435.00,428.62,433.61,432.35,-0.10%,"387,083"
"Aug 20, 2024",434.84,434.84,430.81,434.03,432.77,-0.30%,"427,106"
"Aug 19, 2024",431.24,435.46,431.23,435.34,434.07,0.92%,"441,766"
"Aug 16, 2024",424.72,433.20,424.72,431.39,430.13,1.73%,"570,515"
"Aug 15, 2024",425.91,428.50,422.42,424.07,422.84,1.00%,"469,807"
"Aug 14, 2024",410.19,420.93,410.19,419.87,418.65,2.84%,"581,692"
"Aug 13, 2024",407.07,408.70,403.89,408.26,407.07,0.92%,"301,452"
"Aug 12, 2024",405.99,406.90,401.14,404.54,403.36,-0.11%,"455,505"
"Aug 9, 2024",399.75,406.95,399.00,404.99,403.81,1.11%,"310,563"
"Aug 8, 2024",395.14,401.31,392.69,400.53,399.36,1.99%,"491,300"
"Aug 7, 2024",400.23,401.25,392.10,392.73,391.59,-0.72%,"625,469"
"Aug 6, 2024",391.92,400.40,391.36,395.57,394.42,1.03%,"385,780"
"Aug 5, 2024",393.58,395.65,385.74,391.53,390.39,-2.75%,"723,127"
"Aug 2, 2024",409.47,411.58,400.45,402.61,399.93,-3.76%,"679,597"
"Aug 1, 2024",431.39,432.65,414.47,418.36,415.57,-2.72%,"600,099"
"Jul 31, 2024",433.96,434.47,429.30,430.07,427.20,-0.42%,"352,836"
"Jul 30, 2024",434.76,437.65,430.49,431.87,428.99,-0.04%,"478,221"
"Jul 29, 2024",438.78,440.57,430.41,432.05,429.17,-1.70%,"360,728"
"Jul 26, 2024",442.07,444.69,436.98,439.54,436.61,-0.48%,"530,900"
"Jul 25, 2024",422.00,445.51,422.00,441.67,438.73,4.11%,"780,977"
"Jul 24, 2024",422.38,432.63,419.98,424.25,421.42,0.68%,"995,490"
"Jul 23, 2024",419.19,422.79,416.94,421.39,418.58,0.33%,"494,369"
"Jul 22, 2024",412.79,420.17,410.99,420.01,417.21,2.22%,"441,412"
"Jul 19, 2024",419.24,419.24,410.83,410.89,408.15,-1.70%,"616,592"
"Jul 18, 2024",421.64,424.36,417.48,417.99,415.20,-0.85%,"717,824"
"Jul 17, 2024",427.42,429.91,419.88,421.56,418.75,-1.75%,"1,078,674"
"Jul 16, 2024",438.19,440.04,428.22,429.05,426.19,-3.76%,"1,066,826"
"Jul 15, 2024",447.20,449.94,445.57,445.80,442.83,-0.11%,"404,058"
"Jul 12, 2024",441.85,449.51,440.62,446.27,443.29,1.47%,"348,039"
"Jul 11, 2024",440.63,442.25,438.19,439.82,436.89,-0.18%,"361,373"
"Jul 10, 2024",435.60,440.81,432.79,440.60,437.66,1.69%,"274,935"
"Jul 9, 2024",425.91,436.57,425.91,433.29,430.40,1.46%,"420,804"
"Jul 8, 2024",432.89,436.34,426.68,427.06,424.21,-1.18%,"476,747"
