date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",24.76,25.45,24.47,24.81,24.81,1.56%,"1,451,103"
"Nov 22, 2024",24.90,25.44,24.40,24.43,24.43,-1.33%,"1,467,043"
"Nov 21, 2024",23.44,25.29,23.35,24.76,24.76,10.49%,"2,891,963"
"Nov 20, 2024",21.96,22.99,21.50,22.41,22.41,2.14%,"2,440,595"
"Nov 19, 2024",22.22,22.94,21.24,21.94,21.94,-3.65%,"4,280,056"
"Nov 18, 2024",24.79,25.06,22.24,22.77,22.77,-9.64%,"3,096,661"
"Nov 15, 2024",26.19,26.35,24.88,25.20,25.20,-4.58%,"2,632,124"
"Nov 14, 2024",29.29,29.58,26.02,26.41,26.41,-10.87%,"2,505,675"
"Nov 13, 2024",31.36,31.49,29.40,29.63,29.63,-5.15%,"1,693,809"
"Nov 12, 2024",32.00,32.59,30.53,31.24,31.24,-3.22%,"1,252,670"
"Nov 11, 2024",33.85,34.47,32.12,32.28,32.28,-3.35%,"1,007,075"
"Nov 8, 2024",32.03,33.50,31.51,33.40,33.40,4.90%,"1,403,806"
"Nov 7, 2024",31.19,31.98,31.10,31.84,31.84,2.71%,"1,338,813"
"Nov 6, 2024",31.29,31.75,30.30,31.00,31.00,3.33%,"1,331,079"
"Nov 5, 2024",29.54,30.20,29.52,30.00,30.00,1.25%,"710,428"
"Nov 4, 2024",30.67,31.06,29.63,29.63,29.63,-3.77%,"787,604"
"Nov 1, 2024",30.28,31.14,29.83,30.79,30.79,3.53%,"957,085"
"Oct 31, 2024",30.00,30.53,29.40,29.74,29.74,-1.26%,"1,101,697"
"Oct 30, 2024",30.72,30.99,30.05,30.12,30.12,-2.24%,"1,004,673"
"Oct 29, 2024",30.91,31.14,30.13,30.81,30.81,-0.23%,"1,493,496"
"Oct 28, 2024",29.69,30.91,29.69,30.88,30.88,4.15%,"964,423"
"Oct 25, 2024",30.21,31.03,29.51,29.65,29.65,-1.07%,"1,282,149"
"Oct 24, 2024",29.45,30.22,28.97,29.97,29.97,3.81%,"1,485,219"
"Oct 23, 2024",28.82,29.24,28.30,28.87,28.87,-0.35%,"3,347,248"
"Oct 22, 2024",28.61,29.22,28.37,28.97,28.97,0.03%,"1,081,142"
"Oct 21, 2024",29.09,29.77,28.55,28.96,28.96,-1.16%,"2,767,451"
"Oct 18, 2024",29.70,29.82,28.72,29.30,29.30,-1.31%,"1,828,737"
"Oct 17, 2024",29.13,30.03,28.85,29.69,29.69,2.63%,"1,674,703"
"Oct 16, 2024",28.47,30.29,27.94,28.93,28.93,0.80%,"2,112,278"
"Oct 15, 2024",28.47,28.87,28.02,28.70,28.70,1.13%,"2,743,425"
"Oct 14, 2024",26.81,28.64,26.68,28.38,28.38,5.50%,"3,154,155"
"Oct 11, 2024",26.00,27.19,25.90,26.90,26.90,3.50%,"2,139,551"
"Oct 10, 2024",25.04,26.79,24.81,25.99,25.99,1.92%,"2,715,545"
"Oct 9, 2024",24.44,26.34,24.02,25.50,25.50,3.03%,"3,793,019"
"Oct 8, 2024",25.44,25.87,24.69,24.75,24.75,-3.13%,"3,114,128"
"Oct 7, 2024",26.20,26.38,25.40,25.55,25.55,-3.48%,"3,579,826"
"Oct 4, 2024",25.50,27.79,25.46,26.47,26.47,4.21%,"3,640,724"
"Oct 3, 2024",25.10,26.00,24.95,25.40,25.40,0.51%,"4,698,385"
"Oct 2, 2024",25.48,25.94,24.68,25.27,25.27,-1.86%,"11,160,566"
"Oct 1, 2024",28.25,28.49,24.56,25.75,25.75,-20.16%,"9,674,244"
"Sep 30, 2024",26.25,32.25,23.58,32.25,32.25,25.63%,"18,372,551"
"Sep 27, 2024",27.00,27.50,25.40,25.67,25.67,-4.96%,"163,300"
"Sep 26, 2024",28.00,28.00,27.01,27.01,27.01,-3.54%,"22,300"
"Sep 25, 2024",31.00,31.00,28.00,28.00,28.00,-5.12%,"15,100"
