date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",351.37,352.94,347.02,352.14,352.14,0.61%,"900,738"
"Nov 22, 2024",349.18,352.55,348.36,350.00,350.00,0.30%,"432,550"
"Nov 21, 2024",345.00,350.10,342.38,348.94,348.94,1.96%,"636,558"
"Nov 20, 2024",339.12,343.15,337.43,342.24,342.24,0.80%,"460,018"
"Nov 19, 2024",334.26,341.00,331.70,339.52,339.52,0.93%,"427,197"
"Nov 18, 2024",335.31,337.82,331.69,336.40,336.40,1.21%,"422,708"
"Nov 15, 2024",338.95,338.95,331.50,332.38,332.38,-2.32%,"527,043"
"Nov 14, 2024",343.91,343.91,339.00,340.28,340.28,-1.11%,"548,216"
"Nov 13, 2024",345.17,348.53,343.73,344.10,344.10,-0.11%,"421,118"
"Nov 12, 2024",344.40,346.14,342.55,344.48,344.48,-0.53%,"298,936"
"Nov 11, 2024",342.02,347.97,341.45,346.33,346.33,1.21%,"321,109"
"Nov 8, 2024",353.91,353.91,340.84,342.18,342.18,-3.77%,"777,113"
"Nov 7, 2024",345.00,357.29,341.11,355.58,355.58,6.58%,"1,434,475"
"Nov 6, 2024",333.93,336.97,331.32,333.62,333.62,2.82%,"692,526"
"Nov 5, 2024",324.86,329.50,324.30,324.48,324.48,0.10%,"395,480"
"Nov 4, 2024",324.57,326.01,322.45,324.16,324.16,0.13%,"532,221"
"Nov 1, 2024",319.87,324.64,315.47,323.75,323.75,1.04%,"558,471"
"Oct 31, 2024",326.45,326.60,319.69,320.41,320.41,-2.48%,"486,504"
"Oct 30, 2024",326.03,329.98,325.42,328.57,328.57,0.05%,"372,320"
"Oct 29, 2024",322.64,329.43,321.75,328.41,328.41,2.25%,"315,258"
"Oct 28, 2024",324.99,324.99,320.85,321.17,321.17,-0.51%,"363,248"
"Oct 25, 2024",324.21,328.81,322.66,322.81,322.81,0.45%,"300,421"
"Oct 24, 2024",325.47,325.47,319.18,321.37,321.37,-0.15%,"322,956"
"Oct 23, 2024",323.07,324.38,319.47,321.85,321.85,-1.17%,"302,352"
"Oct 22, 2024",326.25,326.54,322.92,325.65,325.65,-0.55%,"272,844"
"Oct 21, 2024",325.37,328.70,325.01,327.46,327.46,0.02%,"245,706"
"Oct 18, 2024",328.69,329.91,325.88,327.40,327.40,0.25%,"386,254"
