date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",386.46,390.73,386.14,389.72,389.72,0.91%,"1,910,050"
"Nov 22, 2024",383.28,387.37,383.24,386.21,386.21,0.94%,"755,608"
"Nov 21, 2024",381.69,383.39,377.97,382.62,382.62,0.67%,"758,761"
"Nov 20, 2024",381.85,381.85,375.48,380.08,380.08,0.25%,"782,027"
"Nov 19, 2024",378.63,381.31,376.99,379.15,379.15,-0.36%,"748,365"
"Nov 18, 2024",377.00,381.00,376.27,380.51,380.51,0.32%,"972,114"
"Nov 15, 2024",376.58,381.74,376.58,379.29,379.29,0.79%,"1,790,388"
"Nov 14, 2024",383.86,384.63,376.08,376.33,376.33,-2.74%,"1,372,371"
"Nov 13, 2024",382.03,387.93,381.95,386.92,386.92,0.85%,"908,659"
"Nov 12, 2024",385.07,386.87,382.27,383.66,383.66,0.07%,"1,791,129"
"Nov 11, 2024",384.14,388.47,382.76,383.38,383.38,-0.10%,"1,055,553"
"Nov 8, 2024",381.09,386.96,379.04,383.78,383.78,1.03%,"776,804"
"Nov 7, 2024",381.28,382.06,378.54,379.87,379.87,-0.37%,"1,080,899"
"Nov 6, 2024",386.51,388.73,375.01,381.28,381.28,3.41%,"1,677,240"
"Nov 5, 2024",364.17,369.02,363.58,368.70,368.70,0.84%,"609,065"
"Nov 4, 2024",366.34,366.34,362.15,365.64,365.64,0.33%,"1,137,635"
"Nov 1, 2024",365.68,368.54,363.91,364.42,364.42,-0.67%,"734,473"
"Oct 31, 2024",369.47,372.23,366.52,366.87,366.19,-0.70%,"1,032,233"
"Oct 30, 2024",370.95,373.15,368.12,369.47,368.79,-0.40%,"874,961"
"Oct 29, 2024",371.00,374.54,370.54,370.95,370.26,-0.20%,"700,583"
"Oct 28, 2024",379.55,380.71,370.49,371.71,371.02,-0.99%,"1,020,036"
"Oct 25, 2024",382.28,389.21,374.83,375.44,374.75,5.21%,"2,302,043"
"Oct 24, 2024",358.03,360.00,356.30,356.85,356.19,-0.40%,"1,119,596"
"Oct 23, 2024",355.42,360.22,355.42,358.29,357.63,0.60%,"777,503"
"Oct 22, 2024",356.07,357.17,352.13,356.14,355.48,-0.36%,"1,154,652"
"Oct 21, 2024",356.77,359.37,356.06,357.43,356.77,-0.14%,"776,341"
"Oct 18, 2024",359.89,359.89,356.46,357.93,357.27,-0.23%,"1,529,005"
"Oct 17, 2024",361.08,363.46,357.68,358.75,358.09,0.10%,"756,472"
"Oct 16, 2024",356.14,359.73,355.67,358.39,357.73,0.14%,"920,727"
"Oct 15, 2024",358.79,363.12,356.41,357.89,357.23,-0.19%,"1,175,786"
"Oct 14, 2024",355.83,359.43,354.39,358.58,357.92,0.97%,"725,591"
"Oct 11, 2024",354.45,356.91,353.21,355.15,354.49,0.42%,"584,731"
"Oct 10, 2024",359.88,360.95,351.25,353.68,353.03,-1.49%,"898,158"
"Oct 9, 2024",353.20,360.16,352.63,359.03,358.37,1.43%,"1,072,747"
"Oct 8, 2024",346.10,355.15,343.61,353.97,353.32,2.93%,"1,236,517"
"Oct 7, 2024",347.15,347.15,341.92,343.91,343.27,-1.20%,"946,169"
"Oct 4, 2024",347.35,348.81,346.03,348.07,347.43,0.16%,"568,002"
"Oct 3, 2024",349.99,349.99,346.24,347.50,346.86,-0.35%,"745,413"
"Oct 2, 2024",347.90,349.78,345.74,348.72,348.08,0.06%,"673,581"
"Oct 1, 2024",348.88,351.42,345.43,348.50,347.86,0.73%,"1,038,828"
"Sep 30, 2024",347.67,347.67,343.91,345.99,345.35,-0.48%,"1,123,207"
"Sep 27, 2024",346.51,349.87,346.12,347.67,347.03,0.15%,"526,458"
"Sep 26, 2024",346.27,349.66,345.06,347.14,346.50,0.06%,"471,505"
"Sep 25, 2024",348.90,349.20,346.25,346.92,346.28,-0.15%,"827,999"
"Sep 24, 2024",346.51,348.01,344.83,347.43,346.79,-0.31%,"679,096"
"Sep 23, 2024",348.00,351.19,346.41,348.52,347.88,0.43%,"852,779"
"Sep 20, 2024",347.05,349.59,344.88,347.03,346.39,0.02%,"1,581,661"
"Sep 19, 2024",349.67,350.00,343.99,346.97,346.33,-0.67%,"1,154,226"
"Sep 18, 2024",349.79,351.02,347.33,349.31,348.66,0.03%,"569,751"
"Sep 17, 2024",350.55,350.55,346.44,349.20,348.55,-0.42%,"518,529"
"Sep 16, 2024",350.00,353.54,349.65,350.69,350.04,0.82%,"524,641"
"Sep 13, 2024",348.00,349.72,345.74,347.85,347.21,-0.12%,"478,251"
"Sep 12, 2024",344.50,349.24,343.62,348.26,347.62,1.00%,"742,225"
"Sep 11, 2024",350.88,350.88,339.29,344.80,344.16,-1.78%,"1,069,742"
"Sep 10, 2024",350.96,352.49,348.86,351.06,350.41,0.16%,"656,061"
"Sep 9, 2024",348.98,351.02,347.28,350.49,349.84,0.71%,"723,571"
"Sep 6, 2024",349.39,350.28,346.50,348.03,347.39,-0.22%,"954,754"
"Sep 5, 2024",349.83,349.83,345.09,348.80,348.16,0.07%,"663,611"
"Sep 4, 2024",347.31,349.87,346.42,348.55,347.91,0.65%,"766,681"
"Sep 3, 2024",344.73,349.84,344.51,346.30,345.66,0.75%,"923,169"
