date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",150.26,151.17,149.47,150.18,150.18,0.09%,"1,828,387"
"Nov 22, 2024",150.74,151.24,149.95,150.05,149.19,-0.14%,"538,310"
"Nov 21, 2024",147.99,150.38,147.22,150.26,149.40,2.06%,"697,220"
"Nov 20, 2024",146.16,147.36,146.08,147.22,146.37,0.30%,"720,704"
"Nov 19, 2024",146.50,146.86,145.09,146.78,145.94,-0.13%,"880,711"
"Nov 18, 2024",145.33,147.78,145.07,146.97,146.12,1.44%,"1,209,919"
"Nov 15, 2024",144.35,146.09,143.76,144.89,144.06,0.38%,"1,553,550"
"Nov 14, 2024",146.83,146.83,144.18,144.34,143.51,-1.48%,"616,951"
"Nov 13, 2024",147.69,147.74,146.37,146.51,145.67,-0.21%,"831,353"
"Nov 12, 2024",146.44,148.39,146.08,146.82,145.97,0.49%,"714,753"
"Nov 11, 2024",144.89,146.92,144.48,146.11,145.27,1.33%,"1,080,251"
"Nov 8, 2024",142.54,145.27,141.80,144.19,143.36,1.94%,"801,744"
"Nov 7, 2024",139.92,144.51,138.98,141.44,140.63,1.84%,"1,344,836"
"Nov 6, 2024",138.95,139.94,136.65,138.88,138.08,0.65%,"1,132,458"
"Nov 5, 2024",137.48,137.98,136.67,137.98,137.19,0.23%,"893,287"
"Nov 4, 2024",137.76,138.94,137.17,137.67,136.88,-0.53%,"864,533"
"Nov 1, 2024",138.96,139.27,137.91,138.40,137.60,-0.27%,"851,964"
"Oct 31, 2024",139.44,140.75,138.57,138.78,137.98,-0.60%,"1,099,899"
"Oct 30, 2024",141.00,141.55,139.22,139.62,138.82,-0.59%,"540,330"
"Oct 29, 2024",140.69,141.13,140.05,140.45,139.64,-0.74%,"787,225"
"Oct 28, 2024",141.27,142.00,140.89,141.49,140.68,0.55%,"591,145"
"Oct 25, 2024",143.20,143.20,140.54,140.72,139.91,-1.37%,"682,076"
"Oct 24, 2024",143.43,143.79,142.26,142.67,141.85,-0.31%,"587,463"
"Oct 23, 2024",141.89,143.32,141.67,143.11,142.29,0.84%,"684,308"
"Oct 22, 2024",141.66,142.20,140.77,141.92,141.10,-0.20%,"841,902"
"Oct 21, 2024",143.76,143.76,141.71,142.21,141.39,-0.73%,"649,533"
"Oct 18, 2024",143.88,143.88,142.38,143.26,142.44,-0.35%,"779,021"
"Oct 17, 2024",144.02,144.32,142.45,143.76,142.93,-0.13%,"675,935"
"Oct 16, 2024",142.55,144.18,142.43,143.94,143.11,1.37%,"446,159"
