date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",233.49,236.16,231.68,232.90,232.90,0.41%,"977,660"
"Nov 22, 2024",230.41,233.52,229.54,231.94,231.94,0.57%,"333,857"
"Nov 21, 2024",229.12,232.01,227.88,230.63,230.63,1.09%,"453,417"
"Nov 20, 2024",228.12,229.97,226.28,228.14,228.14,-0.54%,"429,909"
"Nov 19, 2024",228.30,229.76,226.69,229.38,229.38,0.07%,"486,142"
"Nov 18, 2024",228.57,230.74,228.27,229.22,229.22,-0.08%,"549,097"
"Nov 15, 2024",227.00,230.10,225.87,229.41,229.41,0.65%,"645,903"
"Nov 14, 2024",231.81,234.77,227.46,227.93,227.93,-2.22%,"640,158"
"Nov 13, 2024",232.23,234.12,232.23,233.11,233.11,1.26%,"511,820"
"Nov 12, 2024",231.28,232.50,230.00,230.21,230.21,-0.86%,"423,552"
"Nov 11, 2024",233.75,235.08,232.05,232.21,232.21,-0.66%,"586,514"
"Nov 8, 2024",229.46,235.44,228.81,233.75,233.75,2.50%,"782,641"
"Nov 7, 2024",225.02,228.74,224.29,228.04,228.04,1.38%,"654,781"
"Nov 6, 2024",231.02,231.02,223.04,224.93,224.93,-0.64%,"854,848"
"Nov 5, 2024",220.51,226.44,218.58,226.38,226.38,3.61%,"771,731"
"Nov 4, 2024",217.01,219.04,216.28,218.50,218.50,1.03%,"624,571"
"Nov 1, 2024",220.91,223.00,216.19,216.28,216.28,-2.41%,"893,726"
"Oct 31, 2024",225.26,226.11,220.61,221.61,221.61,-2.70%,"1,658,825"
"Oct 30, 2024",227.50,229.07,225.77,227.76,227.76,0.06%,"654,382"
"Oct 29, 2024",228.44,229.54,226.16,227.62,227.62,-0.52%,"653,212"
"Oct 28, 2024",227.71,229.17,227.12,228.80,228.80,1.08%,"648,720"
"Oct 25, 2024",229.85,230.00,226.07,226.35,226.35,-1.49%,"658,933"
"Oct 24, 2024",230.85,231.38,228.70,229.77,229.77,0.10%,"649,982"
"Oct 23, 2024",224.80,230.31,224.80,229.54,229.54,2.14%,"708,794"
"Oct 22, 2024",223.79,225.78,223.75,224.72,224.72,0.25%,"455,320"
"Oct 21, 2024",226.31,226.54,222.90,224.15,224.15,-1.32%,"606,814"
"Oct 18, 2024",226.03,227.72,225.33,227.14,227.14,0.74%,"533,150"
"Oct 17, 2024",225.77,226.14,223.44,225.47,225.47,-0.10%,"571,024"
"Oct 16, 2024",224.34,225.95,223.58,225.69,225.69,0.92%,"576,637"
"Oct 15, 2024",222.88,226.24,222.30,223.64,223.64,0.91%,"773,459"
"Oct 14, 2024",219.62,222.32,218.49,221.63,221.63,0.92%,"539,244"
"Oct 11, 2024",218.26,219.91,217.15,219.62,219.62,1.25%,"444,097"
"Oct 10, 2024",217.94,219.66,216.09,216.90,216.90,-0.72%,"548,195"
"Oct 9, 2024",218.97,218.97,216.27,218.47,218.47,-0.01%,"494,153"
"Oct 8, 2024",219.41,219.72,216.71,218.50,218.50,0.23%,"473,140"
"Oct 7, 2024",219.71,219.71,216.93,218.00,218.00,-1.37%,"536,384"
"Oct 4, 2024",219.39,221.56,218.15,221.02,221.02,0.14%,"367,107"
"Oct 3, 2024",223.10,223.32,220.26,220.70,220.70,-1.08%,"362,680"
"Oct 2, 2024",220.69,223.33,220.07,223.10,223.10,0.41%,"1,149,511"
"Oct 1, 2024",225.23,226.25,221.57,222.19,222.19,-1.36%,"908,089"
"Sep 30, 2024",223.00,225.53,221.96,225.25,225.25,0.01%,"1,205,011"
"Sep 27, 2024",227.59,228.01,224.99,225.23,223.54,-0.57%,"931,703"
"Sep 26, 2024",229.55,229.77,225.73,226.53,224.83,-1.36%,"780,928"
"Sep 25, 2024",231.35,231.97,228.12,229.65,227.93,-0.22%,"681,793"
"Sep 24, 2024",231.16,232.38,230.09,230.15,228.43,-1.30%,"626,213"
"Sep 23, 2024",232.00,233.84,231.23,233.17,231.42,1.35%,"677,318"
"Sep 20, 2024",229.66,230.80,228.54,230.06,228.34,-0.21%,"1,696,614"
"Sep 19, 2024",231.89,231.89,228.56,230.55,228.82,0.06%,"657,228"
"Sep 18, 2024",231.58,233.52,229.53,230.41,228.68,-0.16%,"597,971"
"Sep 17, 2024",232.86,234.45,230.35,230.79,229.06,-0.89%,"875,557"
"Sep 16, 2024",235.82,236.26,232.42,232.86,231.12,-0.81%,"685,741"
"Sep 13, 2024",232.80,234.80,231.00,234.75,232.99,1.32%,"608,784"
"Sep 12, 2024",230.24,232.33,228.66,231.70,229.96,0.76%,"1,046,911"
"Sep 11, 2024",227.46,230.31,224.85,229.95,228.23,0.26%,"896,330"
"Sep 10, 2024",226.12,229.61,225.24,229.36,227.64,1.72%,"824,559"
"Sep 9, 2024",224.60,226.06,223.04,225.49,223.80,0.85%,"1,746,916"
"Sep 6, 2024",222.46,223.82,220.50,223.60,221.93,-1.29%,"1,865,900"
"Sep 5, 2024",229.10,230.02,225.62,226.52,224.82,-0.28%,"590,498"
"Sep 4, 2024",227.49,230.04,225.56,227.16,225.46,0.01%,"674,583"
"Sep 3, 2024",224.68,228.34,224.23,227.14,225.44,0.62%,"906,567"
"Aug 30, 2024",223.94,226.18,222.74,225.73,224.04,1.16%,"875,738"
"Aug 29, 2024",222.61,223.95,222.00,223.15,221.48,0.04%,"522,140"
"Aug 28, 2024",221.94,224.23,221.73,223.07,221.40,0.75%,"610,828"
"Aug 27, 2024",218.59,221.57,217.44,221.41,219.75,0.68%,"526,639"
"Aug 26, 2024",222.97,222.97,219.27,219.92,218.27,-0.82%,"455,968"
