date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",204.48,207.99,204.15,207.94,207.94,2.64%,"1,072,267"
"Nov 22, 2024",200.29,202.90,199.94,202.59,202.59,1.50%,"510,657"
"Nov 21, 2024",197.77,199.76,197.34,199.59,199.59,0.99%,"809,391"
"Nov 20, 2024",197.09,198.60,196.03,197.64,197.64,0.32%,"494,048"
"Nov 19, 2024",196.70,198.95,195.59,197.00,197.00,-0.66%,"557,945"
"Nov 18, 2024",197.50,199.01,197.00,198.31,198.31,0.29%,"554,972"
"Nov 15, 2024",198.65,200.16,197.24,197.73,197.73,-1.09%,"460,769"
"Nov 14, 2024",202.32,202.96,198.77,199.91,199.91,-1.51%,"441,246"
"Nov 13, 2024",202.54,204.01,202.30,202.98,202.98,0.22%,"471,716"
"Nov 12, 2024",204.45,205.76,202.45,202.54,202.54,-1.00%,"458,394"
"Nov 11, 2024",205.65,206.26,203.72,204.58,204.58,-0.26%,"367,192"
"Nov 8, 2024",205.45,206.83,204.90,205.11,205.11,-0.17%,"376,702"
"Nov 7, 2024",205.75,208.16,205.20,205.45,205.45,0.65%,"421,063"
"Nov 6, 2024",209.83,209.83,203.42,204.12,204.12,-1.27%,"1,078,845"
"Nov 5, 2024",205.47,207.11,204.43,206.75,206.75,0.57%,"351,758"
"Nov 4, 2024",206.49,208.74,204.64,205.57,205.57,-0.26%,"338,701"
"Nov 1, 2024",206.56,208.31,206.04,206.11,206.11,-0.44%,"389,108"
"Oct 31, 2024",207.80,209.65,207.03,207.03,207.03,-0.35%,"523,438"
"Oct 30, 2024",205.93,209.19,205.14,207.76,207.76,0.76%,"522,369"
"Oct 29, 2024",206.00,207.79,205.75,206.19,206.19,-0.41%,"497,029"
"Oct 28, 2024",208.65,209.28,206.74,207.03,207.03,-0.06%,"598,863"
"Oct 25, 2024",206.14,207.38,203.74,207.16,207.16,1.07%,"797,830"
"Oct 24, 2024",203.09,206.32,202.71,204.96,204.96,-1.30%,"827,646"
