date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",138.26,139.37,136.37,136.74,136.74,-0.42%,"4,339,223"
"Nov 22, 2024",138.99,139.71,137.03,137.31,137.31,-1.07%,"1,207,697"
"Nov 21, 2024",138.42,139.08,136.70,138.79,138.79,0.65%,"953,026"
"Nov 20, 2024",138.63,139.17,137.60,137.89,137.89,-0.22%,"1,096,537"
"Nov 19, 2024",138.04,138.40,136.19,138.20,138.20,1.12%,"1,585,000"
"Nov 18, 2024",133.47,136.89,133.18,136.67,136.67,1.82%,"1,373,948"
"Nov 15, 2024",132.23,134.38,131.75,134.23,134.23,1.67%,"1,590,378"
"Nov 14, 2024",132.89,133.41,131.89,132.02,132.02,-0.32%,"980,565"
"Nov 13, 2024",133.37,133.97,131.75,132.44,132.44,0.01%,"1,260,330"
"Nov 12, 2024",133.87,133.87,132.23,132.43,132.43,-1.74%,"932,799"
"Nov 11, 2024",135.31,136.54,134.50,134.77,134.00,-0.97%,"926,780"
"Nov 8, 2024",133.75,136.33,133.50,136.09,135.31,2.45%,"1,076,188"
"Nov 7, 2024",133.80,134.63,132.69,132.84,132.08,-0.55%,"1,260,214"
"Nov 6, 2024",133.74,135.61,131.52,133.58,132.81,-2.57%,"2,141,197"
"Nov 5, 2024",135.66,137.13,134.54,137.11,136.32,1.34%,"911,545"
"Nov 4, 2024",136.45,136.46,134.00,135.30,134.52,-0.51%,"1,569,047"
"Nov 1, 2024",138.35,138.89,135.97,136.00,135.22,-1.53%,"1,044,446"
"Oct 31, 2024",137.84,139.99,135.00,138.11,137.32,1.78%,"1,544,564"
"Oct 30, 2024",136.25,136.91,135.53,135.69,134.91,-0.08%,"1,329,864"
"Oct 29, 2024",137.52,138.13,135.75,135.80,135.02,-2.15%,"1,054,627"
"Oct 28, 2024",138.89,139.90,138.18,138.79,137.99,0.82%,"564,825"
"Oct 25, 2024",140.26,140.26,137.57,137.66,136.87,-1.53%,"592,318"
"Oct 24, 2024",142.39,142.97,139.74,139.80,139.00,-1.63%,"712,508"
"Oct 23, 2024",141.25,142.67,141.07,142.12,141.30,0.97%,"1,290,045"
"Oct 22, 2024",139.60,140.99,138.93,140.75,139.94,-0.21%,"888,857"
"Oct 21, 2024",141.94,142.79,140.70,141.05,140.24,-0.64%,"564,938"
"Oct 18, 2024",141.01,142.20,139.09,141.96,141.15,0.83%,"818,528"
"Oct 17, 2024",142.28,142.50,140.23,140.79,139.98,-1.26%,"585,710"
"Oct 16, 2024",141.31,142.84,141.28,142.58,141.76,0.98%,"651,607"
"Oct 15, 2024",140.40,142.67,140.32,141.20,140.39,0.59%,"833,797"
"Oct 14, 2024",139.24,140.72,138.98,140.37,139.56,1.08%,"597,674"
"Oct 11, 2024",137.00,138.99,136.66,138.87,138.07,1.95%,"689,286"
"Oct 10, 2024",133.60,136.78,133.60,136.22,135.44,0.03%,"876,442"
"Oct 9, 2024",136.89,137.80,135.50,136.18,135.40,-0.88%,"857,934"
"Oct 8, 2024",137.73,138.44,137.19,137.39,136.60,0.29%,"918,738"
"Oct 7, 2024",142.05,142.05,135.70,136.99,136.20,-3.91%,"1,689,176"
"Oct 4, 2024",143.34,144.14,141.71,142.57,141.75,-1.46%,"853,596"
"Oct 3, 2024",145.88,146.25,144.49,144.68,143.85,-0.97%,"847,631"
"Oct 2, 2024",144.60,146.98,144.27,146.10,145.26,0.30%,"1,324,517"
"Oct 1, 2024",146.47,147.21,145.17,145.67,144.83,-0.39%,"1,003,932"
"Sep 30, 2024",145.24,146.28,143.54,146.24,145.40,0.90%,"1,791,166"
"Sep 27, 2024",144.35,145.65,144.14,144.93,144.10,1.22%,"796,620"
"Sep 26, 2024",143.26,144.17,142.57,143.18,142.36,-0.65%,"938,628"
"Sep 25, 2024",145.70,146.01,143.39,144.12,143.29,-0.63%,"1,082,264"
"Sep 24, 2024",146.48,147.99,144.86,145.04,144.21,-1.69%,"1,838,831"
"Sep 23, 2024",147.89,149.10,147.15,147.54,146.69,0.21%,"814,898"
"Sep 20, 2024",149.08,149.13,145.74,147.23,146.38,-1.24%,"3,350,380"
"Sep 19, 2024",148.22,149.28,147.15,149.08,148.22,0.09%,"1,190,606"
"Sep 18, 2024",149.48,150.16,148.11,148.94,148.09,-0.64%,"1,183,226"
"Sep 17, 2024",149.09,150.68,148.83,149.90,149.04,0.54%,"1,028,042"
"Sep 16, 2024",148.94,149.78,148.52,149.09,148.23,0.65%,"714,239"
"Sep 13, 2024",147.53,148.19,146.60,148.13,147.28,0.68%,"738,103"
"Sep 12, 2024",146.89,147.73,145.47,147.13,146.29,0.06%,"706,820"
"Sep 11, 2024",147.75,147.98,144.75,147.04,146.20,-0.78%,"1,052,918"
"Sep 10, 2024",146.43,148.55,145.85,148.20,147.35,1.50%,"958,103"
"Sep 9, 2024",144.05,146.06,143.62,146.01,145.17,1.44%,"837,676"
"Sep 6, 2024",144.91,145.56,143.56,143.94,143.11,-0.39%,"871,870"
"Sep 5, 2024",145.08,145.39,143.96,144.51,143.68,0.25%,"702,491"
"Sep 4, 2024",143.82,145.71,142.99,144.15,143.32,0.47%,"831,632"
"Sep 3, 2024",142.85,145.24,142.52,143.48,142.66,0.25%,"914,521"
"Aug 30, 2024",142.19,143.52,141.06,143.12,142.30,0.92%,"1,833,474"
"Aug 29, 2024",141.86,142.41,140.73,141.82,141.01,0.04%,"811,314"
"Aug 28, 2024",140.83,143.34,139.81,141.77,140.96,1.14%,"983,117"
"Aug 27, 2024",140.51,141.72,139.69,140.17,139.37,-0.63%,"553,083"
"Aug 26, 2024",141.20,142.25,140.51,141.06,140.25,0.46%,"418,788"
"Aug 23, 2024",140.42,141.15,139.55,140.42,139.61,0.29%,"521,426"
"Aug 22, 2024",140.67,141.15,138.89,140.02,139.22,-0.53%,"771,941"
"Aug 21, 2024",141.09,141.39,140.03,140.77,139.96,-0.35%,"632,910"
"Aug 20, 2024",141.73,142.11,140.95,141.27,140.46,-0.21%,"520,577"
"Aug 19, 2024",141.17,142.07,141.07,141.57,140.76,0.42%,"457,857"
"Aug 16, 2024",142.17,142.70,140.65,140.98,140.17,-0.74%,"643,659"
"Aug 15, 2024",141.29,143.00,140.59,142.03,141.21,0.25%,"883,670"
"Aug 14, 2024",141.00,142.80,140.17,141.67,140.86,0.20%,"562,395"
