date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",150.70,153.28,150.26,153.10,153.10,2.55%,"11,479,406"
"Nov 22, 2024",143.61,150.34,143.49,149.29,149.29,4.10%,"13,353,083"
"Nov 21, 2024",146.39,146.42,141.34,143.41,143.41,-1.83%,"7,845,135"
"Nov 20, 2024",146.04,147.30,145.02,146.08,146.08,0.33%,"9,232,114"
"Nov 19, 2024",143.00,145.99,142.69,145.60,145.60,1.20%,"8,247,289"
"Nov 18, 2024",140.26,144.69,138.20,143.87,143.87,2.63%,"12,259,932"
"Nov 15, 2024",138.14,140.33,137.03,140.19,140.19,1.48%,"12,120,095"
"Nov 14, 2024",140.80,141.55,137.22,138.14,138.14,-1.31%,"15,646,710"
"Nov 13, 2024",145.58,145.58,139.10,139.97,139.97,-3.58%,"21,249,600"
"Nov 12, 2024",148.40,148.50,143.85,145.17,145.17,-2.54%,"16,746,650"
"Nov 11, 2024",152.00,152.50,148.07,148.96,148.96,-1.79%,"12,799,077"
"Nov 8, 2024",151.12,152.60,149.43,151.68,151.68,0.46%,"12,996,805"
"Nov 7, 2024",148.80,152.80,148.03,150.98,150.98,2.60%,"14,709,235"
"Nov 6, 2024",152.30,153.20,144.13,147.16,147.16,-2.54%,"28,069,287"
"Nov 5, 2024",157.47,157.66,150.65,151.00,151.00,-2.62%,"23,126,635"
"Nov 4, 2024",154.62,156.72,152.46,155.07,155.07,0.31%,"10,290,387"
"Nov 1, 2024",152.78,156.00,151.23,154.59,154.59,3.54%,"18,894,509"
"Oct 31, 2024",154.31,154.48,147.88,149.31,149.31,-3.23%,"29,388,204"
"Oct 30, 2024",152.51,156.91,152.51,154.29,154.29,0.86%,"50,738,362"
"Oct 29, 2024",147.86,155.99,147.58,152.98,152.98,1.52%,"66,387,677"
"Oct 28, 2024",153.50,155.20,150.61,150.69,150.69,-2.79%,"20,992,479"
"Oct 25, 2024",156.20,157.48,154.52,155.01,155.01,-0.12%,"8,152,969"
"Oct 24, 2024",152.61,155.89,151.98,155.20,155.20,-1.18%,"9,774,355"
"Oct 23, 2024",160.00,161.47,153.53,157.06,157.06,-1.76%,"15,931,493"
"Oct 22, 2024",160.50,160.66,158.37,159.88,159.88,0.04%,"7,380,826"
"Oct 21, 2024",160.25,163.44,158.36,159.82,159.82,3.11%,"13,277,553"
"Oct 18, 2024",155.84,156.37,153.90,155.00,155.00,-0.20%,"6,030,173"
"Oct 17, 2024",155.00,157.14,154.25,155.31,155.31,0.26%,"6,291,759"
"Oct 16, 2024",151.91,154.99,151.34,154.90,154.90,1.67%,"8,356,210"
"Oct 15, 2024",150.50,153.95,148.55,152.35,152.35,2.26%,"11,241,668"
"Oct 14, 2024",148.00,150.09,146.02,148.99,148.99,-1.34%,"9,736,998"
"Oct 11, 2024",146.30,151.12,146.30,151.02,151.02,3.00%,"10,688,553"
"Oct 10, 2024",149.07,149.11,146.26,146.62,146.62,-1.84%,"11,275,836"
"Oct 9, 2024",152.05,152.19,148.80,149.37,149.37,-3.41%,"12,488,480"
"Oct 8, 2024",155.99,156.70,154.14,154.65,154.65,-0.81%,"5,336,289"
"Oct 7, 2024",155.00,158.76,154.68,155.91,155.91,0.59%,"6,267,890"
"Oct 4, 2024",152.26,155.00,150.85,155.00,155.00,2.98%,"6,680,591"
"Oct 3, 2024",152.12,152.74,150.51,150.52,150.52,-1.55%,"5,704,814"
"Oct 2, 2024",153.77,154.85,152.84,152.89,152.89,-0.86%,"4,357,023"
"Oct 1, 2024",151.46,156.40,149.49,154.22,154.22,1.43%,"12,588,778"
"Sep 30, 2024",154.79,155.30,151.24,152.04,152.04,-2.74%,"10,925,178"
"Sep 27, 2024",155.37,157.33,154.39,156.32,156.32,1.13%,"7,636,991"
"Sep 26, 2024",153.94,157.33,152.66,154.58,154.58,1.55%,"11,414,380"
"Sep 25, 2024",156.42,157.22,152.05,152.22,152.22,-2.30%,"9,587,697"
"Sep 24, 2024",155.80,155.90,153.69,155.81,155.81,-0.31%,"7,414,902"
"Sep 23, 2024",153.00,158.43,151.65,156.30,156.30,1.96%,"12,476,805"
"Sep 20, 2024",154.01,154.64,152.60,153.29,153.29,-0.84%,"13,919,395"
"Sep 19, 2024",157.00,157.18,154.27,154.59,154.59,-0.34%,"9,570,002"
"Sep 18, 2024",157.00,158.45,154.80,155.11,155.11,-0.82%,"7,714,430"
"Sep 17, 2024",156.17,158.88,155.14,156.39,156.39,0.54%,"8,123,236"
"Sep 16, 2024",156.25,157.76,154.02,155.55,155.55,-0.78%,"9,955,158"
"Sep 13, 2024",159.78,162.89,155.60,156.77,156.77,-3.69%,"19,003,354"
"Sep 12, 2024",159.42,163.50,159.06,162.77,162.77,0.89%,"4,756,367"
"Sep 11, 2024",159.79,161.87,156.10,161.33,161.33,0.79%,"6,664,756"
"Sep 10, 2024",162.61,163.90,157.93,160.07,160.07,-1.74%,"6,367,077"
"Sep 9, 2024",162.30,164.55,161.11,162.91,162.91,3.36%,"9,091,545"
"Sep 6, 2024",162.50,162.85,156.70,157.62,157.62,-2.79%,"7,328,641"
"Sep 5, 2024",164.15,164.62,160.10,162.15,162.15,-0.66%,"4,717,520"
"Sep 4, 2024",160.28,166.70,160.28,163.22,163.22,1.37%,"7,083,303"
"Sep 3, 2024",167.03,169.60,158.30,161.02,161.02,-7.32%,"17,925,418"
"Aug 30, 2024",173.14,174.36,171.49,173.74,173.74,0.86%,"4,146,190"
"Aug 29, 2024",171.71,175.28,170.62,172.26,172.26,0.91%,"4,119,472"
"Aug 28, 2024",172.30,174.25,170.15,170.71,170.71,-1.35%,"4,550,273"
"Aug 27, 2024",173.62,173.93,171.25,173.05,173.05,-0.25%,"3,295,800"
"Aug 26, 2024",173.00,174.92,172.30,173.48,173.48,-0.85%,"4,034,303"
"Aug 23, 2024",173.88,176.92,173.17,174.96,174.96,1.27%,"4,405,948"
"Aug 22, 2024",173.00,175.21,172.30,172.76,172.76,-0.39%,"2,788,031"
"Aug 21, 2024",173.00,174.20,171.04,173.43,173.43,0.77%,"4,493,631"
"Aug 20, 2024",176.49,177.50,170.04,172.10,172.10,-4.20%,"9,549,138"
"Aug 19, 2024",180.04,180.70,177.63,179.64,179.64,-0.19%,"3,894,182"
"Aug 16, 2024",176.30,180.51,176.30,179.99,179.99,2.03%,"6,731,504"
"Aug 15, 2024",170.00,176.56,169.98,176.41,176.41,4.69%,"5,942,222"
"Aug 14, 2024",167.89,169.75,167.33,168.50,168.50,-0.15%,"3,852,650"
"Aug 13, 2024",164.50,168.88,162.62,168.76,168.76,2.82%,"6,475,461"
"Aug 12, 2024",167.73,168.05,163.52,164.13,164.13,-2.25%,"4,715,584"
"Aug 9, 2024",168.39,169.85,166.90,167.91,167.91,-0.57%,"3,635,590"
"Aug 8, 2024",164.23,169.35,164.00,168.87,168.87,3.45%,"6,063,808"
"Aug 7, 2024",167.00,167.98,162.99,163.24,163.24,-1.09%,"5,186,448"
"Aug 6, 2024",168.89,169.19,163.39,165.04,165.04,-1.19%,"5,817,257"
"Aug 5, 2024",162.52,167.68,162.50,167.03,167.03,-1.72%,"9,255,072"
"Aug 2, 2024",175.22,175.46,167.25,169.95,169.95,-4.69%,"11,742,812"
"Aug 1, 2024",190.00,191.17,176.69,178.31,178.31,-6.45%,"13,886,965"
"Jul 31, 2024",189.88,196.95,183.86,190.60,190.60,2.00%,"15,416,951"
"Jul 30, 2024",186.10,188.13,185.15,186.86,186.86,0.77%,"4,789,017"
"Jul 29, 2024",186.70,187.08,183.83,185.43,185.43,-0.78%,"3,608,584"
"Jul 26, 2024",185.86,189.59,184.63,186.89,186.89,1.38%,"6,271,995"
"Jul 25, 2024",179.45,188.35,179.45,184.35,184.35,2.38%,"6,128,022"
"Jul 24, 2024",185.62,187.00,179.97,180.07,180.07,-3.44%,"5,109,135"
"Jul 23, 2024",179.10,187.04,179.00,186.48,186.48,4.24%,"7,614,345"
"Jul 22, 2024",181.36,182.72,177.23,178.90,178.90,-0.43%,"4,883,531"
"Jul 19, 2024",181.40,181.50,177.39,179.67,179.67,-0.31%,"5,121,317"
"Jul 18, 2024",184.24,187.37,179.88,180.23,180.23,-2.49%,"5,354,761"
"Jul 17, 2024",185.32,188.45,183.79,184.84,184.84,-0.65%,"4,899,566"
"Jul 16, 2024",180.05,187.44,179.20,186.05,186.05,3.87%,"8,546,392"
"Jul 15, 2024",183.50,183.72,178.88,179.11,179.11,-1.76%,"5,189,034"
"Jul 12, 2024",183.73,184.49,180.45,182.31,182.31,-0.87%,"5,129,294"
"Jul 11, 2024",184.17,186.10,183.40,183.91,183.91,0.10%,"4,843,225"
"Jul 10, 2024",183.60,184.90,182.80,183.73,183.73,0.27%,"3,583,175"
"Jul 9, 2024",185.11,186.25,183.15,183.24,183.24,-1.40%,"3,955,122"
"Jul 8, 2024",186.94,191.50,182.28,185.84,185.84,0.55%,"9,878,141"
