date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",224.18,226.13,223.91,225.48,225.48,0.66%,"1,914,590"
"Nov 22, 2024",225.97,226.24,223.13,224.00,224.00,-0.64%,"1,677,611"
"Nov 21, 2024",222.05,225.80,221.03,225.45,225.45,1.38%,"1,618,785"
"Nov 20, 2024",222.18,222.91,220.81,222.39,222.39,-0.11%,"1,421,005"
"Nov 19, 2024",222.51,223.00,220.54,222.64,222.64,-0.65%,"1,379,194"
"Nov 18, 2024",225.20,228.08,223.98,224.10,224.10,-0.47%,"1,319,618"
"Nov 15, 2024",227.00,228.31,223.49,225.15,225.15,-0.89%,"1,965,697"
"Nov 14, 2024",230.44,230.44,225.50,227.17,227.17,-1.75%,"2,820,954"
"Nov 13, 2024",230.97,232.00,229.07,231.22,231.22,-0.02%,"1,215,240"
"Nov 12, 2024",235.28,235.87,231.07,231.27,231.27,-1.42%,"1,187,099"
"Nov 11, 2024",232.39,236.00,231.96,234.61,234.61,1.28%,"1,439,657"
"Nov 8, 2024",228.68,233.82,226.25,231.64,231.64,1.99%,"3,891,353"
"Nov 7, 2024",238.85,243.00,226.82,227.11,227.11,-5.39%,"4,041,905"
"Nov 6, 2024",244.33,244.33,236.00,240.06,240.06,1.16%,"2,226,228"
"Nov 5, 2024",233.23,238.32,231.06,237.30,237.30,1.27%,"1,878,024"
"Nov 4, 2024",235.21,237.42,232.98,234.33,234.33,-0.39%,"1,620,501"
"Nov 1, 2024",234.50,236.72,232.68,235.24,235.24,0.71%,"1,278,383"
"Oct 31, 2024",235.23,236.74,233.45,233.59,233.59,-1.28%,"1,429,883"
"Oct 30, 2024",236.00,237.64,235.77,236.61,236.61,-0.38%,"849,458"
"Oct 29, 2024",238.77,240.08,237.44,237.51,237.51,-0.59%,"625,301"
"Oct 28, 2024",238.60,240.90,237.87,238.91,238.91,0.33%,"925,159"
"Oct 25, 2024",238.75,239.41,236.89,238.13,238.13,-0.21%,"1,001,988"
"Oct 24, 2024",240.80,241.87,238.51,238.62,238.62,-0.79%,"836,766"
"Oct 23, 2024",239.31,240.64,237.51,240.52,240.52,0.34%,"943,889"
"Oct 22, 2024",240.13,240.45,238.67,239.71,239.71,-0.34%,"697,788"
"Oct 21, 2024",243.34,243.34,239.95,240.52,240.52,-1.33%,"586,807"
"Oct 18, 2024",241.76,244.13,240.21,243.75,243.75,1.42%,"1,082,880"
"Oct 17, 2024",240.42,241.06,238.99,240.33,240.33,0.04%,"964,418"
"Oct 16, 2024",241.40,242.94,239.23,240.24,240.24,-0.65%,"1,125,732"
"Oct 15, 2024",240.46,244.50,239.93,241.82,241.82,0.75%,"1,127,275"
"Oct 14, 2024",236.62,240.47,235.45,240.02,240.02,1.49%,"737,059"
"Oct 11, 2024",236.13,237.43,235.26,236.50,236.50,0.41%,"896,619"
"Oct 10, 2024",238.61,238.61,234.92,235.54,235.54,-1.12%,"850,745"
"Oct 9, 2024",236.95,238.97,235.34,238.21,238.21,0.44%,"763,127"
"Oct 8, 2024",236.85,238.02,235.40,237.17,237.17,-0.12%,"841,902"
"Oct 7, 2024",238.22,239.32,236.13,237.46,237.46,-0.32%,"1,276,871"
"Oct 4, 2024",237.62,238.91,236.58,238.22,238.22,0.36%,"712,860"
"Oct 3, 2024",239.16,239.78,237.30,237.36,237.36,-1.00%,"904,919"
"Oct 2, 2024",241.44,242.08,239.18,239.76,239.76,-0.79%,"1,235,210"
"Oct 1, 2024",243.79,244.00,240.04,241.67,241.67,0.24%,"1,279,178"
"Sep 30, 2024",241.55,242.41,238.03,241.10,241.10,-0.17%,"1,250,199"
"Sep 27, 2024",238.37,243.81,237.84,241.51,241.51,1.79%,"1,284,525"
"Sep 26, 2024",235.14,237.82,233.59,237.27,237.27,0.88%,"1,042,000"
"Sep 25, 2024",236.54,237.00,232.87,235.20,235.20,-0.74%,"1,777,623"
"Sep 24, 2024",235.74,238.70,233.22,236.95,236.95,0.95%,"1,370,881"
"Sep 23, 2024",233.95,235.22,232.21,234.73,234.73,0.53%,"1,495,754"
"Sep 20, 2024",233.31,234.19,231.53,233.50,233.50,-0.48%,"2,231,966"
"Sep 19, 2024",234.30,235.67,232.55,234.63,234.63,1.31%,"2,218,089"
"Sep 18, 2024",231.58,235.04,229.64,231.59,231.59,0.14%,"1,119,131"
"Sep 17, 2024",233.50,234.72,229.60,231.27,231.27,-1.18%,"965,705"
"Sep 16, 2024",235.78,236.99,232.85,234.04,234.04,-0.06%,"950,968"
"Sep 13, 2024",235.66,237.50,233.79,234.18,234.18,-0.56%,"772,554"
"Sep 12, 2024",233.42,235.56,231.48,235.50,235.50,0.77%,"1,020,393"
"Sep 11, 2024",234.15,234.97,229.31,233.69,233.69,-0.85%,"1,402,110"
"Sep 10, 2024",236.94,237.89,233.88,235.69,235.69,-0.64%,"1,235,055"
"Sep 9, 2024",232.68,238.98,232.38,237.22,237.22,1.96%,"1,429,257"
