date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",159.99,160.63,158.36,158.71,158.71,0.51%,"2,091,507"
"Nov 22, 2024",158.10,159.72,157.28,157.90,157.90,-0.07%,"1,703,784"
"Nov 21, 2024",157.17,159.10,154.74,158.01,158.01,1.29%,"1,886,119"
"Nov 20, 2024",155.03,156.18,153.62,156.00,156.00,0.37%,"1,630,800"
"Nov 19, 2024",157.02,157.90,155.28,155.43,155.43,-1.59%,"1,296,858"
"Nov 18, 2024",158.19,160.11,157.40,157.94,157.94,-1.28%,"1,633,153"
"Nov 15, 2024",165.46,166.34,159.60,159.99,159.99,-2.97%,"1,917,074"
"Nov 14, 2024",165.00,175.86,163.35,164.89,164.89,-0.54%,"3,210,556"
"Nov 13, 2024",167.74,168.98,165.53,165.79,165.79,-1.48%,"1,394,716"
"Nov 12, 2024",171.36,171.61,167.71,168.28,168.28,-2.18%,"1,406,476"
"Nov 11, 2024",173.92,173.92,171.11,172.03,172.03,-0.58%,"1,458,327"
"Nov 8, 2024",173.58,175.20,171.57,173.04,173.04,-0.51%,"1,581,739"
"Nov 7, 2024",175.69,176.95,172.80,173.92,173.92,-0.28%,"1,438,368"
"Nov 6, 2024",176.87,179.20,173.66,174.40,174.40,-1.43%,"1,828,000"
"Nov 5, 2024",172.71,177.25,170.72,176.93,176.93,1.97%,"2,472,150"
"Nov 4, 2024",173.22,174.85,170.71,173.52,173.52,-0.16%,"2,494,932"
"Nov 1, 2024",173.65,175.99,173.14,173.79,173.79,-0.12%,"1,456,185"
"Oct 31, 2024",178.11,179.48,173.88,174.00,174.00,-3.96%,"1,755,618"
"Oct 30, 2024",184.63,185.00,177.93,181.18,181.18,-1.25%,"1,632,893"
"Oct 29, 2024",184.82,187.28,183.19,183.47,183.47,-0.83%,"1,342,663"
"Oct 28, 2024",182.48,185.60,181.73,185.01,185.01,1.83%,"1,893,596"
"Oct 25, 2024",185.70,187.58,181.25,181.69,181.69,-1.18%,"1,720,227"
"Oct 24, 2024",184.79,185.72,183.28,183.86,183.86,0.48%,"1,057,153"
"Oct 23, 2024",184.88,185.82,182.11,182.98,182.98,-1.57%,"977,680"
"Oct 22, 2024",183.81,186.54,182.80,185.90,185.90,0.68%,"830,923"
"Oct 21, 2024",190.16,190.40,184.02,184.65,184.65,-2.90%,"1,252,578"
"Oct 18, 2024",188.22,191.19,187.94,190.16,190.16,0.32%,"928,129"
"Oct 17, 2024",188.55,190.19,187.70,189.55,189.55,0.29%,"728,862"
"Oct 16, 2024",191.68,192.16,188.90,189.00,189.00,-1.33%,"985,105"
"Oct 15, 2024",191.87,194.13,190.67,191.55,191.55,-0.01%,"1,429,267"
"Oct 14, 2024",188.59,191.96,186.61,191.56,191.56,1.69%,"1,273,974"
"Oct 11, 2024",189.00,189.43,186.91,188.38,188.38,-0.11%,"1,429,506"
"Oct 10, 2024",184.56,188.88,184.30,188.59,188.59,1.52%,"1,323,453"
"Oct 9, 2024",182.46,185.80,181.31,185.76,185.76,1.90%,"1,160,970"
"Oct 8, 2024",182.73,183.55,181.31,182.30,182.30,-0.57%,"1,207,722"
"Oct 7, 2024",184.76,185.93,182.48,183.34,183.34,-1.26%,"983,646"
"Oct 4, 2024",186.68,186.80,183.82,185.68,185.68,0.49%,"1,137,219"
"Oct 3, 2024",187.21,188.14,183.56,184.78,184.78,-2.10%,"2,037,068"
"Oct 2, 2024",190.08,191.86,188.05,188.74,188.74,-1.08%,"1,472,525"
"Oct 1, 2024",194.61,195.00,190.27,190.80,190.80,-1.57%,"2,236,314"
"Sep 30, 2024",193.36,194.48,192.28,193.84,193.84,-0.43%,"989,710"
"Sep 27, 2024",194.49,197.70,193.98,194.67,194.67,0.55%,"709,807"
"Sep 26, 2024",191.17,193.73,190.50,193.60,193.60,2.40%,"818,318"
"Sep 25, 2024",193.84,194.56,188.78,189.07,189.07,-2.60%,"1,543,799"
"Sep 24, 2024",199.99,199.99,193.54,194.12,194.12,-0.86%,"1,188,070"
"Sep 23, 2024",199.20,199.20,195.67,195.81,195.81,-1.78%,"1,325,639"
"Sep 20, 2024",200.01,200.37,196.97,199.36,199.36,-1.03%,"3,833,539"
"Sep 19, 2024",200.57,204.18,200.11,201.44,201.44,1.95%,"1,125,367"
"Sep 18, 2024",198.13,199.78,196.81,197.59,197.59,-0.31%,"670,703"
"Sep 17, 2024",199.83,202.79,197.09,198.21,198.21,-0.69%,"923,985"
"Sep 16, 2024",197.26,199.74,194.75,199.58,199.58,2.02%,"1,034,534"
"Sep 13, 2024",197.66,197.70,192.25,195.63,195.63,-1.14%,"1,090,828"
"Sep 12, 2024",199.05,199.26,194.90,197.89,197.89,-0.60%,"852,116"
"Sep 11, 2024",198.95,199.28,196.02,199.09,199.09,-0.77%,"795,231"
"Sep 10, 2024",199.49,201.19,197.82,200.64,200.64,0.69%,"557,446"
"Sep 9, 2024",200.44,201.06,198.11,199.27,199.27,-0.77%,"883,333"
"Sep 6, 2024",202.53,203.24,198.55,200.81,200.81,-0.49%,"834,800"
"Sep 5, 2024",205.19,205.19,198.19,201.80,201.80,-1.54%,"1,127,556"
