date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",59.98,60.68,58.63,58.78,58.78,-0.15%,"14,119,725"
"Nov 22, 2024",58.35,58.92,57.62,58.87,58.87,1.10%,"7,412,808"
"Nov 21, 2024",58.16,58.48,57.47,58.23,58.23,0.60%,"7,441,383"
"Nov 20, 2024",58.61,58.83,57.67,57.88,57.88,-0.60%,"11,239,654"
"Nov 19, 2024",56.50,58.65,56.10,58.23,58.23,2.52%,"13,129,945"
"Nov 18, 2024",56.18,56.84,55.84,56.80,56.80,1.03%,"10,705,173"
"Nov 15, 2024",58.16,58.36,55.82,56.22,56.22,-3.90%,"21,259,228"
"Nov 14, 2024",58.91,59.73,58.26,58.50,58.50,0.15%,"11,494,244"
"Nov 13, 2024",59.21,59.49,57.84,58.41,58.41,-1.03%,"11,214,962"
"Nov 12, 2024",59.82,60.62,58.81,59.02,59.02,-1.34%,"15,141,264"
"Nov 11, 2024",60.72,61.08,59.53,59.82,59.82,10.49%,"27,898,366"
"Nov 8, 2024",54.70,54.79,53.97,54.14,54.14,-1.04%,"9,218,631"
"Nov 7, 2024",55.19,55.52,54.49,54.71,54.71,-1.03%,"12,042,156"
"Nov 6, 2024",56.34,56.80,55.14,55.28,55.28,-1.20%,"11,775,982"
"Nov 5, 2024",55.14,56.28,54.72,55.95,55.95,0.90%,"9,278,022"
"Nov 4, 2024",54.33,55.77,54.32,55.45,55.45,2.08%,"10,808,504"
"Nov 1, 2024",55.88,55.90,54.20,54.32,54.32,-2.60%,"12,894,832"
"Oct 31, 2024",53.80,56.20,53.56,55.77,55.77,5.91%,"18,743,964"
"Oct 30, 2024",52.50,53.15,52.29,52.66,52.66,0.30%,"9,654,140"
"Oct 29, 2024",52.34,52.74,52.14,52.50,52.50,-0.27%,"8,371,612"
"Oct 28, 2024",51.95,52.76,51.81,52.64,52.64,1.39%,"8,528,863"
"Oct 25, 2024",52.68,52.90,51.82,51.92,51.92,-1.89%,"7,127,425"
"Oct 24, 2024",52.90,53.40,52.42,52.92,52.92,-0.26%,"7,103,152"
"Oct 23, 2024",52.80,53.11,52.54,53.06,53.06,0.57%,"5,833,437"
"Oct 22, 2024",52.03,53.06,52.03,52.76,52.76,1.23%,"7,122,751"
"Oct 21, 2024",53.28,53.30,52.10,52.12,52.12,-2.07%,"5,353,059"
"Oct 18, 2024",53.26,53.33,52.34,53.22,53.22,0.08%,"7,184,496"
"Oct 17, 2024",53.19,53.58,52.83,53.18,53.18,-0.36%,"7,948,531"
"Oct 16, 2024",52.63,53.58,52.51,53.37,53.37,1.16%,"7,624,283"
"Oct 15, 2024",51.31,53.39,51.31,52.76,52.76,0.17%,"10,579,060"
"Oct 14, 2024",52.14,52.71,51.94,52.67,52.67,0.90%,"6,891,045"
"Oct 11, 2024",52.58,52.66,52.00,52.20,52.20,-0.38%,"6,041,711"
