date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",231.69,234.45,229.95,233.23,233.23,1.30%,"815,534"
"Nov 22, 2024",229.29,230.31,227.20,230.24,230.24,1.22%,"943,602"
"Nov 21, 2024",226.70,228.69,224.96,227.47,227.47,0.92%,"974,932"
"Nov 20, 2024",224.85,226.03,222.01,225.39,225.39,0.24%,"457,418"
"Nov 19, 2024",225.49,226.87,223.98,224.84,224.84,-0.99%,"382,865"
"Nov 18, 2024",227.26,229.34,226.84,227.08,227.08,-0.31%,"418,085"
"Nov 15, 2024",227.13,229.64,225.94,227.78,227.78,0.10%,"583,317"
"Nov 14, 2024",228.81,229.19,226.34,227.56,227.56,-0.63%,"562,307"
"Nov 13, 2024",226.34,230.00,226.34,229.01,229.01,0.95%,"434,043"
"Nov 12, 2024",226.94,228.75,225.98,226.86,226.86,0.29%,"500,297"
"Nov 11, 2024",226.00,228.06,225.15,226.21,226.21,0.44%,"536,479"
"Nov 8, 2024",221.57,226.16,221.57,225.21,225.21,1.82%,"466,059"
"Nov 7, 2024",220.14,222.15,218.37,221.18,221.18,0.78%,"433,939"
"Nov 6, 2024",225.18,225.29,216.31,219.46,219.46,0.53%,"753,771"
"Nov 5, 2024",208.59,218.49,208.20,218.30,218.30,4.13%,"651,590"
"Nov 4, 2024",210.77,211.45,209.12,209.64,209.64,-0.27%,"653,949"
"Nov 1, 2024",211.22,212.62,209.83,210.21,210.21,-0.31%,"525,248"
"Oct 31, 2024",211.30,212.53,209.52,210.86,210.86,-0.77%,"610,913"
"Oct 30, 2024",214.57,215.55,212.32,212.50,212.50,-0.08%,"456,526"
"Oct 29, 2024",213.58,215.24,212.64,212.66,212.66,-0.49%,"447,020"
"Oct 28, 2024",215.13,216.11,212.91,213.70,213.70,-0.15%,"378,459"
"Oct 25, 2024",217.53,217.55,212.66,214.03,214.03,-1.26%,"271,083"
"Oct 24, 2024",216.10,217.79,214.79,216.76,216.76,0.18%,"454,938"
"Oct 23, 2024",216.75,218.44,215.64,216.36,216.36,-0.25%,"230,635"
"Oct 22, 2024",218.00,218.41,216.27,216.90,216.90,-0.87%,"323,373"
"Oct 21, 2024",218.10,219.39,217.25,218.81,218.81,-0.13%,"421,904"
"Oct 18, 2024",218.72,219.41,217.65,219.10,219.10,0.39%,"288,568"
"Oct 17, 2024",219.92,220.46,217.28,218.25,218.25,-0.45%,"408,966"
"Oct 16, 2024",221.16,222.80,218.97,219.23,219.23,-1.14%,"412,162"
"Oct 15, 2024",222.28,224.32,220.70,221.75,221.75,0.11%,"411,215"
"Oct 14, 2024",221.00,222.53,220.30,221.51,221.51,0.35%,"334,100"
"Oct 11, 2024",217.63,222.80,217.63,220.74,220.74,1.80%,"591,262"
"Oct 10, 2024",218.56,219.25,216.17,216.83,216.83,-1.31%,"419,366"
"Oct 9, 2024",217.87,220.82,217.51,219.71,219.71,1.34%,"364,058"
"Oct 8, 2024",216.07,217.42,214.91,216.81,216.81,0.76%,"636,642"
"Oct 7, 2024",213.57,215.89,213.20,215.18,215.18,-0.07%,"389,822"
"Oct 4, 2024",215.36,216.15,213.12,215.33,215.33,0.15%,"341,319"
"Oct 3, 2024",213.22,215.17,212.37,215.00,215.00,0.58%,"393,220"
"Oct 2, 2024",213.62,215.82,212.09,213.75,213.75,-0.44%,"499,244"
"Oct 1, 2024",215.05,215.56,212.28,214.69,214.69,-0.16%,"556,193"
"Sep 30, 2024",211.60,215.26,211.60,215.03,215.03,1.41%,"725,205"
"Sep 27, 2024",212.27,214.29,210.97,212.03,212.03,0.13%,"613,692"
"Sep 26, 2024",208.91,212.09,208.41,211.75,211.75,1.62%,"757,545"
"Sep 25, 2024",211.43,211.43,208.14,208.37,208.37,-1.03%,"356,192"
