date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",111.59,112.97,111.31,111.74,111.74,-0.28%,"1,844,508"
"Nov 22, 2024",110.76,112.42,110.76,112.05,112.05,1.17%,"998,339"
"Nov 21, 2024",109.89,111.38,109.48,110.75,110.75,1.04%,"1,085,012"
"Nov 20, 2024",109.47,109.95,108.47,109.61,109.61,0.24%,"1,031,187"
"Nov 19, 2024",108.93,109.75,108.18,109.35,109.35,-0.39%,"827,313"
"Nov 18, 2024",109.06,110.28,109.06,109.78,109.78,-0.25%,"1,231,628"
"Nov 15, 2024",109.12,110.28,108.34,110.05,110.05,0.47%,"1,501,946"
"Nov 14, 2024",111.48,111.96,109.45,109.53,109.53,-2.13%,"1,210,668"
"Nov 13, 2024",112.45,112.98,111.81,111.91,111.91,-0.45%,"1,254,926"
"Nov 12, 2024",111.94,112.97,111.82,112.42,112.42,0.51%,"749,256"
"Nov 11, 2024",112.95,113.47,111.68,111.85,111.85,-0.52%,"1,132,236"
"Nov 8, 2024",111.51,113.26,111.04,112.43,112.43,1.88%,"1,210,905"
"Nov 7, 2024",110.92,111.06,109.67,110.35,110.35,-0.42%,"1,265,982"
"Nov 6, 2024",114.08,114.08,107.53,110.81,110.81,2.98%,"1,725,330"
"Nov 5, 2024",105.28,107.61,105.18,107.60,107.46,2.04%,"1,030,575"
"Nov 4, 2024",104.57,105.48,104.10,105.45,105.31,1.23%,"797,276"
"Nov 1, 2024",105.00,105.45,104.13,104.17,104.03,-0.45%,"923,729"
"Oct 31, 2024",105.26,106.10,104.62,104.64,104.50,-1.12%,"1,218,913"
"Oct 30, 2024",105.33,106.13,105.05,105.83,105.69,0.75%,"1,611,857"
"Oct 29, 2024",103.69,106.91,103.36,105.04,104.90,1.64%,"2,454,491"
"Oct 28, 2024",104.95,105.22,103.00,103.35,103.21,-0.61%,"1,909,520"
"Oct 25, 2024",105.46,105.68,103.89,103.98,103.84,-1.23%,"1,157,159"
"Oct 24, 2024",106.21,106.55,105.25,105.28,105.14,-0.70%,"1,110,012"
"Oct 23, 2024",105.13,106.31,104.96,106.02,105.88,0.54%,"1,197,980"
"Oct 22, 2024",105.37,105.84,104.12,105.45,105.31,-0.57%,"1,769,538"
"Oct 21, 2024",106.35,106.49,105.39,106.05,105.91,-0.32%,"1,551,806"
"Oct 18, 2024",107.38,107.38,105.45,106.39,106.25,-0.51%,"4,537,563"
"Oct 17, 2024",107.30,107.67,106.50,106.93,106.79,0.56%,"1,378,308"
"Oct 16, 2024",105.58,106.58,105.40,106.33,106.19,0.44%,"1,184,180"
"Oct 15, 2024",106.62,107.67,105.69,105.86,105.72,-0.08%,"1,271,004"
"Oct 14, 2024",105.23,106.25,104.92,105.94,105.80,1.14%,"1,077,756"
"Oct 11, 2024",104.25,105.10,104.05,104.75,104.61,1.04%,"739,020"
"Oct 10, 2024",106.48,106.67,102.84,103.67,103.53,-2.07%,"1,175,171"
"Oct 9, 2024",105.22,106.37,104.82,105.86,105.72,0.58%,"1,170,949"
"Oct 8, 2024",103.38,105.93,103.38,105.25,105.11,3.05%,"1,538,308"
"Oct 7, 2024",105.24,105.60,101.55,102.13,101.99,-3.33%,"1,857,288"
"Oct 4, 2024",104.89,105.76,104.47,105.65,105.51,0.97%,"1,080,895"
"Oct 3, 2024",105.00,105.40,104.26,104.63,104.49,-0.39%,"1,431,505"
"Oct 2, 2024",104.99,105.28,104.54,105.04,104.90,0.03%,"1,563,379"
"Oct 1, 2024",104.00,105.67,103.53,105.01,104.87,1.36%,"1,876,010"
"Sep 30, 2024",102.99,103.68,102.18,103.60,103.46,0.93%,"1,872,525"
"Sep 27, 2024",102.68,103.18,102.40,102.65,102.51,-0.35%,"1,460,894"
"Sep 26, 2024",103.12,103.73,102.52,103.01,102.87,-0.33%,"1,704,386"
"Sep 25, 2024",104.00,104.58,102.90,103.35,103.21,-0.01%,"1,523,810"
"Sep 24, 2024",101.86,103.38,101.02,103.36,103.22,1.13%,"3,376,551"
"Sep 23, 2024",101.27,102.24,100.80,102.21,102.07,1.19%,"2,341,631"
"Sep 20, 2024",101.30,101.45,99.69,101.01,100.87,-0.43%,"3,805,157"
"Sep 19, 2024",102.67,102.67,101.17,101.45,101.31,-1.03%,"3,374,370"
"Sep 18, 2024",103.33,103.86,102.19,102.51,102.37,-0.67%,"2,614,112"
"Sep 17, 2024",104.06,104.13,102.87,103.20,103.06,-0.87%,"1,007,755"
"Sep 16, 2024",103.82,104.68,103.57,104.11,103.97,0.95%,"1,600,000"
"Sep 13, 2024",102.03,103.27,101.39,103.13,102.99,0.94%,"1,578,078"
"Sep 12, 2024",100.60,102.36,100.00,102.17,102.03,1.46%,"1,194,539"
"Sep 11, 2024",102.78,102.78,99.40,100.70,100.56,-2.36%,"1,741,497"
"Sep 10, 2024",103.92,104.90,103.07,103.13,102.99,-0.57%,"1,439,828"
"Sep 9, 2024",104.63,105.10,103.34,103.72,103.58,-0.21%,"1,406,469"
"Sep 6, 2024",104.63,105.21,103.75,103.94,103.80,-0.66%,"1,035,733"
"Sep 5, 2024",105.90,105.90,103.63,104.63,104.49,-1.12%,"994,759"
"Sep 4, 2024",105.14,106.02,104.99,105.82,105.68,0.82%,"738,930"
"Sep 3, 2024",105.13,105.71,104.45,104.96,104.82,-0.16%,"1,174,693"
"Aug 30, 2024",104.86,105.45,104.30,105.13,104.99,0.46%,"1,437,928"
"Aug 29, 2024",103.88,105.02,103.37,104.65,104.51,0.74%,"924,836"
"Aug 28, 2024",103.28,104.15,102.68,103.88,103.74,0.85%,"686,290"
"Aug 27, 2024",102.39,103.10,102.20,103.00,102.86,0.75%,"591,308"
"Aug 26, 2024",102.11,102.64,101.73,102.23,102.09,0.23%,"896,654"
