date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",81.54,82.26,80.94,82.12,82.12,1.81%,"3,005,859"
"Nov 22, 2024",80.95,81.85,80.42,80.66,80.66,-0.14%,"1,326,432"
"Nov 21, 2024",80.00,81.68,79.65,80.77,80.77,1.52%,"792,410"
"Nov 20, 2024",78.88,79.74,78.72,79.56,79.56,0.18%,"731,630"
"Nov 19, 2024",77.88,79.76,77.59,79.42,79.42,1.29%,"820,118"
"Nov 18, 2024",78.34,78.82,77.28,78.41,78.41,-0.15%,"1,066,375"
"Nov 15, 2024",79.16,79.16,77.48,78.53,78.53,-1.18%,"1,379,695"
"Nov 14, 2024",79.91,80.96,79.37,79.47,79.47,0.10%,"1,273,789"
"Nov 13, 2024",80.23,80.70,78.87,79.39,79.39,0.46%,"1,128,320"
"Nov 12, 2024",81.33,82.10,78.89,79.03,79.03,-3.57%,"1,112,142"
"Nov 11, 2024",83.32,83.48,81.56,81.96,81.96,-1.13%,"962,540"
"Nov 8, 2024",82.74,83.13,82.03,82.90,82.90,0.34%,"1,280,050"
"Nov 7, 2024",80.26,82.87,80.21,82.62,82.62,2.06%,"2,028,830"
"Nov 6, 2024",82.84,83.95,78.27,80.95,80.95,-0.53%,"2,451,611"
"Nov 5, 2024",79.83,81.85,79.70,81.38,81.38,1.31%,"899,482"
"Nov 4, 2024",79.02,80.88,78.99,80.33,80.33,1.48%,"873,060"
"Nov 1, 2024",81.52,81.91,78.70,79.16,79.16,-1.74%,"1,595,614"
"Oct 31, 2024",81.63,82.30,80.51,80.56,80.56,-2.65%,"1,890,009"
"Oct 30, 2024",85.32,85.79,81.76,82.75,82.75,-3.99%,"2,179,907"
"Oct 29, 2024",87.52,88.10,86.06,86.19,86.19,-1.37%,"1,311,365"
"Oct 28, 2024",87.89,88.72,87.35,87.39,87.39,0.46%,"977,778"
"Oct 25, 2024",88.00,88.11,86.70,86.99,86.99,-0.70%,"990,175"
"Oct 24, 2024",87.12,87.88,86.61,87.60,87.60,0.74%,"922,300"
"Oct 23, 2024",87.52,88.57,86.38,86.96,86.96,0.16%,"1,244,133"
"Oct 22, 2024",86.68,87.62,86.32,86.82,86.82,-0.13%,"765,890"
"Oct 21, 2024",89.39,89.75,86.83,86.93,86.93,-3.11%,"1,303,053"
"Oct 18, 2024",89.01,90.11,88.08,89.72,89.72,0.90%,"1,058,557"
"Oct 17, 2024",87.04,89.12,86.71,88.92,88.92,1.74%,"972,141"
"Oct 16, 2024",87.00,87.79,86.90,87.40,87.40,1.06%,"907,896"
"Oct 15, 2024",84.83,87.65,84.81,86.48,86.48,2.48%,"1,537,489"
"Oct 14, 2024",82.80,84.63,82.31,84.39,84.39,1.71%,"763,226"
"Oct 11, 2024",82.49,83.21,82.36,82.97,82.97,0.90%,"863,391"
"Oct 10, 2024",82.35,83.41,81.39,82.23,82.23,-0.21%,"1,336,281"
"Oct 9, 2024",81.14,82.65,80.83,82.40,82.40,1.83%,"1,339,601"
"Oct 8, 2024",80.09,81.18,79.68,80.92,80.92,1.28%,"1,190,261"
"Oct 7, 2024",80.21,80.21,79.17,79.90,79.90,-1.04%,"905,869"
"Oct 4, 2024",80.14,81.29,79.63,80.74,80.74,1.15%,"950,891"
"Oct 3, 2024",79.79,79.87,78.95,79.82,79.82,-0.40%,"750,994"
"Oct 2, 2024",79.01,80.28,78.88,80.14,80.14,0.58%,"631,726"
"Oct 1, 2024",80.41,80.41,78.77,79.68,79.68,-0.97%,"640,951"
"Sep 30, 2024",79.59,80.83,79.31,80.46,80.46,-0.38%,"1,212,828"
"Sep 27, 2024",81.21,81.46,79.90,80.77,79.80,0.64%,"942,099"
"Sep 26, 2024",81.79,81.84,79.85,80.26,79.29,-0.67%,"1,052,663"
"Sep 25, 2024",82.64,82.92,80.30,80.80,79.83,-2.05%,"1,105,649"
"Sep 24, 2024",82.02,82.99,81.69,82.49,81.50,0.39%,"712,049"
"Sep 23, 2024",81.55,82.21,81.11,82.17,81.18,1.42%,"891,620"
"Sep 20, 2024",81.85,82.09,80.80,81.02,80.05,-1.57%,"2,453,872"
"Sep 19, 2024",83.14,83.85,81.78,82.31,81.32,1.25%,"1,694,987"
"Sep 18, 2024",80.91,83.38,80.40,81.29,80.31,1.09%,"1,436,030"
"Sep 17, 2024",81.65,82.42,80.13,80.41,79.44,-1.34%,"1,301,678"
"Sep 16, 2024",80.25,81.74,79.31,81.50,80.52,1.80%,"1,016,875"
"Sep 13, 2024",79.54,80.58,79.18,80.06,79.10,1.84%,"1,209,538"
"Sep 12, 2024",76.50,79.10,76.32,78.61,77.66,3.04%,"1,435,247"
"Sep 11, 2024",73.82,76.37,73.23,76.29,75.37,2.39%,"1,332,493"
"Sep 10, 2024",74.52,74.74,73.07,74.51,73.61,0.28%,"936,354"
"Sep 9, 2024",74.51,74.63,73.47,74.30,73.41,-0.35%,"1,144,512"
"Sep 6, 2024",74.87,75.18,73.87,74.56,73.66,-0.13%,"1,042,852"
"Sep 5, 2024",75.08,75.72,74.52,74.66,73.76,0.31%,"1,006,881"
"Sep 4, 2024",74.43,75.47,73.96,74.43,73.53,0.15%,"844,579"
"Sep 3, 2024",74.71,75.23,73.72,74.32,73.43,-1.20%,"1,054,332"
"Aug 30, 2024",75.17,75.73,74.65,75.22,74.32,1.10%,"1,595,592"
"Aug 29, 2024",74.40,74.88,73.50,74.40,73.51,0.16%,"835,213"
"Aug 28, 2024",73.92,74.52,73.72,74.28,73.39,0.11%,"654,754"
"Aug 27, 2024",73.18,74.45,73.06,74.20,73.31,0.31%,"750,056"
"Aug 26, 2024",73.50,74.91,73.20,73.97,73.08,1.16%,"1,319,575"
"Aug 23, 2024",71.44,74.15,71.01,73.12,72.24,3.17%,"1,250,342"
"Aug 22, 2024",70.46,71.27,69.79,70.87,70.02,0.44%,"839,126"
"Aug 21, 2024",70.42,70.74,69.55,70.56,69.71,0.54%,"785,121"
"Aug 20, 2024",71.00,71.28,69.97,70.18,69.34,-1.54%,"777,176"
"Aug 19, 2024",69.99,71.40,69.97,71.28,70.42,1.84%,"823,076"
"Aug 16, 2024",69.60,70.52,69.01,69.99,69.15,0.52%,"762,734"
"Aug 15, 2024",69.41,70.63,68.76,69.63,68.79,1.61%,"1,073,934"
"Aug 14, 2024",69.12,69.42,68.31,68.53,67.71,-0.45%,"668,547"
"Aug 13, 2024",67.96,68.91,67.33,68.84,68.01,2.44%,"577,619"
"Aug 12, 2024",68.40,68.61,66.62,67.20,66.39,-2.07%,"712,661"
"Aug 9, 2024",68.92,69.05,67.58,68.62,67.79,-0.19%,"634,995"
"Aug 8, 2024",68.12,68.89,67.56,68.75,67.92,1.78%,"1,041,813"
"Aug 7, 2024",69.44,70.07,67.11,67.55,66.74,-1.17%,"1,605,006"
"Aug 6, 2024",66.50,69.92,65.70,68.35,67.53,4.11%,"1,644,293"
"Aug 5, 2024",63.84,67.02,62.49,65.65,64.86,-1.91%,"1,960,891"
"Aug 2, 2024",68.71,68.78,65.47,66.93,66.13,-4.78%,"1,596,157"
"Aug 1, 2024",72.37,73.10,69.51,70.29,69.44,-1.43%,"1,478,301"
"Jul 31, 2024",71.63,73.37,69.00,71.31,70.45,-1.82%,"3,384,373"
"Jul 30, 2024",71.88,72.85,70.04,72.63,71.76,1.79%,"1,752,773"
"Jul 29, 2024",70.73,71.65,70.01,71.35,70.49,1.21%,"1,271,114"
"Jul 26, 2024",68.72,70.56,68.64,70.50,69.65,3.81%,"914,271"
"Jul 25, 2024",67.13,69.37,66.92,67.91,67.09,1.33%,"776,342"
"Jul 24, 2024",68.95,70.20,66.93,67.02,66.21,-3.12%,"958,936"
"Jul 23, 2024",67.51,69.70,67.21,69.18,68.35,1.93%,"918,607"
"Jul 22, 2024",66.76,67.92,66.07,67.87,67.05,1.66%,"718,374"
"Jul 19, 2024",67.29,67.56,66.07,66.76,65.96,-0.70%,"793,978"
"Jul 18, 2024",68.18,70.50,66.59,67.23,66.42,-1.93%,"1,429,135"
"Jul 17, 2024",68.96,70.04,68.28,68.55,67.73,-1.15%,"1,184,830"
"Jul 16, 2024",68.91,69.69,68.38,69.35,68.52,1.40%,"1,688,695"
"Jul 15, 2024",68.35,69.04,67.59,68.39,67.57,0.93%,"1,368,860"
"Jul 12, 2024",66.20,68.16,66.18,67.76,66.95,3.88%,"1,768,932"
"Jul 11, 2024",63.60,65.52,63.13,65.23,64.45,5.50%,"2,619,621"
"Jul 10, 2024",61.62,62.02,61.12,61.83,61.09,0.93%,"890,550"
"Jul 9, 2024",60.63,61.38,59.71,61.26,60.52,0.84%,"1,087,678"
"Jul 8, 2024",60.66,60.92,60.14,60.75,60.02,0.75%,"1,026,998"
