date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",70.44,71.19,70.03,70.75,70.75,1.30%,"19,558,064"
"Nov 22, 2024",68.91,70.20,68.45,69.84,69.84,1.29%,"16,671,558"
"Nov 21, 2024",68.80,69.47,68.41,68.95,68.95,0.98%,"11,390,318"
"Nov 20, 2024",69.14,69.49,68.00,68.28,68.28,-0.47%,"10,495,623"
"Nov 19, 2024",68.00,68.89,67.70,68.60,68.60,-0.58%,"14,428,229"
"Nov 18, 2024",68.68,69.28,68.37,69.00,69.00,0.35%,"11,519,729"
"Nov 15, 2024",68.00,68.96,67.89,68.76,68.76,0.90%,"15,373,056"
"Nov 14, 2024",69.30,69.30,67.48,68.15,68.15,-1.07%,"15,043,455"
"Nov 13, 2024",69.07,69.79,68.81,68.89,68.89,-0.19%,"10,525,270"
"Nov 12, 2024",69.53,69.99,68.87,69.02,69.02,-1.12%,"15,766,481"
"Nov 11, 2024",69.50,70.20,69.20,69.80,69.80,1.70%,"19,173,131"
"Nov 8, 2024",68.72,69.13,68.09,68.63,68.63,0.76%,"14,973,327"
"Nov 7, 2024",68.20,68.95,67.76,68.11,68.11,-1.33%,"18,581,984"
"Nov 6, 2024",68.40,70.09,68.29,69.03,69.03,8.42%,"41,957,729"
"Nov 5, 2024",63.00,63.74,62.73,63.67,63.67,2.12%,"12,649,844"
"Nov 4, 2024",62.99,63.63,62.23,62.35,62.35,-2.13%,"9,419,573"
"Nov 1, 2024",64.33,64.81,63.69,63.71,63.14,-0.72%,"11,557,690"
"Oct 31, 2024",64.56,65.02,64.09,64.17,63.60,-0.51%,"10,042,771"
"Oct 30, 2024",64.20,65.23,64.14,64.50,63.93,-0.29%,"11,717,621"
"Oct 29, 2024",64.07,64.93,63.83,64.69,64.11,0.83%,"13,134,091"
"Oct 28, 2024",62.35,64.35,62.22,64.16,63.59,3.89%,"14,637,691"
"Oct 25, 2024",63.65,63.74,61.69,61.76,61.21,-1.97%,"9,697,845"
"Oct 24, 2024",63.01,63.30,62.39,63.00,62.44,-0.16%,"11,420,336"
"Oct 23, 2024",63.18,63.63,62.62,63.10,62.54,-0.72%,"8,720,491"
"Oct 22, 2024",61.59,63.69,61.30,63.56,62.99,2.80%,"14,347,258"
"Oct 21, 2024",62.79,62.91,61.73,61.83,61.28,-1.62%,"12,188,498"
"Oct 18, 2024",64.12,64.12,62.73,62.85,62.29,-1.75%,"13,841,159"
"Oct 17, 2024",64.73,65.17,63.77,63.97,63.40,-0.44%,"13,439,619"
"Oct 16, 2024",63.44,64.44,63.40,64.25,63.68,2.57%,"20,208,795"
"Oct 15, 2024",66.75,67.16,62.53,62.64,62.08,-5.11%,"35,348,068"
"Oct 14, 2024",65.81,66.43,65.65,66.01,65.42,0.41%,"14,682,927"
"Oct 11, 2024",64.12,66.10,64.10,65.74,65.16,3.56%,"15,512,381"
"Oct 10, 2024",64.00,64.11,63.11,63.48,62.92,-1.00%,"8,708,595"
"Oct 9, 2024",63.17,64.25,63.04,64.12,63.55,1.39%,"8,636,390"
"Oct 8, 2024",62.90,63.36,62.49,63.24,62.68,1.02%,"8,245,749"
"Oct 7, 2024",62.49,63.03,62.07,62.60,62.04,-0.06%,"6,954,304"
"Oct 4, 2024",62.47,62.93,61.81,62.64,62.08,2.17%,"10,100,488"
"Oct 3, 2024",61.50,61.66,60.93,61.31,60.76,-1.16%,"7,939,793"
"Oct 2, 2024",61.70,62.53,61.31,62.03,61.48,0.36%,"7,380,801"
"Oct 1, 2024",62.22,62.35,61.01,61.81,61.26,-1.26%,"13,550,137"
"Sep 30, 2024",61.68,62.64,61.24,62.60,62.04,1.18%,"11,317,558"
"Sep 27, 2024",62.01,62.61,61.79,61.87,61.32,0.26%,"8,144,630"
"Sep 26, 2024",61.05,62.00,60.86,61.71,61.16,2.20%,"12,844,535"
"Sep 25, 2024",61.12,61.29,60.11,60.38,59.84,-1.61%,"12,763,819"
"Sep 24, 2024",62.68,62.90,61.12,61.37,60.82,-1.93%,"12,046,208"
"Sep 23, 2024",62.22,62.87,62.17,62.58,62.02,0.71%,"11,508,216"
"Sep 20, 2024",62.52,62.65,61.68,62.14,61.59,-1.40%,"18,331,808"
"Sep 19, 2024",60.92,63.17,60.60,63.02,62.46,5.21%,"21,860,558"
"Sep 18, 2024",59.75,60.88,59.29,59.90,59.37,1.03%,"13,638,745"
"Sep 17, 2024",58.86,59.41,58.76,59.29,58.76,1.54%,"10,630,418"
"Sep 16, 2024",57.93,58.79,57.93,58.39,57.87,1.25%,"9,912,701"
"Sep 13, 2024",57.71,58.28,57.43,57.67,57.16,0.59%,"10,379,376"
"Sep 12, 2024",57.37,57.86,56.83,57.33,56.82,0.05%,"12,944,607"
"Sep 11, 2024",57.59,57.59,56.18,57.30,56.79,-1.12%,"16,569,441"
"Sep 10, 2024",59.89,59.89,56.69,57.95,57.43,-2.67%,"22,482,294"
"Sep 9, 2024",59.91,60.67,58.17,59.54,59.01,0.76%,"19,811,731"
"Sep 6, 2024",60.70,61.08,58.80,59.09,58.56,-2.54%,"14,093,986"
"Sep 5, 2024",61.61,61.79,60.34,60.63,60.09,-0.54%,"10,243,937"
"Sep 4, 2024",61.57,62.07,60.41,60.96,60.42,-0.81%,"11,305,936"
"Sep 3, 2024",62.04,62.39,60.97,61.46,60.91,-1.88%,"11,055,214"
"Aug 30, 2024",61.95,62.70,61.66,62.64,62.08,1.23%,"10,806,580"
"Aug 29, 2024",62.01,62.22,61.17,61.88,61.33,0.49%,"8,367,983"
"Aug 28, 2024",61.35,61.99,61.15,61.58,61.03,-0.16%,"7,692,918"
"Aug 27, 2024",61.91,62.18,61.46,61.68,61.13,-0.18%,"7,294,768"
"Aug 26, 2024",62.36,62.60,61.57,61.79,61.24,-0.56%,"9,384,244"
"Aug 23, 2024",60.87,62.46,60.74,62.14,61.59,2.85%,"13,299,722"
"Aug 22, 2024",60.75,60.75,60.11,60.42,59.88,-0.18%,"7,848,536"
"Aug 21, 2024",61.40,61.45,59.88,60.53,59.99,-1.27%,"14,414,889"
"Aug 20, 2024",61.59,61.70,61.09,61.31,60.76,-1.16%,"8,661,273"
"Aug 19, 2024",61.50,62.05,61.35,62.03,61.48,1.03%,"8,882,471"
"Aug 16, 2024",60.33,61.52,60.33,61.40,60.85,1.45%,"9,939,926"
"Aug 15, 2024",60.34,61.01,60.10,60.52,59.98,2.09%,"14,159,031"
"Aug 14, 2024",58.37,59.53,58.28,59.28,58.75,1.94%,"12,419,530"
"Aug 13, 2024",58.23,58.29,57.77,58.15,57.63,0.54%,"7,478,504"
"Aug 12, 2024",58.30,58.68,57.73,57.84,57.33,-,"15,123,547"
"Aug 9, 2024",58.03,58.46,57.45,57.84,57.33,-0.28%,"11,421,029"
"Aug 8, 2024",56.85,58.36,56.81,58.00,57.48,3.37%,"17,933,311"
"Aug 7, 2024",58.17,58.45,55.87,56.11,55.61,-0.80%,"19,221,181"
"Aug 6, 2024",56.39,57.66,56.09,56.56,56.06,0.62%,"16,643,144"
"Aug 5, 2024",54.08,56.90,53.51,56.21,55.71,-4.34%,"27,977,297"
"Aug 2, 2024",59.67,60.60,58.40,58.76,57.66,-7.14%,"30,289,346"
"Aug 1, 2024",65.08,65.22,61.95,63.28,62.10,-2.47%,"18,052,728"
"Jul 31, 2024",65.91,66.03,64.83,64.88,63.67,-1.50%,"15,046,523"
"Jul 30, 2024",65.01,66.23,65.01,65.87,64.64,2.44%,"13,554,314"
"Jul 29, 2024",65.30,65.34,64.14,64.30,63.10,-1.35%,"7,901,852"
"Jul 26, 2024",64.55,65.65,64.44,65.18,63.96,1.26%,"9,661,252"
"Jul 25, 2024",63.81,65.65,63.34,64.37,63.17,1.12%,"12,819,728"
"Jul 24, 2024",64.40,64.67,63.56,63.66,62.47,-1.55%,"11,591,130"
"Jul 23, 2024",64.51,65.04,64.28,64.66,63.45,0.25%,"6,961,348"
"Jul 22, 2024",65.14,65.65,64.15,64.50,63.30,-0.98%,"9,925,126"
"Jul 19, 2024",64.93,65.98,64.55,65.14,63.92,0.39%,"8,583,112"
"Jul 18, 2024",67.55,67.75,64.84,64.89,63.68,-4.02%,"15,796,198"
"Jul 17, 2024",66.84,67.81,66.62,67.61,66.35,0.51%,"17,215,269"
"Jul 16, 2024",65.00,67.52,64.70,67.27,66.01,3.27%,"21,170,239"
"Jul 15, 2024",64.68,65.55,63.88,65.14,63.92,0.96%,"16,656,553"
"Jul 12, 2024",66.61,66.69,63.35,64.52,63.32,-1.81%,"30,125,385"
"Jul 11, 2024",66.19,66.50,65.31,65.71,64.48,-1.90%,"20,122,304"
"Jul 10, 2024",66.26,66.99,66.22,66.98,65.73,0.65%,"9,817,096"
"Jul 9, 2024",64.80,66.76,64.74,66.55,65.31,2.80%,"16,925,031"
"Jul 8, 2024",64.30,64.87,64.22,64.74,63.53,1.11%,"10,348,972"
