date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",27.47,27.97,27.45,27.45,27.45,0.11%,"8,288,811"
"Nov 22, 2024",27.34,27.52,27.19,27.42,27.42,0.92%,"4,677,170"
"Nov 21, 2024",27.19,27.50,26.95,27.17,27.17,0.18%,"4,379,662"
"Nov 20, 2024",26.50,27.16,26.44,27.12,27.12,2.42%,"6,515,595"
"Nov 19, 2024",26.50,26.73,26.36,26.48,26.48,-0.49%,"5,088,654"
"Nov 18, 2024",26.86,27.03,26.56,26.61,26.61,-0.34%,"5,861,379"
"Nov 15, 2024",27.51,27.51,26.21,26.70,26.70,-2.73%,"10,674,028"
"Nov 14, 2024",27.59,27.95,27.43,27.45,27.45,-0.69%,"5,639,397"
"Nov 13, 2024",27.67,27.79,27.53,27.64,27.64,-0.14%,"3,318,790"
"Nov 12, 2024",27.94,27.99,27.47,27.68,27.68,-0.22%,"6,136,928"
"Nov 11, 2024",28.48,28.51,27.71,27.74,27.74,-2.46%,"6,425,346"
"Nov 8, 2024",28.32,28.57,28.07,28.44,28.44,0.46%,"2,912,183"
"Nov 7, 2024",28.87,28.90,28.05,28.31,28.31,-2.04%,"5,644,806"
"Nov 6, 2024",29.43,29.46,28.83,28.90,28.90,-0.62%,"5,172,750"
"Nov 5, 2024",28.69,29.15,28.52,29.08,29.08,1.08%,"3,403,167"
"Nov 4, 2024",28.97,29.14,28.76,28.77,28.77,-0.69%,"3,061,758"
"Nov 1, 2024",29.10,29.21,28.90,28.97,28.97,0.10%,"3,411,269"
"Oct 31, 2024",29.15,29.36,28.93,28.94,28.94,-1.66%,"3,818,088"
"Oct 30, 2024",29.38,29.45,29.16,29.43,29.08,-,"4,141,606"
"Oct 29, 2024",29.59,29.86,29.42,29.43,29.08,-1.11%,"3,171,723"
"Oct 28, 2024",29.56,29.91,29.50,29.76,29.40,1.12%,"2,426,905"
"Oct 25, 2024",29.45,29.51,29.28,29.43,29.08,0.27%,"2,474,903"
"Oct 24, 2024",29.54,29.62,29.28,29.35,29.00,-0.34%,"2,695,505"
"Oct 23, 2024",29.38,29.54,29.24,29.45,29.10,-0.10%,"2,612,266"
"Oct 22, 2024",29.57,29.60,29.31,29.48,29.13,-0.10%,"3,713,979"
"Oct 21, 2024",30.35,30.36,29.37,29.51,29.16,-2.67%,"5,261,751"
"Oct 18, 2024",30.27,30.38,30.06,30.32,29.96,0.03%,"5,561,849"
"Oct 17, 2024",29.87,30.47,29.77,30.31,29.95,1.99%,"6,727,430"
"Oct 16, 2024",29.54,29.90,29.46,29.72,29.37,0.47%,"5,139,569"
"Oct 15, 2024",29.58,30.11,29.46,29.58,29.23,0.44%,"4,562,472"
"Oct 14, 2024",29.37,29.48,29.14,29.45,29.10,0.27%,"2,587,778"
"Oct 11, 2024",29.57,29.66,29.29,29.37,29.02,-0.24%,"2,714,547"
"Oct 10, 2024",29.58,29.80,29.24,29.44,29.09,0.44%,"4,119,550"
"Oct 9, 2024",29.26,29.51,29.15,29.31,28.96,0.38%,"4,233,862"
"Oct 8, 2024",29.21,29.34,29.01,29.20,28.85,0.34%,"3,568,626"
"Oct 7, 2024",29.61,29.76,29.05,29.10,28.75,-1.39%,"4,410,978"
"Oct 4, 2024",29.23,29.62,29.14,29.51,29.16,0.55%,"5,341,172"
"Oct 3, 2024",29.91,29.98,29.25,29.35,29.00,-2.43%,"8,150,781"
"Oct 2, 2024",30.09,30.61,29.38,30.08,29.72,-8.07%,"20,128,667"
"Oct 1, 2024",32.68,32.90,32.40,32.72,32.33,0.62%,"5,993,371"
"Sep 30, 2024",32.55,32.61,32.22,32.52,32.13,0.15%,"3,776,285"
