date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",285.16,287.74,282.87,286.42,286.42,0.42%,"1,825,028"
"Nov 22, 2024",285.00,286.97,283.75,285.21,285.21,0.04%,"1,721,769"
"Nov 21, 2024",284.25,285.62,282.70,285.11,285.11,0.80%,"1,415,989"
"Nov 20, 2024",285.51,287.20,280.08,282.84,282.84,-0.36%,"1,209,582"
"Nov 19, 2024",286.77,287.47,283.27,283.87,283.87,-1.68%,"1,059,688"
"Nov 18, 2024",286.46,289.99,286.02,288.73,288.73,0.25%,"1,126,594"
"Nov 15, 2024",286.89,291.08,286.89,288.00,288.00,0.37%,"1,794,866"
"Nov 14, 2024",282.77,287.03,282.50,286.93,286.93,1.25%,"2,168,310"
"Nov 13, 2024",282.92,284.31,281.78,283.38,283.38,0.17%,"1,236,427"
"Nov 12, 2024",280.60,284.40,280.11,282.89,282.89,0.78%,"1,991,366"
"Nov 11, 2024",282.56,285.30,280.42,280.70,280.70,-0.23%,"1,024,818"
"Nov 8, 2024",280.32,283.18,279.03,281.36,281.36,1.21%,"1,062,333"
"Nov 7, 2024",280.90,281.00,277.71,277.99,277.99,-0.72%,"1,520,847"
"Nov 6, 2024",288.44,289.43,276.00,280.01,280.01,0.98%,"2,262,289"
"Nov 5, 2024",276.99,277.66,275.66,277.29,277.29,0.44%,"1,676,316"
"Nov 4, 2024",277.99,278.18,275.59,276.08,276.08,-0.48%,"1,993,928"
"Nov 1, 2024",282.29,284.34,277.00,277.41,277.41,-1.78%,"1,779,579"
"Oct 31, 2024",284.43,285.01,281.86,282.44,282.44,-0.42%,"1,905,735"
"Oct 30, 2024",289.67,290.57,283.05,283.64,283.64,-1.24%,"1,810,974"
"Oct 29, 2024",290.06,290.79,287.11,287.20,287.20,-0.97%,"1,392,595"
"Oct 28, 2024",289.53,290.81,288.89,290.02,290.02,0.70%,"893,459"
"Oct 25, 2024",294.60,294.91,287.50,287.99,287.99,-2.03%,"1,238,295"
"Oct 24, 2024",295.01,295.67,293.45,293.96,293.96,-0.35%,"962,832"
"Oct 23, 2024",295.98,296.47,293.52,295.00,295.00,-0.71%,"1,118,969"
"Oct 22, 2024",296.48,298.04,293.75,297.11,297.11,-0.25%,"1,540,910"
"Oct 21, 2024",301.38,302.00,297.02,297.85,297.85,-1.26%,"1,054,724"
"Oct 18, 2024",301.48,301.98,298.15,301.66,301.66,-0.08%,"1,705,625"
"Oct 17, 2024",296.36,302.05,295.58,301.89,301.89,3.00%,"2,131,211"
"Oct 16, 2024",287.48,293.53,287.00,293.10,293.10,1.98%,"1,088,497"
"Oct 15, 2024",289.43,291.08,287.12,287.40,287.40,-0.45%,"1,239,260"
"Oct 14, 2024",287.69,289.90,285.51,288.71,288.71,0.66%,"656,791"
"Oct 11, 2024",286.12,288.48,285.29,286.83,286.83,0.75%,"798,974"
"Oct 10, 2024",288.25,289.87,283.41,284.70,284.70,0.66%,"1,055,557"
"Oct 9, 2024",279.02,284.66,278.29,282.83,282.83,1.03%,"1,212,122"
"Oct 8, 2024",276.71,281.23,276.02,279.96,279.96,1.00%,"1,413,339"
"Oct 7, 2024",289.38,289.52,275.22,277.18,277.18,-4.61%,"2,389,100"
"Oct 4, 2024",284.50,290.80,284.03,290.59,290.59,0.71%,"967,956"
"Oct 3, 2024",291.35,291.98,288.22,288.54,288.54,-0.96%,"758,183"
"Oct 2, 2024",291.54,293.71,290.36,291.33,291.33,-0.27%,"1,308,331"
"Oct 1, 2024",287.83,293.57,286.45,292.12,292.12,1.29%,"1,768,734"
"Sep 30, 2024",289.13,289.23,285.27,288.39,288.39,-0.41%,"1,176,609"
"Sep 27, 2024",289.39,290.34,288.34,289.57,289.57,-0.09%,"865,522"
"Sep 26, 2024",288.11,290.85,287.20,289.84,289.84,-0.17%,"1,025,598"
"Sep 25, 2024",291.50,291.80,289.31,290.33,290.33,0.20%,"1,108,683"
"Sep 24, 2024",292.05,292.11,289.07,289.76,289.76,-0.80%,"1,868,800"
"Sep 23, 2024",290.48,292.94,290.46,292.11,292.11,0.50%,"1,470,482"
"Sep 20, 2024",290.33,291.97,288.00,290.66,290.66,0.03%,"9,796,662"
"Sep 19, 2024",289.79,291.30,285.72,290.58,290.58,0.48%,"1,789,441"
