date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",314.97,315.30,309.15,312.39,312.39,0.17%,"1,944,440"
"Nov 22, 2024",308.71,313.36,307.02,311.87,311.87,1.75%,"1,373,057"
"Nov 21, 2024",306.11,308.45,300.95,306.51,306.51,0.82%,"1,132,000"
"Nov 20, 2024",298.70,305.23,296.06,304.01,304.01,1.46%,"1,716,615"
"Nov 19, 2024",291.38,300.00,290.05,299.63,299.63,1.80%,"1,260,131"
"Nov 18, 2024",291.36,295.95,288.77,294.33,294.33,1.59%,"1,775,124"
"Nov 15, 2024",298.45,298.58,287.49,289.71,289.71,-4.40%,"1,583,318"
"Nov 14, 2024",304.46,306.19,299.64,303.04,303.04,-1.12%,"1,612,698"
"Nov 13, 2024",295.68,309.96,295.64,306.47,306.47,2.92%,"2,149,298"
"Nov 12, 2024",301.26,301.77,295.51,297.77,297.77,-1.04%,"1,227,836"
"Nov 11, 2024",300.48,301.25,296.29,300.90,300.90,-0.12%,"1,178,525"
"Nov 8, 2024",303.48,305.52,299.47,301.25,301.25,-0.16%,"1,242,846"
"Nov 7, 2024",298.73,304.35,297.73,301.72,301.72,1.67%,"1,509,020"
"Nov 6, 2024",298.00,305.00,293.60,296.75,296.75,1.90%,"2,756,858"
"Nov 5, 2024",289.76,294.78,289.50,291.21,291.21,0.65%,"1,964,866"
"Nov 4, 2024",284.52,291.95,282.60,289.34,289.34,2.57%,"2,497,291"
"Nov 1, 2024",276.00,283.00,275.42,282.09,282.09,2.16%,"1,897,324"
"Oct 31, 2024",287.44,288.49,276.07,276.12,276.12,-4.79%,"2,785,502"
"Oct 30, 2024",280.50,290.20,278.77,290.00,290.00,1.95%,"3,454,454"
"Oct 29, 2024",274.94,287.02,271.99,284.45,284.45,12.53%,"5,991,333"
"Oct 28, 2024",258.72,258.91,251.81,252.77,252.77,-1.76%,"3,171,262"
"Oct 25, 2024",254.19,260.09,254.19,257.30,257.30,2.40%,"2,024,694"
"Oct 24, 2024",251.05,251.87,247.46,251.28,251.28,0.88%,"1,792,589"
"Oct 23, 2024",249.73,251.23,246.92,249.09,249.09,-0.96%,"1,754,188"
"Oct 22, 2024",252.00,252.99,246.60,251.51,251.51,-0.65%,"2,923,796"
"Oct 21, 2024",256.00,258.13,252.71,253.15,253.15,-2.08%,"2,828,352"
"Oct 18, 2024",263.23,265.12,258.25,258.52,258.52,-1.71%,"4,062,607"
"Oct 17, 2024",268.73,268.88,262.85,263.03,263.03,0.03%,"2,235,530"
"Oct 16, 2024",270.76,271.91,262.46,262.95,262.95,-2.42%,"2,151,701"
"Oct 15, 2024",283.66,284.35,268.86,269.47,269.47,-4.49%,"2,477,197"
"Oct 14, 2024",284.73,285.00,280.87,282.14,282.14,-0.09%,"1,318,953"
"Oct 11, 2024",280.47,283.14,279.22,282.39,282.39,0.62%,"1,386,289"
"Oct 10, 2024",277.13,281.52,276.84,280.64,280.64,0.39%,"1,046,396"
"Oct 9, 2024",270.59,280.21,268.61,279.56,279.56,3.48%,"1,438,091"
"Oct 8, 2024",263.57,270.78,263.57,270.15,270.15,2.77%,"1,685,522"
"Oct 7, 2024",265.21,266.18,261.34,262.86,262.86,-2.16%,"1,249,112"
"Oct 4, 2024",272.41,272.87,266.51,268.65,268.65,1.08%,"1,095,892"
"Oct 3, 2024",264.38,268.63,264.38,265.79,265.79,-0.46%,"1,123,339"
"Oct 2, 2024",262.25,269.76,262.25,267.01,267.01,1.40%,"1,202,115"
"Oct 1, 2024",273.44,274.35,263.03,263.32,263.32,-2.84%,"1,904,496"
