date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",253.50,255.61,243.00,248.93,248.93,-0.38%,"3,459,596"
"Nov 22, 2024",251.21,253.23,245.03,249.89,249.89,-0.77%,"2,471,550"
"Nov 21, 2024",237.31,252.19,234.11,251.84,251.84,6.97%,"3,586,407"
"Nov 20, 2024",238.14,241.48,232.14,235.42,235.42,0.36%,"2,567,642"
"Nov 19, 2024",226.31,234.89,226.10,234.58,234.58,1.87%,"2,197,506"
"Nov 18, 2024",225.99,232.04,221.18,230.28,230.28,2.68%,"3,295,002"
"Nov 15, 2024",224.85,227.75,221.66,224.28,224.28,-0.49%,"2,717,700"
"Nov 14, 2024",228.20,231.54,225.12,225.38,225.03,-0.26%,"2,513,207"
"Nov 13, 2024",231.00,232.77,225.61,225.96,225.61,-1.20%,"2,979,471"
"Nov 12, 2024",235.44,235.98,225.69,228.70,228.34,-3.61%,"4,460,014"
"Nov 11, 2024",241.99,243.91,234.29,237.27,236.90,-0.88%,"3,382,066"
"Nov 8, 2024",243.25,248.00,236.83,239.37,238.99,-0.92%,"5,162,116"
"Nov 7, 2024",242.52,248.35,238.40,241.59,241.21,2.81%,"4,154,924"
"Nov 6, 2024",238.82,242.00,233.76,234.99,234.62,0.53%,"4,790,137"
"Nov 5, 2024",230.35,236.86,227.00,233.75,233.38,3.45%,"6,347,426"
"Nov 4, 2024",232.50,235.50,224.68,225.95,225.60,-12.46%,"10,719,375"
"Nov 1, 2024",262.73,264.77,256.82,258.10,257.70,-1.85%,"2,804,488"
"Oct 31, 2024",261.74,264.19,259.35,262.96,262.55,0.45%,"2,290,851"
"Oct 30, 2024",266.88,268.00,261.43,261.78,261.37,-1.22%,"1,831,022"
"Oct 29, 2024",266.28,267.23,261.70,265.00,264.58,-0.74%,"1,829,658"
"Oct 28, 2024",266.89,271.19,265.01,266.98,266.56,0.97%,"1,542,744"
"Oct 25, 2024",269.00,269.74,263.09,264.41,264.00,-0.03%,"2,016,507"
"Oct 24, 2024",267.79,267.80,262.57,264.50,264.09,-0.58%,"1,553,707"
"Oct 23, 2024",265.00,267.93,262.61,266.05,265.63,0.02%,"2,633,729"
"Oct 22, 2024",270.37,271.43,265.85,266.00,265.58,-2.82%,"2,134,113"
"Oct 21, 2024",273.08,274.12,268.01,273.72,273.29,1.32%,"1,650,884"
"Oct 18, 2024",267.78,272.58,265.00,270.16,269.74,-0.38%,"1,708,815"
"Oct 17, 2024",285.00,285.00,270.54,271.20,270.77,-3.07%,"3,209,916"
"Oct 16, 2024",268.22,280.24,264.12,279.80,279.36,5.13%,"2,469,297"
"Oct 15, 2024",269.80,269.80,262.34,266.15,265.73,-2.06%,"3,000,926"
"Oct 14, 2024",267.57,272.82,265.21,271.74,271.31,2.07%,"2,229,257"
"Oct 11, 2024",256.39,266.90,249.05,266.22,265.80,1.49%,"4,477,730"
"Oct 10, 2024",261.06,267.76,259.03,262.31,261.90,0.01%,"2,733,477"
"Oct 9, 2024",276.05,276.05,257.50,262.28,261.87,-6.12%,"5,235,788"
"Oct 8, 2024",278.89,281.40,273.10,279.39,278.95,0.30%,"2,599,138"
"Oct 7, 2024",285.00,288.75,274.00,278.56,278.12,-2.44%,"3,477,026"
"Oct 4, 2024",277.91,286.00,275.60,285.52,285.07,2.94%,"3,831,511"
"Oct 3, 2024",272.15,279.51,268.00,277.37,276.94,4.52%,"4,274,243"
"Oct 2, 2024",264.91,269.72,261.65,265.38,264.96,-0.09%,"3,233,567"
"Oct 1, 2024",259.10,266.00,253.96,265.61,265.19,2.15%,"3,179,847"
"Sep 30, 2024",257.75,261.12,251.28,260.02,259.61,1.18%,"2,901,955"
"Sep 27, 2024",257.18,262.40,255.34,257.00,256.60,0.09%,"2,598,113"
"Sep 26, 2024",263.83,270.12,254.50,256.77,256.37,-2.32%,"4,072,226"
"Sep 25, 2024",254.44,267.09,253.24,262.86,262.45,3.70%,"6,246,205"
"Sep 24, 2024",254.08,259.44,251.09,253.49,253.09,-1.41%,"4,562,659"
"Sep 23, 2024",259.56,271.85,252.11,257.12,256.72,0.84%,"10,269,985"
"Sep 20, 2024",235.16,255.24,233.00,254.98,254.58,22.29%,"15,031,402"
"Sep 19, 2024",205.11,208.64,202.47,208.50,208.17,4.08%,"3,432,608"
"Sep 18, 2024",201.96,204.95,198.42,200.33,200.02,-0.45%,"1,796,071"
"Sep 17, 2024",200.00,204.70,198.25,201.23,200.91,0.99%,"2,881,736"
"Sep 16, 2024",195.00,199.53,192.69,199.25,198.94,1.67%,"2,263,977"
"Sep 13, 2024",191.45,197.81,189.18,195.98,195.67,3.19%,"2,613,638"
"Sep 12, 2024",187.00,191.68,184.19,189.93,189.63,1.43%,"2,154,903"
"Sep 11, 2024",181.53,188.15,179.15,187.25,186.96,3.88%,"2,846,883"
"Sep 10, 2024",176.85,181.21,173.86,180.25,179.97,3.05%,"2,301,825"
"Sep 9, 2024",176.35,176.35,171.04,174.92,174.65,1.05%,"2,184,576"
"Sep 6, 2024",175.81,176.64,171.94,173.11,172.84,-1.68%,"3,390,254"
"Sep 5, 2024",177.97,179.75,175.11,176.07,175.79,-0.82%,"2,444,994"
"Sep 4, 2024",177.68,182.75,176.00,177.52,177.24,-0.15%,"3,114,334"
"Sep 3, 2024",195.50,195.80,177.18,177.78,177.50,-9.62%,"4,252,261"
"Aug 30, 2024",195.26,197.81,195.15,196.70,196.39,1.16%,"2,239,499"
