date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",90.37,90.77,87.13,87.39,87.39,-2.67%,"3,037,620"
"Nov 22, 2024",90.07,90.86,89.63,89.79,89.79,-0.94%,"1,542,292"
"Nov 21, 2024",89.89,91.06,89.51,90.64,90.64,0.81%,"1,734,594"
"Nov 20, 2024",87.67,90.38,87.48,89.91,89.91,2.71%,"2,193,637"
"Nov 19, 2024",86.68,88.04,86.16,87.54,87.54,0.18%,"2,096,180"
"Nov 18, 2024",87.23,87.73,86.03,87.38,87.38,0.36%,"1,900,632"
"Nov 15, 2024",85.91,89.45,85.67,87.07,87.07,1.55%,"2,334,168"
"Nov 14, 2024",85.75,86.66,85.22,85.74,85.25,0.62%,"1,303,932"
"Nov 13, 2024",84.14,85.82,83.76,85.21,84.72,1.18%,"1,503,709"
"Nov 12, 2024",84.71,85.22,83.73,84.22,83.74,-1.01%,"2,343,348"
"Nov 11, 2024",83.58,85.09,83.45,85.08,84.59,1.64%,"1,829,373"
"Nov 8, 2024",83.68,84.98,83.05,83.71,83.23,-1.10%,"2,141,062"
"Nov 7, 2024",83.20,84.91,82.72,84.64,84.16,1.88%,"2,201,383"
"Nov 6, 2024",86.15,86.54,82.47,83.08,82.61,-4.02%,"3,272,676"
"Nov 5, 2024",85.97,87.77,85.57,86.56,86.07,0.17%,"1,409,101"
"Nov 4, 2024",85.12,86.77,84.17,86.41,85.92,2.80%,"2,170,260"
"Nov 1, 2024",82.87,84.44,82.72,84.06,83.58,2.23%,"1,569,340"
"Oct 31, 2024",83.43,84.62,80.74,82.23,81.76,0.55%,"3,179,806"
"Oct 30, 2024",81.41,82.24,80.94,81.78,81.31,0.52%,"1,405,995"
"Oct 29, 2024",81.99,82.43,81.33,81.36,80.90,-0.67%,"1,203,889"
"Oct 28, 2024",83.07,83.29,81.72,81.91,81.44,-1.54%,"1,907,891"
"Oct 25, 2024",83.42,83.95,82.75,83.19,82.72,-0.04%,"1,050,414"
