date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",330.80,335.14,330.07,333.01,333.01,1.39%,"2,588,568"
"Nov 22, 2024",330.34,330.94,325.47,328.45,328.45,-0.49%,"1,475,200"
"Nov 21, 2024",324.92,331.07,322.21,330.07,330.07,2.07%,"1,520,437"
"Nov 20, 2024",322.69,324.39,319.44,323.39,323.39,0.28%,"1,527,324"
"Nov 19, 2024",320.00,327.09,319.18,322.50,322.50,0.02%,"1,322,790"
"Nov 18, 2024",321.25,323.65,320.55,322.45,322.45,0.29%,"1,194,622"
"Nov 15, 2024",323.06,324.77,316.77,321.52,321.52,-0.73%,"1,650,180"
"Nov 14, 2024",331.50,332.02,322.73,323.88,323.88,-2.46%,"1,826,974"
"Nov 13, 2024",339.15,340.70,331.06,332.04,332.04,-2.30%,"1,675,469"
"Nov 12, 2024",342.00,346.73,339.48,339.87,339.87,-0.93%,"2,244,581"
"Nov 11, 2024",342.52,347.62,339.72,343.06,343.06,7.28%,"2,585,840"
"Nov 8, 2024",319.69,321.75,317.48,319.77,319.77,0.09%,"1,315,168"
"Nov 7, 2024",316.50,321.49,314.68,319.49,319.49,1.35%,"1,752,683"
"Nov 6, 2024",324.84,326.04,308.58,315.22,315.22,-1.00%,"2,655,277"
"Nov 5, 2024",312.24,318.79,311.26,318.39,318.39,1.94%,"2,046,365"
"Nov 4, 2024",316.72,317.98,311.40,312.32,312.32,-1.32%,"1,695,664"
"Nov 1, 2024",313.30,318.75,306.66,316.49,316.49,0.53%,"2,810,769"
"Oct 31, 2024",333.38,342.39,313.95,314.81,314.81,0.61%,"3,506,849"
"Oct 30, 2024",308.00,316.53,308.00,312.89,312.89,1.51%,"2,412,074"
"Oct 29, 2024",314.83,315.11,307.86,308.23,308.23,-2.12%,"2,556,345"
"Oct 28, 2024",317.26,318.25,313.60,314.92,314.92,-0.61%,"1,545,549"
"Oct 25, 2024",319.07,321.34,315.51,316.85,316.85,-0.44%,"1,390,535"
"Oct 24, 2024",318.67,322.44,318.05,318.24,318.24,0.21%,"1,646,767"
"Oct 23, 2024",316.86,320.73,315.00,317.57,317.57,0.03%,"1,352,849"
"Oct 22, 2024",320.18,322.29,315.09,317.46,317.46,-0.87%,"2,636,374"
"Oct 21, 2024",333.32,333.32,318.24,320.23,320.23,-4.69%,"4,638,585"
"Oct 18, 2024",353.55,353.55,335.96,336.00,336.00,-4.85%,"2,712,344"
"Oct 17, 2024",351.41,358.72,350.00,353.12,353.12,-1.52%,"1,614,441"
"Oct 16, 2024",348.84,358.88,348.84,358.58,358.58,2.79%,"970,346"
"Oct 15, 2024",348.50,355.00,344.15,348.84,348.84,-0.74%,"1,317,766"
"Oct 14, 2024",350.13,352.20,348.36,351.45,351.45,0.33%,"952,477"
"Oct 11, 2024",351.37,354.99,349.69,350.30,350.30,-0.06%,"786,700"
"Oct 10, 2024",347.53,350.93,346.19,350.50,350.50,1.09%,"800,612"
"Oct 9, 2024",344.30,347.63,342.62,346.72,346.72,0.81%,"846,650"
"Oct 8, 2024",341.72,345.13,339.27,343.93,343.93,1.08%,"1,127,736"
"Oct 7, 2024",339.98,342.90,338.69,340.27,340.27,-0.42%,"851,903"
"Oct 4, 2024",341.18,342.21,339.32,341.70,341.70,0.33%,"720,032"
"Oct 3, 2024",340.92,342.30,337.48,340.56,340.56,-0.04%,"1,145,932"
"Oct 2, 2024",348.46,348.91,339.81,340.71,340.71,-2.12%,"1,627,864"
"Oct 1, 2024",345.98,351.63,344.59,348.09,348.09,0.48%,"1,005,826"
"Sep 30, 2024",349.68,349.68,343.99,346.44,346.44,-0.36%,"1,294,763"
"Sep 27, 2024",345.53,351.11,344.99,347.70,347.70,0.79%,"1,379,580"
"Sep 26, 2024",344.82,346.52,342.01,344.99,344.99,-1.11%,"1,663,131"
"Sep 25, 2024",354.99,355.34,347.74,348.86,348.86,-1.22%,"892,513"
"Sep 24, 2024",354.39,355.44,350.00,353.17,353.17,-0.50%,"968,058"
"Sep 23, 2024",357.03,358.71,354.59,354.94,354.94,-0.34%,"807,831"
"Sep 20, 2024",356.75,358.91,352.01,356.14,356.14,-0.31%,"2,900,933"
"Sep 19, 2024",357.16,358.83,354.77,357.26,357.26,0.53%,"753,277"
"Sep 18, 2024",356.23,362.25,354.86,355.39,355.39,-0.24%,"824,419"
"Sep 17, 2024",364.66,366.91,354.64,356.23,356.23,-2.89%,"863,318"
"Sep 16, 2024",367.51,370.83,365.58,366.85,366.85,0.58%,"668,049"
"Sep 13, 2024",362.17,368.16,360.77,364.72,364.72,0.70%,"882,661"
"Sep 12, 2024",357.26,362.66,355.16,362.17,362.17,1.23%,"962,242"
"Sep 11, 2024",356.85,358.21,350.43,357.78,357.78,-0.09%,"748,689"
"Sep 10, 2024",358.51,360.61,355.65,358.10,358.10,0.14%,"868,399"
"Sep 9, 2024",356.55,359.32,351.45,357.61,357.61,1.17%,"1,102,418"
"Sep 6, 2024",357.46,359.46,352.99,353.49,353.49,-0.46%,"2,363,544"
"Sep 5, 2024",362.06,364.41,348.80,355.12,355.12,-3.14%,"2,528,316"
"Sep 4, 2024",366.40,370.64,364.01,366.64,366.64,0.32%,"1,027,069"
"Sep 3, 2024",362.28,367.08,360.71,365.48,364.09,1.01%,"1,433,539"
"Aug 30, 2024",360.72,362.52,359.92,361.81,360.43,0.21%,"1,148,195"
"Aug 29, 2024",360.09,361.71,355.12,361.06,359.69,0.87%,"1,024,703"
"Aug 28, 2024",356.51,359.82,354.05,357.93,356.57,1.14%,"1,314,617"
"Aug 27, 2024",354.75,355.51,352.39,353.89,352.54,-0.01%,"1,058,167"
"Aug 26, 2024",354.69,356.84,352.25,353.94,352.59,-0.01%,"1,361,100"
"Aug 23, 2024",347.50,354.49,346.15,353.99,352.64,2.17%,"1,425,818"
"Aug 22, 2024",343.19,346.82,338.82,346.47,345.15,1.19%,"733,990"
"Aug 21, 2024",343.99,345.00,340.22,342.40,341.10,-0.06%,"694,537"
"Aug 20, 2024",341.70,344.40,339.68,342.60,341.30,0.08%,"900,770"
"Aug 19, 2024",342.68,343.70,341.26,342.33,341.03,-,"907,568"
"Aug 16, 2024",336.82,342.91,335.74,342.32,341.02,1.67%,"865,340"
"Aug 15, 2024",337.48,337.99,332.90,336.70,335.42,0.54%,"1,003,065"
"Aug 14, 2024",335.00,337.10,332.75,334.90,333.63,0.66%,"621,091"
"Aug 13, 2024",328.74,333.38,328.46,332.72,331.45,1.41%,"1,057,580"
"Aug 12, 2024",330.96,331.78,326.46,328.10,326.85,-2.39%,"1,720,518"
"Aug 9, 2024",333.80,338.00,333.08,336.14,334.86,0.33%,"969,003"
"Aug 8, 2024",329.06,337.27,328.28,335.02,333.75,1.83%,"1,164,913"
"Aug 7, 2024",329.90,335.39,325.75,329.01,327.76,-0.09%,"1,933,697"
"Aug 6, 2024",323.69,329.91,323.15,329.29,328.04,1.10%,"2,441,879"
"Aug 5, 2024",337.71,339.68,321.36,325.71,324.47,-3.44%,"2,507,392"
"Aug 2, 2024",333.27,338.70,321.51,337.33,336.05,1.42%,"3,193,740"
"Aug 1, 2024",336.00,339.15,324.55,332.60,331.34,-4.61%,"2,495,507"
"Jul 31, 2024",349.25,354.00,347.62,348.67,347.34,-1.16%,"1,466,143"
"Jul 30, 2024",346.01,355.56,346.01,352.77,351.43,1.80%,"909,724"
"Jul 29, 2024",343.65,348.46,343.08,346.54,345.22,0.84%,"1,021,540"
"Jul 26, 2024",342.69,346.66,342.49,343.64,342.33,0.73%,"1,135,664"
"Jul 25, 2024",343.99,349.27,340.45,341.15,339.85,-0.31%,"775,038"
"Jul 24, 2024",337.67,342.71,334.93,342.21,340.91,1.80%,"1,029,808"
"Jul 23, 2024",336.05,337.31,333.79,336.17,334.89,0.11%,"603,380"
"Jul 22, 2024",335.76,338.08,334.59,335.79,334.51,-0.01%,"756,286"
"Jul 19, 2024",343.67,343.67,335.53,335.84,334.56,-1.37%,"1,169,194"
"Jul 18, 2024",343.06,347.37,340.46,340.52,339.23,-1.23%,"1,028,831"
"Jul 17, 2024",339.59,345.49,339.39,344.76,343.45,1.49%,"1,441,943"
"Jul 16, 2024",333.83,342.46,333.83,339.71,338.42,2.50%,"1,166,652"
"Jul 15, 2024",336.60,338.77,330.55,331.42,330.16,-1.01%,"1,266,462"
"Jul 12, 2024",333.56,335.61,330.53,334.79,333.52,0.37%,"820,208"
"Jul 11, 2024",327.01,333.84,327.01,333.56,332.29,1.11%,"1,144,007"
"Jul 10, 2024",329.51,332.81,323.27,329.91,328.66,0.47%,"1,981,992"
"Jul 9, 2024",322.20,328.69,319.67,328.37,327.12,1.42%,"1,379,456"
"Jul 8, 2024",320.09,324.02,318.02,323.78,322.55,1.46%,"1,753,494"
