date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",95.54,95.75,94.93,95.34,95.34,0.44%,"6,159,229"
"Nov 22, 2024",94.99,95.43,94.49,94.92,94.92,0.71%,"3,539,226"
"Nov 21, 2024",94.15,94.92,93.30,94.25,94.25,0.36%,"3,642,839"
"Nov 20, 2024",93.41,94.44,92.86,93.91,93.91,0.32%,"4,302,453"
"Nov 19, 2024",94.40,94.43,92.98,93.61,93.61,-1.07%,"4,918,062"
"Nov 18, 2024",92.95,95.13,92.94,94.62,94.62,1.13%,"4,500,411"
"Nov 15, 2024",91.36,94.14,91.24,93.56,93.56,2.31%,"7,328,993"
"Nov 14, 2024",91.01,91.63,90.79,91.45,91.45,0.42%,"4,705,537"
"Nov 13, 2024",91.91,91.91,90.90,91.07,91.07,-0.47%,"3,456,160"
"Nov 12, 2024",93.30,93.30,91.43,91.50,91.50,-0.50%,"4,927,138"
"Nov 11, 2024",92.43,93.17,91.91,91.96,91.96,-0.66%,"3,539,379"
"Nov 8, 2024",91.14,92.89,91.05,92.57,92.57,1.98%,"4,568,042"
"Nov 7, 2024",90.82,91.58,90.31,90.77,90.77,0.61%,"4,534,012"
"Nov 6, 2024",94.66,94.66,90.04,90.22,90.22,-4.29%,"8,777,592"
"Nov 5, 2024",93.40,94.37,93.11,94.26,94.26,0.69%,"3,302,575"
"Nov 4, 2024",93.28,94.22,93.13,93.61,93.61,0.30%,"4,113,740"
"Nov 1, 2024",93.92,94.64,93.08,93.33,93.33,-0.41%,"4,859,703"
"Oct 31, 2024",94.55,95.30,93.65,93.71,93.71,-1.00%,"4,989,659"
"Oct 30, 2024",94.56,95.17,94.02,94.66,94.66,-0.06%,"4,551,209"
"Oct 29, 2024",95.02,95.52,94.43,94.72,94.72,-1.07%,"5,415,146"
"Oct 28, 2024",95.22,96.61,95.22,95.74,95.74,0.14%,"4,570,870"
"Oct 25, 2024",96.54,97.79,95.15,95.61,95.61,-4.14%,"7,978,868"
"Oct 24, 2024",99.00,99.98,98.83,99.74,99.74,0.77%,"5,259,681"
"Oct 23, 2024",99.32,99.77,98.78,98.98,98.98,-0.69%,"3,949,576"
"Oct 22, 2024",98.73,99.95,98.68,99.67,99.67,0.31%,"4,018,675"
"Oct 21, 2024",100.00,100.49,99.19,99.36,99.36,-1.09%,"2,456,416"
"Oct 18, 2024",99.73,100.54,98.76,100.46,100.46,-0.07%,"4,502,563"
"Oct 17, 2024",101.83,101.89,100.07,100.53,100.03,-0.65%,"3,377,356"
"Oct 16, 2024",100.88,101.40,100.66,101.19,100.69,-0.35%,"4,188,329"
"Oct 15, 2024",100.95,102.61,100.95,101.55,101.05,0.81%,"3,844,888"
"Oct 14, 2024",100.01,100.84,99.92,100.73,100.23,0.63%,"3,180,572"
"Oct 11, 2024",99.63,100.11,98.90,100.10,99.60,0.87%,"4,858,703"
"Oct 10, 2024",101.22,101.22,98.93,99.24,98.75,-1.74%,"4,406,562"
"Oct 9, 2024",100.58,101.30,100.28,101.00,100.50,0.42%,"3,542,406"
"Oct 8, 2024",98.46,100.69,97.85,100.58,100.08,2.04%,"5,095,246"
