date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",170.00,171.11,165.71,166.32,166.32,-1.76%,"1,697,701"
"Nov 22, 2024",169.97,171.35,169.02,169.30,169.30,0.09%,"995,071"
"Nov 21, 2024",168.35,169.21,166.76,169.15,169.15,0.65%,"1,218,060"
"Nov 20, 2024",168.10,168.37,166.72,168.05,168.05,-0.05%,"1,138,986"
"Nov 19, 2024",168.45,169.11,167.27,168.14,168.14,-0.57%,"1,384,019"
"Nov 18, 2024",167.41,169.21,167.05,169.10,169.10,0.87%,"1,364,008"
"Nov 15, 2024",166.32,168.59,165.74,167.64,167.64,1.14%,"1,361,795"
"Nov 14, 2024",165.36,166.11,164.80,165.75,165.75,0.24%,"774,951"
"Nov 13, 2024",164.81,166.02,164.54,165.36,165.36,0.35%,"878,444"
"Nov 12, 2024",165.96,166.20,163.58,164.79,164.79,-0.16%,"1,404,193"
"Nov 11, 2024",165.00,167.58,164.74,165.05,165.05,-0.07%,"1,297,651"
"Nov 8, 2024",163.11,165.92,162.96,165.16,165.16,1.47%,"1,276,258"
"Nov 7, 2024",162.88,164.03,161.74,162.77,162.77,0.04%,"994,723"
"Nov 6, 2024",165.13,166.62,162.50,162.70,162.70,0.17%,"1,731,123"
"Nov 5, 2024",161.26,162.83,160.64,162.42,162.42,-0.04%,"1,160,131"
"Nov 4, 2024",163.34,164.03,162.03,162.48,162.48,-0.39%,"1,352,008"
"Nov 1, 2024",159.14,163.46,158.76,163.11,163.11,2.88%,"2,296,113"
"Oct 31, 2024",161.83,163.82,158.31,158.55,158.55,1.30%,"3,622,846"
"Oct 30, 2024",156.42,157.67,155.28,156.51,156.51,-0.20%,"2,047,685"
"Oct 29, 2024",156.62,157.92,156.22,156.83,156.83,-0.56%,"1,342,225"
"Oct 28, 2024",157.89,158.92,157.02,157.72,157.72,0.66%,"1,062,712"
"Oct 25, 2024",158.82,158.82,156.50,156.69,156.69,-1.44%,"1,040,134"
"Oct 24, 2024",159.02,159.30,158.24,158.98,158.98,-0.03%,"971,752"
"Oct 23, 2024",157.18,159.33,157.10,159.02,159.02,-0.09%,"941,243"
"Oct 22, 2024",159.16,159.98,158.03,159.17,157.96,-0.76%,"871,877"
"Oct 21, 2024",161.96,162.18,160.06,160.39,159.17,-0.97%,"790,979"
"Oct 18, 2024",162.18,162.44,160.70,161.96,160.73,-0.40%,"682,801"
"Oct 17, 2024",163.42,163.86,162.22,162.61,161.37,-0.50%,"664,147"
"Oct 16, 2024",161.82,163.57,161.60,163.43,162.19,0.06%,"722,403"
"Oct 15, 2024",162.54,164.10,162.11,163.34,162.10,1.13%,"1,076,434"
"Oct 14, 2024",160.62,161.74,160.00,161.51,160.28,0.75%,"991,475"
"Oct 11, 2024",158.86,160.57,158.39,160.30,159.08,1.42%,"864,047"
