date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",375.00,377.64,373.89,375.27,375.27,0.71%,"737,316"
"Nov 22, 2024",366.90,373.35,365.52,372.62,372.62,1.02%,"409,997"
"Nov 21, 2024",362.20,370.64,360.04,368.86,367.07,2.19%,"514,097"
"Nov 20, 2024",361.67,363.06,357.73,360.95,359.20,-0.25%,"488,822"
"Nov 19, 2024",359.52,364.93,358.12,361.86,360.10,-0.59%,"419,001"
"Nov 18, 2024",362.03,365.86,361.66,364.02,362.25,0.60%,"476,108"
"Nov 15, 2024",362.92,365.33,360.29,361.85,360.09,-0.52%,"536,110"
"Nov 14, 2024",365.21,367.00,361.59,363.73,361.96,-0.71%,"625,676"
"Nov 13, 2024",360.05,367.08,359.37,366.34,364.56,3.17%,"960,560"
"Nov 12, 2024",358.79,359.69,354.69,355.08,353.35,-0.93%,"474,838"
"Nov 11, 2024",360.18,360.18,357.00,358.43,356.69,0.55%,"529,297"
"Nov 8, 2024",351.94,357.10,351.61,356.46,354.73,0.49%,"735,636"
"Nov 7, 2024",357.01,360.23,354.22,354.72,353.00,-0.36%,"631,542"
"Nov 6, 2024",365.23,370.21,352.89,356.01,354.28,0.44%,"1,155,936"
"Nov 5, 2024",328.00,356.69,325.67,354.46,352.74,8.86%,"1,346,519"
"Nov 4, 2024",329.83,330.38,324.74,325.62,324.04,-0.88%,"690,432"
"Nov 1, 2024",328.82,331.51,328.26,328.51,326.91,-0.14%,"387,603"
"Oct 31, 2024",330.01,331.00,327.33,328.98,327.38,-0.86%,"642,366"
"Oct 30, 2024",329.44,333.98,327.95,331.84,330.23,0.21%,"514,921"
"Oct 29, 2024",333.93,334.02,329.99,331.14,329.53,-1.05%,"337,195"
"Oct 28, 2024",331.74,335.56,329.60,334.66,333.03,1.67%,"588,742"
"Oct 25, 2024",334.36,334.74,328.26,329.17,327.57,-1.00%,"604,435"
"Oct 24, 2024",332.14,333.26,329.41,332.48,330.86,0.76%,"476,921"
"Oct 23, 2024",330.14,333.12,328.78,329.97,328.37,-0.22%,"389,028"
"Oct 22, 2024",331.69,332.86,326.46,330.70,329.09,-0.88%,"571,168"
"Oct 21, 2024",335.15,337.00,333.09,333.63,332.01,-0.56%,"465,465"
"Oct 18, 2024",335.00,340.82,333.08,335.51,333.88,0.76%,"1,534,690"
"Oct 17, 2024",335.00,335.00,332.00,332.99,331.37,-0.26%,"474,249"
"Oct 16, 2024",333.67,335.00,331.24,333.87,332.25,0.36%,"717,489"
"Oct 15, 2024",337.39,339.78,332.24,332.68,331.06,-1.68%,"545,576"
"Oct 14, 2024",335.25,338.78,333.61,338.37,336.73,0.68%,"442,748"
"Oct 11, 2024",333.73,337.60,333.03,336.07,334.44,0.97%,"412,743"
"Oct 10, 2024",333.75,333.75,330.09,332.85,331.23,-0.06%,"446,401"
"Oct 9, 2024",331.50,334.99,329.94,333.05,331.43,1.04%,"405,680"
"Oct 8, 2024",330.00,332.00,324.40,329.61,328.01,-0.63%,"609,536"
"Oct 7, 2024",330.70,333.48,329.17,331.71,330.10,-0.01%,"408,845"
"Oct 4, 2024",327.50,331.89,326.03,331.74,330.13,1.34%,"691,513"
"Oct 3, 2024",323.90,327.73,322.03,327.35,325.76,0.71%,"541,868"
"Oct 2, 2024",325.05,327.50,323.13,325.05,323.47,-0.38%,"383,092"
"Oct 1, 2024",323.50,327.32,321.85,326.28,324.69,0.77%,"803,046"
"Sep 30, 2024",325.35,325.92,321.33,323.79,322.22,-0.80%,"565,963"
"Sep 27, 2024",324.81,328.68,324.69,326.40,324.81,0.55%,"553,567"
"Sep 26, 2024",322.30,333.43,322.25,324.62,323.04,2.24%,"991,222"
"Sep 25, 2024",324.85,325.52,317.29,317.50,315.96,-1.87%,"705,721"
"Sep 24, 2024",316.21,328.10,316.21,323.56,321.99,3.22%,"1,043,963"
"Sep 23, 2024",308.65,314.00,308.39,313.48,311.96,1.70%,"566,663"
"Sep 20, 2024",307.12,308.97,305.55,308.24,306.74,-0.29%,"991,530"
"Sep 19, 2024",305.84,309.75,302.41,309.14,307.64,2.82%,"618,791"
"Sep 18, 2024",302.79,306.42,300.00,300.65,299.19,-0.31%,"567,426"
"Sep 17, 2024",302.24,306.07,299.11,301.59,300.12,0.17%,"738,999"
"Sep 16, 2024",303.80,305.93,301.00,301.07,299.61,-0.35%,"858,354"
"Sep 13, 2024",298.25,303.72,298.05,302.13,300.66,1.64%,"472,885"
"Sep 12, 2024",294.14,297.71,291.49,297.25,295.81,1.33%,"557,344"
"Sep 11, 2024",295.18,295.18,285.00,293.36,291.93,-0.63%,"881,306"
"Sep 10, 2024",296.94,297.26,292.98,295.22,293.79,-0.54%,"528,277"
"Sep 9, 2024",294.39,298.91,292.12,296.81,295.37,1.23%,"596,288"
"Sep 6, 2024",297.22,300.09,291.88,293.21,291.79,-1.16%,"608,819"
"Sep 5, 2024",300.95,302.15,293.37,296.65,295.21,-1.68%,"781,682"
"Sep 4, 2024",304.00,306.82,301.72,301.73,300.26,-0.85%,"635,796"
"Sep 3, 2024",310.47,312.02,301.56,304.32,302.84,-2.73%,"593,900"
"Aug 30, 2024",310.15,313.55,307.60,312.85,311.33,1.14%,"878,028"
"Aug 29, 2024",309.00,313.35,306.50,309.31,307.81,1.06%,"489,394"
"Aug 28, 2024",305.62,309.50,305.20,306.07,304.58,-0.10%,"697,488"
"Aug 27, 2024",309.31,309.99,306.01,306.37,304.88,-1.22%,"424,975"
"Aug 26, 2024",310.59,312.14,307.84,310.15,308.64,0.27%,"537,906"
"Aug 23, 2024",305.27,310.23,304.62,309.31,307.81,1.14%,"676,358"
"Aug 22, 2024",303.66,306.43,302.71,305.83,302.56,0.71%,"597,098"
"Aug 21, 2024",301.40,305.15,299.84,303.66,300.42,1.12%,"525,320"
"Aug 20, 2024",301.00,302.43,299.78,300.31,297.10,-0.34%,"531,126"
"Aug 19, 2024",301.65,302.69,299.64,301.32,298.10,-0.11%,"450,224"
"Aug 16, 2024",299.29,302.76,298.56,301.65,298.43,0.62%,"578,191"
"Aug 15, 2024",296.54,301.47,294.80,299.80,296.60,2.67%,"700,028"
"Aug 14, 2024",290.78,293.17,289.28,291.99,288.87,0.09%,"949,006"
"Aug 13, 2024",292.73,293.32,289.05,291.74,288.62,0.27%,"804,154"
"Aug 12, 2024",296.05,296.05,289.87,290.94,287.83,-1.03%,"767,675"
"Aug 9, 2024",297.38,299.02,293.50,293.97,290.83,-1.10%,"597,256"
"Aug 8, 2024",293.76,299.08,293.43,297.24,294.07,1.80%,"576,618"
"Aug 7, 2024",295.89,298.96,291.68,291.99,288.87,-0.11%,"846,986"
"Aug 6, 2024",285.00,297.24,282.19,292.31,289.19,3.42%,"1,326,342"
