date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",45.48,46.19,45.40,45.93,45.93,1.41%,"3,116,232"
"Nov 22, 2024",44.50,45.40,44.50,45.29,45.29,1.87%,"2,502,426"
"Nov 21, 2024",43.78,44.65,43.40,44.46,44.46,1.48%,"2,188,501"
"Nov 20, 2024",43.53,43.95,43.39,43.81,43.81,0.64%,"1,978,003"
"Nov 19, 2024",43.27,43.57,42.90,43.53,43.53,0.02%,"2,536,092"
"Nov 18, 2024",43.26,43.70,43.10,43.52,43.52,0.86%,"2,713,379"
"Nov 15, 2024",44.34,44.39,42.70,43.15,43.15,-2.92%,"4,313,575"
"Nov 14, 2024",44.76,45.55,44.35,44.45,44.45,0.41%,"3,622,726"
"Nov 13, 2024",44.11,44.35,43.85,44.27,44.27,0.07%,"1,884,902"
"Nov 12, 2024",44.75,44.98,43.81,44.24,44.24,-1.16%,"2,311,447"
"Nov 11, 2024",45.45,46.16,44.63,44.76,44.76,-1.82%,"2,413,910"
"Nov 8, 2024",45.15,45.82,44.87,45.59,45.59,1.04%,"1,852,611"
"Nov 7, 2024",46.25,46.25,44.99,45.12,45.12,-2.42%,"2,052,680"
"Nov 6, 2024",47.17,47.25,46.22,46.24,46.24,-1.07%,"3,021,868"
"Nov 5, 2024",46.35,46.85,46.11,46.74,46.74,0.78%,"1,377,637"
"Nov 4, 2024",46.44,46.71,46.07,46.38,46.38,0.11%,"1,479,630"
"Nov 1, 2024",46.66,46.66,46.11,46.33,46.33,-0.69%,"1,425,342"
"Oct 31, 2024",46.68,47.15,46.55,46.65,46.65,-0.06%,"1,615,186"
"Oct 30, 2024",46.74,46.83,46.39,46.68,46.68,-0.17%,"1,990,451"
"Oct 29, 2024",47.32,47.44,46.74,46.76,46.76,-1.83%,"1,363,928"
"Oct 28, 2024",47.25,48.25,47.25,47.63,47.63,1.19%,"1,536,934"
"Oct 25, 2024",47.09,47.21,46.98,47.07,47.07,0.17%,"1,139,354"
"Oct 24, 2024",46.93,47.41,46.85,46.99,46.99,0.06%,"1,367,215"
"Oct 23, 2024",47.00,47.30,46.72,46.96,46.96,-0.84%,"1,498,923"
"Oct 22, 2024",47.26,47.52,47.05,47.36,47.36,0.21%,"1,368,123"
"Oct 21, 2024",48.45,48.54,47.05,47.26,47.26,-2.56%,"1,673,913"
"Oct 18, 2024",48.56,48.68,48.23,48.50,48.50,-0.43%,"1,776,282"
"Oct 17, 2024",48.27,48.74,48.17,48.71,48.71,0.74%,"1,339,135"
"Oct 16, 2024",48.14,48.65,48.14,48.35,48.35,-0.02%,"1,065,789"
"Oct 15, 2024",48.18,49.11,48.01,48.36,48.36,0.54%,"2,072,500"
"Oct 14, 2024",47.61,48.12,47.40,48.10,48.10,1.46%,"1,169,919"
"Oct 11, 2024",47.84,48.02,47.22,47.41,47.41,-0.90%,"1,621,114"
"Oct 10, 2024",47.76,48.18,47.55,47.84,47.84,0.72%,"1,829,625"
"Oct 9, 2024",47.49,47.92,47.33,47.50,47.50,-0.15%,"1,634,110"
"Oct 8, 2024",47.20,47.65,46.95,47.57,47.57,0.93%,"1,458,595"
"Oct 7, 2024",47.83,47.83,47.02,47.13,47.13,-0.46%,"2,451,000"
"Oct 4, 2024",46.89,47.39,46.83,47.35,47.35,0.13%,"1,772,413"
"Oct 3, 2024",47.43,47.48,46.62,47.29,47.29,-1.19%,"3,235,318"
"Oct 2, 2024",48.04,48.25,47.62,47.86,47.49,-1.03%,"3,147,932"
"Oct 1, 2024",48.86,49.07,48.25,48.36,47.99,-1.14%,"2,974,707"
"Sep 30, 2024",49.43,49.56,48.51,48.92,48.54,-0.89%,"2,448,845"
"Sep 27, 2024",49.07,49.71,48.91,49.36,48.98,-0.12%,"2,432,589"
"Sep 26, 2024",49.32,49.74,49.24,49.42,49.04,-0.14%,"2,091,753"
"Sep 25, 2024",49.88,49.98,49.40,49.49,49.11,-0.32%,"1,538,452"
"Sep 24, 2024",50.20,50.29,49.41,49.65,49.27,-1.59%,"2,307,360"
"Sep 23, 2024",50.91,51.02,50.23,50.45,50.06,-1.48%,"2,078,864"
"Sep 20, 2024",51.15,51.74,51.15,51.21,50.81,0.73%,"5,845,484"
"Sep 19, 2024",50.90,50.98,50.46,50.84,50.45,-0.47%,"1,817,131"
"Sep 18, 2024",51.34,51.91,50.97,51.08,50.68,-0.85%,"2,464,283"
"Sep 17, 2024",51.54,52.19,51.37,51.52,51.12,-0.08%,"1,418,909"
"Sep 16, 2024",51.37,52.11,51.37,51.56,51.16,0.92%,"1,794,211"
"Sep 13, 2024",49.84,51.16,49.79,51.09,50.69,2.63%,"2,014,662"
"Sep 12, 2024",48.92,50.01,48.83,49.78,49.39,1.30%,"1,991,959"
"Sep 11, 2024",51.25,51.26,48.78,49.14,48.76,-3.84%,"4,047,107"
"Sep 10, 2024",51.74,52.81,50.80,51.10,50.70,-1.24%,"3,597,575"
"Sep 9, 2024",51.89,52.24,51.54,51.74,51.34,-0.29%,"2,935,619"
"Sep 6, 2024",51.20,52.17,51.20,51.89,51.49,1.07%,"2,627,729"
"Sep 5, 2024",51.86,52.33,51.28,51.34,50.94,-0.58%,"2,263,310"
"Sep 4, 2024",51.29,51.69,50.91,51.64,51.24,0.56%,"2,152,110"
"Sep 3, 2024",49.96,51.39,49.84,51.35,50.95,3.28%,"2,604,606"
"Aug 30, 2024",49.01,49.93,49.01,49.72,49.33,0.95%,"3,372,805"
"Aug 29, 2024",49.63,50.11,48.35,49.25,48.87,-1.83%,"3,386,371"
"Aug 28, 2024",49.83,50.46,49.59,50.17,49.78,0.66%,"3,514,850"
"Aug 27, 2024",50.63,50.76,49.54,49.84,49.45,-1.19%,"3,198,913"
"Aug 26, 2024",50.93,50.99,50.09,50.44,50.05,-0.71%,"3,185,161"
"Aug 23, 2024",50.60,50.99,50.51,50.80,50.41,0.40%,"1,914,287"
"Aug 22, 2024",50.72,50.92,50.15,50.60,50.21,0.02%,"1,664,793"
"Aug 21, 2024",50.46,50.95,50.35,50.59,50.20,0.44%,"1,659,236"
"Aug 20, 2024",49.60,50.57,49.60,50.37,49.98,0.84%,"1,910,419"
"Aug 19, 2024",49.34,50.04,48.77,49.95,49.56,1.73%,"2,680,999"
"Aug 16, 2024",48.99,49.17,48.68,49.10,48.72,0.33%,"2,093,609"
"Aug 15, 2024",49.65,49.89,48.80,48.94,48.56,-1.39%,"3,186,043"
"Aug 14, 2024",48.75,49.93,48.75,49.63,49.25,1.89%,"2,868,113"
"Aug 13, 2024",48.47,48.77,48.04,48.71,48.33,0.56%,"1,497,445"
"Aug 12, 2024",49.02,49.16,48.32,48.44,48.06,-1.40%,"1,550,597"
"Aug 9, 2024",48.74,49.24,48.25,49.13,48.75,0.37%,"1,919,885"
"Aug 8, 2024",48.50,49.50,48.22,48.95,48.57,0.51%,"1,618,089"
"Aug 7, 2024",48.79,49.63,48.69,48.70,48.32,-0.14%,"2,350,307"
"Aug 6, 2024",48.90,49.43,48.65,48.77,48.39,-0.12%,"2,673,843"
"Aug 5, 2024",49.62,50.63,48.54,48.83,48.45,-0.55%,"3,756,390"
"Aug 2, 2024",48.50,49.19,47.83,49.10,48.72,2.53%,"3,713,549"
"Aug 1, 2024",46.96,48.03,46.76,47.89,47.52,2.20%,"2,552,799"
"Jul 31, 2024",47.40,47.52,46.83,46.86,46.50,-1.62%,"1,859,224"
"Jul 30, 2024",46.64,47.66,46.61,47.63,47.26,1.34%,"2,289,259"
"Jul 29, 2024",46.67,47.09,46.22,47.00,46.64,0.53%,"1,870,694"
"Jul 26, 2024",46.15,46.94,46.09,46.75,46.39,1.04%,"2,644,154"
"Jul 25, 2024",46.72,47.48,45.83,46.27,45.91,-0.43%,"2,352,760"
"Jul 24, 2024",45.72,46.58,45.28,46.47,46.11,1.95%,"1,790,703"
"Jul 23, 2024",45.98,46.13,45.43,45.58,45.23,-1.38%,"1,463,876"
"Jul 22, 2024",46.29,46.45,45.78,46.22,45.86,-0.39%,"2,023,909"
"Jul 19, 2024",48.04,48.04,46.36,46.40,46.04,-3.15%,"2,164,319"
"Jul 18, 2024",47.37,48.63,47.36,47.91,47.54,0.40%,"2,150,907"
"Jul 17, 2024",46.26,47.79,46.02,47.72,47.35,3.51%,"2,588,095"
"Jul 16, 2024",45.44,46.11,45.23,46.10,45.74,1.10%,"2,216,158"
"Jul 15, 2024",45.57,45.66,44.81,45.60,45.25,0.29%,"3,086,414"
"Jul 12, 2024",45.47,45.73,45.23,45.47,45.12,0.31%,"1,663,590"
"Jul 11, 2024",45.24,45.55,44.83,45.33,44.98,-0.53%,"3,021,379"
"Jul 10, 2024",45.47,45.63,45.22,45.57,45.22,0.42%,"1,521,917"
"Jul 9, 2024",45.04,45.55,44.83,45.38,45.03,0.80%,"2,306,743"
"Jul 8, 2024",45.26,45.54,44.92,45.02,44.67,-0.22%,"1,985,842"
