date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",63.37,64.19,63.03,63.75,63.75,1.67%,"9,658,766"
"Nov 22, 2024",59.82,62.90,59.05,62.70,62.70,10.19%,"9,911,140"
"Nov 21, 2024",55.94,57.17,55.34,56.90,56.90,2.67%,"8,778,804"
"Nov 20, 2024",56.37,56.75,55.14,55.42,55.42,-1.95%,"8,155,163"
"Nov 19, 2024",56.46,56.92,56.17,56.52,56.52,-0.19%,"4,571,533"
"Nov 18, 2024",56.87,57.09,56.54,56.63,56.63,-0.07%,"3,933,055"
"Nov 15, 2024",57.20,57.36,56.46,56.67,56.67,-1.17%,"3,041,790"
"Nov 14, 2024",57.57,58.16,57.29,57.34,57.34,-1.02%,"3,226,197"
"Nov 13, 2024",57.18,58.08,57.05,57.93,57.93,1.31%,"3,366,695"
"Nov 12, 2024",56.87,57.24,56.52,57.18,57.18,0.76%,"3,133,031"
"Nov 11, 2024",56.24,56.99,56.24,56.75,56.75,1.12%,"2,425,721"
"Nov 8, 2024",55.87,56.57,55.80,56.12,56.12,0.63%,"3,186,506"
"Nov 7, 2024",55.53,56.20,55.43,55.77,55.77,0.60%,"3,958,351"
"Nov 6, 2024",54.48,55.53,54.21,55.44,55.44,4.82%,"5,501,983"
"Nov 5, 2024",52.59,53.44,52.58,52.89,52.89,0.85%,"3,858,928"
"Nov 4, 2024",51.46,52.47,51.46,52.45,52.45,1.85%,"2,541,425"
"Nov 1, 2024",51.07,51.88,51.00,51.49,51.49,0.04%,"5,209,665"
"Oct 31, 2024",52.27,52.42,51.46,51.47,51.47,-1.59%,"3,179,402"
"Oct 30, 2024",52.05,52.52,51.95,52.30,52.30,0.23%,"2,754,501"
"Oct 29, 2024",51.52,52.48,51.52,52.18,52.18,0.64%,"2,258,160"
"Oct 28, 2024",52.17,52.23,51.63,51.85,51.85,0.27%,"3,030,746"
"Oct 25, 2024",51.64,52.05,51.52,51.71,51.71,0.64%,"2,311,371"
"Oct 24, 2024",51.33,51.58,51.03,51.38,51.38,0.04%,"2,584,991"
"Oct 23, 2024",51.69,52.13,51.25,51.36,51.36,-1.36%,"2,377,402"
"Oct 22, 2024",52.46,52.46,51.82,52.07,52.07,-0.93%,"3,409,121"
"Oct 21, 2024",53.70,53.85,52.50,52.56,52.56,-2.45%,"4,097,637"
"Oct 18, 2024",53.69,54.08,53.17,53.88,53.88,0.35%,"8,538,483"
"Oct 17, 2024",54.90,54.95,53.55,53.69,53.69,-1.56%,"3,800,584"
"Oct 16, 2024",54.71,54.91,54.23,54.54,54.54,-0.57%,"3,864,817"
"Oct 15, 2024",55.29,55.93,54.59,54.85,54.85,-0.72%,"3,957,610"
"Oct 14, 2024",55.94,55.94,55.00,55.25,55.25,-1.20%,"3,604,973"
"Oct 11, 2024",55.78,56.59,55.73,55.92,55.92,0.58%,"3,840,744"
"Oct 10, 2024",55.40,56.00,54.99,55.60,55.60,-0.43%,"6,259,462"
"Oct 9, 2024",54.51,56.62,54.51,55.84,55.84,2.57%,"7,662,905"
"Oct 8, 2024",52.98,54.54,52.80,54.44,54.44,3.18%,"6,713,687"
"Oct 7, 2024",52.58,52.86,52.45,52.76,52.76,-0.26%,"5,239,913"
"Oct 4, 2024",52.80,53.03,52.35,52.90,52.90,1.36%,"3,682,181"
"Oct 3, 2024",52.43,52.66,52.05,52.19,52.19,-0.87%,"2,681,118"
"Oct 2, 2024",52.39,52.83,52.16,52.65,52.65,0.32%,"2,519,364"
"Oct 1, 2024",52.36,52.83,51.80,52.48,52.48,0.15%,"5,122,847"
"Sep 30, 2024",52.12,52.50,51.88,52.40,52.40,0.65%,"4,069,191"
"Sep 27, 2024",52.17,52.30,51.76,52.06,52.06,-0.10%,"3,035,714"
"Sep 26, 2024",52.53,52.70,52.07,52.11,52.11,0.12%,"3,152,165"
"Sep 25, 2024",52.53,52.59,51.99,52.05,52.05,-0.76%,"5,095,099"
"Sep 24, 2024",51.72,52.50,51.54,52.45,52.45,1.47%,"3,441,603"
"Sep 23, 2024",51.51,52.01,51.46,51.69,51.69,0.49%,"2,857,422"
"Sep 20, 2024",51.84,51.84,51.15,51.44,51.44,-0.69%,"8,641,146"
"Sep 19, 2024",51.86,52.12,51.37,51.80,51.80,1.57%,"4,154,857"
"Sep 18, 2024",51.00,51.92,50.87,51.00,51.00,0.55%,"4,337,344"
"Sep 17, 2024",50.07,50.82,49.91,50.72,50.72,1.95%,"4,207,612"
"Sep 16, 2024",50.59,51.03,49.69,49.75,49.75,-0.96%,"5,211,541"
"Sep 13, 2024",49.64,50.38,49.50,50.23,50.23,1.54%,"3,081,075"
"Sep 12, 2024",49.31,49.72,49.14,49.47,49.47,0.18%,"3,862,042"
"Sep 11, 2024",49.30,49.45,48.05,49.38,49.38,-0.26%,"4,591,573"
"Sep 10, 2024",49.42,49.60,48.74,49.51,49.51,0.18%,"4,155,087"
"Sep 9, 2024",49.82,49.97,49.16,49.42,49.42,-0.08%,"5,243,885"
"Sep 6, 2024",49.70,50.08,48.95,49.46,49.46,-0.10%,"7,844,381"
"Sep 5, 2024",50.00,50.24,48.38,49.51,49.51,-6.67%,"11,425,616"
"Sep 4, 2024",53.50,54.02,52.93,53.05,53.05,-0.88%,"5,341,797"
"Sep 3, 2024",53.06,54.15,53.03,53.52,53.52,1.06%,"7,222,909"
"Aug 30, 2024",52.57,53.56,52.43,52.96,52.96,1.07%,"4,919,942"
"Aug 29, 2024",53.18,53.31,52.15,52.40,52.40,-1.52%,"6,025,440"
"Aug 28, 2024",52.74,53.25,52.67,53.21,53.21,1.18%,"3,615,622"
"Aug 27, 2024",52.54,52.70,52.18,52.59,52.59,0.06%,"2,884,105"
"Aug 26, 2024",52.88,53.23,52.48,52.56,52.56,-0.38%,"2,442,285"
"Aug 23, 2024",52.53,53.06,52.47,52.76,52.76,1.00%,"2,126,029"
"Aug 22, 2024",52.61,52.61,52.07,52.24,52.24,-0.40%,"2,483,248"
"Aug 21, 2024",52.21,52.59,51.88,52.45,52.45,0.90%,"2,592,617"
"Aug 20, 2024",51.59,52.04,51.53,51.98,51.98,0.76%,"2,853,704"
"Aug 19, 2024",51.39,51.60,51.15,51.59,51.59,0.55%,"3,399,758"
"Aug 16, 2024",51.40,51.66,51.08,51.31,51.31,-0.56%,"3,376,348"
"Aug 15, 2024",51.41,51.93,51.15,51.60,51.60,1.20%,"6,035,947"
"Aug 14, 2024",50.99,51.14,50.62,50.99,50.99,0.04%,"4,110,313"
"Aug 13, 2024",50.60,51.11,50.12,50.97,50.97,1.41%,"4,335,171"
