date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",27.76,27.90,26.97,26.99,26.99,-2.32%,"8,208,982"
"Nov 22, 2024",27.27,27.74,27.22,27.63,27.63,0.69%,"5,677,998"
"Nov 21, 2024",27.12,27.54,27.05,27.44,27.44,2.27%,"7,443,766"
"Nov 20, 2024",26.48,26.84,26.28,26.83,26.83,2.05%,"6,964,020"
"Nov 19, 2024",25.98,26.39,25.85,26.29,26.29,0.65%,"6,302,773"
"Nov 18, 2024",25.81,26.27,25.72,26.12,26.12,2.11%,"6,003,545"
"Nov 15, 2024",25.60,26.14,25.46,25.58,25.58,0.59%,"7,021,811"
"Nov 14, 2024",25.82,25.82,25.31,25.43,25.43,-0.70%,"5,878,197"
"Nov 13, 2024",25.53,25.89,25.20,25.61,25.40,1.59%,"9,053,853"
"Nov 12, 2024",25.41,25.60,25.18,25.21,25.00,-0.79%,"5,322,097"
"Nov 11, 2024",24.91,25.54,24.64,25.41,25.20,3.38%,"6,633,761"
"Nov 8, 2024",24.36,24.61,24.23,24.58,24.38,0.70%,"4,461,966"
"Nov 7, 2024",24.49,24.51,24.18,24.41,24.21,-0.57%,"5,184,008"
"Nov 6, 2024",23.90,24.84,23.85,24.55,24.35,5.27%,"7,310,574"
"Nov 5, 2024",23.13,23.46,23.04,23.32,23.13,1.08%,"6,533,543"
"Nov 4, 2024",22.82,23.23,22.82,23.07,22.88,1.59%,"9,161,205"
"Nov 1, 2024",24.04,24.25,22.60,22.71,22.52,-5.06%,"12,178,921"
"Oct 31, 2024",24.21,24.29,23.81,23.92,23.72,-0.87%,"7,677,671"
"Oct 30, 2024",23.98,24.36,23.83,24.13,23.93,1.34%,"5,902,905"
"Oct 29, 2024",23.70,23.93,23.63,23.81,23.62,0.21%,"4,475,611"
"Oct 28, 2024",23.51,23.88,23.33,23.76,23.57,-0.38%,"5,804,272"
"Oct 25, 2024",24.20,24.20,23.78,23.85,23.66,-0.58%,"7,829,632"
"Oct 24, 2024",23.79,24.03,23.58,23.99,23.79,1.31%,"3,830,792"
"Oct 23, 2024",23.53,23.69,23.39,23.68,23.49,0.68%,"3,951,166"
"Oct 22, 2024",23.96,23.96,23.51,23.52,23.33,-1.18%,"3,339,414"
"Oct 21, 2024",23.98,24.12,23.66,23.80,23.61,0.08%,"3,856,567"
"Oct 18, 2024",24.03,24.04,23.40,23.78,23.59,-1.20%,"3,970,521"
"Oct 17, 2024",23.92,24.12,23.70,24.07,23.87,1.39%,"4,948,327"
"Oct 16, 2024",24.23,24.30,23.69,23.74,23.55,-1.45%,"4,621,893"
"Oct 15, 2024",23.79,24.51,23.79,24.09,23.89,-1.31%,"6,777,233"
"Oct 14, 2024",24.57,24.66,24.23,24.41,24.21,-1.93%,"5,041,582"
"Oct 11, 2024",24.43,25.01,24.42,24.89,24.69,1.55%,"3,401,424"
"Oct 10, 2024",24.40,24.58,24.18,24.51,24.31,0.62%,"3,095,465"
"Oct 9, 2024",24.24,24.47,24.12,24.36,24.16,-0.29%,"3,008,948"
"Oct 8, 2024",24.37,24.58,24.09,24.43,24.23,-0.93%,"3,884,448"
"Oct 7, 2024",24.84,24.95,24.64,24.66,24.46,-0.84%,"3,792,389"
"Oct 4, 2024",25.00,25.01,24.71,24.87,24.67,0.61%,"4,973,265"
"Oct 3, 2024",24.40,24.82,24.26,24.72,24.52,0.98%,"5,427,290"
"Oct 2, 2024",24.74,24.82,24.17,24.48,24.28,1.37%,"7,697,602"
"Oct 1, 2024",23.67,24.60,23.66,24.15,23.95,0.84%,"13,465,965"
"Sep 30, 2024",23.69,24.07,23.60,23.95,23.75,0.88%,"5,581,287"
"Sep 27, 2024",23.36,23.83,23.29,23.74,23.55,2.95%,"5,786,092"
"Sep 26, 2024",22.99,23.37,22.86,23.06,22.87,-0.90%,"6,751,943"
"Sep 25, 2024",23.75,23.76,23.25,23.27,23.08,-2.06%,"5,189,224"
"Sep 24, 2024",24.31,24.38,23.73,23.76,23.57,-0.92%,"5,683,630"
"Sep 23, 2024",23.67,24.23,23.64,23.98,23.78,1.35%,"6,769,327"
"Sep 20, 2024",23.55,23.73,23.24,23.66,23.47,0.38%,"9,066,789"
"Sep 19, 2024",23.61,23.83,23.50,23.57,23.38,1.46%,"7,995,197"
"Sep 18, 2024",22.95,23.52,22.94,23.23,23.04,0.96%,"4,010,065"
"Sep 17, 2024",22.98,23.25,22.89,23.01,22.82,0.39%,"4,967,359"
"Sep 16, 2024",22.95,23.10,22.67,22.92,22.73,0.61%,"5,938,602"
"Sep 13, 2024",22.98,23.15,22.63,22.78,22.59,-,"6,708,060"
"Sep 12, 2024",22.78,22.89,22.41,22.78,22.59,-0.31%,"9,582,822"
