date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",64.33,65.18,63.97,64.49,64.49,1.82%,"7,901,271"
"Nov 22, 2024",63.45,63.62,62.90,63.34,63.34,-,"6,625,374"
"Nov 21, 2024",64.70,65.05,63.29,63.34,63.34,-0.47%,"9,931,515"
"Nov 20, 2024",64.10,65.05,61.66,63.64,63.64,-1.71%,"10,922,886"
"Nov 19, 2024",61.69,65.16,61.29,64.75,64.75,2.39%,"9,800,398"
"Nov 18, 2024",64.08,64.08,62.38,63.24,63.24,-1.30%,"6,632,730"
"Nov 15, 2024",65.44,65.84,63.86,64.07,64.07,-1.20%,"9,852,574"
"Nov 14, 2024",65.02,66.25,64.62,64.85,64.85,0.61%,"7,311,828"
"Nov 13, 2024",64.26,65.74,64.01,64.46,64.46,0.64%,"8,528,921"
"Nov 12, 2024",63.20,64.11,62.81,64.05,64.05,0.77%,"6,598,717"
"Nov 11, 2024",61.08,63.84,60.83,63.56,63.56,4.11%,"8,087,430"
"Nov 8, 2024",60.91,61.71,60.50,61.05,61.05,1.03%,"4,646,339"
"Nov 7, 2024",61.65,62.48,60.41,60.43,60.43,-3.03%,"7,399,970"
"Nov 6, 2024",60.50,62.66,60.33,62.32,62.32,6.91%,"16,683,600"
"Nov 5, 2024",57.09,58.63,57.08,58.29,58.29,2.46%,"5,390,568"
"Nov 4, 2024",57.82,58.12,56.81,56.89,56.89,-2.57%,"7,959,832"
"Nov 1, 2024",57.49,59.19,57.49,58.39,58.39,2.04%,"9,588,383"
"Oct 31, 2024",58.30,59.09,57.10,57.22,57.22,-2.12%,"7,749,424"
"Oct 30, 2024",57.12,59.07,57.12,58.46,58.46,1.95%,"11,088,963"
"Oct 29, 2024",54.70,57.37,54.60,57.34,57.34,3.54%,"9,524,056"
"Oct 28, 2024",55.50,56.64,55.36,55.38,55.38,2.33%,"10,898,797"
"Oct 25, 2024",55.00,55.27,53.87,54.12,54.12,-1.19%,"5,982,881"
"Oct 24, 2024",55.28,55.76,54.12,54.77,54.77,0.22%,"5,724,629"
"Oct 23, 2024",54.39,55.09,54.24,54.65,54.65,-0.27%,"6,624,048"
"Oct 22, 2024",55.08,55.22,54.17,54.80,54.80,-0.54%,"5,701,359"
"Oct 21, 2024",54.68,55.21,54.45,55.10,55.10,-1.25%,"6,869,410"
"Oct 18, 2024",55.55,56.24,54.86,55.80,55.80,0.98%,"8,222,110"
"Oct 17, 2024",55.50,56.05,55.06,55.26,55.26,-1.86%,"8,349,868"
"Oct 16, 2024",53.25,56.48,53.20,56.31,56.31,6.79%,"18,957,850"
"Oct 15, 2024",53.84,54.29,52.55,52.73,52.73,-0.85%,"9,175,445"
"Oct 14, 2024",51.35,53.37,51.07,53.18,53.18,3.60%,"9,581,403"
"Oct 11, 2024",49.97,51.52,49.44,51.33,51.33,2.07%,"8,037,189"
"Oct 10, 2024",50.51,51.50,49.29,50.29,50.29,-1.35%,"16,893,673"
"Oct 9, 2024",50.80,51.88,50.62,50.98,50.83,0.71%,"9,670,500"
"Oct 8, 2024",49.93,51.20,49.90,50.62,50.47,2.32%,"8,425,775"
"Oct 7, 2024",49.07,49.68,48.91,49.47,49.32,0.39%,"7,103,368"
"Oct 4, 2024",49.07,49.65,48.35,49.28,49.13,3.83%,"8,581,150"
"Oct 3, 2024",48.42,48.50,46.90,47.46,47.32,-1.94%,"9,561,805"
"Oct 2, 2024",49.38,49.38,48.20,48.40,48.26,-3.12%,"8,141,960"
"Oct 1, 2024",50.80,50.98,49.08,49.96,49.81,-1.63%,"10,546,022"
"Sep 30, 2024",51.46,51.61,50.27,50.79,50.64,-1.46%,"8,086,033"
"Sep 27, 2024",52.02,52.45,51.21,51.54,51.39,-0.52%,"10,931,304"
"Sep 26, 2024",50.00,51.99,49.66,51.81,51.66,6.28%,"17,920,428"
"Sep 25, 2024",47.98,49.19,47.96,48.75,48.61,1.99%,"9,203,392"
"Sep 24, 2024",47.37,47.89,46.87,47.80,47.66,1.36%,"6,652,704"
"Sep 23, 2024",46.87,47.43,46.50,47.16,47.02,0.47%,"5,449,640"
"Sep 20, 2024",47.06,47.16,46.52,46.94,46.80,-0.40%,"9,728,430"
"Sep 19, 2024",47.69,47.80,46.87,47.13,46.99,0.45%,"6,676,792"
"Sep 18, 2024",46.81,47.97,46.45,46.92,46.78,0.51%,"7,584,019"
"Sep 17, 2024",45.96,47.43,45.81,46.68,46.54,3.00%,"8,579,559"
"Sep 16, 2024",45.06,45.90,45.06,45.32,45.19,0.31%,"7,171,371"
"Sep 13, 2024",44.92,45.67,44.85,45.18,45.05,2.06%,"9,391,421"
"Sep 12, 2024",46.28,46.55,42.86,44.27,44.14,-0.02%,"13,658,281"
"Sep 11, 2024",43.51,44.34,43.03,44.28,44.15,2.03%,"6,984,884"
"Sep 10, 2024",43.92,44.00,42.79,43.40,43.27,-0.64%,"7,184,769"
"Sep 9, 2024",42.56,44.07,42.56,43.68,43.55,3.93%,"12,175,989"
"Sep 6, 2024",42.14,43.04,41.48,42.03,41.91,-0.33%,"8,498,150"
"Sep 5, 2024",42.82,43.89,42.07,42.17,42.05,-0.47%,"18,941,429"
"Sep 4, 2024",42.28,42.87,42.16,42.37,42.24,-,"6,224,541"
"Sep 3, 2024",42.10,42.74,42.05,42.37,42.24,-0.28%,"7,690,238"
"Aug 30, 2024",41.91,42.61,41.81,42.49,42.36,2.24%,"8,651,954"
"Aug 29, 2024",40.65,41.88,40.64,41.56,41.44,2.79%,"8,824,233"
"Aug 28, 2024",40.78,40.94,40.14,40.43,40.31,-0.93%,"7,586,932"
"Aug 27, 2024",41.06,41.13,40.49,40.81,40.69,-0.41%,"5,348,181"
"Aug 26, 2024",41.62,41.95,40.81,40.98,40.86,-0.97%,"6,110,877"
