date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",448.00,469.39,446.70,462.69,462.69,3.59%,"3,266,857"
"Nov 22, 2024",435.93,447.50,432.21,446.65,446.65,2.08%,"2,202,297"
"Nov 21, 2024",412.75,442.05,410.96,437.54,437.54,8.05%,"4,148,994"
"Nov 20, 2024",404.16,408.94,400.64,404.96,404.96,1.22%,"1,487,015"
"Nov 19, 2024",399.51,402.62,397.75,400.09,400.09,-1.10%,"1,076,748"
"Nov 18, 2024",396.21,406.98,396.14,404.53,404.53,1.40%,"1,457,301"
"Nov 15, 2024",392.67,399.57,390.00,398.95,398.95,1.09%,"1,168,176"
"Nov 14, 2024",390.42,395.52,387.79,394.64,394.64,1.33%,"1,225,339"
"Nov 13, 2024",391.05,392.13,387.03,389.45,389.45,-1.09%,"1,474,846"
"Nov 12, 2024",402.19,402.19,393.12,393.75,393.75,-2.21%,"1,144,922"
"Nov 11, 2024",397.18,402.88,393.17,402.65,402.65,2.18%,"1,143,472"
"Nov 8, 2024",402.10,406.49,393.72,394.06,394.06,-4.16%,"1,623,152"
"Nov 7, 2024",407.61,411.97,406.31,411.16,411.16,1.34%,"1,073,506"
"Nov 6, 2024",412.62,415.50,402.11,405.71,405.71,1.33%,"1,664,267"
"Nov 5, 2024",398.31,404.01,396.79,400.37,400.37,-0.33%,"902,554"
"Nov 4, 2024",400.42,406.86,399.51,401.68,401.68,0.31%,"801,931"
"Nov 1, 2024",405.80,407.08,398.31,400.42,400.42,-1.06%,"1,522,533"
"Oct 31, 2024",404.26,407.31,402.00,404.69,404.69,-,"746,280"
"Oct 30, 2024",402.66,408.14,401.33,404.69,404.69,-0.33%,"785,077"
"Oct 29, 2024",410.20,411.00,405.21,406.04,406.04,-1.53%,"758,578"
"Oct 28, 2024",409.00,413.33,408.25,412.35,412.35,1.08%,"828,317"
"Oct 25, 2024",413.00,414.75,407.42,407.93,407.93,-0.76%,"591,048"
"Oct 24, 2024",408.99,411.76,407.17,411.07,411.07,0.59%,"718,315"
"Oct 23, 2024",407.25,411.73,406.26,408.64,408.64,0.49%,"1,112,959"
"Oct 22, 2024",407.05,407.90,401.81,406.65,406.65,-0.08%,"610,159"
"Oct 21, 2024",408.00,410.73,405.92,406.96,406.96,-0.43%,"838,747"
"Oct 18, 2024",406.99,409.58,404.20,408.73,408.73,0.89%,"749,969"
"Oct 17, 2024",408.12,409.25,396.53,405.14,405.14,-1.03%,"1,398,486"
"Oct 16, 2024",403.23,410.45,403.12,409.37,409.37,1.84%,"867,752"
"Oct 15, 2024",405.02,409.04,401.48,401.99,401.99,-1.41%,"834,560"
"Oct 14, 2024",408.03,408.78,399.46,407.72,407.72,-0.82%,"996,423"
"Oct 11, 2024",405.05,412.37,404.47,411.08,411.08,1.31%,"653,446"
"Oct 10, 2024",404.77,406.55,401.86,405.76,405.76,0.07%,"578,148"
"Oct 9, 2024",401.50,406.37,401.50,405.48,405.48,1.30%,"760,351"
"Oct 8, 2024",403.54,405.91,398.78,400.28,400.28,-1.42%,"981,526"
"Oct 7, 2024",407.87,409.09,404.39,406.04,406.04,-0.48%,"942,080"
"Oct 4, 2024",412.00,412.14,405.07,407.99,407.99,-0.18%,"877,896"
"Oct 3, 2024",412.69,413.83,407.72,408.74,408.74,-1.86%,"1,103,915"
"Oct 2, 2024",416.12,417.58,414.14,416.49,416.49,0.01%,"863,795"
"Oct 1, 2024",415.18,420.47,411.12,416.44,416.44,-0.21%,"1,089,177"
"Sep 30, 2024",416.00,417.94,412.54,417.33,417.33,-0.16%,"1,176,773"
"Sep 27, 2024",414.10,419.63,412.57,418.00,416.53,1.59%,"1,410,903"
"Sep 26, 2024",409.96,413.15,408.37,411.47,410.03,1.12%,"1,062,180"
"Sep 25, 2024",412.84,413.87,406.07,406.93,405.50,-0.96%,"923,692"
"Sep 24, 2024",411.74,415.75,407.37,410.89,409.45,0.47%,"1,253,685"
"Sep 23, 2024",405.02,410.26,404.07,408.95,407.52,0.75%,"1,184,549"
"Sep 20, 2024",406.62,409.91,402.48,405.89,404.47,-0.94%,"2,709,595"
"Sep 19, 2024",406.52,412.45,403.34,409.73,408.29,2.16%,"1,751,158"
