date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",194.04,198.08,193.00,196.49,196.49,2.26%,"3,911,713"
"Nov 22, 2024",185.78,193.33,185.78,192.15,192.15,5.63%,"3,057,254"
"Nov 21, 2024",176.63,181.98,175.12,181.91,181.91,3.15%,"2,663,995"
"Nov 20, 2024",176.58,178.00,174.27,176.36,176.36,0.04%,"1,095,537"
"Nov 19, 2024",174.78,176.69,172.36,176.29,176.29,-0.09%,"1,860,835"
"Nov 18, 2024",176.16,178.00,174.04,176.45,176.45,0.45%,"1,685,985"
"Nov 15, 2024",175.84,176.87,174.06,175.66,175.66,-0.68%,"1,141,389"
"Nov 14, 2024",178.50,179.22,174.96,176.86,176.86,-0.83%,"1,229,179"
"Nov 13, 2024",178.45,182.26,178.00,178.34,178.34,0.40%,"1,383,204"
"Nov 12, 2024",177.06,177.75,174.92,177.63,177.63,0.31%,"1,590,902"
"Nov 11, 2024",178.00,179.00,175.24,177.08,177.08,0.84%,"1,809,536"
"Nov 8, 2024",171.00,176.71,170.26,175.61,175.61,2.49%,"2,036,443"
"Nov 7, 2024",166.50,173.42,166.50,171.34,171.34,3.99%,"1,774,415"
"Nov 6, 2024",167.37,168.00,161.89,164.77,164.77,0.67%,"2,044,331"
"Nov 5, 2024",161.93,163.82,161.40,163.67,163.67,0.87%,"1,381,021"
"Nov 4, 2024",158.09,164.35,158.04,162.26,162.26,2.62%,"1,950,171"
"Nov 1, 2024",162.80,162.80,158.00,158.12,158.12,-1.72%,"2,026,011"
"Oct 31, 2024",168.65,168.65,160.85,160.89,160.89,-5.09%,"2,374,495"
"Oct 30, 2024",169.61,170.40,167.59,169.52,169.52,-0.02%,"1,711,604"
"Oct 29, 2024",167.00,170.17,163.16,169.55,169.55,0.15%,"2,434,809"
"Oct 28, 2024",168.65,170.74,166.36,169.29,169.29,0.70%,"2,920,707"
"Oct 25, 2024",169.95,172.57,164.00,168.11,168.11,10.57%,"8,426,623"
"Oct 24, 2024",152.79,153.23,150.94,152.04,152.04,0.72%,"3,673,534"
"Oct 23, 2024",153.20,154.48,150.35,150.96,150.96,-2.01%,"1,725,154"
"Oct 22, 2024",155.00,157.84,153.76,154.05,154.05,-3.72%,"2,479,935"
"Oct 21, 2024",161.40,161.85,156.29,160.01,160.01,-1.14%,"1,908,406"
"Oct 18, 2024",161.31,161.92,159.11,161.85,161.85,0.96%,"1,865,146"
"Oct 17, 2024",161.98,162.18,157.65,160.31,160.31,-0.53%,"1,625,186"
"Oct 16, 2024",164.21,164.69,159.65,161.16,161.16,-0.43%,"1,505,405"
"Oct 15, 2024",160.48,163.80,160.48,161.85,161.85,0.70%,"1,967,147"
