date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",75.92,77.75,75.87,76.59,76.59,2.22%,"4,951,319"
"Nov 22, 2024",74.22,75.92,74.02,74.93,74.93,1.37%,"3,828,101"
"Nov 21, 2024",73.47,74.43,73.27,73.92,73.92,0.89%,"3,162,302"
"Nov 20, 2024",75.75,75.75,72.12,73.27,73.27,-4.22%,"7,419,040"
"Nov 19, 2024",77.46,78.27,76.38,76.50,76.50,-0.77%,"2,261,689"
"Nov 18, 2024",75.88,78.70,75.88,77.09,77.09,1.59%,"3,252,912"
"Nov 15, 2024",76.94,77.75,75.05,75.88,75.88,-1.52%,"3,704,309"
"Nov 14, 2024",76.91,78.40,76.21,77.05,77.05,0.35%,"2,821,808"
"Nov 13, 2024",75.12,77.04,75.12,76.78,76.78,2.21%,"3,379,331"
"Nov 12, 2024",75.87,75.98,73.51,75.12,75.12,-1.53%,"5,638,744"
"Nov 11, 2024",77.00,77.60,76.07,76.29,76.29,-0.86%,"4,613,611"
"Nov 8, 2024",78.08,78.25,76.76,76.95,76.95,-1.43%,"3,885,503"
"Nov 7, 2024",78.41,79.42,77.78,78.07,78.07,0.85%,"4,150,670"
"Nov 6, 2024",80.30,80.75,77.22,77.41,77.41,-5.10%,"6,752,639"
"Nov 5, 2024",82.01,82.04,80.68,81.57,81.57,-0.52%,"4,522,889"
"Nov 4, 2024",82.31,84.39,81.76,82.00,82.00,0.29%,"4,571,090"
"Nov 1, 2024",80.57,81.86,79.86,81.76,81.76,2.15%,"3,126,563"
"Oct 31, 2024",79.23,80.82,78.45,80.04,80.04,1.39%,"3,509,038"
"Oct 30, 2024",79.87,80.48,78.82,78.94,78.94,-1.08%,"3,071,873"
"Oct 29, 2024",80.76,82.48,79.79,79.80,79.80,-1.60%,"3,993,986"
"Oct 28, 2024",80.74,82.36,80.64,81.10,81.10,0.90%,"3,468,013"
"Oct 25, 2024",81.65,82.67,80.18,80.38,80.38,-1.25%,"2,869,727"
"Oct 24, 2024",81.18,81.67,80.70,81.40,81.40,0.44%,"2,378,748"
"Oct 23, 2024",81.12,81.63,80.42,81.04,81.04,-0.10%,"3,069,007"
"Oct 22, 2024",81.68,82.23,80.12,81.12,81.12,-0.01%,"3,850,494"
"Oct 21, 2024",80.78,81.53,80.30,81.13,81.13,0.66%,"4,412,139"
"Oct 18, 2024",81.65,81.97,80.14,80.60,80.60,-1.59%,"4,808,603"
"Oct 17, 2024",82.10,82.53,80.92,81.90,81.90,-0.40%,"6,300,871"
"Oct 16, 2024",80.75,83.18,80.22,82.23,82.23,2.06%,"4,794,667"
"Oct 15, 2024",79.64,81.77,79.55,80.57,80.57,1.02%,"6,580,512"
"Oct 14, 2024",82.18,82.38,79.65,79.76,79.76,-3.31%,"5,953,728"
"Oct 11, 2024",82.50,82.90,81.90,82.49,82.49,0.06%,"6,849,266"
"Oct 10, 2024",82.86,82.86,82.01,82.44,82.44,-0.51%,"3,671,384"
"Oct 9, 2024",83.48,83.60,82.25,82.86,82.86,-0.83%,"3,775,890"
"Oct 8, 2024",83.74,84.08,82.68,83.55,83.55,-0.89%,"2,203,027"
"Oct 7, 2024",84.89,85.08,83.08,84.30,83.71,-0.06%,"3,696,807"
"Oct 4, 2024",82.96,84.98,82.51,84.35,83.76,2.97%,"3,792,959"
"Oct 3, 2024",81.38,82.03,81.20,81.92,81.35,0.18%,"2,858,498"
"Oct 2, 2024",84.18,84.25,81.58,81.77,81.20,-3.20%,"3,821,547"
"Oct 1, 2024",84.44,84.68,82.58,84.47,83.88,-0.12%,"3,582,124"
"Sep 30, 2024",86.73,86.73,83.74,84.57,83.98,-3.15%,"4,784,709"
