date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",205.72,207.75,205.18,205.56,205.56,0.40%,"1,163,287"
"Nov 22, 2024",202.85,205.06,202.75,204.74,204.74,1.11%,"598,595"
"Nov 21, 2024",199.04,203.14,198.24,202.49,202.49,2.20%,"718,627"
"Nov 20, 2024",199.16,199.50,196.63,198.13,198.13,-0.30%,"699,312"
"Nov 19, 2024",198.02,199.22,197.28,198.73,198.73,-0.90%,"761,371"
"Nov 18, 2024",200.96,201.89,200.19,200.53,200.53,-0.32%,"613,858"
"Nov 15, 2024",202.03,203.66,200.56,201.18,201.18,-0.45%,"678,654"
"Nov 14, 2024",203.55,204.15,201.91,202.09,202.09,-0.93%,"494,867"
"Nov 13, 2024",201.61,204.93,201.24,203.99,203.99,0.81%,"533,175"
"Nov 12, 2024",204.51,204.89,201.76,202.35,202.35,-1.09%,"501,400"
"Nov 11, 2024",202.42,204.93,202.42,204.58,204.58,1.53%,"526,223"
"Nov 8, 2024",201.35,203.87,200.74,201.50,201.50,-0.13%,"993,284"
"Nov 7, 2024",202.83,202.83,200.50,201.76,201.76,-0.39%,"749,598"
"Nov 6, 2024",200.52,204.06,200.10,202.56,202.56,5.42%,"1,251,997"
"Nov 5, 2024",188.95,192.24,188.72,192.15,192.15,1.58%,"486,748"
"Nov 4, 2024",188.94,191.75,188.55,189.16,189.16,0.03%,"523,373"
"Nov 1, 2024",189.72,191.60,188.85,189.11,189.11,-0.12%,"606,480"
"Oct 31, 2024",191.97,192.90,189.18,189.33,189.33,-1.90%,"881,698"
"Oct 30, 2024",191.72,194.32,191.11,192.99,192.99,0.60%,"889,184"
"Oct 29, 2024",191.05,192.18,189.09,191.84,191.84,-0.32%,"830,695"
"Oct 28, 2024",188.68,192.49,188.68,192.46,192.46,2.93%,"1,385,267"
"Oct 25, 2024",188.39,189.33,185.76,186.98,186.98,1.19%,"1,238,472"
"Oct 24, 2024",185.96,189.84,183.01,184.78,184.78,-3.60%,"2,620,522"
"Oct 23, 2024",191.17,192.75,190.54,191.68,191.68,0.15%,"1,037,385"
"Oct 22, 2024",192.12,192.40,190.20,191.40,191.40,-0.70%,"754,423"
"Oct 21, 2024",194.26,194.50,192.29,192.74,192.74,-0.84%,"601,947"
"Oct 18, 2024",195.38,195.60,193.46,194.38,194.38,-0.26%,"985,543"
"Oct 17, 2024",194.56,195.68,193.64,194.88,194.88,1.08%,"879,221"
