date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",45.82,46.35,45.47,45.87,45.87,0.90%,"9,463,744"
"Nov 22, 2024",44.76,45.54,44.66,45.46,45.46,1.45%,"5,494,123"
"Nov 21, 2024",43.81,45.14,43.62,44.81,44.81,2.00%,"6,158,155"
"Nov 20, 2024",43.55,44.03,43.33,43.93,43.93,0.64%,"4,808,096"
"Nov 19, 2024",43.73,44.00,43.35,43.65,43.65,-1.29%,"6,289,722"
"Nov 18, 2024",44.16,44.55,44.04,44.22,44.22,0.41%,"5,076,831"
"Nov 15, 2024",44.57,44.83,44.00,44.04,44.04,-1.23%,"9,814,146"
"Nov 14, 2024",45.00,45.13,44.37,44.59,44.59,-0.89%,"5,542,368"
"Nov 13, 2024",44.90,45.12,44.70,44.99,44.99,-0.11%,"6,000,313"
"Nov 12, 2024",46.36,46.36,44.91,45.04,45.04,-2.66%,"7,101,288"
"Nov 11, 2024",46.40,46.98,46.17,46.27,46.27,-0.47%,"6,734,720"
"Nov 8, 2024",48.59,48.59,46.38,46.49,46.49,-4.93%,"12,571,478"
"Nov 7, 2024",48.54,48.92,48.02,48.90,48.90,1.14%,"20,309,409"
"Nov 6, 2024",49.70,49.70,47.98,48.35,48.35,0.94%,"8,862,773"
"Nov 5, 2024",47.80,47.90,47.16,47.90,47.90,-0.10%,"7,193,452"
"Nov 4, 2024",48.30,48.68,47.44,47.95,47.95,-2.08%,"14,634,380"
"Nov 1, 2024",49.50,49.72,48.86,48.97,48.97,-0.83%,"4,980,359"
"Oct 31, 2024",49.26,49.64,49.17,49.38,49.38,0.08%,"4,835,155"
"Oct 30, 2024",49.40,50.14,49.14,49.34,49.34,-0.28%,"4,775,741"
"Oct 29, 2024",49.84,49.98,49.32,49.48,49.48,-1.26%,"4,900,634"
"Oct 28, 2024",49.84,50.15,49.47,50.11,50.11,0.82%,"6,457,138"
"Oct 25, 2024",50.62,50.73,49.69,49.70,49.70,-2.53%,"5,889,713"
"Oct 24, 2024",52.02,52.16,50.72,50.99,50.99,-0.97%,"5,804,601"
"Oct 23, 2024",51.73,51.99,51.12,51.49,51.49,-1.11%,"4,522,291"
"Oct 22, 2024",52.24,52.30,51.59,52.07,52.07,-0.27%,"4,413,690"
