date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",460.25,474.39,460.00,469.18,469.18,3.49%,"943,527"
"Nov 22, 2024",446.40,457.58,446.00,453.35,453.35,1.68%,"518,090"
"Nov 21, 2024",440.42,450.16,438.00,445.85,445.85,1.57%,"487,161"
"Nov 20, 2024",439.80,441.40,432.88,438.97,438.97,-0.19%,"508,117"
"Nov 19, 2024",441.76,443.80,436.00,439.80,439.80,-1.15%,"480,617"
"Nov 18, 2024",433.50,450.88,433.50,444.90,444.90,3.36%,"856,721"
"Nov 15, 2024",458.55,460.24,429.48,430.43,430.43,-1.27%,"1,571,308"
"Nov 14, 2024",437.00,441.09,432.34,435.97,435.97,-0.81%,"763,744"
"Nov 13, 2024",440.60,443.63,438.35,439.55,439.55,-0.24%,"348,329"
"Nov 12, 2024",445.02,449.25,436.42,440.60,440.60,-1.40%,"357,292"
"Nov 11, 2024",461.90,462.75,446.50,446.87,446.87,-2.80%,"653,479"
"Nov 8, 2024",452.95,462.41,452.27,459.73,459.73,2.52%,"611,383"
"Nov 7, 2024",443.93,448.77,443.24,448.44,448.44,1.47%,"387,599"
"Nov 6, 2024",435.00,444.33,429.96,441.95,441.95,3.26%,"654,296"
"Nov 5, 2024",428.90,431.48,426.53,428.00,428.00,-0.46%,"543,939"
"Nov 4, 2024",425.88,431.84,425.00,429.98,429.98,0.97%,"637,603"
"Nov 1, 2024",415.36,430.80,415.36,425.83,425.83,2.92%,"672,661"
"Oct 31, 2024",412.91,417.76,411.71,413.73,413.73,0.90%,"610,695"
"Oct 30, 2024",409.70,417.00,408.00,410.02,410.02,-0.76%,"471,286"
"Oct 29, 2024",416.91,419.50,412.24,413.14,413.14,-0.98%,"499,402"
"Oct 28, 2024",417.41,421.45,413.93,417.24,417.24,0.83%,"593,972"
"Oct 25, 2024",416.79,420.00,412.78,413.81,413.81,-0.31%,"497,139"
"Oct 24, 2024",422.19,424.90,414.96,415.11,415.11,-1.80%,"465,477"
"Oct 23, 2024",426.34,427.59,418.83,422.70,422.70,-0.96%,"480,492"
"Oct 22, 2024",429.30,430.75,426.61,426.78,426.78,-1.05%,"323,477"
"Oct 21, 2024",429.00,431.95,425.14,431.29,431.29,0.57%,"407,631"
"Oct 18, 2024",430.99,431.35,425.93,428.85,428.85,-0.12%,"380,750"
"Oct 17, 2024",429.46,430.00,424.62,429.38,429.38,0.24%,"412,190"
"Oct 16, 2024",426.12,431.10,422.93,428.36,428.36,0.26%,"502,222"
"Oct 15, 2024",426.51,431.41,424.52,427.26,427.26,-0.19%,"657,593"
