date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",246.00,247.14,244.60,246.92,246.92,0.66%,"2,308,346"
"Nov 22, 2024",244.86,246.85,243.82,245.30,245.30,0.77%,"1,316,003"
"Nov 21, 2024",241.72,243.53,241.45,243.42,243.42,0.68%,"1,751,075"
"Nov 20, 2024",244.33,245.47,240.11,241.77,241.77,-1.04%,"1,484,630"
"Nov 19, 2024",244.93,246.08,242.74,244.30,244.30,-0.68%,"1,131,073"
"Nov 18, 2024",244.94,246.82,244.51,245.97,245.97,0.30%,"787,838"
"Nov 15, 2024",246.40,246.65,244.43,245.24,245.24,-0.96%,"1,026,020"
"Nov 14, 2024",248.71,249.93,247.44,247.61,247.61,-0.92%,"793,084"
"Nov 13, 2024",248.38,250.14,247.86,249.90,249.90,0.64%,"998,135"
"Nov 12, 2024",251.20,251.48,247.70,248.31,248.31,-0.90%,"1,383,616"
"Nov 11, 2024",249.97,251.69,249.50,250.56,250.56,0.21%,"852,650"
"Nov 8, 2024",245.84,250.88,245.84,250.04,250.04,1.52%,"1,023,685"
"Nov 7, 2024",246.43,247.01,244.46,246.29,246.29,0.65%,"1,027,289"
"Nov 6, 2024",251.60,251.60,244.39,244.71,244.71,-0.87%,"1,230,626"
"Nov 5, 2024",244.59,247.22,242.86,246.85,246.85,0.96%,"719,260"
"Nov 4, 2024",246.32,246.77,242.50,244.50,244.50,-0.03%,"1,027,262"
"Nov 1, 2024",245.93,246.95,244.29,244.57,244.57,-0.47%,"1,399,786"
"Oct 31, 2024",250.07,251.94,244.62,245.73,245.73,-2.72%,"1,987,290"
"Oct 30, 2024",254.73,257.00,252.32,252.60,252.60,-0.46%,"1,322,619"
"Oct 29, 2024",245.59,255.55,243.19,253.76,253.76,-1.05%,"1,468,240"
"Oct 28, 2024",256.38,257.56,254.30,256.45,256.45,1.17%,"1,431,981"
"Oct 25, 2024",256.78,258.57,253.02,253.49,253.49,-1.11%,"621,095"
"Oct 24, 2024",257.50,259.19,256.11,256.34,256.34,-0.92%,"760,815"
"Oct 23, 2024",256.88,259.98,256.50,258.72,258.72,0.19%,"697,756"
"Oct 22, 2024",258.24,260.02,256.98,258.24,258.24,-0.37%,"924,627"
"Oct 21, 2024",261.46,261.49,258.37,259.19,259.19,-0.87%,"496,036"
"Oct 18, 2024",260.73,262.61,258.91,261.46,261.46,1.70%,"1,017,240"
"Oct 17, 2024",259.24,260.06,256.56,257.10,257.10,-1.02%,"936,516"
"Oct 16, 2024",257.91,260.84,257.91,259.75,259.75,0.58%,"464,515"
"Oct 15, 2024",257.00,261.54,257.00,258.25,258.25,0.71%,"848,963"
"Oct 14, 2024",254.56,256.79,253.78,256.44,256.44,0.96%,"559,704"
"Oct 11, 2024",255.91,258.00,252.92,254.00,254.00,-0.70%,"726,469"
"Oct 10, 2024",255.07,256.40,253.16,255.80,255.80,0.05%,"742,945"
"Oct 9, 2024",253.36,256.21,252.84,255.68,255.68,1.21%,"572,292"
"Oct 8, 2024",250.14,253.00,249.31,252.62,252.62,1.43%,"725,604"
"Oct 7, 2024",249.98,250.05,247.74,249.05,249.05,-0.78%,"718,644"
"Oct 4, 2024",251.06,251.87,248.81,251.02,251.02,0.10%,"656,250"
"Oct 3, 2024",253.43,253.43,250.22,250.77,250.77,-1.26%,"586,871"
"Oct 2, 2024",251.42,254.07,250.04,253.97,253.97,0.17%,"790,499"
"Oct 1, 2024",255.60,255.80,252.32,253.55,253.55,-0.70%,"990,657"
"Sep 30, 2024",254.50,256.02,252.66,255.33,255.33,0.29%,"942,261"
"Sep 27, 2024",255.76,256.57,254.07,254.59,254.59,-0.46%,"772,591"
"Sep 26, 2024",254.79,256.59,254.20,255.76,255.76,0.37%,"1,185,701"
"Sep 25, 2024",254.53,255.98,253.75,254.82,254.82,0.22%,"1,033,292"
"Sep 24, 2024",254.31,255.99,253.17,254.26,254.26,-0.23%,"753,359"
"Sep 23, 2024",252.31,255.29,252.21,254.85,254.85,1.36%,"842,566"
"Sep 20, 2024",250.30,251.46,248.64,251.44,251.44,0.09%,"2,334,609"
"Sep 19, 2024",250.87,253.17,249.01,251.21,251.21,1.08%,"698,917"
"Sep 18, 2024",251.01,251.01,248.11,248.53,248.53,-0.77%,"896,429"
"Sep 17, 2024",252.56,253.09,249.73,250.46,250.46,-1.08%,"958,739"
"Sep 16, 2024",252.11,253.58,250.79,253.20,252.63,1.06%,"853,110"
"Sep 13, 2024",249.16,252.24,247.80,250.54,249.97,-0.06%,"687,980"
"Sep 12, 2024",249.02,251.21,246.72,250.69,250.12,0.51%,"868,789"
"Sep 11, 2024",250.00,250.00,243.93,249.42,248.85,-0.51%,"1,013,265"
"Sep 10, 2024",249.92,250.94,247.73,250.70,250.13,0.61%,"597,279"
"Sep 9, 2024",247.01,249.32,246.58,249.19,248.62,1.69%,"1,081,382"
"Sep 6, 2024",246.42,247.24,244.28,245.05,244.49,-0.67%,"723,080"
"Sep 5, 2024",246.20,246.88,244.39,246.70,246.14,-0.07%,"833,781"
"Sep 4, 2024",248.75,250.69,246.32,246.88,246.32,-0.42%,"799,985"
"Sep 3, 2024",250.73,252.29,246.66,247.93,247.37,-2.07%,"1,007,310"
"Aug 30, 2024",250.93,253.54,249.00,253.18,252.61,1.24%,"1,459,154"
"Aug 29, 2024",250.29,251.07,248.31,250.09,249.52,0.19%,"641,464"
"Aug 28, 2024",249.31,250.89,248.46,249.61,249.04,0.39%,"724,979"
"Aug 27, 2024",247.19,248.92,246.52,248.65,248.09,0.64%,"750,367"
"Aug 26, 2024",245.84,248.00,245.60,247.07,246.51,-0.06%,"689,242"
"Aug 23, 2024",247.09,247.86,245.12,247.23,246.67,0.41%,"538,404"
"Aug 22, 2024",247.09,247.58,245.17,246.23,245.67,-0.13%,"713,486"
"Aug 21, 2024",242.52,246.71,242.22,246.55,245.99,1.64%,"662,244"
"Aug 20, 2024",243.00,243.40,242.00,242.57,242.02,0.15%,"900,621"
"Aug 19, 2024",241.00,242.21,240.20,242.21,241.66,0.64%,"749,219"
"Aug 16, 2024",240.66,241.40,239.14,240.66,240.11,0.30%,"816,703"
"Aug 15, 2024",240.44,241.28,239.13,239.94,239.40,0.20%,"882,941"
"Aug 14, 2024",241.00,241.48,238.46,239.47,238.93,-0.77%,"861,855"
"Aug 13, 2024",238.25,241.56,237.36,241.33,240.78,1.72%,"1,143,918"
"Aug 12, 2024",236.78,238.83,236.63,237.24,236.70,-0.29%,"681,467"
"Aug 9, 2024",236.09,239.35,235.58,237.94,237.40,0.33%,"804,979"
"Aug 8, 2024",233.14,237.34,231.67,237.16,236.62,2.42%,"1,302,994"
"Aug 7, 2024",235.04,237.52,231.43,231.55,231.02,-0.93%,"1,484,392"
"Aug 6, 2024",232.12,237.29,232.12,233.72,233.19,1.07%,"1,096,270"
"Aug 5, 2024",236.05,236.91,230.77,231.25,230.73,-2.51%,"1,305,789"
"Aug 2, 2024",239.40,241.74,234.51,237.20,236.66,-1.27%,"1,660,426"
"Aug 1, 2024",232.99,240.77,232.99,240.24,239.70,4.14%,"1,902,639"
"Jul 31, 2024",234.36,234.66,229.75,230.69,230.17,0.80%,"1,803,192"
"Jul 30, 2024",222.05,235.92,220.96,228.86,228.34,-7.69%,"2,968,920"
"Jul 29, 2024",245.94,249.00,244.76,247.92,247.36,1.09%,"1,155,736"
"Jul 26, 2024",244.68,246.86,243.44,245.24,244.68,0.65%,"848,665"
"Jul 25, 2024",245.10,248.60,243.60,243.66,243.11,-0.72%,"928,945"
"Jul 24, 2024",246.75,248.41,244.69,245.43,244.87,-0.52%,"1,230,099"
"Jul 23, 2024",247.40,247.40,245.61,246.72,246.16,0.15%,"705,572"
"Jul 22, 2024",244.47,246.52,243.63,246.35,245.79,1.31%,"679,857"
"Jul 19, 2024",243.10,243.72,241.24,243.17,242.62,0.37%,"1,025,982"
"Jul 18, 2024",242.63,245.09,241.45,242.27,241.72,-0.43%,"609,218"
"Jul 17, 2024",245.00,245.27,242.70,243.32,242.77,-0.76%,"653,835"
"Jul 16, 2024",242.39,245.37,241.88,245.19,244.63,1.38%,"727,648"
"Jul 15, 2024",246.51,246.51,241.25,241.85,241.30,-1.73%,"729,086"
"Jul 12, 2024",245.08,246.50,244.75,246.12,245.56,0.66%,"745,634"
"Jul 11, 2024",244.43,245.77,243.18,244.50,243.95,0.51%,"985,343"
"Jul 10, 2024",242.07,243.32,241.69,243.27,242.72,0.42%,"844,427"
"Jul 9, 2024",242.11,243.20,241.67,242.25,241.70,-0.26%,"982,113"
"Jul 8, 2024",242.39,244.39,241.40,242.88,242.33,1.97%,"1,548,567"
