date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",256.91,268.94,256.17,263.89,263.89,4.07%,"1,731,956"
"Nov 22, 2024",252.88,255.43,252.66,253.58,253.58,0.27%,"773,327"
"Nov 21, 2024",247.08,253.27,246.30,252.90,252.51,2.36%,"1,010,773"
"Nov 20, 2024",244.22,247.20,241.89,247.08,246.70,0.84%,"1,174,356"
"Nov 19, 2024",241.85,246.45,241.20,245.03,244.65,-0.11%,"2,096,259"
"Nov 18, 2024",247.64,249.11,243.00,245.29,244.91,-1.20%,"1,587,066"
"Nov 15, 2024",257.81,257.81,247.60,248.27,247.89,-5.32%,"2,114,688"
"Nov 14, 2024",265.77,267.66,261.39,262.21,261.81,-1.41%,"1,022,015"
"Nov 13, 2024",269.03,270.72,265.61,265.97,265.56,-0.67%,"629,896"
"Nov 12, 2024",270.20,270.83,265.82,267.77,267.36,-1.19%,"753,159"
"Nov 11, 2024",271.87,273.14,269.62,271.00,270.58,0.03%,"610,351"
"Nov 8, 2024",268.86,273.47,268.86,270.93,270.51,0.53%,"656,955"
"Nov 7, 2024",267.97,270.93,265.14,269.49,269.08,2.00%,"1,036,420"
"Nov 6, 2024",273.39,275.66,256.41,264.21,263.80,-2.01%,"2,484,160"
"Nov 5, 2024",264.63,269.93,264.63,269.63,269.22,1.87%,"769,958"
"Nov 4, 2024",264.99,268.21,263.99,264.69,264.28,0.11%,"787,659"
"Nov 1, 2024",266.46,269.15,263.95,264.39,263.98,-0.24%,"844,150"
"Oct 31, 2024",268.88,270.12,264.89,265.02,264.61,-1.60%,"855,530"
"Oct 30, 2024",268.45,273.42,267.92,269.32,268.91,0.32%,"855,176"
"Oct 29, 2024",268.26,271.46,267.23,268.47,268.06,-0.57%,"966,599"
"Oct 28, 2024",272.74,274.47,269.69,270.02,269.61,0.05%,"760,788"
"Oct 25, 2024",272.92,272.94,268.92,269.89,269.48,-0.69%,"771,473"
"Oct 24, 2024",272.91,273.89,270.08,271.76,271.34,-,"1,077,654"
"Oct 23, 2024",272.73,276.71,271.38,271.76,271.34,-0.12%,"930,945"
"Oct 22, 2024",272.96,275.04,271.37,272.09,271.67,-1.36%,"1,410,001"
"Oct 21, 2024",280.26,281.56,274.30,275.83,275.41,-2.18%,"1,046,418"
"Oct 18, 2024",280.83,284.30,278.95,281.99,281.56,0.60%,"1,036,263"
"Oct 17, 2024",278.00,285.07,274.80,280.30,279.87,-3.33%,"2,052,898"
"Oct 16, 2024",289.19,292.91,286.42,289.96,289.52,-0.06%,"1,177,171"
"Oct 15, 2024",293.72,294.92,289.74,290.13,289.68,-0.35%,"934,773"
"Oct 14, 2024",285.20,291.83,283.17,291.16,290.71,2.09%,"917,815"
"Oct 11, 2024",284.77,286.18,281.79,285.20,284.76,0.52%,"689,576"
"Oct 10, 2024",282.12,285.97,280.39,283.73,283.29,-0.18%,"773,144"
"Oct 9, 2024",287.05,287.18,283.33,284.24,283.80,-0.73%,"627,978"
"Oct 8, 2024",284.17,287.28,282.51,286.34,285.90,1.48%,"515,120"
"Oct 7, 2024",284.00,284.29,280.51,282.17,281.74,-0.50%,"814,204"
"Oct 4, 2024",294.09,294.59,280.72,283.60,283.16,-3.37%,"917,124"
"Oct 3, 2024",293.85,294.63,291.30,293.50,293.05,0.06%,"807,619"
"Oct 2, 2024",290.00,293.89,287.25,293.33,292.88,1.06%,"1,086,943"
"Oct 1, 2024",294.92,295.49,288.61,290.26,289.81,-1.23%,"823,885"
"Sep 30, 2024",290.90,294.23,289.78,293.86,293.41,1.19%,"538,203"
"Sep 27, 2024",292.02,292.94,289.47,290.39,289.94,-0.08%,"745,650"
"Sep 26, 2024",293.16,294.11,289.76,290.62,290.17,-0.52%,"1,064,884"
"Sep 25, 2024",300.00,300.15,291.00,292.13,291.68,-2.73%,"797,047"
"Sep 24, 2024",298.12,301.60,296.79,300.33,299.87,0.28%,"1,025,542"
"Sep 23, 2024",300.42,300.98,297.44,299.48,299.02,0.13%,"952,300"
"Sep 20, 2024",300.46,301.47,297.62,299.09,298.63,-1.03%,"3,150,939"
"Sep 19, 2024",305.30,307.08,301.10,302.19,301.73,1.55%,"1,833,101"
"Sep 18, 2024",298.29,301.55,295.72,297.57,297.11,-0.08%,"1,230,422"
"Sep 17, 2024",305.30,306.93,297.60,297.81,297.35,-2.07%,"1,368,166"
"Sep 16, 2024",308.00,309.63,303.96,304.11,303.64,-0.86%,"816,492"
"Sep 13, 2024",299.20,307.02,299.20,306.75,306.28,3.02%,"727,551"
"Sep 12, 2024",298.45,299.32,294.94,297.77,297.31,-0.07%,"531,681"
"Sep 11, 2024",296.07,298.27,288.85,297.99,297.53,0.14%,"593,867"
"Sep 10, 2024",298.09,299.18,295.07,297.56,297.10,0.06%,"909,365"
"Sep 9, 2024",294.78,300.45,293.77,297.39,296.93,1.82%,"825,626"
"Sep 6, 2024",297.05,299.08,291.47,292.08,291.63,-1.52%,"1,344,526"
"Sep 5, 2024",302.61,302.84,295.90,296.59,296.14,-1.93%,"891,941"
"Sep 4, 2024",302.52,302.99,300.36,302.44,301.98,-0.07%,"791,611"
"Sep 3, 2024",305.25,308.54,299.37,302.65,302.19,-1.46%,"555,460"
"Aug 30, 2024",305.58,307.32,300.87,307.13,306.26,1.09%,"798,014"
"Aug 29, 2024",303.70,306.31,300.67,303.83,302.97,0.07%,"520,249"
"Aug 28, 2024",303.00,307.69,300.60,303.62,302.76,0.13%,"611,405"
"Aug 27, 2024",300.43,304.37,300.43,303.24,302.39,0.43%,"442,350"
"Aug 26, 2024",303.01,306.88,301.05,301.95,301.10,-0.07%,"485,539"
"Aug 23, 2024",297.34,303.88,295.11,302.17,301.32,1.93%,"479,845"
"Aug 22, 2024",298.69,298.69,293.52,296.45,295.61,-0.65%,"607,445"
"Aug 21, 2024",296.88,298.43,292.36,298.39,297.55,0.61%,"791,313"
"Aug 20, 2024",295.65,296.89,292.35,296.58,295.74,0.51%,"442,699"
"Aug 19, 2024",292.28,295.66,290.98,295.07,294.24,0.96%,"504,383"
"Aug 16, 2024",293.27,293.34,290.01,292.27,291.45,-0.43%,"941,071"
"Aug 15, 2024",297.29,298.58,290.88,293.54,292.71,-0.96%,"934,084"
"Aug 14, 2024",292.17,296.79,289.84,296.38,295.54,1.37%,"624,189"
"Aug 13, 2024",286.25,293.13,284.00,292.38,291.56,3.10%,"955,606"
"Aug 12, 2024",279.28,284.17,278.91,283.59,282.79,1.85%,"746,585"
"Aug 9, 2024",280.54,281.24,277.35,278.43,277.65,-0.82%,"1,060,233"
"Aug 8, 2024",277.13,281.43,276.78,280.73,279.94,1.69%,"974,991"
"Aug 7, 2024",283.13,285.32,275.58,276.06,275.28,-1.37%,"981,384"
"Aug 6, 2024",279.23,286.19,276.72,279.90,279.11,0.51%,"1,128,192"
"Aug 5, 2024",279.39,288.24,274.66,278.47,277.69,-2.16%,"1,688,144"
"Aug 2, 2024",277.88,287.14,277.67,284.63,283.83,0.90%,"1,464,955"
"Aug 1, 2024",278.60,284.71,276.76,282.10,281.30,0.98%,"846,467"
"Jul 31, 2024",280.00,282.50,276.30,279.37,278.58,0.40%,"604,743"
"Jul 30, 2024",276.99,280.27,272.70,278.27,277.49,1.58%,"627,686"
"Jul 29, 2024",272.44,276.27,271.11,273.93,273.16,0.81%,"610,874"
"Jul 26, 2024",270.73,272.32,266.77,271.74,270.97,1.57%,"615,529"
"Jul 25, 2024",263.05,273.68,262.70,267.53,266.78,2.55%,"649,522"
"Jul 24, 2024",263.72,265.52,260.11,260.89,260.15,-1.55%,"641,189"
"Jul 23, 2024",269.00,269.88,264.36,264.99,264.24,-1.72%,"510,328"
"Jul 22, 2024",262.90,270.25,260.45,269.62,268.86,3.58%,"796,179"
"Jul 19, 2024",264.67,268.62,259.88,260.30,259.57,-1.47%,"1,301,033"
"Jul 18, 2024",264.54,276.69,261.14,264.19,263.45,1.91%,"1,335,168"
"Jul 17, 2024",263.37,264.70,259.18,259.25,258.52,-2.02%,"942,141"
"Jul 16, 2024",260.00,264.82,258.04,264.60,263.85,2.17%,"651,203"
"Jul 15, 2024",258.86,262.62,257.46,258.97,258.24,0.39%,"586,460"
"Jul 12, 2024",254.80,260.29,252.38,257.97,257.24,2.01%,"640,520"
"Jul 11, 2024",243.93,253.19,243.58,252.89,252.18,5.43%,"886,735"
"Jul 10, 2024",240.92,241.43,237.55,239.86,239.18,-0.17%,"747,201"
"Jul 9, 2024",242.54,242.54,238.21,240.26,239.58,-0.43%,"467,900"
"Jul 8, 2024",243.00,243.70,238.47,241.30,240.62,-0.39%,"483,657"
