date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",391.66,392.78,387.16,390.10,390.10,0.28%,"1,768,614"
"Nov 22, 2024",386.38,390.92,386.38,389.00,389.00,1.00%,"519,602"
"Nov 21, 2024",379.54,388.20,375.83,385.15,385.15,2.20%,"446,049"
"Nov 20, 2024",371.45,377.49,370.11,376.87,376.87,1.74%,"418,745"
"Nov 19, 2024",368.01,371.83,367.00,370.44,370.44,-0.77%,"320,195"
"Nov 18, 2024",366.72,373.45,366.72,373.33,373.33,0.54%,"234,442"
"Nov 15, 2024",368.48,372.52,367.36,371.33,371.33,1.32%,"355,523"
"Nov 14, 2024",368.16,370.00,364.61,366.50,366.50,-1.13%,"350,193"
"Nov 13, 2024",367.70,373.09,365.89,370.68,370.68,0.53%,"340,985"
"Nov 12, 2024",367.29,370.24,366.52,368.71,368.71,-0.19%,"398,036"
"Nov 11, 2024",371.55,371.55,366.03,369.42,369.42,0.31%,"525,714"
"Nov 8, 2024",370.27,370.27,366.21,368.29,368.29,1.72%,"408,387"
"Nov 7, 2024",370.00,370.00,361.21,362.05,362.05,-1.24%,"463,898"
"Nov 6, 2024",372.31,372.31,358.99,366.60,366.60,3.38%,"414,763"
"Nov 5, 2024",347.75,354.81,347.38,354.61,354.61,1.97%,"492,627"
"Nov 4, 2024",351.00,352.74,346.79,347.75,347.75,-0.92%,"373,103"
"Nov 1, 2024",353.68,357.12,350.11,350.97,350.97,-1.30%,"552,538"
"Oct 31, 2024",363.05,370.30,352.44,355.61,355.61,-6.42%,"1,032,434"
"Oct 30, 2024",376.00,383.06,375.41,380.00,380.00,0.86%,"385,126"
"Oct 29, 2024",381.38,383.99,376.62,376.76,376.76,-1.23%,"314,683"
"Oct 28, 2024",383.52,386.85,381.22,381.44,381.44,0.48%,"250,613"
"Oct 25, 2024",388.50,388.50,377.36,379.61,379.61,-1.93%,"347,641"
"Oct 24, 2024",389.30,389.59,384.98,387.10,387.10,0.37%,"227,582"
"Oct 23, 2024",385.83,386.22,381.00,385.66,385.66,0.08%,"222,831"
"Oct 22, 2024",383.51,386.36,378.60,385.35,385.35,-0.34%,"270,218"
