date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",63.77,64.07,63.37,63.98,63.98,0.95%,"3,369,180"
"Nov 22, 2024",62.83,63.75,62.65,63.38,63.38,1.00%,"1,415,930"
"Nov 21, 2024",61.68,62.80,61.39,62.75,62.75,1.85%,"1,452,775"
"Nov 20, 2024",61.58,61.64,61.19,61.61,61.61,-0.10%,"2,371,578"
"Nov 19, 2024",61.89,61.89,61.13,61.67,61.67,-0.64%,"2,130,706"
"Nov 18, 2024",61.63,62.27,61.47,62.07,62.07,0.36%,"1,683,996"
"Nov 15, 2024",61.22,62.06,61.12,61.85,61.85,0.60%,"1,718,516"
"Nov 14, 2024",60.75,61.92,60.66,61.48,61.48,1.05%,"1,729,049"
"Nov 13, 2024",60.95,61.04,60.14,60.84,60.84,0.45%,"2,014,181"
"Nov 12, 2024",60.81,61.00,60.18,60.57,60.57,-0.85%,"1,699,116"
"Nov 11, 2024",61.11,61.53,60.83,61.09,61.09,-0.50%,"2,131,335"
"Nov 8, 2024",61.00,61.61,60.91,61.40,61.40,0.95%,"2,412,697"
"Nov 7, 2024",60.79,61.76,60.58,60.82,60.82,0.20%,"2,853,076"
"Nov 6, 2024",61.77,61.77,59.88,60.70,60.70,-2.21%,"4,184,221"
"Nov 5, 2024",63.01,63.33,61.04,62.07,62.07,-2.10%,"4,821,107"
"Nov 4, 2024",63.43,64.16,63.02,63.40,63.40,-0.42%,"2,063,689"
"Nov 1, 2024",65.76,66.24,63.58,63.67,63.67,-3.31%,"2,303,867"
"Oct 31, 2024",65.55,66.62,65.49,65.85,65.85,0.55%,"3,621,816"
"Oct 30, 2024",64.95,65.64,64.68,65.49,65.49,1.46%,"2,212,332"
"Oct 29, 2024",66.06,66.21,64.34,64.55,64.55,-2.92%,"1,891,425"
"Oct 28, 2024",66.19,66.84,66.00,66.49,66.49,0.99%,"1,554,361"
"Oct 25, 2024",66.92,67.14,65.78,65.84,65.84,-1.47%,"1,386,912"
"Oct 24, 2024",67.23,67.23,66.50,66.82,66.82,-0.40%,"1,499,107"
"Oct 23, 2024",66.28,67.15,66.17,67.09,67.09,1.30%,"1,382,902"
"Oct 22, 2024",65.94,66.36,65.29,66.23,66.23,0.15%,"1,297,108"
"Oct 21, 2024",66.23,66.49,65.84,66.13,66.13,-,"1,227,850"
"Oct 18, 2024",65.14,66.50,64.78,66.13,66.13,1.74%,"1,622,369"
"Oct 17, 2024",65.87,65.88,64.96,65.00,65.00,-1.14%,"1,624,302"
"Oct 16, 2024",65.72,65.94,65.28,65.75,65.75,0.54%,"2,259,873"
"Oct 15, 2024",64.36,65.71,64.26,65.40,65.40,2.16%,"3,339,776"
"Oct 14, 2024",63.82,64.09,63.60,64.02,64.02,0.31%,"1,677,469"
"Oct 11, 2024",63.83,64.01,63.45,63.82,63.82,-0.06%,"1,718,128"
"Oct 10, 2024",63.67,64.42,63.19,63.86,63.86,0.74%,"2,094,314"
"Oct 9, 2024",63.75,64.62,63.10,63.39,63.39,-0.52%,"1,533,781"
"Oct 8, 2024",64.46,64.49,63.68,63.72,63.72,-0.56%,"2,061,196"
"Oct 7, 2024",65.00,65.27,64.01,64.08,64.08,-1.99%,"1,374,466"
"Oct 4, 2024",65.07,65.59,64.68,65.38,65.38,-0.77%,"1,593,769"
"Oct 3, 2024",66.65,66.99,65.57,65.89,65.89,-1.18%,"1,604,663"
"Oct 2, 2024",67.17,67.97,66.14,66.68,66.68,-1.55%,"2,741,637"
"Oct 1, 2024",67.63,68.10,66.71,67.73,67.73,-0.47%,"3,450,821"
"Sep 30, 2024",67.44,68.17,67.44,68.05,68.05,0.78%,"1,888,279"
"Sep 27, 2024",66.18,67.68,66.18,67.52,67.52,2.32%,"1,844,660"
"Sep 26, 2024",65.98,67.00,65.81,65.99,65.99,-0.21%,"1,432,703"
"Sep 25, 2024",66.84,66.88,65.98,66.13,66.13,-0.59%,"1,554,839"
"Sep 24, 2024",66.18,67.38,66.00,66.52,66.52,-0.02%,"1,999,614"
"Sep 23, 2024",66.93,66.96,66.33,66.53,66.53,-0.91%,"2,064,819"
"Sep 20, 2024",67.14,67.54,66.77,67.14,66.43,-0.09%,"4,668,617"
"Sep 19, 2024",67.06,67.39,66.47,67.20,66.49,-0.43%,"2,331,513"
"Sep 18, 2024",67.95,68.15,67.14,67.49,66.77,-1.08%,"1,624,762"
"Sep 17, 2024",68.40,68.62,68.04,68.23,67.51,-0.25%,"1,600,327"
"Sep 16, 2024",68.30,68.73,68.03,68.40,67.67,0.63%,"1,984,805"
"Sep 13, 2024",67.58,68.00,67.37,67.97,67.25,0.70%,"1,850,194"
"Sep 12, 2024",67.91,68.41,67.17,67.50,66.78,-0.43%,"1,684,979"
"Sep 11, 2024",67.68,67.86,66.88,67.79,67.07,-0.31%,"2,126,073"
"Sep 10, 2024",68.17,68.60,67.54,68.00,67.28,-0.09%,"2,617,335"
"Sep 9, 2024",67.52,68.09,67.40,68.06,67.34,0.98%,"1,351,390"
"Sep 6, 2024",68.21,68.41,67.33,67.40,66.68,-0.96%,"1,104,569"
"Sep 5, 2024",69.01,69.01,67.91,68.05,67.33,-0.18%,"1,366,448"
"Sep 4, 2024",67.72,68.70,67.41,68.17,67.45,0.65%,"1,418,787"
"Sep 3, 2024",67.50,68.13,67.26,67.73,67.01,0.30%,"1,526,526"
"Aug 30, 2024",66.89,67.54,66.38,67.53,66.81,1.31%,"3,607,831"
"Aug 29, 2024",67.03,67.29,66.08,66.66,65.95,-0.57%,"1,089,734"
"Aug 28, 2024",66.54,67.33,66.46,67.04,66.33,0.90%,"1,366,902"
"Aug 27, 2024",66.86,67.11,66.30,66.44,65.73,-0.79%,"1,560,500"
"Aug 26, 2024",67.00,67.25,66.65,66.97,66.26,0.28%,"1,406,080"
"Aug 23, 2024",67.36,67.45,66.56,66.78,66.07,-0.54%,"1,562,967"
"Aug 22, 2024",66.65,67.25,66.62,67.14,66.43,0.92%,"2,483,463"
"Aug 21, 2024",66.00,66.71,65.98,66.53,65.82,0.80%,"2,247,677"
"Aug 20, 2024",65.90,66.13,65.72,66.00,65.30,0.24%,"2,194,102"
"Aug 19, 2024",65.10,65.98,64.92,65.84,65.14,1.12%,"2,722,498"
"Aug 16, 2024",65.06,65.21,64.72,65.11,64.42,0.40%,"2,269,215"
"Aug 15, 2024",65.51,65.93,64.66,64.85,64.16,-2.41%,"3,628,329"
"Aug 14, 2024",65.35,66.75,65.25,66.45,65.74,1.06%,"2,474,714"
"Aug 13, 2024",65.08,65.82,64.99,65.75,65.05,1.36%,"2,426,210"
"Aug 12, 2024",64.87,65.23,64.53,64.87,64.18,-0.06%,"2,605,982"
"Aug 9, 2024",65.08,65.17,63.77,64.91,64.22,0.09%,"2,768,930"
"Aug 8, 2024",64.68,65.57,64.50,64.85,64.16,-0.75%,"2,782,429"
"Aug 7, 2024",65.73,66.34,65.25,65.34,64.65,-0.23%,"1,887,127"
"Aug 6, 2024",65.06,65.98,65.02,65.49,64.79,0.72%,"2,173,611"
"Aug 5, 2024",67.18,67.51,64.95,65.02,64.33,-3.11%,"2,500,478"
"Aug 2, 2024",67.95,68.72,65.77,67.11,66.40,1.57%,"2,955,862"
"Aug 1, 2024",64.32,66.39,64.28,66.07,65.37,1.79%,"2,578,131"
"Jul 31, 2024",65.61,65.80,64.77,64.91,64.22,-1.59%,"4,958,491"
"Jul 30, 2024",64.81,66.07,64.63,65.96,65.26,1.57%,"2,054,005"
"Jul 29, 2024",64.66,65.37,64.24,64.94,64.25,0.68%,"2,395,762"
"Jul 26, 2024",63.69,64.57,63.34,64.50,63.81,1.42%,"3,160,970"
"Jul 25, 2024",63.42,64.77,63.12,63.60,62.92,0.90%,"3,254,378"
"Jul 24, 2024",61.64,63.12,61.29,63.03,62.36,3.63%,"2,386,551"
"Jul 23, 2024",61.83,62.00,60.74,60.82,60.17,-1.52%,"1,183,943"
"Jul 22, 2024",61.25,62.12,61.05,61.76,61.10,1.08%,"1,530,668"
"Jul 19, 2024",61.61,61.61,60.63,61.10,60.45,-0.47%,"1,696,087"
"Jul 18, 2024",61.12,62.38,61.02,61.39,60.74,-0.26%,"1,695,265"
"Jul 17, 2024",59.74,61.81,59.64,61.55,60.90,3.06%,"2,593,677"
"Jul 16, 2024",59.58,59.81,59.16,59.72,59.09,0.78%,"1,413,215"
"Jul 15, 2024",59.86,60.16,59.07,59.26,58.63,-1.79%,"1,624,970"
"Jul 12, 2024",59.61,60.62,59.23,60.34,59.70,1.58%,"2,294,861"
"Jul 11, 2024",58.64,59.72,58.47,59.40,58.77,2.26%,"2,619,573"
"Jul 10, 2024",58.00,58.17,57.29,58.09,57.47,0.43%,"1,876,897"
"Jul 9, 2024",57.24,57.91,56.88,57.84,57.23,0.92%,"1,914,758"
"Jul 8, 2024",57.18,57.49,57.00,57.31,56.70,0.07%,"1,535,572"
