date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",152.31,152.86,150.27,152.50,152.50,0.95%,"2,659,523"
"Nov 22, 2024",153.00,153.29,150.95,151.06,151.06,-0.32%,"1,850,035"
"Nov 21, 2024",150.53,152.76,149.78,151.55,151.55,0.56%,"1,693,099"
"Nov 20, 2024",150.57,151.87,149.74,150.71,150.71,0.55%,"1,841,643"
"Nov 19, 2024",148.37,150.17,147.43,149.89,149.89,0.42%,"1,075,219"
"Nov 18, 2024",148.67,151.22,148.67,149.27,149.27,0.10%,"1,400,569"
"Nov 15, 2024",147.50,149.77,147.12,149.12,149.12,1.41%,"2,594,274"
"Nov 14, 2024",148.06,148.52,146.85,147.04,147.04,-0.39%,"1,750,877"
"Nov 13, 2024",148.49,149.10,146.48,147.61,147.61,-1.09%,"1,646,342"
"Nov 12, 2024",149.98,150.69,148.45,149.23,148.03,-0.74%,"1,539,154"
"Nov 11, 2024",148.72,152.58,148.72,150.35,149.14,0.92%,"1,928,531"
"Nov 8, 2024",146.00,149.35,145.29,148.98,147.78,2.07%,"2,464,641"
"Nov 7, 2024",145.52,146.94,144.69,145.96,144.78,-0.07%,"1,420,303"
"Nov 6, 2024",145.67,148.33,144.34,146.06,144.88,0.08%,"1,975,016"
"Nov 5, 2024",142.03,145.96,141.59,145.95,144.77,2.47%,"1,606,982"
"Nov 4, 2024",144.17,144.71,140.43,142.43,141.28,-1.63%,"2,966,928"
"Nov 1, 2024",154.36,154.53,144.33,144.79,143.62,-6.45%,"3,871,509"
"Oct 31, 2024",142.00,156.85,141.41,154.78,153.53,15.16%,"6,016,765"
"Oct 30, 2024",134.87,135.25,133.70,134.40,133.32,0.20%,"2,395,928"
"Oct 29, 2024",135.49,135.53,134.06,134.13,133.05,-1.61%,"2,745,450"
"Oct 28, 2024",135.77,136.85,135.39,136.32,135.22,0.69%,"1,679,891"
"Oct 25, 2024",138.24,138.24,135.35,135.38,134.29,-1.52%,"2,055,912"
"Oct 24, 2024",137.04,137.70,136.71,137.47,136.36,0.38%,"1,938,996"
"Oct 23, 2024",134.80,137.05,134.77,136.95,135.85,1.46%,"1,096,043"
"Oct 22, 2024",133.77,135.26,133.51,134.98,133.89,-0.04%,"1,011,292"
"Oct 21, 2024",135.28,136.02,134.86,135.04,133.95,-0.18%,"1,022,642"
"Oct 18, 2024",134.31,135.79,133.71,135.28,134.19,0.48%,"1,017,080"
"Oct 17, 2024",134.46,135.16,133.73,134.63,133.54,0.23%,"1,071,791"
"Oct 16, 2024",133.59,134.55,133.41,134.32,133.24,0.72%,"1,573,635"
"Oct 15, 2024",133.00,134.63,132.69,133.36,132.29,1.11%,"1,115,135"
"Oct 14, 2024",130.65,132.11,130.60,131.90,130.84,0.96%,"797,295"
"Oct 11, 2024",129.66,130.90,129.45,130.64,129.59,1.22%,"879,433"
"Oct 10, 2024",130.21,131.05,128.76,129.06,128.02,-0.76%,"1,154,356"
"Oct 9, 2024",130.50,131.31,129.56,130.05,129.00,-0.37%,"1,359,952"
"Oct 8, 2024",131.79,131.96,130.46,130.53,129.48,-0.28%,"2,472,365"
"Oct 7, 2024",132.00,132.06,130.69,130.90,129.84,-1.21%,"1,262,215"
"Oct 4, 2024",131.80,132.72,130.87,132.50,131.43,-0.38%,"1,033,419"
"Oct 3, 2024",133.00,133.17,132.12,133.00,131.93,0.20%,"844,645"
"Oct 2, 2024",131.68,132.90,131.22,132.73,131.66,-0.17%,"1,124,636"
"Oct 1, 2024",131.91,133.38,130.86,132.95,131.88,1.02%,"1,691,476"
"Sep 30, 2024",131.74,131.75,130.33,131.61,130.55,0.37%,"1,466,667"
"Sep 27, 2024",130.22,131.55,129.89,131.13,130.07,1.20%,"829,147"
"Sep 26, 2024",129.14,130.19,128.90,129.58,128.54,-0.12%,"954,887"
"Sep 25, 2024",130.68,130.68,129.13,129.74,128.69,-0.22%,"2,641,013"
"Sep 24, 2024",129.21,131.03,128.82,130.03,128.98,-,"3,302,809"
"Sep 23, 2024",129.87,130.16,129.11,130.03,128.98,0.60%,"1,879,203"
"Sep 20, 2024",128.80,129.70,127.90,129.25,128.21,1.23%,"3,154,416"
"Sep 19, 2024",128.18,128.54,126.36,127.68,126.65,-0.72%,"1,936,581"
"Sep 18, 2024",128.64,129.50,127.91,128.61,127.57,-0.36%,"1,826,669"
"Sep 17, 2024",129.37,129.66,127.80,129.08,128.04,0.48%,"2,629,570"
"Sep 16, 2024",127.81,128.92,126.95,128.46,127.42,1.08%,"2,474,279"
"Sep 13, 2024",124.85,127.34,124.61,127.09,126.07,2.87%,"3,017,108"
