date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",122.19,122.71,121.35,122.39,122.39,0.88%,"1,879,151"
"Nov 22, 2024",121.21,121.88,120.69,121.32,121.32,0.51%,"901,870"
"Nov 21, 2024",119.00,121.02,118.96,120.70,120.70,1.49%,"1,567,454"
"Nov 20, 2024",118.38,119.16,117.80,118.93,118.93,0.76%,"851,631"
"Nov 19, 2024",119.11,119.38,117.78,118.03,118.03,-1.91%,"1,438,526"
"Nov 18, 2024",119.81,121.37,119.69,120.33,120.33,0.14%,"1,004,516"
"Nov 15, 2024",120.77,121.22,120.00,120.16,120.16,-0.66%,"1,096,899"
"Nov 14, 2024",119.80,121.90,119.41,120.96,120.96,1.22%,"1,323,586"
"Nov 13, 2024",119.15,119.89,118.00,119.50,119.50,0.63%,"1,090,166"
"Nov 12, 2024",119.97,119.97,118.24,118.75,118.75,-0.66%,"1,238,813"
"Nov 11, 2024",120.40,120.40,118.72,119.54,119.54,-0.43%,"936,758"
"Nov 8, 2024",119.71,121.87,119.32,120.06,120.06,0.06%,"1,230,076"
"Nov 7, 2024",120.50,121.33,119.71,119.99,119.99,0.49%,"1,385,393"
"Nov 6, 2024",116.41,120.85,113.17,119.41,119.41,-2.14%,"3,120,221"
"Nov 5, 2024",125.20,125.63,119.00,122.02,122.02,1.35%,"2,008,733"
"Nov 4, 2024",119.37,120.91,119.37,120.39,120.39,1.12%,"1,668,056"
"Nov 1, 2024",119.18,119.92,118.71,119.06,119.06,0.05%,"1,247,352"
"Oct 31, 2024",118.99,120.27,118.65,119.00,119.00,-0.46%,"2,316,695"
"Oct 30, 2024",118.89,120.81,118.89,119.55,119.55,-0.06%,"724,513"
"Oct 29, 2024",119.62,120.82,119.17,119.62,119.62,-0.38%,"739,730"
"Oct 28, 2024",120.33,121.06,119.95,120.08,120.08,0.20%,"771,059"
"Oct 25, 2024",120.11,120.62,119.42,119.84,119.84,0.22%,"601,556"
"Oct 24, 2024",121.01,121.01,119.17,119.58,119.58,0.07%,"826,978"
"Oct 23, 2024",119.22,120.42,119.01,119.50,119.50,-0.58%,"1,278,486"
"Oct 22, 2024",120.29,120.45,118.98,120.20,120.20,-0.03%,"901,542"
