date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",187.00,188.44,183.92,184.08,184.08,-0.45%,"1,810,549"
"Nov 22, 2024",184.78,186.92,184.27,184.92,184.92,0.77%,"1,215,629"
"Nov 21, 2024",180.00,183.80,178.42,183.51,183.51,2.46%,"986,753"
"Nov 20, 2024",177.77,179.50,176.81,179.10,179.10,1.15%,"1,121,970"
"Nov 19, 2024",178.02,178.41,175.62,177.06,177.06,-1.85%,"1,116,910"
"Nov 18, 2024",180.17,181.00,178.45,180.40,180.40,-0.52%,"1,282,832"
"Nov 15, 2024",180.02,181.98,177.59,181.35,181.35,-0.50%,"2,209,167"
"Nov 14, 2024",180.50,183.66,180.50,182.26,182.26,1.07%,"1,198,525"
"Nov 13, 2024",182.53,183.30,179.11,180.33,180.33,-0.92%,"1,391,169"
"Nov 12, 2024",181.82,185.17,179.78,182.00,182.00,-1.26%,"1,729,727"
"Nov 11, 2024",182.63,187.62,180.02,184.32,184.32,1.97%,"2,037,480"
"Nov 8, 2024",181.06,190.40,179.95,180.76,180.76,3.81%,"4,871,457"
"Nov 7, 2024",171.24,174.42,170.95,174.13,174.13,1.33%,"2,918,305"
"Nov 6, 2024",169.16,173.61,168.45,171.85,171.85,4.23%,"2,347,365"
"Nov 5, 2024",161.71,166.61,161.11,164.87,164.87,2.33%,"1,779,162"
"Nov 4, 2024",159.21,161.54,158.55,161.11,161.11,1.07%,"1,080,020"
"Nov 1, 2024",156.38,160.13,156.02,159.40,159.40,1.98%,"1,212,229"
"Oct 31, 2024",161.80,162.10,154.00,156.31,156.31,-3.00%,"2,273,105"
"Oct 30, 2024",158.67,161.76,158.08,161.15,161.15,1.44%,"1,348,856"
"Oct 29, 2024",157.21,160.43,157.21,158.86,158.86,0.54%,"1,381,542"
"Oct 28, 2024",158.89,159.53,156.60,158.00,158.00,-0.25%,"953,334"
"Oct 25, 2024",160.51,161.00,158.06,158.39,158.39,-1.28%,"973,419"
"Oct 24, 2024",158.97,160.58,158.07,160.45,160.45,1.32%,"759,711"
"Oct 23, 2024",160.20,161.62,156.74,158.36,158.36,-1.76%,"998,031"
"Oct 22, 2024",163.00,163.17,160.46,161.19,161.19,-1.21%,"1,145,710"
"Oct 21, 2024",160.00,164.65,159.53,163.17,163.17,2.23%,"1,828,581"
"Oct 18, 2024",159.02,160.47,156.67,159.61,159.61,1.01%,"1,808,478"
"Oct 17, 2024",160.51,161.88,155.48,158.01,158.01,4.75%,"5,189,609"
"Oct 16, 2024",151.44,152.15,150.13,150.84,150.84,-0.24%,"1,260,570"
"Oct 15, 2024",150.34,152.57,150.29,151.20,151.20,0.53%,"960,500"
"Oct 14, 2024",150.94,151.23,149.23,150.41,150.41,-0.06%,"1,315,084"
"Oct 11, 2024",151.13,152.02,149.86,150.50,150.50,-0.24%,"1,223,232"
"Oct 10, 2024",152.20,152.89,149.57,150.86,150.86,-1.26%,"1,178,134"
"Oct 9, 2024",151.53,153.29,148.52,152.79,152.79,0.55%,"1,668,441"
"Oct 8, 2024",151.36,153.83,151.03,151.95,151.95,0.63%,"1,622,448"
"Oct 7, 2024",150.23,152.68,149.45,151.00,151.00,0.19%,"1,098,487"
"Oct 4, 2024",149.61,151.61,149.34,150.72,150.72,2.64%,"1,245,234"
"Oct 3, 2024",146.28,147.07,143.86,146.84,146.84,-0.62%,"1,383,869"
"Oct 2, 2024",145.11,147.87,144.77,147.76,147.76,0.88%,"848,996"
"Oct 1, 2024",148.02,148.08,144.06,146.47,146.47,-1.05%,"930,504"
"Sep 30, 2024",148.73,148.77,146.31,148.02,148.02,-0.72%,"1,041,762"
"Sep 27, 2024",149.50,150.90,147.70,149.09,149.09,0.41%,"948,825"
"Sep 26, 2024",147.57,149.45,146.56,148.48,148.48,2.06%,"1,290,104"
"Sep 25, 2024",145.63,146.59,144.20,145.49,145.49,-1.64%,"1,744,545"
"Sep 24, 2024",145.00,147.99,144.49,147.92,147.92,2.69%,"1,487,133"
"Sep 23, 2024",144.03,144.49,142.43,144.04,144.04,-,"979,764"
"Sep 20, 2024",142.54,144.18,141.64,144.04,144.04,1.05%,"2,647,762"
"Sep 19, 2024",142.71,145.11,141.60,142.54,142.54,2.07%,"1,640,354"
"Sep 18, 2024",137.44,140.91,136.86,139.66,139.66,0.90%,"1,315,574"
"Sep 17, 2024",136.20,139.78,135.80,138.41,138.41,1.93%,"1,757,956"
