date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",169.53,174.20,169.40,170.41,170.41,1.35%,"1,359,209"
"Nov 22, 2024",167.55,168.68,167.09,168.14,168.14,0.76%,"547,242"
"Nov 21, 2024",165.06,168.19,163.97,166.88,166.88,1.11%,"685,998"
"Nov 20, 2024",164.23,165.56,162.26,165.04,165.04,-0.28%,"710,624"
"Nov 19, 2024",164.90,166.50,164.25,165.51,165.51,0.37%,"922,295"
"Nov 18, 2024",163.48,165.18,163.38,164.90,164.90,0.21%,"769,795"
"Nov 15, 2024",161.26,165.12,161.26,164.56,164.56,0.69%,"1,131,986"
"Nov 14, 2024",163.44,165.15,161.84,163.43,163.43,-0.37%,"872,647"
"Nov 13, 2024",165.15,165.31,162.88,164.04,164.04,0.91%,"709,377"
"Nov 12, 2024",164.38,165.79,161.92,162.56,162.56,-1.76%,"1,422,313"
"Nov 11, 2024",166.84,168.68,165.25,165.48,165.48,-1.32%,"858,082"
"Nov 8, 2024",165.01,169.38,164.46,167.70,167.70,2.17%,"708,867"
"Nov 7, 2024",162.40,164.46,161.04,164.14,164.14,1.92%,"747,274"
"Nov 6, 2024",168.18,169.01,156.79,161.04,161.04,-4.45%,"1,678,622"
"Nov 5, 2024",162.63,168.70,161.57,168.54,168.54,3.07%,"778,194"
"Nov 4, 2024",162.10,163.73,161.12,163.52,163.52,1.48%,"1,162,241"
"Nov 1, 2024",163.30,165.26,161.12,161.13,161.13,-1.33%,"749,578"
"Oct 31, 2024",163.69,166.97,162.40,163.30,163.30,-0.87%,"1,332,471"
"Oct 30, 2024",164.64,168.95,163.69,164.74,164.74,-0.53%,"1,525,166"
"Oct 29, 2024",166.53,167.98,165.03,165.62,165.62,-1.10%,"1,336,330"
"Oct 28, 2024",167.95,169.57,166.53,167.46,167.46,0.64%,"564,980"
"Oct 25, 2024",168.39,169.28,166.02,166.40,166.40,-1.12%,"462,136"
"Oct 24, 2024",169.15,170.04,168.16,168.28,168.28,-0.46%,"597,788"
"Oct 23, 2024",166.28,169.92,165.67,169.06,169.06,1.75%,"815,288"
"Oct 22, 2024",164.60,167.10,164.20,166.15,166.15,0.82%,"629,449"
"Oct 21, 2024",169.12,170.18,164.60,164.80,164.80,-3.78%,"676,699"
"Oct 18, 2024",170.92,171.86,169.12,171.28,171.28,0.74%,"980,880"
"Oct 17, 2024",172.05,172.56,169.51,170.03,170.03,-1.21%,"1,260,553"
"Oct 16, 2024",171.17,172.88,170.91,172.12,172.12,0.58%,"1,016,418"
"Oct 15, 2024",171.97,174.65,170.69,171.13,171.13,-0.01%,"938,360"
"Oct 14, 2024",169.19,171.56,168.59,171.14,171.14,0.35%,"527,429"
"Oct 11, 2024",170.37,171.15,169.23,170.54,170.54,0.45%,"630,462"
"Oct 10, 2024",170.99,172.72,169.45,169.77,169.77,-1.30%,"1,187,361"
"Oct 9, 2024",171.01,172.31,170.21,172.01,172.01,0.61%,"895,938"
"Oct 8, 2024",170.54,171.56,169.76,170.96,170.96,0.92%,"1,263,304"
"Oct 7, 2024",169.18,169.43,166.78,169.40,169.40,-0.05%,"833,449"
"Oct 4, 2024",174.63,174.63,169.30,169.48,169.48,-3.87%,"991,981"
"Oct 3, 2024",177.54,177.67,174.84,176.31,176.31,-0.52%,"641,679"
"Oct 2, 2024",176.12,177.44,174.53,177.23,177.23,-0.59%,"565,831"
"Oct 1, 2024",181.42,181.42,177.23,178.28,178.28,-1.06%,"762,815"
"Sep 30, 2024",176.44,180.66,176.26,180.19,180.19,1.67%,"1,609,518"
"Sep 27, 2024",178.00,178.40,176.38,177.23,177.23,0.35%,"1,558,774"
"Sep 26, 2024",181.32,181.52,175.44,176.61,176.61,-2.61%,"2,348,147"
"Sep 25, 2024",182.54,182.89,180.99,181.34,181.34,-0.45%,"636,334"
"Sep 24, 2024",182.20,183.08,181.22,182.16,182.16,-0.54%,"727,854"
"Sep 23, 2024",181.67,183.22,180.35,183.14,183.14,1.51%,"1,086,387"
"Sep 20, 2024",178.34,180.60,177.20,180.41,180.41,0.18%,"2,421,629"
"Sep 19, 2024",183.49,183.49,178.91,180.09,180.09,-0.86%,"1,263,681"
"Sep 18, 2024",181.59,184.87,180.58,181.65,181.65,1.61%,"1,419,401"
"Sep 17, 2024",177.48,179.42,176.28,178.78,178.78,0.65%,"1,638,012"
"Sep 16, 2024",176.97,178.34,175.62,177.63,177.63,-0.15%,"1,273,994"
"Sep 13, 2024",178.14,178.93,176.24,177.90,176.29,0.35%,"791,558"
"Sep 12, 2024",176.27,177.54,174.75,177.28,175.68,0.72%,"744,514"
"Sep 11, 2024",174.68,176.30,172.20,176.02,174.43,-0.81%,"854,674"
"Sep 10, 2024",175.55,178.33,175.34,177.45,175.85,1.55%,"837,181"
"Sep 9, 2024",174.06,176.34,172.71,174.74,173.16,0.67%,"906,837"
"Sep 6, 2024",173.46,174.08,171.22,173.58,172.01,0.01%,"993,178"
"Sep 5, 2024",177.13,178.00,173.15,173.56,171.99,-1.24%,"808,067"
"Sep 4, 2024",176.26,178.54,174.65,175.74,174.15,-0.20%,"889,503"
"Sep 3, 2024",176.40,177.92,174.49,176.10,174.51,-0.51%,"753,029"
"Aug 30, 2024",176.36,177.30,174.30,177.00,175.40,0.83%,"767,387"
"Aug 29, 2024",174.71,176.89,173.66,175.54,173.95,0.48%,"516,566"
"Aug 28, 2024",177.40,178.36,173.47,174.71,173.13,-2.00%,"709,449"
"Aug 27, 2024",176.56,178.94,175.72,178.28,176.67,0.33%,"507,645"
"Aug 26, 2024",178.96,179.23,176.91,177.70,176.09,-0.29%,"722,675"
"Aug 23, 2024",174.23,178.63,173.25,178.22,176.61,2.60%,"792,933"
"Aug 22, 2024",171.83,173.81,171.22,173.70,172.13,1.57%,"675,042"
"Aug 21, 2024",169.98,171.28,167.58,171.02,169.47,0.98%,"439,294"
"Aug 20, 2024",169.45,170.00,168.44,169.36,167.83,0.08%,"477,066"
"Aug 19, 2024",167.80,169.23,166.96,169.23,167.70,1.17%,"450,732"
"Aug 16, 2024",166.13,168.52,165.17,167.27,165.76,0.66%,"870,971"
"Aug 15, 2024",166.93,167.92,165.16,166.17,164.67,-0.31%,"816,391"
"Aug 14, 2024",165.98,167.89,165.57,166.68,165.17,0.45%,"869,953"
"Aug 13, 2024",165.79,166.18,163.35,165.94,164.44,1.12%,"494,403"
"Aug 12, 2024",163.83,164.71,162.35,164.11,162.63,-0.17%,"546,473"
"Aug 9, 2024",163.88,165.18,162.00,164.39,162.90,0.74%,"500,665"
"Aug 8, 2024",160.89,163.29,159.98,163.18,161.71,0.96%,"701,803"
"Aug 7, 2024",163.50,165.57,160.53,161.63,160.17,-0.96%,"1,155,275"
"Aug 6, 2024",157.86,165.33,157.04,163.20,161.73,2.81%,"1,502,870"
"Aug 5, 2024",162.73,164.42,157.89,158.74,157.31,-3.76%,"1,797,381"
"Aug 2, 2024",159.89,165.64,159.89,164.95,163.46,3.18%,"1,446,380"
"Aug 1, 2024",162.07,162.80,157.94,159.86,158.42,0.15%,"1,286,396"
"Jul 31, 2024",163.53,164.04,156.67,159.62,158.18,-2.13%,"1,687,763"
"Jul 30, 2024",164.33,165.75,161.95,163.10,161.63,-0.54%,"1,142,099"
"Jul 29, 2024",164.30,165.26,161.74,163.99,162.51,-0.38%,"1,024,232"
"Jul 26, 2024",162.53,165.93,160.73,164.61,163.12,2.44%,"742,322"
"Jul 25, 2024",163.09,164.39,160.16,160.69,159.24,-0.73%,"1,013,008"
"Jul 24, 2024",166.30,167.60,161.52,161.87,160.41,-2.77%,"852,322"
"Jul 23, 2024",165.32,167.11,164.72,166.48,164.98,0.43%,"854,094"
"Jul 22, 2024",164.53,165.84,162.35,165.77,164.27,1.02%,"714,253"
"Jul 19, 2024",167.65,167.65,163.61,164.10,162.62,-1.87%,"754,115"
"Jul 18, 2024",166.75,171.46,165.38,167.22,165.71,-0.35%,"1,054,303"
"Jul 17, 2024",165.03,167.96,164.79,167.81,166.29,1.82%,"1,034,281"
"Jul 16, 2024",163.46,165.64,162.89,164.81,163.32,1.48%,"825,543"
"Jul 15, 2024",162.61,162.71,159.28,162.40,160.93,0.30%,"669,056"
"Jul 12, 2024",160.17,163.15,159.81,161.92,160.46,1.89%,"804,073"
"Jul 11, 2024",156.18,159.38,155.26,158.91,157.47,3.38%,"890,457"
"Jul 10, 2024",154.53,154.89,152.36,153.72,152.33,0.12%,"726,122"
"Jul 9, 2024",154.65,154.65,151.69,153.53,152.14,-0.67%,"584,246"
"Jul 8, 2024",154.91,155.79,153.95,154.57,153.17,0.14%,"462,017"
