date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",184.49,184.59,178.92,179.55,179.55,-3.10%,"2,957,926"
"Nov 22, 2024",182.00,186.07,181.50,185.29,185.29,1.42%,"2,188,946"
"Nov 21, 2024",183.25,185.68,182.50,182.70,182.70,0.68%,"2,140,416"
"Nov 20, 2024",180.04,182.58,180.00,181.46,181.46,0.74%,"1,647,790"
"Nov 19, 2024",180.62,182.75,179.09,180.12,180.12,-0.98%,"1,632,902"
"Nov 18, 2024",178.49,183.65,177.60,181.90,181.90,3.00%,"1,967,827"
"Nov 15, 2024",182.42,183.99,176.00,176.60,176.60,-3.19%,"2,123,445"
"Nov 14, 2024",182.85,184.09,180.50,182.42,182.42,0.10%,"1,366,076"
"Nov 13, 2024",181.00,183.62,177.50,182.24,181.35,1.30%,"1,469,323"
"Nov 12, 2024",180.48,182.49,179.79,179.91,179.03,0.44%,"1,788,191"
"Nov 11, 2024",181.96,182.09,179.00,179.13,178.25,-1.51%,"2,803,622"
"Nov 8, 2024",180.60,182.19,179.23,181.88,180.99,0.16%,"2,579,217"
"Nov 7, 2024",182.46,183.21,179.41,181.59,180.70,-1.11%,"1,727,305"
"Nov 6, 2024",180.00,185.79,177.00,183.62,182.72,4.55%,"3,017,307"
"Nov 5, 2024",174.90,178.89,173.72,175.63,174.77,-2.30%,"3,691,119"
"Nov 4, 2024",178.19,181.33,177.50,179.76,178.88,2.25%,"1,918,583"
"Nov 1, 2024",177.40,178.86,175.08,175.81,174.95,-0.54%,"1,946,138"
"Oct 31, 2024",178.35,179.13,175.79,176.77,175.90,0.07%,"2,028,679"
"Oct 30, 2024",176.86,178.23,175.64,176.65,175.78,0.58%,"1,568,194"
"Oct 29, 2024",177.76,179.20,175.16,175.64,174.78,-1.43%,"1,691,062"
"Oct 28, 2024",177.77,179.90,177.12,178.19,177.32,-3.36%,"1,788,230"
"Oct 25, 2024",182.62,184.51,181.85,184.38,183.48,1.92%,"2,150,804"
"Oct 24, 2024",182.35,183.14,180.27,180.91,180.02,-0.12%,"1,072,721"
"Oct 23, 2024",182.34,183.25,179.96,181.12,180.23,-1.58%,"1,415,133"
"Oct 22, 2024",184.22,185.05,182.28,184.03,183.13,0.89%,"1,068,034"
"Oct 21, 2024",185.26,186.74,182.04,182.41,181.51,-0.86%,"1,461,189"
"Oct 18, 2024",183.44,184.87,181.79,183.99,183.09,0.02%,"1,214,343"
"Oct 17, 2024",182.07,184.09,180.75,183.96,183.06,0.82%,"1,753,798"
"Oct 16, 2024",180.22,183.62,180.22,182.46,181.56,1.50%,"1,916,694"
"Oct 15, 2024",183.66,184.24,179.65,179.77,178.89,-5.73%,"2,845,436"
"Oct 14, 2024",192.42,193.31,189.74,190.70,189.76,-2.19%,"1,560,526"
"Oct 11, 2024",192.66,196.00,192.45,194.96,194.00,0.46%,"1,366,821"
"Oct 10, 2024",194.70,197.68,193.96,194.06,193.11,0.16%,"1,431,602"
"Oct 9, 2024",192.38,194.71,190.81,193.75,192.80,-0.01%,"2,270,767"
"Oct 8, 2024",196.12,196.89,191.83,193.77,192.82,-2.87%,"10,794,584"
"Oct 7, 2024",195.95,200.47,195.00,199.50,198.52,2.51%,"3,780,800"
"Oct 4, 2024",191.56,195.55,189.50,194.61,193.66,3.35%,"3,494,187"
