date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",43.85,44.61,43.85,44.38,44.38,1.51%,"13,286,781"
"Nov 22, 2024",43.68,43.76,43.37,43.72,43.72,-0.09%,"9,109,792"
"Nov 21, 2024",43.77,44.11,43.26,43.76,43.76,0.14%,"8,872,131"
"Nov 20, 2024",44.00,44.15,43.40,43.70,43.70,-0.95%,"8,733,831"
"Nov 19, 2024",43.55,44.20,43.13,44.12,44.12,1.31%,"12,764,425"
"Nov 18, 2024",43.04,43.65,42.56,43.55,43.55,1.99%,"11,887,843"
"Nov 15, 2024",43.50,43.82,42.00,42.70,42.70,-1.32%,"12,902,502"
"Nov 14, 2024",43.47,43.57,42.71,43.27,43.27,0.35%,"11,905,728"
"Nov 13, 2024",43.75,43.87,43.09,43.12,43.12,-1.10%,"11,931,876"
"Nov 12, 2024",43.98,44.12,42.92,43.60,43.60,-2.90%,"18,145,254"
"Nov 11, 2024",45.54,45.63,44.72,44.90,44.90,-3.15%,"12,737,228"
"Nov 8, 2024",46.52,46.90,45.48,46.36,46.36,-4.57%,"16,197,353"
"Nov 7, 2024",48.24,49.21,48.19,48.58,48.58,3.65%,"12,733,385"
"Nov 6, 2024",45.28,47.23,44.92,46.87,46.87,-0.26%,"12,911,738"
"Nov 5, 2024",46.87,47.00,46.42,46.99,46.99,1.56%,"5,991,473"
"Nov 4, 2024",45.97,46.73,45.63,46.27,46.27,1.49%,"9,147,844"
"Nov 1, 2024",45.60,46.17,45.30,45.59,45.59,1.27%,"7,733,517"
"Oct 31, 2024",45.41,45.57,44.72,45.02,45.02,-2.07%,"9,481,378"
"Oct 30, 2024",46.28,46.35,45.57,45.97,45.97,-1.29%,"9,017,135"
"Oct 29, 2024",47.49,47.56,46.53,46.57,46.57,-0.34%,"8,471,919"
"Oct 28, 2024",46.86,46.97,46.53,46.73,46.73,0.28%,"6,446,415"
"Oct 25, 2024",47.00,47.20,46.52,46.60,46.60,-0.51%,"8,528,919"
"Oct 24, 2024",47.99,48.20,46.65,46.84,46.84,-2.25%,"10,171,720"
"Oct 23, 2024",47.51,48.12,47.27,47.92,47.92,-1.26%,"10,849,181"
"Oct 22, 2024",50.00,50.12,47.64,48.53,48.53,1.23%,"14,468,604"
"Oct 21, 2024",48.43,48.70,47.68,47.94,47.94,-0.50%,"10,150,413"
"Oct 18, 2024",48.82,49.10,48.16,48.18,48.18,0.48%,"8,823,005"
"Oct 17, 2024",48.26,48.40,47.62,47.95,47.95,-0.04%,"8,317,625"
"Oct 16, 2024",47.81,48.07,47.33,47.97,47.97,1.46%,"7,360,397"
"Oct 15, 2024",47.99,48.14,47.09,47.28,47.28,-3.23%,"11,854,965"
"Oct 14, 2024",47.92,49.00,47.56,48.86,48.71,-2.34%,"13,573,484"
"Oct 11, 2024",49.47,50.28,49.37,50.03,49.87,0.99%,"6,415,228"
"Oct 10, 2024",48.92,49.83,48.51,49.54,49.38,1.37%,"6,959,947"
"Oct 9, 2024",48.02,48.96,47.71,48.87,48.72,0.58%,"6,977,030"
"Oct 8, 2024",48.97,48.97,48.05,48.59,48.44,-4.33%,"13,040,397"
"Oct 7, 2024",50.42,51.19,50.04,50.79,50.63,0.47%,"8,895,482"
"Oct 4, 2024",50.61,51.12,49.98,50.55,50.39,1.57%,"11,510,330"
"Oct 3, 2024",49.64,50.05,49.28,49.77,49.61,-2.07%,"10,383,903"
"Oct 2, 2024",50.86,51.45,50.35,50.82,50.66,0.87%,"10,744,242"
"Oct 1, 2024",50.55,50.73,49.54,50.38,50.22,0.92%,"9,102,058"
"Sep 30, 2024",50.21,50.51,49.44,49.92,49.76,-2.77%,"14,994,809"
"Sep 27, 2024",51.24,52.06,51.15,51.34,51.18,-1.10%,"15,967,707"
"Sep 26, 2024",51.09,52.61,50.80,51.91,51.75,7.45%,"32,403,097"
"Sep 25, 2024",48.75,48.98,48.14,48.31,48.16,-0.84%,"12,454,829"
"Sep 24, 2024",48.18,48.98,47.54,48.72,48.57,7.93%,"26,361,607"
"Sep 23, 2024",45.00,45.77,44.82,45.14,45.00,1.37%,"15,471,562"
"Sep 20, 2024",44.68,44.87,44.36,44.53,44.39,-1.35%,"16,304,203"
"Sep 19, 2024",45.70,45.85,44.99,45.14,45.00,2.78%,"16,920,494"
"Sep 18, 2024",43.17,44.97,43.04,43.92,43.78,1.83%,"11,573,717"
"Sep 17, 2024",42.91,43.51,42.83,43.13,42.99,0.56%,"6,921,327"
"Sep 16, 2024",43.23,43.69,42.69,42.89,42.75,0.54%,"11,120,248"
"Sep 13, 2024",42.14,43.04,42.06,42.66,42.53,2.03%,"10,831,602"
"Sep 12, 2024",41.78,42.29,41.59,41.81,41.68,1.23%,"11,414,970"
"Sep 11, 2024",40.90,41.41,40.27,41.30,41.17,2.20%,"13,306,410"
"Sep 10, 2024",40.29,40.44,39.34,40.41,40.28,0.02%,"9,559,469"
"Sep 9, 2024",40.62,40.87,40.18,40.40,40.27,1.00%,"8,663,357"
"Sep 6, 2024",41.13,41.40,39.73,40.00,39.87,-3.38%,"13,200,142"
"Sep 5, 2024",42.09,42.32,41.30,41.40,41.27,-0.50%,"7,371,470"
"Sep 4, 2024",41.33,42.13,41.00,41.61,41.48,0.60%,"9,571,999"
"Sep 3, 2024",42.36,42.39,40.85,41.36,41.23,-6.59%,"18,808,962"
"Aug 30, 2024",43.89,44.32,43.52,44.28,44.14,1.03%,"7,811,563"
"Aug 29, 2024",43.88,44.20,43.48,43.83,43.69,-0.09%,"8,612,580"
"Aug 28, 2024",44.05,44.31,43.54,43.87,43.73,-3.01%,"9,080,058"
"Aug 27, 2024",44.97,45.60,44.82,45.23,45.09,0.09%,"6,755,678"
"Aug 26, 2024",45.60,46.01,44.96,45.19,45.05,1.19%,"11,046,763"
"Aug 23, 2024",43.70,44.82,43.60,44.66,44.52,3.14%,"11,801,118"
"Aug 22, 2024",43.60,43.69,43.01,43.30,43.16,-1.34%,"7,143,483"
"Aug 21, 2024",44.03,44.12,43.47,43.89,43.75,0.83%,"7,041,684"
"Aug 20, 2024",44.44,44.64,43.39,43.53,43.39,-1.63%,"9,390,393"
"Aug 19, 2024",43.99,44.40,43.59,44.25,44.11,1.86%,"10,891,904"
"Aug 16, 2024",43.30,43.71,43.05,43.44,43.30,-0.32%,"8,973,128"
"Aug 15, 2024",43.35,44.08,43.22,43.58,43.44,3.98%,"12,988,353"
"Aug 14, 2024",42.17,42.17,41.38,41.91,41.78,0.05%,"9,124,711"
"Aug 13, 2024",41.54,42.08,41.10,41.89,41.76,0.79%,"7,439,350"
"Aug 12, 2024",41.64,41.95,41.21,41.56,41.43,1.24%,"8,945,710"
"Aug 9, 2024",41.61,41.66,40.68,41.05,40.92,0.02%,"9,181,998"
"Aug 8, 2024",40.00,41.36,39.91,41.04,40.91,3.85%,"10,231,441"
"Aug 7, 2024",41.59,41.65,39.49,39.52,39.40,-3.70%,"14,519,946"
"Aug 6, 2024",40.70,41.87,40.32,41.04,40.91,0.42%,"11,307,894"
"Aug 5, 2024",40.00,40.98,39.08,40.87,40.74,-2.62%,"26,149,093"
"Aug 2, 2024",43.28,43.28,41.63,41.97,41.84,-3.80%,"17,152,432"
"Aug 1, 2024",45.12,45.44,43.18,43.63,43.49,-3.92%,"12,260,051"
"Jul 31, 2024",46.01,46.37,45.12,45.41,45.27,3.56%,"13,050,798"
"Jul 30, 2024",43.89,44.23,43.49,43.85,43.71,-1.19%,"11,608,714"
"Jul 29, 2024",44.49,44.81,44.13,44.38,44.24,-1.38%,"9,192,636"
"Jul 26, 2024",45.44,45.50,44.37,45.00,44.86,1.06%,"10,390,517"
"Jul 25, 2024",44.02,45.26,43.27,44.53,44.39,0.79%,"16,904,618"
"Jul 24, 2024",45.59,45.76,44.12,44.18,44.04,-2.41%,"18,533,950"
"Jul 23, 2024",45.00,45.50,43.54,45.27,45.13,-1.61%,"18,792,728"
"Jul 22, 2024",45.85,46.14,45.46,46.01,45.86,0.24%,"12,381,406"
"Jul 19, 2024",45.68,46.30,45.47,45.90,45.76,-0.04%,"9,670,969"
"Jul 18, 2024",47.91,48.03,45.53,45.92,45.78,-5.32%,"17,498,875"
"Jul 17, 2024",49.96,50.08,48.37,48.50,48.35,-3.14%,"12,056,630"
"Jul 16, 2024",49.47,50.17,48.64,50.07,49.91,-0.69%,"11,035,781"
"Jul 15, 2024",50.61,51.03,49.70,50.42,50.26,-1.68%,"9,112,889"
"Jul 12, 2024",51.95,51.97,51.11,51.28,50.97,-0.45%,"8,004,113"
"Jul 11, 2024",51.64,51.94,50.94,51.51,51.20,-0.16%,"8,219,486"
"Jul 10, 2024",50.94,51.97,50.75,51.59,51.27,1.56%,"9,197,107"
"Jul 9, 2024",51.06,51.80,50.65,50.80,50.49,-0.65%,"9,350,079"
"Jul 8, 2024",51.11,51.38,50.53,51.13,50.82,-0.76%,"9,030,843"
