date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",248.52,250.46,247.79,248.74,248.74,0.71%,"1,351,809"
"Nov 22, 2024",245.17,247.70,245.07,246.98,246.98,1.10%,"346,441"
"Nov 21, 2024",243.46,245.91,242.22,244.29,244.29,0.94%,"318,259"
"Nov 20, 2024",239.87,242.37,238.71,242.02,242.02,0.98%,"314,771"
"Nov 19, 2024",236.50,241.19,234.00,239.67,239.67,-0.13%,"451,252"
"Nov 18, 2024",239.32,241.54,238.51,239.99,239.99,0.68%,"399,445"
"Nov 15, 2024",241.74,242.87,238.19,238.36,238.36,-1.52%,"491,461"
"Nov 14, 2024",247.04,247.42,241.48,242.05,242.05,-1.95%,"517,454"
"Nov 13, 2024",243.43,248.39,242.92,246.86,246.86,1.17%,"660,287"
"Nov 12, 2024",241.86,244.17,241.86,244.00,244.00,0.55%,"612,972"
"Nov 11, 2024",242.12,243.88,241.05,242.67,242.67,0.56%,"387,052"
"Nov 8, 2024",241.88,244.32,240.88,241.31,241.31,-0.24%,"544,002"
"Nov 7, 2024",239.04,241.92,239.04,241.88,241.88,0.73%,"440,692"
"Nov 6, 2024",237.50,241.62,235.59,240.12,240.12,3.09%,"625,974"
"Nov 5, 2024",230.61,233.36,230.61,232.92,232.92,0.74%,"378,822"
"Nov 4, 2024",230.32,233.49,229.50,231.20,231.20,-0.43%,"619,589"
"Nov 1, 2024",233.79,234.55,231.13,232.20,232.20,-0.72%,"665,447"
"Oct 31, 2024",238.40,241.96,233.37,233.88,233.88,-2.12%,"798,323"
"Oct 30, 2024",240.01,241.00,236.45,238.95,238.95,-0.57%,"1,110,910"
"Oct 29, 2024",242.03,250.46,236.85,240.33,240.33,10.06%,"3,007,580"
"Oct 28, 2024",217.90,219.28,216.16,218.36,218.36,0.69%,"1,357,792"
"Oct 25, 2024",215.28,217.19,214.10,216.87,216.87,1.55%,"726,336"
"Oct 24, 2024",216.99,216.99,213.24,213.57,213.57,-0.85%,"519,194"
"Oct 23, 2024",217.33,217.81,214.38,215.41,215.41,-0.76%,"336,094"
"Oct 22, 2024",216.29,217.85,215.67,217.06,217.06,-0.41%,"391,363"
"Oct 21, 2024",217.67,218.74,216.47,217.95,217.95,0.22%,"457,456"
"Oct 18, 2024",218.48,218.85,217.00,217.48,217.48,0.22%,"579,537"
"Oct 17, 2024",216.39,217.23,215.51,217.00,217.00,0.53%,"681,220"
"Oct 16, 2024",216.91,217.14,215.39,215.86,215.86,-0.53%,"484,941"
"Oct 15, 2024",219.00,220.95,216.91,217.00,217.00,-1.11%,"608,543"
"Oct 14, 2024",221.00,221.00,218.57,219.43,219.43,-1.43%,"599,486"
"Oct 11, 2024",222.82,224.47,222.13,222.62,222.62,0.28%,"423,273"
"Oct 10, 2024",221.14,223.05,220.02,221.99,221.99,-0.03%,"376,869"
"Oct 9, 2024",219.51,222.87,218.09,222.05,222.05,1.16%,"563,077"
"Oct 8, 2024",218.55,220.11,217.73,219.51,219.51,0.59%,"431,761"
"Oct 7, 2024",218.55,220.09,218.00,218.23,218.23,-0.76%,"432,772"
"Oct 4, 2024",220.00,220.19,218.05,219.91,219.91,0.84%,"307,769"
"Oct 3, 2024",218.26,219.29,216.91,218.08,218.08,-0.71%,"282,879"
"Oct 2, 2024",217.66,220.52,217.66,219.64,219.64,0.52%,"389,974"
"Oct 1, 2024",220.00,220.91,218.11,218.51,218.51,-0.77%,"486,566"
"Sep 30, 2024",218.98,220.80,218.40,220.20,220.20,0.55%,"606,258"
"Sep 27, 2024",221.66,222.08,218.85,219.00,219.00,-1.06%,"644,885"
"Sep 26, 2024",220.81,221.88,218.61,221.34,221.34,0.77%,"452,528"
"Sep 25, 2024",220.33,220.82,214.21,219.65,219.65,-1.77%,"685,049"
"Sep 24, 2024",221.94,223.74,220.69,223.60,223.60,1.46%,"694,048"
"Sep 23, 2024",219.72,222.41,219.72,220.38,220.38,0.52%,"629,241"
"Sep 20, 2024",217.87,221.12,215.67,219.24,219.24,0.81%,"2,302,274"
"Sep 19, 2024",216.72,218.54,214.23,217.47,217.47,1.83%,"887,281"
"Sep 18, 2024",214.50,215.50,211.89,213.57,213.57,-0.50%,"626,129"
"Sep 17, 2024",214.15,216.00,213.26,214.64,214.64,0.57%,"545,191"
"Sep 16, 2024",210.72,213.88,210.72,213.42,213.42,1.48%,"626,156"
"Sep 13, 2024",206.26,210.81,206.10,210.31,210.31,2.12%,"599,328"
"Sep 12, 2024",203.16,206.09,202.68,205.95,205.95,1.50%,"716,461"
"Sep 11, 2024",200.64,203.19,197.34,202.91,202.91,0.81%,"425,495"
"Sep 10, 2024",199.33,201.78,198.25,201.28,201.28,0.68%,"465,174"
"Sep 9, 2024",199.48,203.48,199.48,199.93,199.93,0.50%,"917,656"
"Sep 6, 2024",200.57,203.40,198.65,198.93,198.93,-0.93%,"742,224"
"Sep 5, 2024",199.27,202.68,198.41,200.80,200.80,0.69%,"668,690"
"Sep 4, 2024",198.42,201.03,197.37,199.43,199.43,0.29%,"522,248"
"Sep 3, 2024",202.00,203.98,198.09,198.85,198.85,-2.12%,"762,147"
"Aug 30, 2024",202.67,203.59,200.53,203.15,203.15,0.50%,"570,466"
"Aug 29, 2024",200.23,203.30,200.04,202.14,202.14,1.63%,"485,179"
"Aug 28, 2024",199.06,200.74,197.81,198.89,198.89,-0.41%,"352,229"
"Aug 27, 2024",198.71,200.33,197.83,199.71,199.71,0.15%,"304,126"
"Aug 26, 2024",199.56,201.17,198.60,199.41,199.41,0.20%,"311,941"
"Aug 23, 2024",198.07,199.18,197.09,199.01,199.01,1.68%,"255,843"
"Aug 22, 2024",199.64,199.70,195.44,195.73,195.73,-1.85%,"350,702"
"Aug 21, 2024",196.65,199.54,195.06,199.42,199.42,0.53%,"521,277"
"Aug 20, 2024",196.73,198.68,196.57,198.37,198.37,1.02%,"296,054"
"Aug 19, 2024",196.00,197.00,194.45,196.37,196.37,0.41%,"383,959"
"Aug 16, 2024",195.06,196.48,194.89,195.57,195.57,-,"334,670"
"Aug 15, 2024",194.99,196.52,193.70,195.57,195.57,2.20%,"460,395"
"Aug 14, 2024",191.24,193.09,190.94,191.36,191.36,-0.21%,"369,869"
"Aug 13, 2024",190.44,192.79,189.39,191.76,191.76,1.36%,"392,094"
"Aug 12, 2024",192.09,192.09,188.52,189.19,189.19,-1.46%,"359,016"
"Aug 9, 2024",189.03,192.13,188.31,192.00,192.00,1.40%,"307,984"
"Aug 8, 2024",187.30,190.40,186.19,189.35,189.35,1.77%,"489,950"
"Aug 7, 2024",190.13,191.50,185.74,186.05,186.05,-1.07%,"314,252"
