date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",85.95,86.00,84.10,84.41,84.41,-1.94%,"6,316,119"
"Nov 22, 2024",85.88,86.37,85.39,86.08,86.08,0.68%,"3,817,314"
"Nov 21, 2024",86.54,86.71,84.53,85.50,85.50,-0.47%,"4,287,069"
"Nov 20, 2024",85.50,86.10,85.19,85.90,85.90,-0.21%,"4,447,620"
"Nov 19, 2024",87.73,87.79,85.56,86.08,86.08,-2.65%,"3,057,095"
"Nov 18, 2024",87.63,88.55,87.63,88.42,88.42,0.68%,"2,755,520"
"Nov 15, 2024",87.97,88.63,86.97,87.82,87.82,-0.72%,"2,655,968"
"Nov 14, 2024",88.60,89.57,88.38,88.46,88.46,-0.47%,"3,183,101"
"Nov 13, 2024",87.98,88.92,87.63,88.88,88.88,1.44%,"3,507,537"
"Nov 12, 2024",88.75,89.26,87.50,87.62,87.62,-1.24%,"2,932,238"
"Nov 11, 2024",88.30,89.44,87.92,88.72,88.72,0.74%,"3,854,876"
"Nov 8, 2024",87.26,88.99,86.93,88.07,88.07,1.60%,"3,113,264"
"Nov 7, 2024",85.95,86.75,85.39,86.68,86.68,0.28%,"4,177,509"
"Nov 6, 2024",88.00,88.22,84.40,86.44,86.44,-0.15%,"8,002,306"
"Nov 5, 2024",89.91,90.16,86.20,86.57,86.57,-3.49%,"6,019,976"
"Nov 4, 2024",88.00,91.98,87.68,89.70,89.70,0.67%,"6,372,472"
"Nov 1, 2024",89.45,89.97,88.28,89.10,89.10,-0.70%,"4,665,945"
"Oct 31, 2024",90.51,91.54,89.70,89.73,89.73,-1.09%,"3,862,711"
"Oct 30, 2024",90.08,91.44,89.48,90.72,90.72,0.79%,"2,867,166"
"Oct 29, 2024",90.75,90.89,89.45,90.01,90.01,-0.95%,"2,657,170"
"Oct 28, 2024",90.34,91.28,90.01,90.87,90.87,1.28%,"2,038,568"
"Oct 25, 2024",90.61,91.22,89.58,89.72,89.72,-0.68%,"1,616,119"
"Oct 24, 2024",90.18,90.58,89.37,90.33,90.33,0.48%,"2,191,009"
"Oct 23, 2024",89.48,90.09,89.29,89.90,89.90,0.44%,"2,678,730"
"Oct 22, 2024",90.21,90.59,89.27,89.51,89.51,-1.27%,"2,590,697"
"Oct 21, 2024",90.71,91.05,90.13,90.66,90.66,-0.32%,"2,687,750"
"Oct 18, 2024",90.12,91.14,89.20,90.95,90.95,1.15%,"2,350,186"
"Oct 17, 2024",90.00,90.29,89.46,89.92,89.92,0.14%,"2,042,055"
"Oct 16, 2024",89.00,89.84,88.99,89.79,89.79,0.83%,"2,083,434"
"Oct 15, 2024",88.25,89.32,87.74,89.05,89.05,1.44%,"3,310,781"
"Oct 14, 2024",87.00,87.96,86.78,87.79,87.79,1.20%,"1,828,823"
"Oct 11, 2024",86.83,87.90,86.57,86.75,86.75,0.30%,"2,617,777"
"Oct 10, 2024",86.08,86.66,85.85,86.49,86.49,0.14%,"2,515,332"
"Oct 9, 2024",86.22,86.67,85.88,86.37,86.37,0.54%,"2,436,287"
"Oct 8, 2024",84.62,86.16,84.16,85.91,85.91,1.91%,"3,786,500"
"Oct 7, 2024",84.60,84.78,84.12,84.30,84.30,-0.39%,"2,556,617"
"Oct 4, 2024",84.16,84.78,83.90,84.63,84.63,1.10%,"2,108,605"
"Oct 3, 2024",83.26,83.78,82.77,83.71,83.71,0.30%,"2,219,020"
"Oct 2, 2024",83.34,83.75,82.88,83.46,83.46,-0.25%,"2,235,639"
"Oct 1, 2024",83.75,84.19,82.83,83.67,83.67,-0.10%,"2,695,456"
"Sep 30, 2024",83.16,83.83,82.66,83.75,83.75,0.75%,"2,386,587"
"Sep 27, 2024",83.26,84.07,82.94,83.13,83.13,0.23%,"2,075,786"
"Sep 26, 2024",82.93,83.47,82.56,82.94,82.94,0.77%,"3,170,537"
"Sep 25, 2024",83.76,84.11,81.82,82.31,82.31,-2.05%,"3,386,014"
"Sep 24, 2024",84.12,84.61,83.57,84.03,84.03,-0.43%,"3,728,914"
"Sep 23, 2024",84.36,84.64,83.62,84.39,84.39,0.39%,"2,172,340"
"Sep 20, 2024",83.49,84.10,83.32,84.06,84.06,-0.41%,"6,188,718"
"Sep 19, 2024",85.07,85.14,83.66,84.41,84.41,-0.02%,"3,149,994"
"Sep 18, 2024",84.88,85.18,84.08,84.43,84.43,-0.72%,"2,688,055"
"Sep 17, 2024",84.74,85.63,84.57,85.04,85.04,0.01%,"1,866,257"
"Sep 16, 2024",84.55,85.26,83.61,85.03,85.03,1.06%,"3,049,157"
"Sep 13, 2024",84.41,84.77,84.12,84.14,84.14,-0.13%,"2,639,896"
"Sep 12, 2024",83.54,84.40,83.18,84.25,84.25,0.86%,"2,417,572"
