date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",59.22,60.64,59.00,60.62,60.62,3.20%,"1,363,021"
"Nov 22, 2024",58.38,59.13,58.00,58.74,58.74,0.70%,"760,743"
"Nov 21, 2024",57.10,58.60,57.01,58.33,58.33,1.98%,"1,379,328"
"Nov 20, 2024",55.61,57.21,55.50,57.20,57.20,2.86%,"1,138,714"
"Nov 19, 2024",54.63,56.35,54.40,55.61,55.61,0.69%,"1,261,751"
"Nov 18, 2024",54.73,55.25,54.29,55.23,55.23,1.54%,"1,308,350"
"Nov 15, 2024",55.48,56.00,54.25,54.39,54.39,-1.96%,"1,586,177"
"Nov 14, 2024",55.64,56.06,55.04,55.48,55.48,-0.45%,"1,099,724"
"Nov 13, 2024",56.00,56.60,55.48,55.73,55.73,-0.38%,"1,371,514"
"Nov 12, 2024",58.58,58.58,55.11,55.94,55.94,-5.33%,"2,029,202"
"Nov 11, 2024",59.67,60.32,58.70,59.09,59.09,-1.02%,"895,961"
"Nov 8, 2024",61.38,61.58,59.45,59.70,59.70,-1.87%,"1,037,673"
"Nov 7, 2024",61.15,61.50,59.78,60.84,60.84,-0.15%,"1,372,791"
"Nov 6, 2024",65.99,66.22,59.64,60.93,60.93,-4.23%,"2,051,806"
"Nov 5, 2024",63.10,63.65,62.57,63.62,63.62,0.27%,"831,823"
"Nov 4, 2024",63.87,64.73,63.13,63.45,63.45,0.48%,"1,100,796"
"Nov 1, 2024",64.62,64.97,62.93,63.15,63.15,-2.83%,"1,088,860"
"Oct 31, 2024",66.84,67.75,64.75,64.99,64.99,-2.45%,"1,552,717"
"Oct 30, 2024",63.50,67.27,63.50,66.62,66.62,10.70%,"3,275,004"
"Oct 29, 2024",61.66,61.90,60.13,60.18,60.18,-2.21%,"1,309,269"
"Oct 28, 2024",62.21,62.93,61.47,61.54,61.54,-0.74%,"1,041,354"
"Oct 25, 2024",61.50,62.54,61.25,62.00,62.00,0.81%,"637,876"
"Oct 24, 2024",62.44,62.45,61.31,61.50,61.50,-0.98%,"702,601"
"Oct 23, 2024",61.32,62.78,61.11,62.11,62.11,-0.43%,"735,763"
"Oct 22, 2024",62.09,62.52,61.37,62.38,62.38,0.08%,"628,272"
"Oct 21, 2024",62.82,62.95,61.69,62.33,62.33,-0.57%,"694,851"
"Oct 18, 2024",62.96,62.96,62.00,62.69,62.69,0.27%,"723,346"
"Oct 17, 2024",62.59,62.97,61.60,62.52,62.52,-0.33%,"928,232"
"Oct 16, 2024",62.21,63.40,61.90,62.73,62.73,1.57%,"770,075"
"Oct 15, 2024",62.24,62.68,61.67,61.76,61.76,-1.55%,"820,423"
"Oct 14, 2024",60.65,62.79,60.43,62.73,62.73,3.41%,"1,091,755"
"Oct 11, 2024",60.71,61.24,60.28,60.66,60.66,0.46%,"707,642"
"Oct 10, 2024",61.14,61.21,59.93,60.38,60.38,-1.76%,"1,107,488"
"Oct 9, 2024",61.82,62.38,61.12,61.46,61.46,-0.84%,"1,134,570"
"Oct 8, 2024",62.68,62.78,61.75,61.98,61.98,-1.74%,"788,623"
"Oct 7, 2024",63.68,64.40,62.92,63.08,63.08,-1.41%,"896,896"
"Oct 4, 2024",64.72,65.23,63.89,63.98,63.98,-0.05%,"469,372"
"Oct 3, 2024",64.81,65.21,63.80,64.01,64.01,-2.17%,"1,180,597"
"Oct 2, 2024",65.77,66.50,65.04,65.43,65.43,-0.37%,"695,897"
"Oct 1, 2024",65.75,66.03,65.13,65.67,65.67,-0.41%,"809,116"
"Sep 30, 2024",65.26,66.28,64.98,65.94,65.94,-0.21%,"1,063,235"
"Sep 27, 2024",66.74,67.32,65.89,66.08,65.50,0.17%,"1,192,114"
"Sep 26, 2024",64.54,66.02,64.13,65.97,65.40,3.13%,"1,078,196"
"Sep 25, 2024",64.81,64.81,63.52,63.97,63.41,-1.05%,"795,924"
"Sep 24, 2024",64.39,65.87,63.74,64.65,64.09,1.71%,"1,929,643"
"Sep 23, 2024",62.51,63.71,62.06,63.56,63.01,2.45%,"1,112,188"
"Sep 20, 2024",63.90,63.92,62.01,62.04,61.50,-3.42%,"3,781,716"
"Sep 19, 2024",64.78,64.80,63.41,64.24,63.68,1.17%,"768,115"
"Sep 18, 2024",63.57,64.73,62.71,63.50,62.95,0.25%,"734,179"
"Sep 17, 2024",63.64,64.24,63.06,63.34,62.79,-0.03%,"896,684"
"Sep 16, 2024",63.70,64.15,62.62,63.36,62.81,-0.24%,"673,553"
"Sep 13, 2024",62.68,63.61,62.53,63.51,62.96,2.44%,"569,745"
"Sep 12, 2024",61.51,62.17,60.74,62.00,61.46,0.75%,"654,272"
"Sep 11, 2024",61.30,61.64,59.48,61.54,61.00,0.62%,"722,474"
"Sep 10, 2024",60.91,61.45,60.15,61.16,60.63,0.15%,"768,160"
"Sep 9, 2024",60.46,61.96,60.10,61.07,60.54,1.31%,"832,480"
"Sep 6, 2024",62.42,62.89,60.18,60.28,59.75,-3.80%,"1,082,279"
"Sep 5, 2024",63.33,63.78,62.50,62.66,62.11,-0.65%,"639,034"
"Sep 4, 2024",62.72,63.72,62.60,63.07,62.52,0.69%,"600,639"
"Sep 3, 2024",63.21,63.51,61.78,62.64,62.09,-3.00%,"1,091,176"
"Aug 30, 2024",65.38,65.59,64.15,64.58,64.02,-1.25%,"979,671"
"Aug 29, 2024",65.80,65.98,64.45,65.40,64.83,0.45%,"596,319"
"Aug 28, 2024",64.55,65.20,64.54,65.11,64.54,0.05%,"641,287"
"Aug 27, 2024",65.03,65.60,64.29,65.08,64.51,-0.17%,"560,364"
"Aug 26, 2024",65.85,66.07,65.01,65.19,64.62,-0.29%,"552,061"
"Aug 23, 2024",64.36,65.43,64.00,65.38,64.81,2.30%,"752,095"
"Aug 22, 2024",63.80,64.09,63.21,63.91,63.35,-0.09%,"498,908"
"Aug 21, 2024",63.87,64.35,63.20,63.97,63.41,1.04%,"701,356"
"Aug 20, 2024",64.78,65.33,63.22,63.31,62.76,-2.90%,"771,895"
"Aug 19, 2024",63.25,65.22,63.25,65.20,64.63,3.16%,"1,174,577"
"Aug 16, 2024",62.29,63.51,61.95,63.20,62.65,1.31%,"944,846"
"Aug 15, 2024",62.31,62.93,61.72,62.38,61.84,1.56%,"1,040,418"
