date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",79.00,80.16,78.61,79.68,79.68,1.61%,"3,570,592"
"Nov 22, 2024",77.09,78.59,76.98,78.42,78.42,1.91%,"3,209,299"
"Nov 21, 2024",76.03,77.03,75.54,76.95,76.95,1.58%,"3,926,800"
"Nov 20, 2024",74.82,75.77,74.58,75.75,75.75,1.68%,"3,315,448"
"Nov 19, 2024",73.81,74.77,73.81,74.50,74.50,-0.15%,"2,288,497"
"Nov 18, 2024",74.27,74.89,74.14,74.61,74.61,-0.28%,"2,277,764"
"Nov 15, 2024",75.29,75.57,74.56,74.82,74.82,-1.04%,"3,452,457"
"Nov 14, 2024",76.05,76.57,75.60,75.61,75.61,-0.76%,"3,087,096"
"Nov 13, 2024",74.84,76.66,74.84,76.19,76.19,1.52%,"2,787,225"
"Nov 12, 2024",75.99,76.52,74.67,75.05,75.05,-1.46%,"2,614,433"
"Nov 11, 2024",75.57,76.71,75.42,76.16,76.16,1.28%,"3,446,511"
"Nov 8, 2024",73.87,75.30,73.77,75.20,75.20,1.61%,"3,757,172"
"Nov 7, 2024",74.15,74.42,73.30,74.01,74.01,-0.38%,"3,699,341"
"Nov 6, 2024",73.54,74.53,73.04,74.29,74.29,4.06%,"4,273,530"
"Nov 5, 2024",71.17,72.10,71.00,71.39,71.39,0.32%,"3,734,778"
"Nov 4, 2024",71.37,71.74,70.81,71.16,71.16,-0.25%,"3,313,635"
"Nov 1, 2024",71.40,72.18,71.19,71.34,71.34,-0.13%,"3,334,438"
"Oct 31, 2024",71.86,72.57,71.25,71.43,71.43,-0.92%,"3,175,283"
"Oct 30, 2024",73.24,74.48,71.91,72.09,72.09,-3.36%,"3,715,204"
"Oct 29, 2024",74.89,75.22,74.10,74.60,74.60,-0.75%,"3,793,135"
"Oct 28, 2024",75.41,75.93,74.96,75.16,75.16,0.25%,"2,547,807"
"Oct 25, 2024",75.69,75.76,74.37,74.97,74.97,-0.07%,"2,728,393"
"Oct 24, 2024",75.67,75.73,74.94,75.02,75.02,-0.65%,"2,313,809"
"Oct 23, 2024",75.57,76.11,75.03,75.51,75.51,-0.46%,"4,867,522"
"Oct 22, 2024",76.83,76.92,75.78,75.86,75.86,-1.63%,"2,003,127"
"Oct 21, 2024",77.40,77.74,76.64,77.12,77.12,-0.45%,"1,687,035"
"Oct 18, 2024",77.60,77.66,76.91,77.47,77.47,0.26%,"3,083,545"
"Oct 17, 2024",77.56,77.69,76.76,77.27,77.27,0.05%,"1,717,074"
"Oct 16, 2024",77.45,77.93,77.13,77.23,77.23,-0.09%,"1,341,965"
"Oct 15, 2024",78.69,79.18,77.16,77.30,77.30,-1.47%,"2,533,536"
"Oct 14, 2024",78.10,78.48,77.52,78.45,78.45,0.55%,"1,754,693"
"Oct 11, 2024",77.27,78.56,77.24,78.02,78.02,1.01%,"1,286,861"
"Oct 10, 2024",77.46,77.66,76.83,77.24,77.24,0.55%,"1,614,428"
"Oct 9, 2024",76.52,77.13,76.31,76.82,76.82,0.50%,"872,134"
"Oct 8, 2024",76.11,76.70,75.83,76.44,76.44,0.16%,"1,377,584"
"Oct 7, 2024",76.12,76.97,75.92,76.32,76.32,-0.77%,"1,721,415"
"Oct 4, 2024",77.89,77.92,76.50,76.91,76.91,0.22%,"1,569,384"
"Oct 3, 2024",77.11,77.34,76.48,76.74,76.74,-1.17%,"1,395,163"
"Oct 2, 2024",77.63,78.29,77.36,77.65,77.65,0.06%,"1,906,687"
"Oct 1, 2024",79.13,79.37,77.43,77.60,77.60,-1.69%,"2,061,853"
