date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",197.65,200.16,196.62,197.43,197.43,0.55%,"2,847,983"
"Nov 22, 2024",192.85,196.71,191.59,196.35,196.35,1.73%,"1,226,977"
"Nov 21, 2024",191.03,193.26,190.01,193.01,193.01,1.52%,"884,540"
"Nov 20, 2024",188.00,190.54,186.75,190.12,190.12,1.45%,"1,080,305"
"Nov 19, 2024",183.80,188.03,183.45,187.40,187.40,1.29%,"1,253,144"
"Nov 18, 2024",183.45,186.09,181.77,185.02,185.02,1.15%,"1,203,183"
"Nov 15, 2024",183.80,184.93,181.96,182.92,182.92,-1.28%,"1,354,914"
"Nov 14, 2024",188.68,189.44,184.27,185.29,185.29,-1.83%,"1,444,789"
"Nov 13, 2024",186.17,190.21,184.86,188.74,188.74,0.81%,"1,467,218"
"Nov 12, 2024",184.00,187.55,183.16,187.23,187.23,2.24%,"1,810,175"
"Nov 11, 2024",179.00,184.38,178.76,183.13,183.13,2.97%,"1,271,608"
"Nov 8, 2024",177.25,178.28,175.37,177.84,177.84,0.30%,"852,949"
"Nov 7, 2024",176.52,177.77,175.04,177.31,177.31,0.85%,"1,212,964"
"Nov 6, 2024",171.00,175.98,170.00,175.81,175.81,4.88%,"1,874,768"
"Nov 5, 2024",165.50,168.05,165.25,167.63,167.63,1.28%,"945,338"
"Nov 4, 2024",163.35,165.71,161.43,165.51,165.51,1.32%,"1,299,456"
"Nov 1, 2024",167.79,167.98,162.21,163.36,163.36,-2.06%,"1,545,938"
"Oct 31, 2024",164.30,171.93,163.68,166.80,166.80,3.22%,"2,680,875"
"Oct 30, 2024",161.82,162.83,160.97,161.60,161.60,0.15%,"1,423,618"
"Oct 29, 2024",160.00,161.50,159.71,161.35,161.35,0.91%,"878,214"
"Oct 28, 2024",161.96,162.17,159.82,159.90,159.90,-0.39%,"822,630"
"Oct 25, 2024",161.90,162.82,160.01,160.53,160.53,-0.57%,"682,723"
"Oct 24, 2024",162.03,163.57,161.28,161.45,161.45,-0.27%,"672,798"
"Oct 23, 2024",163.48,164.64,160.30,161.89,161.89,-1.08%,"636,919"
"Oct 22, 2024",162.78,164.45,162.33,163.65,163.65,-0.15%,"668,684"
"Oct 21, 2024",164.71,166.17,163.30,163.89,163.89,-0.49%,"887,785"
"Oct 18, 2024",165.00,165.65,164.08,164.70,164.70,0.17%,"823,848"
"Oct 17, 2024",164.42,165.60,162.68,164.42,164.42,0.35%,"958,079"
"Oct 16, 2024",162.36,164.73,161.56,163.85,163.85,0.57%,"556,928"
"Oct 15, 2024",164.16,164.94,162.50,162.92,162.92,-0.70%,"836,138"
"Oct 14, 2024",163.98,164.64,163.25,164.07,164.07,0.58%,"767,106"
"Oct 11, 2024",162.57,163.83,162.06,163.13,163.13,0.61%,"768,912"
"Oct 10, 2024",160.66,162.26,160.50,162.14,162.14,0.58%,"710,346"
"Oct 9, 2024",160.01,161.48,159.18,161.21,161.21,0.68%,"1,425,689"
"Oct 8, 2024",155.95,160.38,155.26,160.12,160.12,3.13%,"1,041,145"
"Oct 7, 2024",156.16,157.21,154.95,155.26,155.26,-0.68%,"1,049,723"
"Oct 4, 2024",155.43,156.43,154.06,156.33,156.33,1.24%,"679,364"
"Oct 3, 2024",154.58,154.68,152.42,154.41,154.41,-0.35%,"582,034"
"Oct 2, 2024",152.44,155.26,152.00,154.95,154.95,1.17%,"653,031"
"Oct 1, 2024",155.60,155.97,152.86,153.16,153.16,-2.31%,"806,834"
"Sep 30, 2024",155.84,156.96,155.14,156.78,156.78,0.50%,"973,106"
"Sep 27, 2024",155.58,156.59,154.80,156.00,156.00,0.24%,"924,993"
"Sep 26, 2024",159.84,160.22,155.56,155.63,155.63,-2.00%,"1,126,752"
"Sep 25, 2024",157.69,159.50,157.48,158.81,158.81,0.66%,"735,356"
"Sep 24, 2024",158.82,159.23,156.36,157.77,157.77,-0.48%,"808,466"
"Sep 23, 2024",160.50,161.50,158.30,158.53,158.53,-1.26%,"989,621"
"Sep 20, 2024",159.11,161.00,158.48,160.55,160.55,0.26%,"2,044,414"
"Sep 19, 2024",158.00,160.20,157.54,160.14,160.14,3.80%,"1,446,952"
"Sep 18, 2024",154.05,156.07,153.62,154.28,154.28,0.25%,"1,051,738"
"Sep 17, 2024",150.96,153.92,150.57,153.90,153.90,2.40%,"1,140,615"
"Sep 16, 2024",152.17,152.75,150.16,150.30,150.30,-1.30%,"1,084,105"
"Sep 13, 2024",152.49,153.62,152.14,152.28,152.28,-0.22%,"726,187"
"Sep 12, 2024",150.83,153.14,150.00,152.61,152.61,0.78%,"987,438"
"Sep 11, 2024",149.26,151.69,148.55,151.43,151.43,1.18%,"1,772,971"
"Sep 10, 2024",153.43,154.00,149.35,149.66,149.66,-2.10%,"1,449,640"
"Sep 9, 2024",151.61,153.50,151.04,152.87,152.87,1.91%,"1,683,309"
"Sep 6, 2024",152.59,154.79,149.76,150.00,150.00,-1.96%,"2,002,606"
"Sep 5, 2024",154.32,156.41,152.70,153.00,153.00,-2.73%,"1,920,985"
"Sep 4, 2024",159.10,159.65,155.91,157.29,157.29,-1.39%,"1,346,185"
"Sep 3, 2024",166.91,166.91,158.59,159.50,159.50,-4.72%,"1,210,968"
"Aug 30, 2024",165.59,167.65,164.47,167.41,167.41,1.47%,"2,573,537"
"Aug 29, 2024",164.35,165.61,163.96,164.99,164.99,0.57%,"657,835"
"Aug 28, 2024",164.75,165.64,163.23,164.05,164.05,-0.41%,"670,620"
"Aug 27, 2024",163.39,165.72,163.01,164.72,164.72,0.34%,"605,258"
"Aug 26, 2024",162.43,165.07,162.33,164.17,164.17,1.06%,"817,331"
"Aug 23, 2024",163.31,163.52,160.73,162.45,162.45,0.02%,"776,133"
"Aug 22, 2024",164.75,165.89,162.17,162.42,162.42,-1.52%,"919,855"
"Aug 21, 2024",162.99,165.55,162.99,164.93,164.93,1.19%,"1,244,801"
"Aug 20, 2024",164.99,165.55,162.49,162.99,162.99,-0.58%,"655,209"
"Aug 19, 2024",163.52,164.02,162.77,163.94,163.94,0.21%,"1,158,473"
"Aug 16, 2024",162.75,164.25,161.64,163.60,163.60,0.71%,"1,028,082"
"Aug 15, 2024",161.21,162.96,160.66,162.45,162.45,1.01%,"1,004,187"
"Aug 14, 2024",160.32,162.93,159.97,160.83,160.83,0.53%,"1,179,316"
"Aug 13, 2024",158.58,160.73,158.42,159.99,159.99,0.97%,"1,230,550"
"Aug 12, 2024",158.00,159.05,156.64,158.46,158.46,0.59%,"1,090,029"
"Aug 9, 2024",156.84,158.09,155.98,157.53,157.53,0.44%,"762,696"
"Aug 8, 2024",153.63,156.98,153.02,156.84,156.84,2.67%,"1,062,578"
"Aug 7, 2024",153.41,156.12,152.46,152.76,152.76,0.49%,"1,335,042"
"Aug 6, 2024",147.68,154.80,147.49,152.02,152.02,3.50%,"2,134,638"
"Aug 5, 2024",145.64,149.16,144.72,146.88,146.88,-2.89%,"1,434,627"
