date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",83.36,83.50,81.90,82.66,82.66,0.27%,"5,273,312"
"Nov 22, 2024",81.96,82.58,80.56,82.44,82.44,0.54%,"5,934,944"
"Nov 21, 2024",84.60,85.26,81.84,82.00,82.00,-3.42%,"4,930,589"
"Nov 20, 2024",82.50,85.29,82.41,84.90,84.90,2.88%,"6,103,398"
"Nov 19, 2024",82.00,83.23,81.71,82.52,82.52,-0.24%,"2,513,692"
"Nov 18, 2024",81.90,83.49,81.89,82.72,82.72,1.17%,"2,918,399"
"Nov 15, 2024",82.81,82.82,81.52,81.76,81.76,-1.40%,"3,768,443"
"Nov 14, 2024",83.65,84.69,82.70,82.92,82.92,-1.50%,"3,061,123"
"Nov 13, 2024",85.12,85.41,83.26,84.18,84.18,-0.87%,"3,014,959"
"Nov 12, 2024",85.42,85.91,84.72,84.92,84.92,-0.55%,"3,918,925"
"Nov 11, 2024",87.00,87.15,84.47,85.39,85.39,-0.64%,"4,367,180"
"Nov 8, 2024",88.80,89.11,85.84,85.94,85.94,-2.71%,"10,190,544"
"Nov 7, 2024",87.11,88.88,86.94,88.33,88.33,1.79%,"2,497,321"
"Nov 6, 2024",89.92,90.00,85.08,86.78,86.78,-1.58%,"4,163,064"
"Nov 5, 2024",86.81,88.19,86.81,88.17,88.17,1.36%,"1,656,400"
"Nov 4, 2024",87.60,87.92,86.55,86.99,86.99,0.05%,"1,431,674"
"Nov 1, 2024",87.21,88.44,86.72,86.95,86.95,-0.46%,"3,383,485"
"Oct 31, 2024",86.12,88.15,86.00,87.35,87.35,0.17%,"3,259,515"
"Oct 30, 2024",89.73,90.16,85.80,87.20,87.20,2.26%,"4,700,441"
"Oct 29, 2024",85.66,86.70,85.01,85.27,85.27,-0.77%,"3,762,314"
"Oct 28, 2024",86.66,86.97,84.90,85.93,85.93,-2.82%,"4,223,694"
"Oct 25, 2024",89.26,89.65,88.30,88.42,88.42,-0.54%,"2,035,620"
"Oct 24, 2024",89.56,89.98,88.60,88.90,88.90,-0.44%,"1,291,986"
"Oct 23, 2024",88.65,90.36,88.11,89.29,89.29,-0.02%,"2,116,660"
"Oct 22, 2024",89.26,89.56,87.70,89.31,89.31,-0.55%,"2,210,153"
"Oct 21, 2024",90.89,91.45,89.52,89.80,89.80,-1.69%,"1,675,390"
"Oct 18, 2024",90.06,91.58,89.99,91.34,91.34,0.57%,"1,609,532"
"Oct 17, 2024",90.74,90.92,90.26,90.82,90.79,0.67%,"1,711,160"
"Oct 16, 2024",91.04,91.12,89.97,90.22,90.19,-0.54%,"1,823,272"
"Oct 15, 2024",91.89,91.96,90.61,90.71,90.68,-0.99%,"2,474,297"
"Oct 14, 2024",91.05,91.80,90.57,91.62,91.59,0.65%,"1,342,815"
"Oct 11, 2024",90.68,91.61,90.39,91.03,91.00,0.86%,"1,372,060"
"Oct 10, 2024",90.30,90.86,89.80,90.25,90.22,-0.57%,"2,269,401"
"Oct 9, 2024",90.80,91.02,90.00,90.77,90.74,0.09%,"2,122,999"
"Oct 8, 2024",90.24,91.02,89.86,90.69,90.66,0.70%,"2,075,531"
"Oct 7, 2024",91.00,91.30,89.72,90.06,90.03,-1.49%,"2,623,422"
"Oct 4, 2024",90.64,91.47,89.92,91.42,91.39,1.71%,"1,988,678"
"Oct 3, 2024",90.51,90.84,89.52,89.88,89.85,-1.27%,"2,592,881"
"Oct 2, 2024",91.63,92.48,90.97,91.04,91.01,-0.69%,"1,763,483"
"Oct 1, 2024",93.82,93.82,91.15,91.67,91.64,-2.32%,"2,615,413"
"Sep 30, 2024",92.51,94.32,92.39,93.85,93.82,2.02%,"3,977,633"
"Sep 27, 2024",92.68,94.55,91.89,91.99,91.96,-0.54%,"12,623,820"
"Sep 26, 2024",91.02,92.72,89.38,92.49,92.46,-0.56%,"5,273,170"
"Sep 25, 2024",92.79,93.53,92.15,93.01,92.98,0.87%,"4,044,715"
"Sep 24, 2024",91.00,92.34,89.80,92.21,92.18,1.46%,"3,537,826"
"Sep 23, 2024",90.50,91.61,90.33,90.88,90.85,0.66%,"2,908,847"
"Sep 20, 2024",90.35,91.13,89.60,90.28,90.25,-0.38%,"9,492,449"
"Sep 19, 2024",89.67,90.79,88.77,90.62,90.59,2.36%,"3,128,277"
"Sep 18, 2024",87.42,89.69,87.00,88.53,88.50,2.00%,"3,508,362"
"Sep 17, 2024",86.64,88.19,86.35,86.79,86.76,0.17%,"3,144,354"
"Sep 16, 2024",87.15,87.25,85.86,86.64,86.61,-0.31%,"4,680,378"
"Sep 13, 2024",86.61,87.15,85.71,86.91,86.88,-0.63%,"10,515,108"
