date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",65.21,65.63,65.07,65.53,65.53,0.82%,"4,852,115"
"Nov 22, 2024",64.56,65.13,64.25,65.00,65.00,1.37%,"3,919,924"
"Nov 21, 2024",63.70,64.16,62.88,64.12,64.12,0.50%,"3,659,300"
"Nov 20, 2024",62.92,63.82,62.65,63.80,63.80,1.62%,"4,685,972"
"Nov 19, 2024",62.93,63.08,62.27,62.78,62.78,-0.16%,"2,847,595"
"Nov 18, 2024",63.53,63.85,62.75,62.88,62.88,-0.52%,"4,860,110"
"Nov 15, 2024",64.22,64.22,62.39,63.21,63.21,-2.32%,"6,785,130"
"Nov 14, 2024",65.48,65.73,64.62,64.71,64.71,-0.80%,"3,675,144"
"Nov 13, 2024",64.09,65.35,64.01,65.23,65.23,1.51%,"3,233,137"
"Nov 12, 2024",64.38,64.72,64.02,64.26,64.26,0.25%,"4,704,517"
"Nov 11, 2024",65.39,65.56,64.08,64.10,64.10,-2.17%,"5,010,507"
"Nov 8, 2024",64.90,65.85,64.69,65.52,65.52,0.89%,"3,006,051"
"Nov 7, 2024",66.05,66.35,64.89,64.94,64.94,-1.59%,"4,534,919"
"Nov 6, 2024",68.65,68.74,65.86,65.99,65.99,-3.40%,"5,910,622"
"Nov 5, 2024",68.01,68.41,67.83,68.31,68.31,0.32%,"3,202,367"
"Nov 4, 2024",68.23,68.63,67.95,68.09,68.09,-0.22%,"2,851,930"
"Nov 1, 2024",68.28,68.68,67.95,68.24,68.24,0.32%,"3,495,032"
"Oct 31, 2024",68.21,68.89,68.00,68.02,68.02,-0.29%,"4,288,894"
"Oct 30, 2024",67.88,68.26,67.60,68.22,68.22,0.40%,"5,067,207"
"Oct 29, 2024",68.02,68.58,67.87,67.95,67.95,-0.47%,"2,966,138"
"Oct 28, 2024",68.39,68.97,68.16,68.27,68.27,-0.04%,"3,029,590"
"Oct 25, 2024",68.65,68.86,68.26,68.30,68.30,-0.45%,"2,183,941"
"Oct 24, 2024",68.52,69.03,68.46,68.61,68.61,0.04%,"2,369,282"
"Oct 23, 2024",68.79,68.93,68.35,68.58,68.58,-0.72%,"3,384,953"
"Oct 22, 2024",68.73,69.24,68.64,69.08,69.08,0.45%,"3,378,969"
"Oct 21, 2024",70.25,70.35,68.61,68.77,68.77,-1.66%,"3,501,783"
"Oct 18, 2024",70.60,70.60,69.64,69.93,69.93,-1.06%,"3,867,882"
"Oct 17, 2024",71.00,71.00,70.45,70.68,70.68,-0.45%,"3,169,709"
"Oct 16, 2024",70.93,71.48,70.90,71.00,71.00,-0.32%,"3,240,504"
"Oct 15, 2024",70.99,72.55,70.88,71.23,71.23,0.56%,"3,709,976"
"Oct 14, 2024",70.86,70.90,70.49,70.83,70.83,0.03%,"2,221,524"
"Oct 11, 2024",71.59,71.59,70.75,70.81,70.81,-0.69%,"2,815,969"
"Oct 10, 2024",71.77,72.50,71.16,71.30,71.30,-1.07%,"2,578,623"
"Oct 9, 2024",72.62,72.71,71.89,72.07,71.47,-0.58%,"2,620,600"
"Oct 8, 2024",72.66,72.82,71.98,72.49,71.89,-0.34%,"3,328,461"
"Oct 7, 2024",73.51,73.74,72.65,72.74,72.13,-1.18%,"2,392,199"
"Oct 4, 2024",72.68,73.78,72.59,73.61,73.00,0.78%,"2,413,553"
"Oct 3, 2024",72.96,73.15,72.22,73.04,72.43,-0.35%,"3,443,578"
"Oct 2, 2024",73.99,74.43,72.91,73.30,72.69,-1.77%,"5,958,393"
"Oct 1, 2024",73.97,74.85,73.79,74.62,74.00,1.04%,"4,072,111"
"Sep 30, 2024",74.66,74.75,73.39,73.85,73.23,-0.71%,"2,904,062"
"Sep 27, 2024",74.13,74.98,74.06,74.38,73.76,0.53%,"2,960,672"
"Sep 26, 2024",73.34,74.40,73.27,73.99,73.37,0.31%,"2,896,214"
"Sep 25, 2024",74.07,74.36,73.49,73.76,73.14,-0.01%,"2,782,870"
"Sep 24, 2024",74.03,74.90,73.51,73.77,73.15,-0.57%,"2,720,256"
"Sep 23, 2024",74.21,74.56,73.53,74.19,73.57,-0.43%,"3,487,462"
"Sep 20, 2024",75.17,75.33,74.25,74.51,73.89,-0.52%,"9,129,926"
"Sep 19, 2024",74.62,75.00,73.88,74.90,74.28,-0.15%,"4,162,680"
"Sep 18, 2024",72.25,75.66,72.20,75.01,74.38,0.68%,"8,032,694"
"Sep 17, 2024",74.33,75.26,74.20,74.50,73.88,-0.17%,"4,513,619"
"Sep 16, 2024",74.59,75.49,74.55,74.63,74.01,1.25%,"3,324,626"
"Sep 13, 2024",73.05,73.89,72.71,73.71,73.10,0.96%,"3,010,462"
"Sep 12, 2024",72.80,73.13,72.07,73.01,72.40,-0.15%,"3,810,350"
"Sep 11, 2024",74.53,74.66,72.55,73.12,72.51,-2.29%,"3,739,173"
"Sep 10, 2024",75.15,75.90,74.67,74.83,74.21,-0.43%,"3,270,866"
"Sep 9, 2024",75.06,75.46,74.52,75.15,74.52,0.12%,"3,637,399"
"Sep 6, 2024",74.60,75.54,74.43,75.06,74.43,0.74%,"4,057,900"
"Sep 5, 2024",73.87,74.83,73.78,74.51,73.89,1.26%,"4,468,757"
"Sep 4, 2024",72.65,73.77,72.60,73.58,72.97,1.31%,"2,859,071"
"Sep 3, 2024",72.30,72.85,71.53,72.63,72.02,0.47%,"4,443,431"
"Aug 30, 2024",71.25,72.43,71.25,72.29,71.69,1.30%,"3,645,786"
"Aug 29, 2024",71.62,71.65,70.72,71.36,70.77,-0.28%,"3,121,568"
"Aug 28, 2024",70.99,71.98,70.59,71.56,70.96,0.75%,"2,687,797"
