date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",59.16,61.24,58.90,60.20,60.20,2.85%,"25,347,318"
"Nov 22, 2024",55.74,58.90,55.65,58.53,58.53,5.12%,"14,591,701"
"Nov 21, 2024",55.20,55.81,54.73,55.68,55.68,1.48%,"11,326,720"
"Nov 20, 2024",55.00,55.49,54.58,54.87,54.87,-0.44%,"12,183,690"
"Nov 19, 2024",55.02,56.78,54.77,55.11,55.11,-2.03%,"14,530,551"
"Nov 18, 2024",57.49,57.52,55.84,56.25,56.25,-1.38%,"12,277,778"
"Nov 15, 2024",57.53,57.83,56.94,57.04,57.04,-1.01%,"12,624,965"
"Nov 14, 2024",57.79,59.39,57.17,57.62,57.62,-0.16%,"17,750,197"
"Nov 13, 2024",57.61,58.42,57.54,57.71,57.71,0.52%,"10,048,553"
"Nov 12, 2024",57.50,58.29,57.02,57.41,57.41,-0.43%,"10,219,676"
"Nov 11, 2024",56.17,58.22,55.96,57.66,57.66,3.74%,"11,276,503"
"Nov 8, 2024",55.10,56.08,54.85,55.58,55.58,0.34%,"10,247,531"
"Nov 7, 2024",55.13,55.93,54.20,55.39,55.39,0.62%,"10,964,842"
"Nov 6, 2024",54.48,55.38,53.14,55.05,55.05,2.51%,"19,150,138"
"Nov 5, 2024",51.66,53.74,51.51,53.70,53.70,3.67%,"11,534,030"
"Nov 4, 2024",50.99,52.77,50.99,51.80,51.80,1.65%,"9,778,535"
"Nov 1, 2024",51.15,51.78,50.79,50.96,50.96,0.39%,"10,289,522"
"Oct 31, 2024",51.75,52.12,50.74,50.76,50.76,-2.33%,"9,364,559"
"Oct 30, 2024",51.50,52.73,51.50,51.97,51.97,0.83%,"8,179,610"
"Oct 29, 2024",52.13,52.22,50.97,51.54,51.54,-2.26%,"13,807,600"
"Oct 28, 2024",52.25,52.86,52.05,52.73,52.73,1.27%,"11,504,942"
"Oct 25, 2024",53.20,53.41,51.91,52.07,52.07,-1.23%,"8,445,108"
"Oct 24, 2024",53.65,54.30,52.48,52.72,52.72,-0.38%,"11,800,741"
"Oct 23, 2024",54.05,54.19,52.52,52.92,52.92,-1.51%,"16,109,792"
"Oct 22, 2024",50.02,54.18,49.99,53.73,53.73,9.81%,"42,657,710"
"Oct 21, 2024",49.26,49.60,48.63,48.93,48.93,-0.51%,"11,492,094"
"Oct 18, 2024",49.64,49.75,49.10,49.18,49.18,-0.41%,"9,500,117"
"Oct 17, 2024",49.00,49.49,48.64,49.38,49.38,0.75%,"8,333,573"
"Oct 16, 2024",48.49,49.27,48.36,49.01,49.01,2.42%,"10,152,811"
"Oct 15, 2024",48.22,48.91,47.81,47.85,47.85,-1.60%,"12,532,062"
"Oct 14, 2024",47.75,48.77,47.63,48.63,48.63,1.59%,"6,774,134"
"Oct 11, 2024",47.37,48.25,47.29,47.87,47.87,0.38%,"9,181,011"
"Oct 10, 2024",47.62,47.96,47.36,47.69,47.69,-0.50%,"9,740,109"
"Oct 9, 2024",46.04,47.98,45.67,47.93,47.93,4.17%,"17,185,708"
"Oct 8, 2024",46.07,47.35,45.77,46.01,46.01,0.07%,"16,608,437"
"Oct 7, 2024",45.42,46.12,45.26,45.98,45.98,0.66%,"11,276,674"
"Oct 4, 2024",45.81,46.15,45.50,45.68,45.68,1.56%,"11,429,409"
"Oct 3, 2024",44.42,45.03,44.06,44.98,44.98,0.36%,"9,409,856"
"Oct 2, 2024",44.78,45.54,44.73,44.82,44.82,-0.13%,"10,730,108"
"Oct 1, 2024",45.15,45.48,44.38,44.88,44.88,0.09%,"15,157,167"
"Sep 30, 2024",44.92,45.90,44.47,44.84,44.84,-3.53%,"20,255,041"
"Sep 27, 2024",46.37,47.07,45.99,46.48,46.48,1.46%,"13,298,594"
"Sep 26, 2024",45.72,46.12,45.45,45.81,45.81,0.17%,"11,892,054"
"Sep 25, 2024",45.95,46.44,44.98,45.73,45.73,-4.87%,"22,910,594"
"Sep 24, 2024",48.46,48.77,47.58,48.07,48.07,0.06%,"9,500,995"
"Sep 23, 2024",47.60,48.28,46.98,48.04,48.04,-1.72%,"14,181,161"
"Sep 20, 2024",48.24,49.00,47.90,48.88,48.88,0.53%,"18,091,562"
"Sep 19, 2024",49.49,49.86,48.20,48.62,48.62,-0.08%,"13,490,203"
