date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",118.44,119.02,117.40,118.58,118.58,1.28%,"2,202,526"
"Nov 22, 2024",116.16,117.71,115.96,117.08,117.08,0.64%,"1,041,619"
"Nov 21, 2024",115.78,117.08,114.91,116.33,116.33,1.31%,"1,573,302"
"Nov 20, 2024",115.39,115.39,114.12,114.83,114.83,0.10%,"2,087,636"
"Nov 19, 2024",114.61,115.52,114.00,114.72,114.72,-1.15%,"2,797,975"
"Nov 18, 2024",115.34,116.15,114.68,116.06,116.06,0.05%,"1,428,491"
"Nov 15, 2024",115.89,117.49,115.19,116.00,116.00,-0.18%,"1,780,744"
"Nov 14, 2024",116.56,117.50,115.82,116.21,116.21,0.12%,"1,486,654"
"Nov 13, 2024",116.50,117.73,116.00,116.07,116.07,-0.25%,"2,034,618"
"Nov 12, 2024",114.75,118.05,114.41,116.36,116.36,0.82%,"2,746,998"
"Nov 11, 2024",112.25,115.94,112.01,115.41,115.41,4.09%,"2,500,801"
"Nov 8, 2024",111.66,112.55,110.60,110.88,110.88,-0.93%,"3,813,794"
"Nov 7, 2024",114.40,115.02,111.78,111.92,111.92,-2.71%,"2,139,740"
"Nov 6, 2024",111.85,115.29,109.87,115.04,115.04,7.14%,"3,846,731"
"Nov 5, 2024",105.25,107.48,105.13,107.37,107.37,2.11%,"2,894,154"
"Nov 4, 2024",104.93,107.12,104.76,105.15,105.15,0.68%,"4,156,377"
"Nov 1, 2024",103.62,105.39,103.01,104.44,104.44,0.70%,"2,469,218"
"Oct 31, 2024",103.00,105.84,102.66,103.71,103.71,0.37%,"2,906,733"
"Oct 30, 2024",98.00,104.43,96.60,103.33,103.33,4.32%,"4,764,427"
"Oct 29, 2024",101.20,101.20,98.90,99.05,99.05,-2.66%,"2,360,274"
"Oct 28, 2024",99.76,101.91,99.06,101.76,101.76,2.65%,"2,141,968"
"Oct 25, 2024",100.71,100.97,98.73,99.13,99.13,-0.40%,"1,336,244"
"Oct 24, 2024",100.05,100.59,99.26,99.53,99.53,-0.35%,"1,784,139"
"Oct 23, 2024",99.31,99.96,98.78,99.88,99.88,0.57%,"1,946,379"
"Oct 22, 2024",99.01,100.31,98.95,99.31,99.31,-0.67%,"1,709,239"
"Oct 21, 2024",101.08,102.41,99.59,99.98,99.98,-2.28%,"1,931,034"
"Oct 18, 2024",101.80,102.93,100.36,102.31,102.31,0.68%,"2,207,492"
"Oct 17, 2024",102.19,102.56,100.07,101.62,101.62,-0.12%,"1,981,324"
"Oct 16, 2024",102.51,103.78,101.57,101.74,101.74,-1.08%,"1,553,862"
"Oct 15, 2024",103.00,103.99,102.40,102.85,102.85,0.21%,"1,698,121"
"Oct 14, 2024",100.56,102.77,99.90,102.63,102.63,2.01%,"1,194,808"
"Oct 11, 2024",98.90,100.70,98.71,100.61,100.61,1.75%,"1,833,546"
"Oct 10, 2024",99.07,99.57,98.10,98.88,98.88,-1.53%,"2,125,869"
"Oct 9, 2024",98.74,101.00,98.29,100.42,100.42,1.62%,"2,247,526"
"Oct 8, 2024",97.75,99.61,97.69,98.82,98.82,1.28%,"2,195,123"
"Oct 7, 2024",98.72,98.99,96.27,97.57,97.57,-1.09%,"2,217,112"
"Oct 4, 2024",99.34,99.49,97.53,98.65,98.65,0.47%,"1,963,689"
"Oct 3, 2024",97.32,98.63,97.25,98.19,98.19,0.54%,"1,502,792"
"Oct 2, 2024",100.02,100.02,96.57,97.66,97.66,-2.75%,"3,378,048"
"Oct 1, 2024",101.15,101.88,99.89,100.42,100.42,-1.95%,"2,609,565"
"Sep 30, 2024",100.22,102.57,100.22,102.42,102.42,1.39%,"2,831,925"
"Sep 27, 2024",98.65,101.52,97.85,101.02,101.02,3.43%,"2,796,684"
"Sep 26, 2024",97.80,98.35,96.42,97.67,97.67,0.63%,"4,561,128"
"Sep 25, 2024",100.76,101.00,96.01,97.06,97.06,-6.50%,"8,009,288"
