date,open,high,low,close,adj_close,change,volume
"Nov 25, 2024",608.79,611.30,598.83,603.03,603.03,0.04%,"2,940,763"
"Nov 22, 2024",596.22,603.94,594.44,602.78,602.78,1.12%,"1,733,996"
"Nov 21, 2024",586.51,600.70,584.51,596.11,596.11,2.44%,"2,282,297"
"Nov 20, 2024",583.83,587.80,576.62,581.93,581.93,0.09%,"1,528,869"
"Nov 19, 2024",579.66,584.76,575.51,581.38,581.38,-1.12%,"2,217,724"
"Nov 18, 2024",594.71,595.07,584.72,587.99,587.99,-0.94%,"1,857,601"
"Nov 15, 2024",593.36,595.14,587.09,593.54,593.54,0.84%,"2,007,812"
"Nov 14, 2024",600.00,601.53,586.24,588.61,588.61,-0.94%,"1,670,468"
"Nov 13, 2024",594.63,603.55,592.65,594.22,594.22,0.28%,"1,763,195"
"Nov 12, 2024",598.05,602.09,591.47,592.59,592.59,-1.62%,"2,392,850"
"Nov 11, 2024",598.90,607.15,596.17,602.34,602.34,2.22%,"2,510,802"
"Nov 8, 2024",586.42,595.15,581.30,589.26,589.26,1.22%,"2,713,956"
"Nov 7, 2024",590.00,595.00,581.52,582.17,582.17,-2.32%,"4,475,600"
"Nov 6, 2024",567.30,598.61,566.10,595.98,595.98,13.10%,"8,042,841"
"Nov 5, 2024",513.00,527.46,512.60,526.96,526.96,3.03%,"2,169,936"
"Nov 4, 2024",518.00,518.05,510.51,511.47,511.47,-1.52%,"1,798,045"
"Nov 1, 2024",520.00,526.64,517.04,519.35,519.35,0.30%,"1,625,284"
"Oct 31, 2024",522.44,525.00,514.53,517.79,517.79,-1.26%,"2,061,658"
"Oct 30, 2024",523.40,530.79,523.07,524.40,524.40,0.02%,"1,441,947"
"Oct 29, 2024",521.18,527.24,521.00,524.28,524.28,0.13%,"1,281,786"
"Oct 28, 2024",515.40,524.59,514.98,523.58,523.58,2.14%,"1,687,386"
"Oct 25, 2024",528.05,528.80,510.74,512.60,512.60,-2.27%,"1,633,203"
"Oct 24, 2024",519.00,525.00,518.20,524.50,524.50,1.41%,"2,058,176"
"Oct 23, 2024",515.80,520.00,513.40,517.20,517.20,-0.21%,"1,263,151"
"Oct 22, 2024",515.61,519.63,512.94,518.30,518.30,0.10%,"1,587,978"
"Oct 21, 2024",528.00,529.85,517.00,517.80,517.80,-2.02%,"1,752,085"
"Oct 18, 2024",529.39,530.77,526.87,528.50,528.50,-0.09%,"1,779,315"
"Oct 17, 2024",531.24,535.29,528.23,529.00,529.00,-0.16%,"2,123,514"
"Oct 16, 2024",530.00,536.22,525.98,529.86,529.86,1.43%,"2,649,018"
"Oct 15, 2024",538.80,540.51,515.51,522.38,522.38,-0.07%,"4,525,395"
"Oct 14, 2024",517.65,523.07,515.51,522.75,522.75,1.25%,"2,174,891"
"Oct 11, 2024",508.00,517.97,507.80,516.30,516.30,2.50%,"2,409,660"
"Oct 10, 2024",506.31,506.80,499.59,503.72,503.72,-0.29%,"1,309,042"
"Oct 9, 2024",498.20,506.27,495.25,505.18,505.18,1.73%,"1,695,949"
"Oct 8, 2024",497.00,498.34,492.78,496.57,496.57,0.39%,"1,296,762"
"Oct 7, 2024",494.63,499.01,490.79,494.62,494.62,-0.11%,"1,173,326"
"Oct 4, 2024",495.64,496.31,486.00,495.16,495.16,1.86%,"1,721,821"
"Oct 3, 2024",489.93,490.51,484.20,486.10,486.10,-1.20%,"1,290,719"
"Oct 2, 2024",491.17,494.86,487.95,491.99,491.99,0.37%,"1,445,116"
"Oct 1, 2024",494.58,494.58,484.61,490.17,490.17,-1.00%,"1,528,568"
"Sep 30, 2024",494.89,496.52,488.90,495.11,495.11,-0.68%,"1,603,079"
"Sep 27, 2024",498.97,505.40,495.86,498.51,498.51,0.32%,"1,420,298"
"Sep 26, 2024",494.00,498.40,492.48,496.92,496.92,1.18%,"1,378,145"
"Sep 25, 2024",498.50,502.00,490.40,491.14,491.14,-1.38%,"1,763,943"
"Sep 24, 2024",497.59,499.56,494.10,498.02,498.02,0.12%,"1,035,466"
"Sep 23, 2024",498.21,501.40,495.22,497.41,497.41,-0.20%,"953,191"
"Sep 20, 2024",500.19,502.05,495.48,498.43,498.43,-1.07%,"4,452,617"
"Sep 19, 2024",494.74,506.41,493.46,503.83,503.83,3.97%,"3,060,671"
"Sep 18, 2024",485.40,492.99,481.77,484.58,484.58,-0.17%,"1,699,498"
"Sep 17, 2024",488.00,489.73,481.80,485.39,485.39,0.05%,"1,444,884"
"Sep 16, 2024",481.43,487.38,479.49,485.16,485.16,1.29%,"1,500,456"
"Sep 13, 2024",475.99,482.10,475.50,478.99,478.99,1.04%,"1,794,645"
"Sep 12, 2024",471.30,474.34,465.40,474.06,474.06,0.61%,"1,482,197"
"Sep 11, 2024",463.98,471.89,457.48,471.17,471.17,0.86%,"2,426,457"
"Sep 10, 2024",489.13,489.20,461.57,467.13,467.13,-4.39%,"3,583,073"
"Sep 9, 2024",485.53,494.28,483.39,488.57,488.57,1.87%,"1,714,183"
"Sep 6, 2024",486.60,495.41,477.06,479.61,479.61,-1.70%,"1,995,561"
"Sep 5, 2024",493.58,495.77,483.07,487.88,487.88,-0.56%,"1,828,331"
"Sep 4, 2024",486.70,496.20,486.70,490.64,490.64,0.65%,"1,487,273"
"Sep 3, 2024",507.47,509.70,485.40,487.46,487.46,-4.47%,"2,373,571"
"Aug 30, 2024",507.83,511.19,505.17,510.25,510.25,0.03%,"1,839,064"
"Aug 29, 2024",506.00,513.24,501.14,510.10,507.12,1.35%,"1,566,250"
"Aug 28, 2024",506.60,508.37,498.47,503.33,500.39,-0.77%,"1,568,072"
"Aug 27, 2024",507.84,511.48,506.59,507.26,504.30,-0.12%,"977,917"
"Aug 26, 2024",512.34,513.50,505.32,507.87,504.90,-0.30%,"1,084,335"
"Aug 23, 2024",502.75,512.44,499.85,509.42,506.44,2.34%,"1,751,832"
"Aug 22, 2024",497.00,499.70,494.79,497.75,494.84,0.26%,"944,020"
"Aug 21, 2024",499.50,500.78,494.03,496.46,493.56,-0.18%,"917,087"
"Aug 20, 2024",503.87,504.16,496.50,497.34,494.43,-1.45%,"2,122,653"
"Aug 19, 2024",505.00,507.78,501.86,504.68,501.73,0.08%,"1,028,042"
"Aug 16, 2024",497.05,504.91,497.00,504.26,501.31,1.05%,"1,587,216"
"Aug 15, 2024",505.00,506.91,498.26,499.02,496.10,0.06%,"1,732,298"
"Aug 14, 2024",492.90,499.35,488.40,498.70,495.79,1.37%,"1,545,768"
"Aug 13, 2024",490.29,493.27,486.47,491.94,489.07,1.33%,"1,243,798"
"Aug 12, 2024",490.26,492.87,483.75,485.50,482.66,-0.97%,"1,839,468"
"Aug 9, 2024",485.02,492.00,482.20,490.26,487.39,0.92%,"1,622,719"
"Aug 8, 2024",477.87,487.73,477.16,485.77,482.93,2.70%,"1,936,684"
"Aug 7, 2024",479.39,488.55,472.57,473.01,470.25,0.59%,"2,587,633"
"Aug 6, 2024",461.01,475.25,457.43,470.22,467.47,2.44%,"2,209,283"
"Aug 5, 2024",447.59,463.18,437.37,459.02,456.34,-2.47%,"4,177,225"
"Aug 2, 2024",491.10,494.46,467.21,470.64,467.89,-5.89%,"6,115,462"
"Aug 1, 2024",510.00,514.02,494.68,500.12,497.20,-1.75%,"4,006,779"
"Jul 31, 2024",504.86,517.26,504.86,509.03,506.06,0.66%,"2,658,903"
"Jul 30, 2024",498.31,509.47,498.30,505.67,502.71,2.63%,"2,642,528"
"Jul 29, 2024",500.42,502.00,491.06,492.72,489.84,-1.26%,"1,599,475"
"Jul 26, 2024",495.72,504.00,495.65,499.03,496.11,1.49%,"2,249,857"
"Jul 25, 2024",486.05,496.11,483.23,491.71,488.84,1.03%,"1,489,796"
"Jul 24, 2024",489.26,495.99,485.82,486.70,483.86,-1.11%,"1,598,598"
"Jul 23, 2024",487.08,495.81,486.28,492.15,489.27,1.05%,"2,020,493"
"Jul 22, 2024",484.56,489.47,482.38,487.04,484.19,0.44%,"1,792,477"
"Jul 19, 2024",489.12,492.60,483.19,484.93,482.10,-0.26%,"2,032,670"
